,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5
1965-01-01,8.555253e-06,9.008363e-07,6.8413065e-06,2.9960938e-07,-1.11416375e-05
1965-02-01,8.366806e-06,8.797535e-06,-3.4692712e-06,8.528332e-06,-1.0558353e-05
1965-03-01,1.0699921e-05,6.302893e-06,5.3516997e-06,5.441434e-06,-7.776565e-06
1965-04-01,1.993368e-05,7.352799e-06,6.428527e-06,2.7404094e-06,3.7364662e-06
1965-05-01,5.154281e-06,4.5530614e-06,1.3015095e-05,-2.6078123e-06,7.675844e-06
1965-06-01,-5.7036814e-06,-1.2976816e-06,2.3944845e-05,-6.6817956e-06,1.4029101e-05
1965-07-01,9.676944e-06,5.62091e-06,1.5132842e-05,-4.2409956e-06,5.7465368e-06
1965-08-01,1.663142e-05,8.501411e-06,1.972729e-05,-8.131101e-07,1.2180557e-05
1965-09-01,1.0444128e-06,3.2429234e-06,1.3284298e-05,4.701069e-07,1.8399209e-05
1965-10-01,1.5195656e-05,2.5473855e-07,6.042661e-06,-1.9258296e-06,2.30968e-06
1965-11-01,1.2315155e-05,5.0286544e-06,4.2389875e-06,1.9597064e-06,5.1094175e-06
1965-12-01,1.731341e-05,-5.887705e-07,1.1274227e-05,2.2199456e-06,4.6112837e-07
1966-01-01,1.552542e-05,1.6106824e-06,7.028306e-06,1.5047735e-06,-1.6887752e-06
1966-02-01,2.1651815e-05,4.3643013e-06,6.4498818e-06,2.6534726e-06,-3.81509e-06
1966-03-01,1.8767847e-05,1.23074315e-05,1.0979504e-05,2.335746e-06,6.982373e-07
1966-04-01,9.138326e-06,5.5292912e-06,3.1667187e-06,3.4192708e-06,8.918363e-06
1966-05-01,4.0384293e-06,7.826689e-06,1.5500978e-05,-1.327353e-07,4.9101363e-06
1966-06-01,-2.5441877e-06,6.0262464e-06,1.1484604e-05,-2.8944996e-06,1.083286e-05
1966-07-01,5.8144324e-06,-3.4455297e-07,2.113042e-05,-7.5055905e-06,8.511022e-06
1966-08-01,5.7003745e-06,5.040485e-06,1.5500978e-05,-1.7783896e-06,1.3896059e-05
1966-09-01,5.464117e-06,1.3662757e-06,1.2225963e-05,-5.941405e-06,1.453151e-05
1966-10-01,-4.743826e-06,1.9202598e-06,5.618909e-06,-4.083933e-06,1.1671982e-05
1966-11-01,7.0638634e-07,3.9488114e-06,1.2030439e-05,-1.7213606e-06,4.6087043e-06
1966-12-01,1.13786955e-05,2.1076376e-06,7.891864e-06,1.45589e-06,6.669845e-06
1967-01-01,8.408453e-06,2.2487475e-06,-8.747291e-06,5.216316e-06,-6.493545e-06
1967-02-01,2.6382288e-05,4.1175117e-06,6.587812e-06,5.8178484e-06,-1.18913085e-05
1967-03-01,6.419381e-06,5.392765e-06,1.0670221e-05,7.1813265e-06,-9.372889e-06
1967-04-01,1.1568514e-05,8.384392e-06,1.8530265e-05,6.6439534e-06,2.9304865e-06
1967-05-01,4.526555e-06,8.352312e-06,1.8931287e-05,2.47332e-06,9.250602e-06
1967-06-01,7.413917e-06,6.836446e-06,2.3920009e-05,-3.4537952e-06,1.0782507e-05
1967-07-01,6.8123845e-06,2.521443e-06,1.9244086e-05,-6.9426897e-06,1.3389155e-05
