,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5
1965-01-01,27.36438,14.630859,24.001862,17.95343,28.064423
1965-02-01,27.455688,15.459625,24.371582,18.809174,27.98407
1965-03-01,27.171783,15.3064575,24.741333,19.006744,28.402222
1965-04-01,27.376831,14.940216,24.05426,18.556183,29.244965
1965-05-01,26.526611,14.249634,22.854736,17.425049,28.450623
1965-06-01,25.510223,13.518158,21.66571,16.13272,27.402802
1965-07-01,24.656494,12.778717,20.940735,15.967072,27.23465
1965-08-01,23.689514,13.181366,20.012665,16.05539,27.031067
1965-09-01,23.54181,13.175873,19.41092,15.7500305,26.712738
1965-10-01,24.468384,12.779694,20.574982,15.562408,27.71762
1965-11-01,25.251251,13.178375,21.25409,16.730988,29.055847
1965-12-01,26.623901,14.58844,22.573822,18.423462,29.020416
1966-01-01,27.401459,15.724548,23.83612,19.71402,28.980408
1966-02-01,27.91684,16.8219,24.26828,20.489105,29.130676
1966-03-01,27.495758,16.662537,24.183075,20.620728,29.12967
1966-04-01,26.903229,15.80069,23.835114,19.760406,29.238098
1966-05-01,26.100403,14.045776,23.049927,17.67868,28.280945
1966-06-01,25.361084,13.435059,22.41098,16.899048,27.568878
1966-07-01,24.375214,13.237366,20.931885,16.440643,27.257751
1966-08-01,23.625824,12.983215,20.040802,15.753815,26.984924
1966-09-01,24.10086,12.799164,19.91623,15.252533,26.778656
1966-10-01,24.372162,13.157196,20.59552,15.322144,27.647552
1966-11-01,25.865387,13.344299,21.891052,16.816864,28.398956
1966-12-01,27.056519,14.321106,23.667694,17.759369,28.968292
1967-01-01,27.47168,15.272583,24.183777,18.92511,28.188873
1967-02-01,27.802216,16.35788,24.605957,19.441956,28.349121
1967-03-01,27.981018,16.282745,24.343048,19.993378,28.556976
1967-04-01,27.257324,15.815002,23.190125,19.293732,29.617706
1967-05-01,25.80545,15.087799,22.239075,18.244995,28.958649
1967-06-01,24.627014,14.165283,21.314545,16.91629,27.752136
1967-07-01,23.450562,13.43808,20.106049,15.783447,27.018951
1967-08-01,23.399475,13.115051,19.756989,15.439362,26.688385
1967-09-01,23.342896,12.630249,19.568665,15.015686,26.888733
1967-10-01,23.997467,13.011383,20.45462,15.931183,27.48169
1967-11-01,25.18692,12.937744,21.560944,16.6203,28.118256
1967-12-01,26.30075,13.365448,22.68982,17.149689,28.806885
1968-01-01,27.311432,15.048065,23.172058,18.888702,28.192352
1968-02-01,27.491486,16.603607,23.420837,20.577332,28.369415
1968-03-01,27.333221,16.795532,23.230896,20.196472,28.599915
1968-04-01,26.653625,15.871094,22.879242,19.275513,29.177124
1968-05-01,25.502167,15.010956,21.503235,18.089905,27.995483
1968-06-01,25.365631,14.203766,20.45465,16.855377,26.960754
1968-07-01,24.376434,14.317017,20.14502,16.464142,26.438934
1968-08-01,23.524689,14.145905,19.80423,16.871704,26.198578
1968-09-01,23.553894,12.866821,19.568817,16.089233,26.762909
1968-10-01,24.378387,13.649292,20.120789,16.540802,27.297607
1968-11-01,25.56546,13.958923,21.626892,17.21991,27.90744
1968-12-01,26.660522,15.112366,23.381775,18.94165,28.64392
1969-01-01,27.11203,16.365295,24.01654,20.218597,28.851257
1969-02-01,27.652954,16.580627,23.706848,20.758514,28.828705
1969-03-01,27.683228,15.904846,23.786316,20.408844,29.303009
1969-04-01,27.507355,15.635132,23.00644,19.653564,29.304016
1969-05-01,26.481323,15.2526245,21.933746,18.664978,28.623077
1969-06-01,25.489685,14.448639,20.699554,17.304138,27.725769
1969-07-01,23.959106,13.54361,20.096558,16.309387,27.197144
1969-08-01,23.964752,13.365173,20.204254,15.536163,27.18277
1969-09-01,23.802734,12.728363,19.722778,15.103394,27.720642
1969-10-01,24.342133,12.527863,20.513947,15.524902,27.96933
1969-11-01,25.125122,13.518494,21.53125,17.107758,28.332367
1969-12-01,26.122406,15.036743,23.004364,18.122467,28.766144
1970-01-01,27.207397,15.616272,23.836823,19.495117,28.617615
1970-02-01,28.17749,16.23407,24.273315,20.242065,28.797363
1970-03-01,28.107758,16.348236,24.812103,19.901672,28.883118
1970-04-01,27.492523,15.309967,23.847168,19.280762,29.175995
1970-05-01,26.687744,14.522705,22.98346,17.775513,28.674927
1970-06-01,25.23877,13.150726,21.50351,16.83432,27.408844
1970-07-01,24.113708,13.205994,20.388794,16.191711,26.887115
1970-08-01,23.50415,13.235962,19.7565,16.452576,27.005402
1970-09-01,23.022217,13.319122,19.32312,16.38388,26.624695
1970-10-01,23.623474,13.046387,19.853119,16.432953,27.357697
1970-11-01,24.323944,13.88269,20.618652,17.184052,28.282867
1970-12-01,25.787872,15.114166,21.793823,18.466644,28.938385
1971-01-01,26.673798,16.133911,22.472656,19.722809,28.104797
1971-02-01,27.369537,16.773804,23.13678,19.792969,28.002014
1971-03-01,27.491089,16.705627,23.42633,19.883392,28.716553
1971-04-01,26.880829,16.000977,22.805695,19.766296,29.43155
1971-05-01,26.107025,14.487946,22.470184,18.650055,28.306915
1971-06-01,24.781738,13.790741,21.303528,17.257568,27.736176
1971-07-01,23.907623,13.264465,20.45462,16.56134,27.074036
1971-08-01,23.47873,12.9566345,19.663513,16.282654,26.738525
1971-09-01,23.561249,12.750092,19.672913,15.859161,26.621918
1971-10-01,23.856232,12.627533,20.306366,15.731201,26.927277
1971-11-01,24.633514,13.590607,21.29663,16.705627,27.70752
1971-12-01,25.097504,14.034821,22.504791,17.59851,28.42154
1972-01-01,25.728394,14.942139,23.900055,19.572937,28.463928
1972-02-01,27.371124,15.977509,24.413208,20.16214,28.55957
1972-03-01,27.928772,16.009094,23.97754,19.907227,28.832153
