,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1965-01-01,1012.94696,1010.29205,1018.3381,1016.44165,1010.0043
1965-02-01,1011.00336,1008.9494,1015.3384,1013.8859,1008.8278
1965-03-01,1016.8193,1009.94037,1017.7092,1017.8544,1011.0468
1965-04-01,1017.2205,1010.86694,1020.37964,1017.0878,1011.7457
1965-05-01,1019.6956,1010.3906,1020.1005,1013.47906,1015.0003
1965-06-01,1022.20044,1012.0769,1020.18805,1012.3169,1018.01807
1965-07-01,1023.24915,1012.22205,1025.4606,1019.12573,1018.3678
1965-08-01,1021.3273,1011.5101,1025.7738,1014.1197,1017.3123
1965-09-01,1020.6147,1011.9814,1024.2675,1016.036,1016.6686
1965-10-01,1018.0131,1011.1733,1023.96045,1016.4782,1014.8819
1965-11-01,1017.40845,1010.9649,1023.8923,1017.3948,1013.4437
1965-12-01,1013.16345,1009.4542,1018.717,1012.6183,1011.30414
1966-01-01,1012.97034,1011.35803,1019.9221,1019.4345,1012.2368
1966-02-01,1011.39624,1010.1689,1018.4024,1016.46533,1010.0374
1966-03-01,1015.9796,1009.7946,1018.31287,1016.382,1011.12085
1966-04-01,1016.4891,1009.97546,1020.1555,1019.6705,1012.3282
1966-05-01,1017.4917,1011.29297,1019.5171,1017.74963,1015.19916
1966-06-01,1022.9989,1012.1799,1021.18256,1016.9835,1017.19006
1966-07-01,1020.95166,1011.0157,1023.3707,1015.31555,1016.8095
1966-08-01,1020.54486,1011.1077,1022.92755,1020.1086,1016.4797
1966-09-01,1019.6104,1011.318,1023.5147,1016.663,1015.9684
1966-10-01,1018.5633,1010.96936,1021.37286,1021.79663,1014.54944
1966-11-01,1014.5025,1009.9098,1017.2477,1014.5301,1012.0697
1966-12-01,1012.5016,1008.7274,1017.35034,1018.5276,1009.76263
1967-01-01,1011.52814,1009.13586,1016.3504,1014.6206,1010.2983
1967-02-01,1012.65283,1009.08795,1018.1295,1018.9857,1009.88904
1967-03-01,1013.6701,1009.88104,1019.6061,1020.7047,1009.0698
1967-04-01,1015.65454,1010.8229,1017.9779,1016.22565,1010.71906
1967-05-01,1018.837,1010.25037,1017.50696,1013.1919,1013.47565
1967-06-01,1019.7251,1010.43756,1020.7685,1010.92224,1015.46594
1967-07-01,1023.47205,1011.0042,1024.4335,1014.8977,1016.3381
1967-08-01,1024.5089,1011.47156,1025.6749,1015.2976,1017.3734
1967-09-01,1021.28516,1011.62463,1024.9799,1019.59235,1015.9151
