,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5
1965-01-01,1.8129216527995595e-05,9.877518958416483e-06,2.6319130483898334e-06,4.117481308993673e-06,-8.510836429260441e-06
1965-02-01,1.93325718100823e-05,8.599472771642759e-06,1.7152090094896266e-06,5.9986383070685815e-06,-9.642640666892735e-06
1965-03-01,1.6811922876058816e-05,9.313120919418032e-06,9.180693609778245e-07,5.321853772481215e-06,-4.171158808828425e-06
1965-04-01,9.601873784959025e-06,5.872044192569411e-06,8.349717973032966e-06,-1.4122460040905733e-06,-5.679424930349341e-07
1965-05-01,6.812556918589507e-06,8.874875986951343e-07,1.0205366379523184e-05,-6.09427349079144e-06,-2.5797329986484587e-07
1965-06-01,-6.785839445910824e-07,-3.568356667426382e-06,1.4351559002534486e-05,-8.058784020350788e-06,1.583813441032232e-05
1965-07-01,1.2220382927807805e-05,1.782744438457139e-06,1.4045107491256204e-05,-8.86640899958972e-06,9.098075841913148e-06
1965-08-01,1.8615147467926363e-05,-3.4391227009664663e-06,1.5282272215699777e-05,-9.444803102572527e-06,4.5930168620803405e-06
1965-09-01,1.252480821278823e-05,-1.4448842364612053e-06,1.4352667676575948e-05,-3.561187947001246e-06,6.369435417192497e-06
1965-10-01,9.538777590023528e-06,2.346342132792851e-06,8.497898306814022e-06,-3.7081602183914383e-06,1.1373142326322392e-05
1965-11-01,1.667437530272764e-05,1.645865699336722e-06,8.986472494143527e-06,-4.7040148566502976e-06,7.999033308741283e-06
1965-12-01,1.846734676291817e-05,2.9520719790429545e-06,7.108059435267933e-06,-2.0128426727852557e-06,1.381236610801092e-06
1966-01-01,1.857201326060931e-05,1.1339835710402693e-05,1.6988085462799063e-06,7.764257927947129e-07,1.92035340010729e-06
1966-02-01,1.8599049411704982e-05,7.70907094696659e-06,2.588580628071213e-06,1.0882306216646814e-06,-8.973517294309982e-07
1966-03-01,2.0645708076472147e-05,5.688342915531172e-06,3.679595238281763e-06,2.3420134375050516e-06,-5.574861461354884e-07
1966-04-01,8.370918891387191e-06,8.36473037439569e-06,7.073471806506859e-06,-4.488177928073533e-06,1.2374117984238961e-05
1966-05-01,3.9261783157940044e-06,5.228275447632153e-06,5.56413715457893e-06,-2.8385140164270223e-07,5.865976098513264e-06
1966-06-01,4.77748631766417e-06,-3.0139620293524395e-06,1.4322651622933336e-05,-5.751485648235959e-06,1.5512550329991166e-05
