,r900_cluster1,r900_cluster2,r900_cluster3,r900_cluster4,r900_cluster5
1965-01-01,89.80325806192505,76.42619393088601,169.58548227945965,115.22592968410916,126.81193485438266
1965-02-01,88.74883940725616,72.70538590171121,163.1568749745687,109.91513994004991,116.66657278470903
1965-03-01,87.48571387617103,123.09276407415217,166.21863047281903,153.03375456068252,139.36721944363316
1965-04-01,89.31957261386887,58.43835743990812,136.2048625946045,132.45302836100262,136.80844173253138
1965-05-01,88.37348475600734,83.16118066961116,133.26366742451987,174.52140384250217,141.04583597628869
1965-06-01,87.16050020027986,108.18666111339222,132.4287255605062,190.66058264838324,135.78337196991822
1965-07-01,86.99682987097538,91.49788076227361,121.24296029408774,193.27515496148004,140.95418341806
1965-08-01,88.01040484275653,96.25193855979226,110.07020473480225,196.66290283203125,135.84008617935893
1965-09-01,87.26705245641402,64.39228057861328,103.22512785593669,159.20408036973743,133.0356847460025
1965-10-01,87.94518673058712,61.212119189175695,114.6186113357544,137.62783474392361,126.80987063969407
1965-11-01,88.64049870214421,65.98303534767844,115.73170026143393,144.65166727701825,129.52706880658585
1965-12-01,88.32634764832335,91.36614366011186,153.3339500427246,122.54794438680014,125.3089548271393
1966-01-01,88.0341269753196,104.28977446122603,154.74518140157065,120.77371809217665,128.72332278813155
1966-02-01,88.88384501139323,114.19135873967952,165.59460957845053,151.6079796685113,141.16412011262412
1966-03-01,89.73954270928454,72.64616706154563,149.2066224416097,115.87166256374783,132.35563474280812
1966-04-01,89.04727423861945,85.74396480213512,140.65561294555664,166.17340511745877,144.24862727940638
1966-05-01,86.94231107637479,94.23770037564364,132.67457485198975,177.18499501546225,138.1106938157126
1966-06-01,87.72676641290838,108.44109275124289,128.9253075917562,200.16445583767361,140.06694187627772
1966-07-01,87.41153700527174,94.5238546891646,111.77955468495688,193.54002210828995,141.12344189224956
1966-08-01,88.06641648858141,93.25280623002486,111.2428347269694,170.37985059950088,133.90949284918955
1966-09-01,88.4719452300629,65.71925770152698,102.08553473154704,177.57993274264865,135.24740343896028
1966-10-01,89.49150812058221,67.31302521445535,108.27657381693523,143.0034425523546,124.61863722756644
1966-11-01,89.75754940148556,65.0248180736195,125.61071713765463,124.05712339613173,123.33946228027342
1966-12-01,87.20364095844748,63.988568566062234,139.91796175638837,106.36007520887587,134.2537924508068
1967-01-01,89.00727111023741,109.77287292480469,159.0665658315023,142.5687895880805,135.06113925826884
1967-02-01,89.10482167165516,148.8606192848899,165.97105662027997,149.08329645792645,126.31347513644494
1967-03-01,88.59062690239448,101.42983523282138,162.58068084716797,132.41825103759766,140.94741678683556
1967-04-01,88.91936298056598,66.8747988614169,140.31322797139487,135.63579983181424,132.67262539016866
1967-05-01,89.65909223019818,94.71041072498669,130.8866898218791,175.26211208767361,139.31400619934652
1967-06-01,87.79680491525889,98.2767105102539,127.12814807891846,187.60664198133682,136.36043940749124
1967-07-01,88.22938002549209,79.9534017389471,126.08434359232585,184.5459196302626,137.87329843111127
1967-08-01,88.86137462797619,74.77286078713156,109.15160973866782,186.56963772243924,138.18707332432825
1967-09-01,87.54922115441525,52.861278707330875,101.82009538014731,126.54537624782986,129.32749953225394
1967-10-01,87.49166216169084,51.0599439794367,111.56954765319824,118.54837205674913,124.8548561167494
1967-11-01,89.05074214522456,59.90891456604004,127.1819035212199,127.69269943237305,132.7667022419867
1967-12-01,89.69205715955594,79.52449105002664,156.92551930745444,129.37096489800348,128.3743029442903
1968-01-01,89.97018492067015,103.23312932794744,164.24566904703778,124.87213346693251,119.05917230053483
1968-02-01,87.96321654216551,110.92212850397283,171.21036847432455,139.49752383761935,136.2393530729775
1968-03-01,90.89802993840469,126.79759805852717,164.8428757985433,174.92713928222656,150.77998794127848
1968-04-01,89.17753211347572,90.75155258178711,147.77307510375977,177.43735843234592,148.9165831949109
1968-05-01,88.66692249909107,144.57610737193716,148.79263242085776,202.9552671644423,151.08959875374197
1968-06-01,87.6545728543104,140.27853879061612,137.32245763142905,212.7186457316081,145.6959448128103
1968-07-01,88.43425403941761,130.54523468017578,129.2499621709188,210.97575293646918,146.23264063184504
1968-08-01,87.96872721089944,89.47307413274592,113.39022318522136,192.0338100857205,142.73885566497518
1968-09-01,87.75561113894244,70.9299304268577,100.30609766642253,159.54437255859375,132.22933617707724
1968-10-01,88.83635946166464,56.80655132640492,108.40640862782797,131.6028594970703,129.72974688093237
1968-11-01,88.91677030753263,60.25740016590465,123.99837970733643,110.5409304300944,138.56028619213637
1968-12-01,87.96617251970035,58.57366648587313,144.95452245076498,110.9628995259603,124.63334698543369
1969-01-01,87.58234461664637,78.70749560269442,162.46841748555502,107.57723914252388,120.71409492849189
1969-02-01,88.64875397124848,124.91958791559392,169.1962718963623,126.13244586520726,137.98259129034022
1969-03-01,90.05714350448542,93.7272852117365,158.0860773722331,134.80892181396484,140.32280467380986
1969-04-01,89.85416197673582,60.71486906571822,130.59014479319256,137.8877215915256,140.47121422313083
1969-05-01,88.74597425584669,96.2171814658425,127.50712235768637,185.00408596462674,145.03245843905154
1969-06-01,87.734131585984,100.7476199756969,120.43468952178955,195.5343246459961,142.8260874525409
1969-07-01,87.65486514929569,89.52031569047408,117.30546156565349,165.15489154391818,139.11707512686186
1969-08-01,88.63156636555989,61.37155619534579,106.47598107655844,153.04226345486111,131.96277083637557
1969-09-01,87.6307978774562,59.72694483670321,96.95620536804199,150.83131790161133,136.61225933894931
1969-10-01,87.66200077998174,63.43978535045277,107.61222839355469,110.72924931844076,116.85996724066332
