,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5
1971-09-01,0.13979416,0.1182373,-0.30375823,0.20969085,-0.4559639
1971-10-01,-0.5761612,0.23451462,0.5608093,0.25509185,-0.10713196
1971-11-01,-0.24561958,0.16821022,-0.010451889,0.046706773,0.26521683
1971-12-01,-0.09733276,0.31780282,-0.55035746,0.22504234,-0.2975525
1972-01-01,0.12337456,-0.12538262,0.21863098,0.0453331,0.39881477
1972-02-01,0.004016876,0.17186317,0.9505566,0.18592224,0.020944977
1972-03-01,0.15895195,-0.31761703,0.27343178,0.087796785,-0.087796405
1972-04-01,0.17415848,0.2315422,-0.08837052,-0.4269329,-0.12566948
1972-05-01,-0.29437676,0.42578506,-0.33454514,-0.31675643,-0.25535622
1972-06-01,0.28835183,0.21231881,-0.60080415,0.11792278,-0.3893467
1972-07-01,-0.107307434,0.3394226,-0.22666474,0.06283493,-0.67138636
1972-08-01,-0.29036027,-0.23355103,-0.17301102,0.37786978,-0.3486042
1972-09-01,-0.3078621,0.2369934,0.19682503,0.037585832,-0.2808918
1972-10-01,0.40340537,-0.3377014,-0.43353194,-0.06082649,-0.22350845
1972-11-01,0.08607521,0.114766695,-0.32823333,-0.03127403,-0.37643546
1972-12-01,0.16669884,0.17989692,0.024100875,0.07947616,-0.25822526
1973-01-01,0.3242882,0.07900162,-0.28160173,0.21247558,-0.074222565
1973-02-01,-0.032492448,0.048420332,-0.19304371,-0.04523468,-0.30485612
1973-03-01,0.33511886,-0.2800091,-0.40647545,0.10830841,-0.018795013
1973-04-01,-0.21438675,0.01783905,0.22967759,0.177116,-0.033766557
1973-05-01,-0.10161857,0.21311264,-0.2774605,0.0015926361,-0.23286323
1973-06-01,-0.4644516,0.40743104,0.24751663,0.088876724,-0.30485612
1973-07-01,-0.23604889,0.21215744,0.19081345,0.3242878,-0.53294104
1973-08-01,0.053516388,0.40360793,0.33034056,0.5335781,-0.83907163
1973-09-01,0.36187744,0.5399494,0.2156601,0.22585487,-0.7893772
1973-10-01,0.33862305,0.10894547,-0.35232085,0.31759873,-0.31664276
1973-11-01,-0.2739567,-0.055428315,-0.29211426,0.57084924,0.08027573
1973-12-01,0.029306794,-0.021980286,0.05351696,-0.22776604,0.35741767
1974-01-01,-0.2978161,-0.57130736,0.6054939,0.11044846,0.30833513
1974-02-01,-0.12556915,0.16468582,0.5933315,0.39314348,0.41911164
1974-03-01,-0.7330357,-0.14496383,0.2370039,0.15515366,0.15186653
1974-04-01,-0.19262695,0.18145104,-0.46217424,0.3336464,0.062784575
1974-05-01,-0.26921806,0.13444443,0.6478981,0.20117378,-0.0364872
1974-06-01,0.020380402,0.27184755,0.32279855,0.1922985,-0.28828353
1974-07-01,0.05423813,0.2748062,-0.17290421,0.24456406,-0.9506451
1974-08-01,-0.16304322,-0.056539156,-0.072646335,0.4296314,-0.1853958
1974-09-01,-0.24916688,0.42075577,0.2787506,-0.021038055,-0.33726197
1974-10-01,-0.6594032,-0.020709228,0.49603158,0.44573823,0.18966866
1974-11-01,-0.6071373,-0.26001397,-0.12326851,0.3040615,0.4993187
1974-12-01,0.005916977,-0.043718718,-0.0782341,0.22747116,0.42272797
1975-01-01,0.15517846,-0.08487282,-0.35627708,0.29642257,0.4357666
1975-02-01,-0.03990326,0.026285553,-0.12319259,-0.050037004,0.26190338
1975-03-01,-0.063971326,-0.19286498,-0.29008904,0.1675293,-0.09532394
1975-04-01,-0.443367,0.1640461,-0.15739556,0.46996918,-0.06238823
1975-05-01,-0.16024551,0.25937003,0.009817505,0.12667656,-0.20774917
1975-06-01,0.018051147,0.393013,0.7505577,0.23435135,-0.35596046
1975-07-01,0.28692245,0.06492157,0.19159774,0.22801742,-0.5836609
1975-08-01,0.40346375,0.3005394,0.20236588,0.20331535,-0.7116043
1975-09-01,0.17608032,0.38731232,0.37021104,0.11464195,-0.64509964
1975-10-01,-0.25905305,0.31510696,0.32777482,0.11337509,-0.7717754
1975-11-01,-0.30054015,0.25683632,-0.15992889,0.20173188,-0.74675673
1975-12-01,-0.26380348,0.18684769,-0.09500714,0.24606895,0.08518982
1976-01-01,0.26205367,0.21193008,0.47633916,-0.013119507,0.08880921
1976-02-01,0.41881484,-0.060214996,0.66337585,0.1369133,0.012110138
1976-03-01,-0.31520462,0.14498672,0.028593827,0.1359047,0.085444644
1976-04-01,-0.45581895,0.22269516,0.24052429,-0.12244873,0.5261257
1976-05-01,-0.18972817,0.08477173,-0.34312552,0.3781109,0.34884414
1976-06-01,0.12110291,0.21226653,-0.25330734,0.26205367,-0.44370842
1976-07-01,0.32731476,-0.08746338,-0.09049072,0.007064438,-0.44438094
1976-08-01,0.32126006,0.01614685,-0.054496765,0.2099121,-0.8712696
1976-09-01,-0.47970277,0.13052216,0.3441345,-0.09654617,-0.0030277253
1976-10-01,-0.5082966,0.20183869,-0.123457715,0.011437607,-0.16449833
1976-11-01,-0.22202225,0.082753755,0.02052002,0.022202302,0.008746338
1976-12-01,-0.11202011,-0.06425247,-0.20150223,0.099573515,-0.0016819
1977-01-01,0.59797746,-0.09765778,-0.6655594,0.2742203,-0.15780945
1977-02-01,0.17868575,0.36904755,0.3014652,0.035382845,0.31031114
1977-03-01,-0.34923285,0.0123847965,0.018045615,0.07572021,0.44335213
1977-04-01,0.24520607,-0.02193756,-0.41256866,0.020168686,0.30075797
1977-05-01,-0.009907532,0.18399277,0.030783843,0.10721131,-0.0435215
1977-06-01,0.065812685,-0.058382414,-0.064043425,0.2636055,-0.24485245
1977-07-01,0.29403535,0.23989868,-0.39523163,0.15320969,-0.625576
1977-08-01,0.17196274,0.3014656,0.347818,0.260067,-0.62982255
1977-09-01,-0.050951384,0.06899719,0.53817976,-0.04493637,-0.14400978
1977-10-01,0.34498748,0.10261154,-0.122780226,0.007076645,-0.44724464
1977-11-01,0.05661316,0.2742203,0.012738037,0.019107055,-0.3704628
1977-12-01,0.29332733,0.32234192,0.4316761,0.08598137,0.19248466
1978-01-01,0.32953414,-0.12820892,0.6049957,0.5346001,-0.24009399
1978-02-01,0.20438576,-0.4448204,0.15235405,0.21322823,-0.22343063
1978-03-01,0.059853364,0.08263855,0.56214637,0.22240981,0.14147186
