,vws500-200_cluster1,vws500-200_cluster2,vws500-200_cluster3,vws500-200_cluster4,vws500-200_cluster5
1965-01-01,18.49934185808103,9.07929532808055,9.050360578812345,10.894903831048845,11.0991915729234
1965-02-01,22.989231431646708,9.40718078406398,12.508578278325377,9.288421938850739,13.319775986099364
1965-03-01,32.24968177290848,8.1767026858223,10.583658352162507,9.111700541336612,14.915250947090847
1965-04-01,31.163094043293725,12.583742936972868,7.444917417056925,18.253897219015467,16.03279745845893
1965-05-01,47.74092292026412,11.037910755307873,15.101503321245117,18.51469683473411,22.24514907145733
1965-06-01,54.23813875054822,10.998509783402794,21.940762529915585,14.31843783678345,32.65756946367573
1965-07-01,63.97966363706354,13.408076611398247,20.64125865740768,16.85823284515897,27.293109466168048
1965-08-01,61.74314238826947,9.489350700128007,17.215425912436647,16.728992889608822,20.51429464872828
1965-09-01,47.64063134593588,11.459170400563393,14.351639746502709,18.65163655843355,18.78671139261588
1965-10-01,43.65634055832072,11.159129970395457,11.292011364948118,20.657428866517478,16.893033994461017
1965-11-01,41.761855741618184,12.087948275604985,7.629951639238036,20.227583595661148,14.552225718142475
1965-12-01,28.035730598821356,7.807495199431421,9.891695714883673,14.790055488241205,9.69408930371065
1966-01-01,29.10467707961353,7.785202024928404,12.031529850599782,8.732153658352047,9.086725260918039
1966-02-01,27.841346972605447,7.236102992707834,10.98294401710155,9.827416288357297,11.769629148380316
1966-03-01,25.790268621183397,6.941315575976777,9.665978555871249,12.297091877538877,12.775658554476431
1966-04-01,37.006231283851896,11.603260257205209,8.626762933202242,20.278036428450466,17.3424720268868
1966-05-01,42.65927085659683,13.453859163147007,10.950848961074751,24.77795754934026,18.873493158879445
1966-06-01,62.71561376629213,9.980063071225304,17.254885695078343,19.52723540964307,25.503020228791826
1966-07-01,57.27006989973928,12.011256075351161,20.493700336995552,15.484122309436323,25.688019504471338
1966-08-01,53.56753045480187,10.687943594353271,20.271357230508226,16.68884143855553,24.228552439773978
1966-09-01,57.569464108989784,10.526576032940525,15.426046956553309,17.52507566042264,20.562006523881948
1966-10-01,44.34949540431935,13.185070831897402,11.222084688948017,22.06485254821811,14.457529852636043
1966-11-01,31.34036349544271,12.966894737156647,11.186453675591531,18.518130265719307,12.202976309826562
1966-12-01,32.33808511647843,9.289046702944908,10.587279384987722,15.53790461011591,13.21640229723684
1967-01-01,22.538263326716386,8.185722966179702,13.451751076157327,6.927176742407048,11.955455121638032
1967-02-01,28.62433149926715,9.026459766948419,12.991225260073085,6.9027986995826565,11.728689986468384
1967-03-01,39.501147741532336,9.00372157420236,9.360322707689196,9.06234948275924,16.43119144577327
1967-04-01,34.46732316323434,8.875696928198504,9.737267344528844,14.422999734234143,17.2100132679952
1967-05-01,44.7786345255189,12.230161945961878,11.637530966306038,21.50598740701591,19.95145184730682
1967-06-01,52.29495430939306,11.89784826250933,18.073356686211167,18.395347771229552,24.4453804321845
1967-07-01,62.44549062578052,12.130309579486182,21.63504588189029,16.44720041098475,29.150824465766153
1967-08-01,68.94381120516253,11.899865412679985,21.761496701246205,11.694041074512441,26.4947921609733
1967-09-01,41.89205664790318,10.078547343774538,16.742386659077617,14.903134358961253,19.020747830936536
1967-10-01,37.72240171795897,12.564167296481594,9.80323373655324,17.31861964867107,14.00620136396689
1967-11-01,31.29503895924952,13.947208333830797,9.147847231426814,19.313328222145774,13.718723134782993
1967-12-01,39.50106046561899,7.881330146312416,11.339044953828147,14.289484704061524,15.446356923895436
1968-01-01,24.829099705767305,7.925393167269435,13.28065138366946,7.026148323885045,12.26360183010056
1968-02-01,26.893042452181945,12.571000895118281,12.585741019365978,7.056862206896425,11.13648283166568
1968-03-01,37.41750282802146,6.42771948680698,12.77892060214753,10.286411975898698,15.585804000311098
1968-04-01,31.1930000705109,11.633877947877442,9.122799486242108,16.954000758632095,15.691559007927488
1968-05-01,55.32907760130114,11.651436077334276,10.220329813778811,20.32426287222091,18.926198050077943
1968-06-01,72.31331405921416,9.25617658726434,19.55185117651951,17.224904202361827,30.75760997389879
1968-07-01,66.25171963542009,9.347281001148383,22.227820955113657,13.968236633371047,29.824521887309963
1968-08-01,76.16446424784107,11.59861956464194,21.059195701253472,15.352822973581542,28.366089403445493
1968-09-01,54.992256295296194,10.050861237064353,14.864202361792076,18.028373207432093,19.204995562701924
1968-10-01,44.90833703634519,13.83559585635677,9.805582397026555,20.03866483526198,14.41828174882215
1968-11-01,33.20928003269748,11.708302955602345,10.697469885332398,14.982643542909386,15.725166751999932
1968-12-01,28.063470128585212,9.407738802692203,9.963536235455326,17.05250005925606,11.718819768772182
1969-01-01,27.341211520003654,9.521623110966885,10.181407831875738,11.188064627539356,11.641310353848032
1969-02-01,28.950949359714205,8.669832324561154,10.837017009003858,6.916233279154507,11.104103084713817
1969-03-01,33.38121816853598,7.410336299919542,9.456012444380772,11.05579728958947,13.90492155040982
1969-04-01,31.367922088329916,11.907786415918002,10.496930759758095,17.447113429556783,15.351972776958544
1969-05-01,50.51926558959093,12.327594189131924,11.753251036409106,22.569998457327085,23.606245933323333
1969-06-01,52.346449010265836,11.988843829153902,20.411491516454007,18.806115533545118,25.468596634250304
1969-07-01,59.19927920217852,11.557574639264653,20.95512543097865,14.48844840321254,26.859808603924442
1969-08-01,46.91572857102496,9.2527750456484,17.983954962623518,13.43106932834231,21.886753388575727
1969-09-01,61.332772505795425,13.78817767177152,14.082161657689603,19.417434027562653,19.40525848742263
1969-10-01,32.8473817019115,14.436568502256899,10.58443129950239,19.809842527835723,14.426547277028167
