,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5
1970-12-01,-0.7704174,1.3444874,1.6473297,-0.03694,1.1145267
1971-01-01,0.4226486,-0.7551495,1.4159054,-0.08328857,-0.047686767
1971-02-01,0.81426775,-0.5856327,1.1663662,0.0068588257,1.5694176
1971-03-01,0.13750763,0.2936329,1.3848763,0.16461715,1.209807
1971-04-01,0.18192825,2.068169,1.0092614,0.054872513,0.15841141
1971-05-01,-0.5124695,1.5651715,1.0804646,0.36940917,0.43897933
1971-06-01,0.021556854,1.6324555,0.38639337,-0.24039344,0.24071999
1971-07-01,0.21328393,0.73881835,0.13260841,-0.21393737,0.25247878
1971-08-01,0.2044651,1.4355026,0.56211627,-0.19238052,-0.1316288
1971-09-01,0.14991951,1.7144378,0.20903778,-0.022210311,0.4193821
1971-10-01,0.07936935,1.366259,1.1301113,0.01665764,0.14632683
1971-11-01,-0.20838471,1.0331045,1.138277,0.058465194,1.4106796
1971-12-01,-0.7055031,1.4658787,1.3456818,-0.011431503,0.052586365
1972-01-01,-0.22867317,0.82890356,1.3106372,-0.15493545,0.012911225
1972-02-01,0.043037415,0.32479018,1.121846,-0.28519553,0.6398252
1972-03-01,1.3548228,-1.30203,0.6742554,-0.12509613,0.7634867
1972-04-01,-0.1015686,1.003636,1.4093368,0.41029167,0.25650367
1972-05-01,-0.46738815,0.59822214,1.1958708,-0.059965514,1.1519725
1972-06-01,1.1347573,1.3947042,0.47886467,-0.3070015,-0.43381882
1972-07-01,1.0455261,1.0265896,0.45763284,-0.5904751,-0.011763382
1972-08-01,0.5379696,1.4523745,0.57125205,-0.20715408,0.47312623
1972-09-01,0.79820365,0.5058346,0.71757966,-0.13829383,0.15694389
1972-10-01,0.5924839,0.32048646,0.9758053,0.058818053,0.10357704
1972-11-01,0.08808365,1.3726116,1.5748882,0.07918892,0.9740837
1972-12-01,0.92243844,-0.73049104,1.3295742,-0.07373772,0.7069639
1973-01-01,0.37557563,-0.83142626,1.2159214,-0.2902027,1.5535883
1973-02-01,0.06371117,-0.40137824,1.3223181,-0.3032635,1.23822
1973-03-01,-1.2321675,2.0295084,1.2586073,-0.076453015,0.65622175
1973-04-01,-0.5074566,1.1968081,1.0397606,0.057976913,0.6469833
1973-05-01,-0.18890266,2.1228447,1.2305744,0.049057007,0.6437977
1973-06-01,0.07549743,1.6214406,0.6581329,-0.03217392,0.5769016
