,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5
1971-01-01,0.00895071,0.60295033,0.026308477,0.026401997,0.02598095
1971-02-01,0.035197854,0.34623358,0.005207777,0.007827818,0.03150171
1971-03-01,0.011945009,0.5915813,0.00024843216,0.026963472,0.020881236
1971-04-01,0.023407698,0.1403268,0.040344357,0.03444928,0.026682734
1971-05-01,0.008857131,0.12643126,0.035057485,0.036414325,0.034028172
1971-06-01,0.02439022,0.004365623,0.017606199,0.03880042,0.027571678
1971-07-01,0.025372744,-0.09084457,0.014144003,0.030612767,0.017699778
1971-08-01,0.012412906,-0.009436309,0.003944576,0.036273956,0.02593416
1971-09-01,0.029583514,0.33921564,0.0070792437,0.015453994,0.017746568
1971-10-01,0.03164208,0.458053,0.0060967207,0.027992785,0.019851923
1971-11-01,0.017699778,0.24592364,0.0044124126,0.021349072,0.019524455
1971-12-01,-0.003962338,1.1180214,-0.07119435,0.02013266,0.02453059
1972-01-01,0.035136282,1.1800733,-0.08204943,0.027841091,0.022652268
1972-02-01,0.015305638,0.41135335,-0.00015813112,0.021727502,0.023474216
1972-03-01,0.05327159,0.32884556,-0.023430884,0.022138476,0.031026304
1972-04-01,0.0098086,0.56902236,-0.025126219,0.040530622,-0.015930176
1972-05-01,0.006417811,-0.034116805,0.009603083,0.02655673,0.018388152
1972-06-01,0.023988008,-0.028876603,0.018079877,0.020802736,-0.03853506
1972-07-01,0.006263733,-0.06345177,0.024142146,0.035598695,-0.06406826
1972-08-01,0.013456166,-0.06853789,0.016384542,0.018696368,-0.1241253
1972-09-01,0.037448168,0.075208604,-0.0032919645,0.02927959,-0.047628343
1972-10-01,-0.021786869,0.16470331,-0.01973188,0.03323543,-0.043569744
1972-11-01,0.013764441,0.2046215,0.020443141,0.026248455,-0.04649812
1972-12-01,-0.0077102184,0.91698325,0.065858364,0.022960484,-0.025280356
1973-01-01,0.051003575,0.4055013,0.016031384,0.020309627,-0.049535275
1973-02-01,0.0072758794,0.26695567,0.035880446,0.02414018,-0.0033202171
1973-03-01,0.04428774,0.18959898,0.018419266,0.033840835,0.011852622
1973-04-01,0.066823125,0.24342531,0.032149434,0.028567672,0.027970672
1973-05-01,-0.0012806058,0.09577596,0.031054974,0.030259073,0.00827086
1973-06-01,0.04244709,0.12915623,0.022796988,0.023443699,0.023095489
1973-07-01,0.033343375,-0.07027978,0.018070996,0.022100508,0.028816402
1973-08-01,0.036527157,-0.049585044,-0.005359888,0.016180634,0.016727865
1973-09-01,0.030259073,0.035382986,0.033691585,0.030806243,0.015135944
1973-10-01,0.0251351,0.17397839,-0.011976242,0.029214382,0.019662917
1973-11-01,0.019414186,0.9840599,-0.038789928,0.016678095,0.022150278
1973-12-01,0.038964808,0.40291443,0.05607778,0.014538944,0.011205912
1974-01-01,0.033269584,0.7520951,-0.010321438,0.022022784,0.021053255
1974-02-01,0.024737537,0.33359787,0.015158355,0.026443958,0.02857697
1974-03-01,0.029585302,0.7989439,-0.01765126,0.024892688,0.026250064
1974-04-01,0.025435627,0.39638603,0.031059027,0.027801335,0.022333026
1974-05-01,0.022759676,0.18661386,0.0024766326,0.0323776,0.023923099
1974-06-01,0.024388492,-0.04615605,0.014266372,0.028654516,0.029391408
1974-07-01,0.038350046,-0.051003814,0.009379864,0.03928083,0.026405156
1974-08-01,0.028964758,-0.07652241,-0.0004708171,0.033424735,0.018144608
1974-09-01,0.041724086,-0.0056288242,0.012637556,0.025319278,0.018299699
1974-10-01,7.212162e-05,0.078528285,0.031563163,0.030709982,0.02477634
