,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5
1965-01-01,1013.3166,1012.18536,1005.5143,1019.788,1018.9607
1965-02-01,1018.5142,1010.6344,1019.6193,1021.95795,1015.28937
1965-03-01,1017.4258,1011.858,1011.41956,1022.6408,1014.408
1965-04-01,1017.11694,1011.7693,1020.14954,1021.8445,1013.6496
1965-05-01,1016.73553,1011.30914,1020.3207,1027.4204,1012.5457
1965-06-01,1020.72943,1011.41455,1019.7421,1025.1406,1013.7458
1965-07-01,1018.6618,1010.68713,1024.8293,1023.3831,1016.7604
1965-08-01,1017.979,1010.9215,1022.1347,1020.71014,1016.134
1965-09-01,1014.64,1011.1802,1013.79474,1022.7927,1014.1786
1965-10-01,1016.60846,1011.4356,1019.27075,1018.7368,1018.1694
1965-11-01,1016.8577,1011.2248,1023.6764,1014.72125,1018.0541
1965-12-01,1019.5542,1010.1172,1022.07086,1021.0606,1018.4596
1966-01-01,1018.1571,1010.08936,1009.64435,1020.8709,1018.58325
1966-02-01,1016.46783,1010.81604,1021.94244,1020.476,1017.30273
1966-03-01,1017.86664,1010.53937,1015.39935,1020.09546,1017.8842
1966-04-01,1018.8781,1011.00073,1018.4268,1020.51666,1013.4654
1966-05-01,1017.2996,1011.73047,1021.2308,1025.0493,1014.3329
1966-06-01,1019.8538,1011.69604,1017.5525,1023.53345,1015.6585
1966-07-01,1018.48065,1010.64575,1023.64795,1024.3771,1015.4983
1966-08-01,1018.14764,1011.6598,1023.9127,1024.5111,1015.8876
1966-09-01,1016.46094,1011.4945,1015.9208,1019.99097,1015.39685
1966-10-01,1016.7056,1011.9007,1018.42053,1022.9119,1017.0893
1966-11-01,1014.32227,1011.589,1019.9941,1019.2974,1020.2388
1966-12-01,1018.2065,1011.57025,1011.28986,1020.1474,1018.2459
1967-01-01,1018.7129,1012.1028,1014.199,1020.6822,1019.95654
1967-02-01,1018.34576,1012.14343,1015.60815,1026.8293,1018.28186
1967-03-01,1016.0899,1011.7777,1016.62756,1022.0136,1016.88226
1967-04-01,1017.48596,1012.14343,1027.134,1026.1218,1013.84204
1967-05-01,1017.9104,1011.31335,1018.78186,1025.6547,1013.5772
1967-06-01,1016.7523,1011.20013,1015.701,1023.6549,1013.1614
1967-07-01,1017.7696,1011.27203,1026.1858,1024.1991,1017.13403
1967-08-01,1018.2224,1011.3003,1022.6071,1021.19586,1016.53906
1967-09-01,1016.7502,1011.8373,1016.8061,1018.84283,1014.765
1967-10-01,1016.93304,1011.2495,1016.8119,1020.9579,1018.23694
1967-11-01,1018.1172,1011.3359,1021.3881,1020.7271,1018.59033
1967-12-01,1012.7623,1011.30756,1010.79095,1024.1774,1016.9011
1968-01-01,1010.38165,1010.94196,1006.974,1019.51196,1019.96063
1968-02-01,1009.75903,1012.27155,991.1258,1010.9084,1018.20166
1968-03-01,1020.30554,1012.5943,1018.21173,1019.9084,1018.0793
1968-04-01,1017.134,1012.4369,1024.0194,1028.7617,1014.20435
1968-05-01,1017.8947,1011.9803,1017.81165,1021.12054,1012.43896
1968-06-01,1019.83966,1012.46906,1018.34125,1024.0724,1013.10596
1968-07-01,1018.53656,1011.73346,1022.219,1023.48706,1018.1158
1968-08-01,1017.82526,1011.9624,1021.2687,1021.86127,1017.77014
1968-09-01,1015.88745,1011.4171,1017.73224,1021.3438,1015.8237
1968-10-01,1014.1571,1011.19104,1018.4278,1019.2966,1016.6209
1968-11-01,1016.7054,1011.93304,1010.75165,1021.0104,1016.9122
1968-12-01,1013.63257,1010.9048,1015.7601,1017.54767,1018.4063
1969-01-01,1012.44446,1009.5767,1018.25665,1013.52454,1015.93677
1969-02-01,1018.99164,1010.0946,1020.8192,1016.68555,1014.5466
1969-03-01,1020.7463,1012.01764,1019.9775,1022.86896,1015.0002
1969-04-01,1022.75226,1011.579,1023.355,1022.8365,1012.4526
1969-05-01,1018.6379,1011.1741,1015.8856,1020.86163,1012.80945
1969-06-01,1017.91284,1011.6408,1014.46796,1021.4158,1011.42554
1969-07-01,1019.33044,1011.0231,1025.3804,1026.3656,1015.6934
1969-08-01,1018.67847,1011.0075,1026.0349,1023.13354,1013.19006
1969-09-01,1017.9709,1010.4921,1020.1067,1020.54407,1015.4208
1969-10-01,1016.23315,1010.8621,1011.5909,1019.0266,1014.4043
1969-11-01,1016.4004,1011.08673,1014.1479,1020.69446,1019.2506
1969-12-01,1018.40204,1011.50037,1007.64307,1017.3307,1016.4228
1970-01-01,1013.2101,1012.9314,1003.0036,1013.39136,1018.75146
1970-02-01,1017.78955,1011.8244,1005.9918,1014.0354,1019.8621
1970-03-01,1020.2857,1011.7757,1012.56415,1024.627,1013.0318
1970-04-01,1021.8586,1011.7935,1027.1023,1029.491,1011.7436
1970-05-01,1018.88403,1012.13873,1021.4801,1026.6139,1015.5185
1970-06-01,1019.69635,1011.6164,1019.5115,1023.9911,1015.6261
1970-07-01,1020.4676,1012.0662,1027.5023,1023.22876,1017.1139
1970-08-01,1018.85016,1011.0852,1023.9911,1022.9899,1014.5672
1970-09-01,1017.5287,1011.25635,1017.3248,1021.50024,1014.7823
1970-10-01,1016.98206,1010.8606,1022.4944,1017.84424,1015.3206
1970-11-01,1017.8246,1012.43823,1022.61914,1016.1032,1019.30414
1970-12-01,1019.84424,1010.79047,1021.6541,1024.0066,1017.4306
1971-01-01,1009.93414,1012.1459,1007.5503,1024.7753,1016.8668
1971-02-01,1016.2614,1012.12476,1005.14026,1026.2325,1014.234
1971-03-01,1019.27045,1012.47797,1019.3172,1022.6744,1015.1434
1971-04-01,1020.38654,1011.6141,1024.1675,1024.5897,1013.12756
1971-05-01,1019.5117,1011.9584,1019.2954,1026.3221,1012.60913
1971-06-01,1019.7748,1012.0678,1021.77264,1023.1115,1014.86633
1971-07-01,1018.25104,1010.70276,1019.465,1023.37897,1016.5865
1971-08-01,1018.39624,1011.54236,1024.3638,1020.5849,1016.0323
1971-09-01,1017.69556,1011.85913,1021.3196,1021.28955,1013.418
1971-10-01,1017.36975,1011.7625,1018.6689,1024.6448,1015.5786
1971-11-01,1018.2971,1012.1804,1019.9641,1025.1644,1017.7922
1971-12-01,1015.96704,1010.41156,1021.3106,1025.3494,1016.89813
1972-01-01,1014.50275,1011.15485,1016.74005,1024.7063,1017.05505
1972-02-01,1015.5814,1011.9561,1012.10236,1018.1138,1017.71
1972-03-01,1012.5867,1011.91296,1007.9208,1017.83435,1014.08716
1972-04-01,1018.58307,1011.2067,1026.4119,1024.4196,1012.9129
1972-05-01,1019.0987,1010.7199,1020.02734,1022.9715,1012.9548
1972-06-01,1017.95935,1011.01807,1022.63586,1022.5859,1013.2103
1972-07-01,1018.2944,1009.5581,1022.8696,1022.5959,1017.2657
