,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7,mgu500_cluster8,mgu500_cluster9
1965-01-01,0.99524724,2.0413327,-1.1946881,0.19650726,-1.5176384,0.52988625,-1.2510655,2.8035731,-0.1883606
1965-02-01,2.4451017,1.6965481,-0.9636364,0.16131249,-1.0066532,0.14371452,-1.0050236,2.5777364,0.87630004
1965-03-01,1.35046,1.634304,-0.71922415,-0.3607525,-2.6660507,0.34511033,-0.7954811,2.7677262,0.2336586
1965-04-01,1.5743415,1.3638214,-0.5142437,0.37835044,-1.5019957,0.5647556,-0.04171295,1.52383,0.64785576
1965-05-01,1.3850034,1.9963604,-0.07723427,-0.4536293,1.6844902,-0.34119987,-0.009450531,-0.07593079,2.5591607
1965-06-01,1.188496,2.4522712,0.2574478,0.3776985,-0.13393784,-0.08831444,-0.47774488,-0.0026069642,1.7832329
1965-07-01,0.7498573,1.6548351,0.7355183,2.112701,-0.08798847,-0.73323745,0.15186158,0.070064925,1.536865
1965-08-01,0.9994839,0.6677345,0.22094879,0.83100206,0.9740648,0.329142,-0.05214119,-0.0,1.574016
1965-09-01,1.4625641,1.3168938,0.39431876,1.1878443,1.8627484,0.21410522,-0.24864903,-0.32197267,2.1782036
1965-10-01,1.8272272,1.0979004,-0.2219265,0.097439006,2.2065551,-0.45525894,0.11145191,0.229422,1.5785784
1965-11-01,2.3473365,1.9539955,-0.15316506,1.5890064,1.2813728,-1.051625,0.022485733,0.82187766,2.0247123
1965-12-01,3.3103218,2.5800176,-0.83947486,0.57583505,-0.25712165,-0.3183876,-1.0532547,1.9497589,0.47187883
1966-01-01,2.762383,2.2129261,-0.94595873,-0.35744247,-1.6221123,0.4644455,-0.5130234,3.1418169,0.0045951842
1966-02-01,1.5686109,1.3562462,-0.8353451,0.3633507,1.006353,0.56816596,0.010503387,2.1692715,0.74179953
1966-03-01,1.9050467,2.1942172,-0.6682762,0.8960678,-0.9781254,0.57046354,0.050219346,1.0680603,1.0946468
1966-04-01,1.2384113,1.8823986,-0.3446415,0.6541626,-0.81302565,0.33610725,-0.059409715,1.0644493,1.5807552
1966-05-01,1.0362217,1.2302058,-0.23468438,-0.2471571,-0.25273687,0.10142288,0.13293305,1.0122608,1.569267
1966-06-01,1.3385214,1.5331619,0.22976112,0.08730908,-0.5291065,0.17757264,-0.5310761,0.22943267,2.1400592
1966-07-01,0.35809898,0.9735302,0.41422614,1.5981518,1.4251744,0.061707307,0.1368719,-0.0016410828,2.2057052
1966-08-01,0.14934464,-0.039387513,0.054486085,0.09485855,1.4514328,0.7608368,0.9702476,0.17593154,1.1048218
1966-09-01,-0.09321747,0.30984917,0.44343835,1.4422424,2.4505646,1.3802067,0.041685104,0.11783447,1.3756115
1966-10-01,2.2089875,1.1274697,-0.072539136,0.3059105,0.2120367,-0.264225,-0.5701355,0.17888527,1.6496837
1966-11-01,3.1779222,2.0291176,-0.37319756,1.1222179,0.19332734,-0.53567123,-0.59048575,1.2807534,0.2977047
1966-12-01,3.5324104,2.937001,-0.8218872,0.16214561,-0.27768248,-0.15558091,-0.13523063,2.5821846,0.31838378
1967-01-01,3.5684738,2.9411826,-1.3476471,0.20115128,-0.86926043,0.12571946,-1.925304,2.6260674,0.44965133
1967-02-01,1.5239811,1.8890575,-0.5224705,0.03167496,-0.51300085,0.35103494,-1.5732895,2.320096,0.27364427
1967-03-01,1.8312594,1.9164871,-1.4426715,0.55120623,0.33209532,0.25992888,-1.0034698,1.5125523,0.5218178
1967-04-01,1.4714079,1.9370594,-0.4620598,0.9917145,-0.5097351,-0.42548674,-0.40589446,0.70370257,0.56198233
1967-05-01,1.4557335,0.9943268,-0.2860527,-0.04506302,-0.340259,0.56198233,-0.17992572,0.9613457,0.7275404
1967-06-01,0.73831594,1.6007192,-0.007510376,0.5443489,-0.12376022,-0.27788925,-0.49895936,0.6419857,1.020777
1967-07-01,0.707621,0.51463354,0.29095078,1.1154747,1.262093,0.37911758,-0.12604599,0.11592293,1.3355656
1967-08-01,-0.63872033,0.10645332,0.32719725,0.73733634,1.4691217,0.35723916,1.434508,0.67855835,1.0906575
1967-09-01,1.2065808,0.15935364,0.37552565,0.69619197,2.1884987,1.0086944,0.1874363,-0.35527992,2.153885
1967-10-01,1.9720001,1.9886535,-0.018612672,1.8743633,2.0830245,-0.42581367,-0.28833848,-0.20147781,2.8402805
1967-11-01,2.337076,2.6257408,-0.45487595,2.7201123,0.4277729,-0.6707214,-0.28964463,1.1432312,2.2378068
1967-12-01,1.1553131,2.5385537,-0.41960907,0.42222136,-0.49667358,0.24588776,-1.8603218,1.8390964,1.3633217
1968-01-01,2.527577,1.4521446,-1.1892121,0.032456208,-1.8474541,0.58238983,-1.4288048,3.2452617,-0.9842636
1968-02-01,1.3175781,1.3788445,-0.9806164,0.19656105,-3.692721,0.5791069,-2.2456818,3.2587547,-1.1257584
1968-03-01,1.2216686,1.4645436,-0.5258644,0.021151353,-0.09663925,1.0590225,0.108673856,1.8346908,0.90002286
1968-04-01,0.85298,0.89965856,-0.49158517,-0.16702214,-0.21953544,0.18233795,0.27496663,1.0677742,0.48392677
1968-05-01,1.0681393,1.3646218,-0.17650375,-0.31544572,-0.8369341,0.5127357,-0.1728569,0.6195866,-0.06819458
1968-06-01,1.1133595,2.0338044,0.32201004,-0.6265152,-0.8372986,0.18489075,0.27715454,0.3603012,0.4208374
1968-07-01,0.16884537,0.8839771,0.2910126,0.5207588,1.4966351,0.38473433,-0.00036468505,-0.022245025,2.0159352
1968-08-01,0.19109039,0.59952927,0.34425583,1.3412826,1.2526661,0.11049728,0.20239563,0.047042847,1.9882199
1968-09-01,0.0021881103,0.47736207,0.5254997,2.1800396,1.5706642,0.49486655,0.11377907,-0.27861366,1.6425056
1968-10-01,1.0134376,1.797858,0.12544861,0.79718435,1.7402394,-0.58676565,-0.3982273,-0.34206694,2.5848317
1968-11-01,1.9254951,2.3995755,-0.16519889,0.008387375,-0.3606659,-0.4361538,0.30924606,1.2012466,0.8227116
1968-12-01,2.8131194,-0.16702195,-0.89345855,-0.9667591,0.55175626,0.33513793,0.4084385,2.119868,-0.19327888
1969-01-01,2.9195356,0.8767563,-1.4051987,0.2846222,0.5496731,0.66046983,-0.76065177,2.4876263,1.0558895
1969-02-01,2.8667912,0.7301327,-0.8120697,-0.6943062,1.7923253,0.7145416,0.6810368,2.47104,0.6820324
1969-03-01,1.4124968,1.3252525,-0.7745842,-0.5231346,-0.19140701,0.43456346,-0.008956909,2.4594297,1.3093293
1969-04-01,1.1573979,1.6029084,-0.21296921,1.005467,1.5004044,0.0013267517,-0.10250397,0.7002773,1.7783924
1969-05-01,1.0847496,1.9873806,-0.13401794,-0.27433872,1.3162956,0.27666092,0.8047716,-0.08127327,1.8822235
1969-06-01,1.6639462,1.2376763,-0.095869444,-0.06535034,1.4917797,0.29955024,-0.48100528,0.1731617,2.2869308
1969-07-01,0.4919525,0.9222034,0.48664474,1.626461,0.75401706,0.06700897,-0.33471316,-0.15491676,1.8848768
1969-08-01,0.42892417,0.895665,-0.12108078,1.5136734,1.0645145,0.5380623,0.3672226,0.2298874,1.1627057
1969-09-01,-0.007629776,1.9412708,0.6535034,2.5310826,-0.068667606,-0.11245575,-0.29988176,-0.20268555,1.8546898
1969-10-01,1.2390032,1.76446,-0.28959808,-0.06535034,0.83694917,-0.053076554,0.44186133,0.44849625,1.7143688
1969-11-01,2.3655505,2.1887398,-0.05838432,0.4717167,0.7009407,-0.60805666,-0.113119125,0.9331505,1.822512
1969-12-01,2.9686313,3.2247252,-0.8760929,-0.20699844,0.28495407,0.1353447,-0.47536582,1.9157273,1.9472415
1970-01-01,1.8113976,1.325518,-0.70885086,-1.2466462,-2.0816257,0.94812965,-0.85594594,2.987491,-0.32181168
1970-02-01,2.069313,1.764806,-1.0699326,-0.31748542,-1.7192131,0.14809266,0.13278504,3.0151126,0.06755676
1970-03-01,2.4240708,2.146188,-1.1291702,0.4622509,-2.6101024,0.4632492,-1.2523034,2.9931486,1.1341614
1970-04-01,1.9142307,1.6672974,-0.7967083,-1.1185204,0.13511428,0.3697342,0.038604163,1.1993897,1.0569538
1970-05-01,1.2286751,1.198391,-0.068222806,0.14709492,0.64195937,0.17704658,-0.06256523,0.15541497,0.90453374
