,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9
1965-01-01,1537.921142578125,4039.605712890625,1741.1560058593752,1564.691777192345,1862.990500710227,2255.4172092013887,4381.141198199728,1591.2341117858887,2671.6605738589637
1965-02-01,1537.9826401219223,4036.87451171875,1739.0302986934269,1563.797493868096,1858.3113236860795,2258.2883029513887,4396.96336829144,1586.186408996582,2670.7848799856083
1965-03-01,1537.6470392400568,4034.519287109375,1741.3829408842944,1566.9171000635902,1854.9456232244318,2256.705593532986,4385.106360394022,1586.3478660583496,2667.506167763158
1965-04-01,1537.4048406427555,4055.933837890625,1741.4080389614764,1567.3366339631782,1844.5754172585225,2261.045600043403,4419.652524201766,1580.1507949829102,2670.7061767578125
1965-05-01,1535.1825136126893,4074.58544921875,1739.8515898605874,1566.5162552234738,1835.2995161576703,2266.7576768663193,4439.811640200407,1576.7193794250488,2664.3620541221217
1965-06-01,1534.636064009233,4053.64013671875,1742.143249511719,1568.3136222898497,1830.2633389559658,2261.141899956597,4416.632080078125,1573.0439186096191,2657.845587479441
1965-07-01,1532.053722034801,4044.042724609375,1740.9308071794183,1565.985722504845,1823.1871448863635,2257.2702365451387,4421.767525050951,1572.037696838379,2653.948813990543
1965-08-01,1531.193681196733,4055.2724609375,1741.3532125538795,1566.2576364916424,1829.579856178977,2255.0736490885415,4417.982018512228,1575.4120826721191,2659.0177837171054
1965-09-01,1529.128750887784,4063.602783203125,1741.6271867423222,1566.0942609920057,1840.7707075639203,2256.73583984375,4418.181842306386,1577.8790473937988,2660.5182848478617
1965-10-01,1533.0712520714962,4067.775146484375,1742.3080970501078,1566.0151518592538,1851.3289018110795,2258.78662109375,4442.714525305706,1585.9686851501465,2674.768227025082
1965-11-01,1539.7812352035985,4080.94384765625,1742.2323292699355,1566.567969507025,1858.572443181818,2264.825981987847,4445.236073369565,1589.8602485656738,2680.828857421875
1965-12-01,1539.6418715968275,4056.001708984375,1740.0175949622846,1564.9615620457848,1866.0628995028408,2261.8235948350693,4420.220947265625,1591.7210578918457,2673.3878687808387
1966-01-01,1542.2734116062973,4038.3203125,1743.639137004984,1566.9668271560076,1862.8542258522725,2260.0895182291665,4382.594896399456,1591.9337272644043,2672.2050717002467
1966-02-01,1540.307432232481,4068.200439453125,1741.5728864998655,1566.1851513293361,1855.2734374999998,2265.9822591145835,4440.415092136549,1587.3627662658691,2674.9274002878287
1966-03-01,1537.1097449100378,4046.254150390625,1740.3410286738956,1565.8002040182896,1844.739768288352,2259.1989474826387,4400.89111328125,1580.7075500488281,2663.9545641447367
1966-04-01,1536.9129527698863,4066.100341796875,1739.928304738012,1566.18590835453,1842.0032848011363,2263.6573621961807,4417.314877717391,1578.8790702819824,2671.915636564556
1966-05-01,1534.5268480705492,4059.788818359375,1741.0439853010507,1567.6788566648497,1838.044211647727,2261.0152180989585,4430.657958984375,1576.5419960021973,2665.118408203125
1966-06-01,1534.0979373816288,4056.21875,1742.332984661234,1567.8630030432412,1828.3873401988635,2259.4251844618057,4412.745732846467,1575.107192993164,2660.510414525082
1966-07-01,1532.6804421164773,4064.62255859375,1739.6700628872577,1564.9428256722383,1824.8046874999998,2258.6947970920137,4430.116072944973,1572.9249000549316,2658.5784912109375
1966-08-01,1527.946610884233,4058.54345703125,1740.6711972992996,1565.8828617066376,1827.351407137784,2254.6959092881943,4430.24610436481,1572.5131034851074,2656.3261333264804
1966-09-01,1527.5871508049242,4058.50244140625,1741.216409617457,1566.4821417756782,1843.422296697443,2253.9450412326387,4420.557171365489,1577.5269508361816,2662.319464432566
1966-10-01,1533.1792658025568,4065.740234375,1741.0244119578394,1565.1740022407946,1851.9233842329545,2254.648980034722,4423.365850033967,1585.6341361999512,2672.632960269326
1966-11-01,1536.3591974431818,4069.17822265625,1739.6038713126347,1564.3327106801114,1859.4442471590908,2257.412380642361,4418.129829738451,1587.638282775879,2676.4287045127467
1966-12-01,1537.2962720466383,4040.437744140625,1738.323711526805,1564.1690512960272,1865.1160777698863,2257.0967610677085,4389.278246008831,1588.0818367004395,2675.421142578125
1967-01-01,1539.5038951526988,4040.412353515625,1739.6194984172953,1563.767449430717,1872.4491743607953,2258.049994574653,4397.998312245244,1594.7532653808594,2674.488589638158
1967-02-01,1540.0637539950283,4049.348876953125,1740.2111185008082,1565.1974700218022,1865.2064098011363,2259.7627766927085,4398.353377632473,1590.963363647461,2680.0818192331412
1967-03-01,1538.5302919330018,4066.493408203125,1740.3238756903288,1564.430792756783,1850.5933726917613,2261.5992567274307,4423.004150390625,1585.0359916687012,2674.3859542043583
1967-04-01,1538.4063720703125,4084.44873046875,1740.832572147764,1566.0078654917636,1845.6914728338068,2263.143853081597,4438.911769701087,1581.5921783447266,2681.8316007915296
1967-05-01,1531.451416015625,4063.1337890625,1739.3556265995421,1564.848150208939,1832.9261363636363,2257.4217393663193,4430.196480129076,1574.466896057129,2663.729537160773
1967-06-01,1529.4389204545455,4041.595947265625,1739.054765372441,1565.3167014898256,1825.009210759943,2253.729926215278,4404.973834493886,1570.3228950500488,2650.538233706826
1967-07-01,1526.2686064749053,4059.506591796875,1739.1702586206898,1564.1011082848836,1821.6830166903408,2253.720160590278,4431.604269276494,1569.6884155273438,2653.340711091694
1967-08-01,1527.8299967447915,4041.053955078125,1739.9494565766433,1564.9967164032219,1826.4884810014203,2251.874050564236,4416.959546959918,1570.4594612121582,2650.7022255345396
1967-09-01,1524.2318818063445,4056.1123046875,1741.1347487877156,1565.1688923207364,1841.4589621803975,2249.432915581597,4420.982559867527,1577.1051406860352,2659.3266537314967
1967-10-01,1531.8921638257575,4066.716552734375,1740.7931623787717,1565.490959226623,1854.445245916193,2259.999321831597,4422.886326002038,1584.6400260925293,2673.587517989309
1967-11-01,1537.6956824100378,4073.56005859375,1740.1438219793913,1564.0566803688225,1865.0159801136363,2259.281548394097,4419.001570991848,1589.1938209533691,2687.101825914885
1967-12-01,1538.752237955729,4056.98486328125,1742.1052077720906,1565.6468117883962,1870.6048029119318,2260.095893012153,4408.453634510869,1594.6415901184082,2676.3485557154604
1968-01-01,1537.5018495501893,4022.563720703125,1739.2791221881737,1562.6754405886627,1862.4853515624998,2249.254692925347,4372.688890540081,1589.3324851989746,2664.4306383634867
1968-02-01,1539.550411339962,4019.367919921875,1742.2767902242726,1565.5679392260174,1868.9095791903408,2247.614203559028,4333.036472486413,1591.652774810791,2675.6085847553454
1968-03-01,1538.715986772017,4071.0625,1740.0171740301726,1566.1676924358042,1848.7556596235795,2267.7182345920137,4435.317595108695,1583.3317756652832,2672.8093197471217
1968-04-01,1537.2798110499525,4070.299560546875,1741.4684953360722,1566.115694267805,1848.622492009943,2263.3935546875,4442.327084748641,1584.8840713500977,2679.3781481291117
1968-05-01,1532.4700557824337,4059.404296875,1739.8932621396823,1566.133153161337,1834.784268465909,2255.6947157118057,4421.920112941576,1575.8238792419434,2663.0165501644738
1968-06-01,1533.2109855883048,4057.48046875,1741.0002083613956,1567.346427976623,1829.9548339843748,2257.222900390625,4416.456935716712,1574.6611595153809,2661.1186780427633
1968-07-01,1528.611154267282,4059.941650390625,1740.0784722689925,1565.9855805626212,1823.9814897017045,2259.5091417100693,4437.880275560462,1570.6513404846191,2651.4460513466283
1968-08-01,1528.7892659505208,4052.39306640625,1740.4384744578394,1565.8581164456152,1829.8085715553975,2253.072781032986,4411.958644701087,1570.725917816162,2655.4481907894738
1968-09-01,1527.413847952178,4062.88623046875,1740.7488592739764,1565.6972485919332,1842.7272727272725,2251.028374565972,4427.661928923233,1576.9878387451172,2668.99558619449
1968-10-01,1532.0396654533617,4061.735107421875,1741.5126405913256,1565.3264008751212,1853.5885342684658,2255.9921603732637,4428.832742442255,1585.8112335205078,2672.2842567845396
1968-11-01,1536.338205048532,4066.3837890625,1742.3845488449624,1565.9148460210756,1858.600186434659,2258.370361328125,4412.114151664402,1590.696907043457,2681.3100714432567
1968-12-01,1537.529962713068,4059.23583984375,1739.9260422279096,1563.2982830668604,1857.4727006392045,2253.0417209201387,4423.030687415081,1587.0336532592773,2672.6458097759046
1969-01-01,1538.8207637902462,4045.43896484375,1740.3718093345906,1563.5405784429506,1861.0943048650568,2258.364529079861,4412.43896484375,1586.2168312072754,2671.7444168893912
1969-02-01,1538.5835589784563,4055.28369140625,1741.7846679687502,1564.151497774346,1863.202237215909,2258.7327745225693,4414.329462466032,1586.970043182373,2677.6037918893912
1969-03-01,1538.9274828361742,4061.94482421875,1742.199338715652,1566.943595945373,1853.563010475852,2264.56298828125,4421.331787109375,1584.7875595092773,2675.4860325863488
1969-04-01,1538.9880556048768,4065.36767578125,1741.998343632139,1567.342642850654,1844.0328702059658,2266.9896104600693,4432.87008534307,1582.61137008667,2672.3677785773025
1969-05-01,1534.2017896247633,4061.882568359375,1739.7244157462285,1566.580081910126,1831.524103338068,2263.5888671875,4425.614862856657,1575.341796875,2658.0841064453125
1969-06-01,1533.5938424775095,4062.061767578125,1740.5297114931304,1566.8323132418845,1829.6132590553975,2262.108154296875,4416.524605129076,1573.5671043395996,2656.4339085629113
1969-07-01,1532.6801646839488,4060.327880859375,1740.6325767780174,1565.9524607103924,1825.5217950994318,2261.4921061197915,4430.614438264266,1572.2807884216309,2660.6453343441613
1969-08-01,1532.5257272431345,4046.64599609375,1741.7510460162987,1566.5193306383237,1828.5823197798295,2253.6088053385415,4408.958368716032,1575.4606246948242,2657.0566277754933
1969-09-01,1529.0357185132575,4050.244140625,1739.7535126784753,1564.781011537064,1842.0689808238635,2253.2398817274307,4412.33202063519,1576.3404846191406,2666.7138350637333
1969-10-01,1531.6362785570548,4061.83447265625,1741.3410581391433,1565.7376548116522,1850.9392755681818,2255.940483940972,4419.60157311481,1584.255313873291,2672.816226356908
1969-11-01,1535.7507879083805,4077.28759765625,1740.6255787816542,1565.073980287064,1864.9081143465908,2261.0347493489585,4427.137822690217,1590.8073425292969,2681.0171026932567
1969-12-01,1539.289717240767,4055.2685546875,1741.2541882745152,1565.335201292999,1867.743918678977,2263.410915798611,4402.162767493206,1594.0682411193848,2678.8190339740954
1970-01-01,1538.424405184659,4035.717529296875,1742.8194769497577,1566.2223401919816,1867.7503551136363,2252.590874565972,4374.939495584239,1591.8848037719727,2672.6506283408717
1970-02-01,1540.4272830847538,4039.971923828125,1742.4661570581898,1565.7284758811772,1859.727228338068,2259.552544487847,4375.419019616168,1589.22700881958,2675.5780671772204
1970-03-01,1538.1109064275568,4037.463134765625,1740.5111904801995,1565.7368977864583,1858.7753018465908,2258.102349175347,4383.378269361413,1584.83247756958,2672.802734375
1970-04-01,1538.5852235736268,4077.099365234375,1741.3859400255928,1566.9988587845203,1848.6495694247158,2265.597466362847,4441.116996433424,1584.604263305664,2679.0130615234375
1970-05-01,1534.3602960759943,4073.61865234375,1739.678323679957,1566.1291787790697,1835.6034712357953,2261.564398871528,4437.87841796875,1577.0974159240723,2665.9081710012333
1970-06-01,1533.5828376538825,4051.83251953125,1740.063108246902,1566.4215324460997,1832.6234019886363,2259.3968370225693,4413.807744565217,1575.086498260498,2662.5568590666117
1970-07-01,1530.1364783084753,4053.249267578125,1741.1354328023976,1566.9398581334785,1822.1226917613635,2257.0751953125,4435.781993036685,1571.6276168823242,2654.1060598273025
1970-08-01,1528.383937026515,4070.129638671875,1739.4865364863956,1565.2813578760902,1830.0451660156248,2258.0350748697915,4440.313720703125,1571.767807006836,2661.778500205592
1970-09-01,1531.399443655303,4056.526611328125,1738.9748935041757,1565.2173419331396,1840.3027343749998,2255.243462456597,4420.560090438179,1575.8546829223633,2665.662906044408
1970-10-01,1533.1640070134943,4071.287841796875,1738.0682057347792,1564.2659505208333,1854.1319691051135,2257.1339246961807,4437.327243970788,1583.6240768432617,2678.2573499177633
1970-11-01,1535.8253247810133,4056.87060546875,1739.25649708715,1564.9924581365067,1861.5992320667613,2254.6580674913193,4418.002717391304,1589.252758026123,2675.8644505550988
1970-12-01,1537.573057232481,4054.077392578125,1738.359017207705,1562.7796734950339,1863.9577414772725,2258.648139105903,4415.898065981657,1589.387321472168,2675.202540347451
