,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1967-06-01,29.404358,14.820343,23.473602,28.873993,28.17685,29.528564,16.502106,21.494354,22.165436
1967-07-01,29.7229,19.030792,25.686737,28.644104,28.637115,29.687836,20.174164,24.384094,25.967194
1967-08-01,29.694336,21.819366,26.743988,28.192383,29.196014,29.502045,24.095612,27.928436,27.653992
1967-09-01,29.749939,21.11322,27.949463,28.130768,28.679688,29.462982,23.798126,26.062866,26.978882
1967-10-01,29.624237,18.68872,26.33731,28.019073,28.765808,28.506378,20.761139,22.324707,25.415314
1967-11-01,29.414398,14.800812,23.962921,27.760162,28.181854,28.943604,18.015625,19.477509,22.987305
1967-12-01,28.866486,13.294342,21.399689,27.153656,27.270844,29.160461,15.41983,16.754028,20.624908
1968-01-01,28.483673,11.248962,19.00296,26.660522,26.76886,28.88382,14.420898,14.562836,18.628052
1968-02-01,28.194336,10.2933655,17.512695,26.27475,26.167908,28.878876,12.869293,12.37619,17.257996
1968-03-01,28.304138,9.733978,17.831238,26.462189,26.260406,28.305115,12.601227,12.451355,16.916199
1968-04-01,28.845734,11.497253,18.93866,27.951477,26.25595,28.638,12.855438,14.532196,18.221985
1968-05-01,28.931793,13.240265,20.638641,29.6846,26.80893,29.047028,15.03125,16.568481,19.17212
1968-06-01,29.50058,16.211395,22.370789,30.24942,28.508392,29.068787,16.27716,19.521332,21.205963
1968-07-01,29.50357,18.911469,26.141205,29.911621,28.78241,29.128143,20.148987,22.75064,24.211212
1968-08-01,29.510986,22.313904,27.24765,28.658752,29.470917,28.906555,22.27481,25.526886,27.084412
1968-09-01,29.363586,20.870636,26.687744,28.427277,29.398712,28.898651,21.509155,24.361572,26.593262
1968-10-01,29.192932,18.930267,24.771118,28.780945,28.85315,29.44223,21.147095,22.055206,24.987762
1968-11-01,29.351715,17.712036,23.86847,28.386719,28.405518,29.254272,18.069641,19.445648,22.82138
1968-12-01,29.29483,15.301788,21.165405,27.975708,27.23526,29.805756,16.115448,17.256989,20.917114
1969-01-01,28.293915,13.208801,19.527405,27.893433,26.55362,30.07315,15.784332,14.995209,18.806488
1969-02-01,28.182129,11.663879,19.117737,27.38736,26.013184,29.899323,14.490173,13.660004,18.31424
1969-03-01,28.072906,10.696838,19.153625,27.824738,26.139832,28.46054,13.167267,13.149841,18.051208
1969-04-01,28.556946,11.934113,20.534454,28.962524,26.622345,28.80307,14.589111,14.049194,18.701385
1969-05-01,29.240967,13.565155,22.531097,30.265442,27.132019,29.040985,15.988922,16.844696,20.585724
1969-06-01,29.289154,15.649475,24.849762,29.8255,27.897552,29.327087,17.313873,19.445374,22.484436
1969-07-01,29.325043,18.795715,26.372131,28.882538,28.608215,29.495789,20.295013,22.758759,25.598389
1969-08-01,29.521423,21.129242,27.035095,28.482605,29.511688,29.284546,23.506866,26.054718,27.296082
1969-09-01,29.641418,20.707764,27.196106,28.674866,29.447083,29.59372,22.532135,24.828217,27.28122
1969-10-01,29.37735,17.38617,25.435822,29.092255,28.870758,29.328644,18.663422,21.041565,24.896942
1969-11-01,29.085083,15.682831,22.421906,28.75998,28.279541,29.092773,17.029297,18.993134,22.82901
1969-12-01,29.196869,13.19751,21.057983,27.91858,27.597076,29.151733,15.778687,16.301178,20.501648
1970-01-01,28.651703,10.730652,18.725983,26.809631,26.946533,28.874329,13.91214,14.314545,18.922272
1970-02-01,28.430084,10.148987,17.341583,26.68927,26.596283,28.38617,12.611938,13.762329,17.763092
1970-03-01,28.413574,9.269806,17.31009,27.533844,26.752289,27.999268,12.095917,11.970886,16.91748
1970-04-01,28.74469,10.208405,18.691864,28.621735,27.003357,28.597961,12.677032,13.37854,17.746582
1970-05-01,28.760681,13.26593,20.430115,30.07843,27.688812,29.041168,14.610535,15.983551,19.600006
1970-06-01,29.117645,14.686981,24.064117,29.66623,28.290619,29.459595,16.3219,19.174347,21.801056
1970-07-01,29.241608,17.475891,26.332336,28.959045,28.480713,29.341827,21.380066,22.498413,25.239288
1970-08-01,29.491638,22.63324,26.767792,28.653748,28.55304,29.315979,25.140106,26.527588,26.88919
1970-09-01,29.317535,22.17453,26.910889,28.65326,28.862457,28.728668,22.759796,25.333832,26.41394
1970-10-01,29.840302,19.73584,24.88443,28.626373,28.703339,29.021027,20.223999,22.622406,24.187042
1970-11-01,29.720459,16.352386,23.627625,28.335571,28.183167,28.382568,19.146973,19.295746,22.2417
1970-12-01,29.14035,12.367096,21.881653,28.335571,27.655762,28.009613,17.173706,16.837433,19.803528
