,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7
1965-01-01,3.1261202416822525e-05,-1.4800833157910107e-05,-3.176020120583033e-05,5.065217010269407e-05,6.070686708881112e-06,-5.414027218311848e-07,-2.605396646727947e-05
1965-02-01,2.906324678204126e-05,-1.1706859033055431e-05,-2.8632728955065096e-05,5.419210159137341e-05,3.963912174343853e-06,-1.3646692625318085e-05,-2.444723012841082e-05
1965-03-01,5.186115130426414e-05,-1.3594672054750845e-05,-2.6830632218901118e-05,5.0390504687432745e-05,4.0152127420024835e-06,-3.121988988318157e-06,-2.6310044631827623e-05
1965-04-01,3.054164052526984e-05,-1.0423836053967917e-05,-1.9196085974583278e-05,3.119408991854774e-05,1.9854093248677205e-06,-1.2276939708465727e-05,-1.308058174266801e-05
1965-05-01,-4.5384391948270306e-05,2.266089369952265e-06,-1.9146844016703606e-05,1.8512486121835536e-05,-8.243976322853047e-08,-2.872695943181127e-05,-4.353358068412448e-06
1965-06-01,1.8325242952717722e-06,-4.1613776751977353e-07,-1.735823293290052e-05,2.0287747778032404e-05,-5.431678527246652e-07,-3.330122934938926e-05,-1.1126470697532547e-06
1965-07-01,-1.3773539346099522e-05,1.2685228212879002e-06,-8.255156707922365e-06,1.3562258042535785e-05,-5.167543023439382e-06,-3.107113486664646e-05,5.593309306904899e-06
1965-08-01,-1.979517997420367e-05,-2.5789410373315483e-06,-5.329956677183202e-06,-9.1372963121709e-06,-2.25614383986755e-06,-1.6269349442963074e-05,-8.335178534608353e-07
1965-09-01,-4.2259817847581064e-05,-2.058630636718973e-06,-7.515795555503389e-06,5.97438116756166e-06,-3.392534979510579e-06,-3.4788576562681956e-05,9.118924486526454e-07
1965-10-01,-5.0709827014038135e-05,-4.914694616188267e-08,-1.3568768209600085e-05,4.011310276534156e-06,1.1302128218822507e-06,-1.9670347615761716e-05,-7.6106391196813564e-06
1965-11-01,-3.103089056821773e-05,1.3866972973406326e-06,-2.4386214423238446e-05,1.0948339005760015e-05,3.0117657546646153e-06,-2.8911718227728097e-05,-1.0376498230261964e-05
1965-12-01,1.1201047477192737e-05,-4.835929925512142e-06,-3.679699483128436e-05,3.765740075323265e-05,6.335695794088837e-06,-2.4369715161069674e-05,-2.0114113021395757e-05
1966-01-01,5.3214757321661134e-05,-1.5023333856477525e-05,-3.7706654678147876e-05,5.109983476359048e-05,7.750982742594635e-06,-1.3807720346516428e-05,-2.9617855954251584e-05
1966-02-01,-1.7899256161197427e-05,-1.3848610155707175e-05,-2.217716188935906e-05,1.866902342347506e-05,3.9376525537788796e-06,-1.1918045520023614e-05,-2.042834030466968e-05
1966-03-01,2.0666507478179283e-05,-8.77350765605163e-06,-2.3352145274800835e-05,3.6374634267607085e-05,1.6794367404006902e-06,-2.46041357362022e-05,-1.2963510957418074e-05
1966-04-01,1.6501201116625452e-05,-4.356739605339642e-06,-2.2075968636751274e-05,1.723847731227579e-05,1.396668937025464e-06,-2.155082054539687e-05,-1.1247114647024622e-05
1966-05-01,-1.083932122330427e-05,-1.359435941594711e-06,-1.3572470810399145e-05,1.5057078902221596e-05,-8.586465335848397e-07,-1.8260059867450896e-05,-4.4877871350136365e-06
1966-06-01,1.7091064958347286e-06,-4.046485233438464e-06,-1.665731049701878e-05,2.2113469337152008e-05,-1.0259362673413426e-06,-2.738082979771274e-05,-5.009982926602443e-06
1966-07-01,-3.8694159027525326e-05,-4.901737252351411e-06,-5.47038086408161e-06,-5.45625411518813e-07,-3.3236407249581172e-06,-2.5668734653865813e-05,9.386338796889766e-07
1966-08-01,-3.251197489993906e-05,-8.878937837595769e-06,2.948193792020136e-06,-1.962572468983126e-05,-3.3075262335743267e-06,-5.0011749408440664e-06,-1.4223378561785037e-06
1966-09-01,-6.308801453592928e-05,-5.820359212138053e-06,-1.0241997846318747e-06,-1.1643791708593199e-05,-4.44631347778815e-06,-1.9502699109984354e-05,7.920146439071937e-07
1966-10-01,-1.8000871983127177e-05,7.24719185248097e-07,-1.8145544201711584e-05,2.186784323991257e-05,-9.131927986740977e-07,-2.4738815059040292e-05,-7.0158363797972195e-06
1966-11-01,3.9402408447131165e-06,3.2805799246728527e-07,-2.8249858013096902e-05,2.0283666420558198e-05,2.3167429404842865e-06,-2.932683518910953e-05,-1.2871240106432687e-05
1966-12-01,2.121060636757951e-05,-7.000097100803702e-06,-3.843320691406629e-05,2.8880411188462556e-05,5.6355148721511634e-06,-2.695094533717363e-05,-2.3444268642389483e-05
1967-01-01,3.038563944654824e-05,-7.613800789840752e-06,-3.864833831214224e-05,4.883517779793086e-05,8.363276571759817e-06,-2.5417048837644633e-05,-2.3429854719460697e-05
1967-02-01,2.608185746390114e-05,-1.3855887310024914e-05,-2.8379212093760114e-05,3.473048006223205e-05,5.04518892364064e-06,-8.207889887098981e-06,-2.257019405496767e-05
1967-03-01,3.7338711283357247e-06,-8.156766135040303e-06,-2.162797787413614e-05,3.0487044947828206e-05,4.9140516506193546e-06,-1.4186492046940623e-05,-1.7281047479335177e-05
1967-04-01,9.139488257561526e-06,1.0353630467594293e-07,-1.8858821405094778e-05,2.1969795701200688e-05,2.1244463502388617e-06,-2.0191722190550838e-05,-9.11926920592635e-06
1967-05-01,2.9347164501005964e-06,-4.776691902837851e-06,-1.0144707343179585e-05,1.2257781160466646e-05,-8.508114869636815e-07,-1.4815629954143703e-05,-5.5922926590917095e-06
1967-06-01,3.6094892013554477e-06,6.683285503964055e-08,-1.7111047830104853e-05,1.8582846905701444e-05,-1.727894797291494e-06,-2.0508731621602135e-05,-4.604808786641753e-06
1967-07-01,-3.0548615844357606e-05,-4.756382048454773e-06,4.655503304500024e-07,-1.4778078612683507e-06,-4.209590048523514e-06,-1.4785793475177207e-05,1.2454304213725277e-06
1967-08-01,-3.059727633727663e-05,-4.1722171916166856e-06,1.4390405124829971e-06,-1.3263031443481548e-05,-5.396853329448672e-06,-1.0714449706062656e-05,3.072816381931282e-07
