,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1965-01-01,-7.63266,1.3955383,-11.565491,-5.2087097,-0.766449,-20.942474,-15.975311
1965-02-01,-9.083862,1.3379517,-14.186249,-5.8545837,-1.3893738,-22.829773,-16.73346
1965-03-01,-9.889709,0.6383972,-15.354828,-6.1694336,-1.1643677,-23.459991,-16.985443
1965-04-01,-9.895782,0.9940796,-15.35144,-4.8173523,-1.2228394,-20.51471,-17.484497
1965-05-01,-7.322296,0.9619446,-12.985535,-3.0457153,-0.5753479,-15.976807,-16.14746
1965-06-01,-4.114441,1.7234192,-9.257233,-0.81082153,0.5912781,-9.583557,-14.121643
1965-07-01,-0.582428,2.1324158,-6.2591248,2.1838074,1.7502136,-5.446808,-11.2282715
1965-08-01,1.3491516,2.6978455,-3.574585,2.3061829,2.848053,-2.635559,-8.043304
1965-09-01,0.82650757,2.268982,-3.3777466,0.6274109,2.2854614,-5.100189,-7.7456665
1965-10-01,-2.5182495,2.1984253,-5.8707886,-1.007904,1.5627441,-9.183411,-7.696991
1965-11-01,-3.8545532,1.8580627,-9.1475525,-1.686554,0.6630554,-13.112305,-11.996124
1965-12-01,-5.998474,1.0323792,-10.112915,-3.1090088,-0.42956543,-17.515533,-14.41748
1966-01-01,-7.671112,0.6260376,-12.599579,-4.245941,-0.9307251,-22.243164,-15.836121
1966-02-01,-8.606262,0.29907227,-14.872101,-4.5976257,-1.373169,-23.402222,-16.826233
1966-03-01,-8.251312,0.40689087,-14.160126,-4.592682,-1.4746399,-23.056885,-16.248413
1966-04-01,-8.29657,0.30114746,-14.889191,-4.192627,-1.111908,-20.882202,-17.068756
1966-05-01,-7.0752563,0.8834839,-12.517578,-2.9561768,-0.54818726,-15.694641,-14.826233
1966-06-01,-4.8075867,1.9862366,-9.738068,-1.101532,1.6993103,-10.503571,-12.494019
1966-07-01,-1.0154114,2.340149,-5.240906,1.6416931,2.201477,-6.185425,-9.91217
1966-08-01,1.3403931,2.8477173,-1.243103,2.8986511,2.824524,-1.3384094,-5.818054
1966-09-01,0.92752075,2.778778,-1.3423157,1.2739563,2.9381104,-4.337311,-4.9682007
1966-10-01,-0.93899536,2.723175,-3.9995422,-0.66567993,2.3000793,-8.603241,-7.357147
1966-11-01,-3.369995,1.99823,-7.237915,-2.5742188,1.3320618,-12.799774,-10.238953
1966-12-01,-5.686981,2.0004883,-10.031464,-3.7973938,0.15777588,-18.381042,-13.379456
1967-01-01,-7.225006,1.6481018,-12.1050415,-5.104004,-0.20645142,-22.059937,-15.389465
1967-02-01,-8.136383,0.7903137,-12.508575,-5.64328,-0.54037476,-22.382355,-15.925201
1967-03-01,-8.949463,0.5701904,-14.391937,-5.649536,-1.4866943,-21.932861,-15.863373
1967-04-01,-8.756683,0.43997192,-13.598145,-3.7965088,-1.5458069,-19.846436,-16.004608
1967-05-01,-7.0431213,1.0732422,-10.516357,-1.946228,-1.0026855,-14.005585,-12.980408
1967-06-01,-4.7776794,1.9769592,-8.111664,-0.668396,1.23172,-8.84787,-11.629456
1967-07-01,-0.37304688,2.5107117,-4.412201,1.9753418,2.0634766,-4.283478,-7.6795654
1967-08-01,2.126831,3.062378,-1.8757629,2.904602,2.4473572,-0.7253723,-3.662201
1967-09-01,0.6246338,2.6089172,-2.27063,1.7489929,2.18219,-3.3574219,-5.1233215
1967-10-01,-1.4637756,2.8593445,-5.0617065,-0.7706299,2.1581726,-8.542938,-7.7967224
1967-11-01,-3.550293,2.0584412,-7.9009705,-1.9426575,1.1849976,-13.270813,-12.374329
1967-12-01,-6.299835,1.6858215,-8.726349,-3.9900513,-0.017486572,-17.606476,-13.546783
1968-01-01,-8.187073,1.5265808,-11.315979,-5.4296265,-0.3494873,-20.793732,-15.311462
1968-02-01,-9.288452,1.1443481,-13.27652,-6.7239075,-1.6487122,-22.698364,-15.135742
1968-03-01,-9.691986,0.9381714,-13.943665,-6.649658,-1.3128052,-22.825897,-15.046173
1968-04-01,-8.880676,0.7687073,-12.998779,-5.2996826,-1.5010681,-20.27353,-15.207733
1968-05-01,-7.646637,1.462616,-11.336945,-3.347992,-0.8798828,-15.181061,-13.81839
1968-06-01,-4.6469727,2.2953796,-9.507019,-1.9701538,1.425354,-9.673218,-12.365875
1968-07-01,-1.4759216,2.592743,-6.74057,1.102478,2.088745,-5.0296936,-9.555878
1968-08-01,1.3152771,2.6853638,-2.699463,2.3475342,2.7694397,-2.5169678,-6.2562256
1968-09-01,0.083984375,2.5654297,-4.099457,1.1854553,2.8710938,-4.3279724,-7.2570496
1968-10-01,-2.3040466,2.2518005,-5.791046,-0.6733093,1.6142578,-8.826477,-9.419037
1968-11-01,-4.1044006,1.7607117,-6.892517,-3.2022095,1.0751648,-13.376862,-10.47348
1968-12-01,-6.3433533,1.4398193,-9.437164,-3.998413,-0.40408325,-17.74762,-12.911804
1969-01-01,-8.164368,0.99487305,-11.277283,-5.201172,-1.1699524,-20.66623,-14.245087
1969-02-01,-8.794708,0.23944092,-12.820831,-5.570038,-2.0863953,-22.587677,-16.057312
1969-03-01,-9.597687,0.12966919,-14.097595,-5.9305115,-1.9705505,-23.650635,-16.585968
1969-04-01,-9.416138,0.19229126,-13.836029,-4.956238,-1.6720581,-21.89389,-16.103424
