,mgu50_cluster1,mgu50_cluster2,mgu50_cluster3,mgu50_cluster4,mgu50_cluster5,mgu50_cluster6,mgu50_cluster7
1965-01-01,0.7129745427952257,-1.1501469997444538,-0.42989879018730587,0.8483138951388272,-1.5855512835762717,0.19732948120047408,1.4294404809067889
1965-02-01,0.6235083868337232,-1.0390795842565672,-0.28053979492849773,0.48810668063886237,-1.4883447777141223,-0.2040973887210939,0.8420706279878694
1965-03-01,0.3982845433922701,-0.9199916714369649,-0.28427328086561626,0.8493912039381084,-1.3215002688494595,-0.47356933355331426,0.41819644895026353
1965-04-01,0.51173047963963,-1.1528779761959809,-0.4737948377927145,-1.0334896318840257,-1.4871536782293608,-0.15749273503698955,0.826620546782889
1965-05-01,0.46493275914081306,-1.1680065983473653,-0.4195294032494227,-1.9151102412830698,-1.3485449733156145,0.5536835368086652,1.2615938981374104
1965-06-01,0.6366087946780893,-0.8832068154306123,-0.3088447368807263,-3.2261537783073657,-1.0461881305232192,0.7008249439844272,1.321766046973748
1965-07-01,0.5187851745028829,-1.0160143929298477,-0.3313180266155137,-3.3883170648054644,-0.9145808039289531,0.8347959780111546,1.3822445055333579
1965-08-01,0.6578753853953162,-0.8482250902387831,-0.04789053669406308,-2.5447914094635933,-0.8029867302287709,0.9959771138865774,1.4750241264095152
1965-09-01,0.9241304425306098,-0.5502921764296714,0.41618578963809544,-1.1214994119875359,-0.3432984604980006,0.9662261823328531,1.5832645137135575
1965-10-01,0.8413890073465746,-0.11696059143904483,0.8029414547814263,-0.24984381867177557,0.25504001162268897,1.2883517800307855,1.4630703422112195
1965-11-01,1.0173750478167867,0.23855747598590274,1.5686356359057956,0.28446702794595197,1.1638640454321196,1.0161932648682013,2.0361757859951113
1965-12-01,1.4414791450944058,0.5197629784092759,1.772854228814443,0.8746179667386141,1.6875304959037087,1.2985732497238531,3.0767645293134986
1966-01-01,1.6247358433035917,0.7584192536093972,1.521768503718906,1.5240842645818535,2.0075006918473677,0.38539443801089035,2.4431485470717518
1966-02-01,1.4572369497875834,0.7028637510357482,1.4839000172085233,1.3888433124079849,1.7681407205986253,0.23847098757581014,2.0429172166963903
1966-03-01,1.1512990607771763,0.5653534874771581,1.7186860243479412,0.7734650915319269,1.783912470846465,0.5063074391062667,1.5859733267528255
1966-04-01,1.3467246709867966,0.15696887717102515,1.5414636996057298,-0.8164757128917809,1.5797219493172385,0.4243987726002205,1.9571424499759829
1966-05-01,0.8607095757196116,-0.7781444173870665,1.170523464679718,-2.2671974066532017,0.45749423178759485,0.6425569697124203,1.3326616791205679
1966-06-01,1.0613584934278977,-1.7695097008136789,0.35445748103989494,-3.424351865595037,-1.3007876547900112,0.5209480843892912,1.5516312141728594
1966-07-01,0.624404882275781,-1.6790108247236772,-0.5988107373317083,-5.032467480861779,-2.2007589990442447,1.0442988174717602,1.5759733634266426
1966-08-01,0.3879489247189012,-1.5555205971303612,-1.0116165710820093,-3.452623251712683,-2.184555927912394,1.0154109175612287,1.5969020564381669
1966-09-01,0.30629652184109357,-1.25524215023927,-0.9271058771345351,-2.7459189747319077,-2.0164594505772446,1.4686341692761677,1.5636645681489774
1966-10-01,0.4144547983657482,-0.9123160381509801,-0.7991409136189355,-1.9004783847115256,-1.7771831064513235,0.8629955169631214,1.3924952929582053
1966-11-01,0.4240162150804387,-0.880248137194701,-0.8077603247430589,-0.9184410174687703,-1.5584033547025737,0.7712106879164533,1.842071079626316
1966-12-01,0.7177246171374654,-0.6564416668631814,-0.24297531280252668,-0.3469471001263821,-1.0335503202496152,0.41388349562156496,1.0495649605262571
1967-01-01,0.4668595832447673,-0.7243443017054085,-0.4397302038139767,0.7810670318025531,-1.2089919863325176,0.3664819205679545,1.0520799857814138
1967-02-01,0.4799783922905146,-0.5753623716758959,-0.5171420673529308,2.312945597099535,-1.3030529925317476,0.4965130148864374,1.1259734630584717
1967-03-01,0.4510728772296462,-0.7067819436391195,-0.6552367574638791,0.6669115388032162,-1.4595075087113814,0.4796019778019045,1.0083098721698047
1967-04-01,0.45926543169243395,-1.131983959313595,-0.8470189240243701,-0.03466348474224408,-1.9734705939437402,0.8486164779197879,1.5222785918693233
1967-05-01,0.3705940274305122,-1.8654948533183398,-0.6663453661733204,-2.3745361602667607,-1.7428632938500606,0.23947458078221578,0.9167352827583871
1967-06-01,0.4696700462075167,-1.8762851002240422,-0.5841263466411167,-5.3678866588708125,-1.8663624922434487,0.43805579586726867,1.064106264734656
1967-07-01,0.29214447320893755,-2.29144963351163,-0.7154829800128937,-6.441195805867513,-2.1784988316622647,0.7520827578335274,1.023683315370141
1967-08-01,0.4080676755239797,-2.437771209562668,-0.7027534974945916,-5.794942740238074,-2.203381242174091,1.0854888979981585,1.4114297017818545
1967-09-01,0.6521807160488395,-2.393440285114327,-0.5078424596124226,-5.346177202282529,-1.9943701498436204,1.2300254368200536,1.6940188117143584
1967-10-01,0.6781361130780952,-2.0777538569286618,-0.2400195019112693,-3.860657504110625,-1.7104231950008506,1.6280142272390972,1.9797339671995582
1967-11-01,0.8682742368343265,-1.5075589671279446,-0.20383383250898784,-0.9157925844192505,-1.5059687874533914,1.8249056688169154,2.3875771499261624
1967-12-01,0.6820247616878776,-0.9523349578934487,-0.10420053990350829,1.0448210167162346,-1.294007355516607,0.4703765598739066,1.0699893158625782
1968-01-01,0.9595520274583683,-0.6218746455028804,0.1091891485783789,3.003379070397579,-1.2429351156408135,-0.1317856878769107,1.1232751656353959
1968-02-01,1.0775119759315668,-0.48059896387235085,0.18094455202420553,2.9753500765020195,-1.0649835521524602,0.17846250315991843,1.2990999512556123
1968-03-01,0.5906694157179012,-0.8728141736502599,0.04707116944094499,2.045975851290154,-1.1881214199644146,1.0894056500458136,1.4006887994161465
