,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1969-10-01,0.1644363,-0.36521214,-0.253771,0.14974907,-0.38671297,-0.15489718
1969-11-01,-0.2736063,-0.25149974,0.107050136,-0.24059784,-0.15595707,0.3576414
1969-12-01,0.111138344,0.17942628,-0.33311233,-0.81445944,-0.057840444,0.22454795
1970-01-01,0.2875983,0.019382764,-0.12507114,-0.23534346,0.26206017,-0.05500517
1970-02-01,0.16344383,0.65469205,0.45064926,-0.39957303,0.039551355,0.024752308
1970-03-01,-0.034181736,0.51940566,-0.2974206,-0.31562474,0.08984172,0.034181785
1970-04-01,0.11171281,0.47343713,-0.019775629,-0.70603025,0.080543235,0.022394966
1970-05-01,-0.48614067,0.22080636,-0.16305096,0.26075053,-0.1806002,0.09363969
1970-06-01,-0.32138717,0.1830885,0.23285513,0.045313764,-0.033134054,0.16475348
1970-07-01,-0.24333224,-0.166718,-0.22800942,-0.21975863,-0.05945792,0.20626931
1970-08-01,-0.42183703,-0.2878602,0.5266088,-0.20744796,0.051731013,0.4200035
1970-09-01,0.031169558,-0.43427867,0.35164005,-0.074518874,-0.25852418,0.25459522
1970-10-01,0.2580003,0.22133021,0.4088715,0.020430481,-0.29296786,0.32033944
1970-11-01,-0.31405315,0.18007636,0.34718722,-0.35989076,-0.021216298,0.13594127
1970-12-01,0.06456556,0.17300424,-0.27738303,-0.7556658,0.075042725,0.24883279
1971-01-01,0.05844698,0.018426705,-0.10336199,-0.272081,0.124092005,0.023897076
1971-02-01,0.14928465,0.29525834,1.3665955,-0.29914522,0.14554176,0.34406012
1971-03-01,0.04678645,0.20067778,0.27553606,-0.5840386,0.015259576,-0.048225977
1971-04-01,0.0840716,0.5365323,0.33887768,-0.16655965,-0.0768737,0.071259335
1971-05-01,0.05945475,0.41330415,-0.04765018,0.35485703,-0.16583988,0.08911016
1971-06-01,0.025624562,0.3728518,0.03210268,-0.060750343,0.05038538,0.28417355
1971-07-01,-0.006910014,-0.14467812,-0.13834381,-0.15662661,-0.20816359,0.2581172
1971-08-01,-0.18167529,-0.15633865,-0.26286784,0.1806676,-0.25120717,0.27999878
