,zgu600_cluster1,zgu600_cluster2,zgu600_cluster3,zgu600_cluster4,zgu600_cluster5,zgu600_cluster6
1965-01-01,0.32295036,0.06615448,0.19944039,0.79743636,0.1603344,0.10949669
1965-02-01,0.42723274,0.012709046,0.23235473,0.39334106,0.2564701,-0.233984
1965-03-01,0.4168045,-0.064524844,0.229422,0.9222496,-0.12188015,0.010102463
1965-04-01,0.43146935,0.06908722,0.15218735,0.5510685,0.318388,-0.2163868
1965-05-01,0.3402218,-0.048230745,0.051815413,0.675556,0.44483033,-0.14045563
1965-06-01,0.27439347,0.007820892,-0.15186158,0.6830513,-0.19031563,-0.16424485
1965-07-01,0.23463592,-0.28775483,-0.23398438,0.19422646,0.25777358,0.17141494
1965-08-01,0.18640518,-0.061592102,-0.21280174,-0.112104036,0.16717835,0.044971846
1965-09-01,0.2750454,-0.11731796,-0.1440403,0.5680143,0.17174073,-0.0671318
1965-10-01,0.31447753,-0.19357452,-0.01401329,0.26689833,0.048882294,-0.22811814
1965-11-01,0.13589326,-0.041387178,0.013360977,0.54618037,0.30209368,-0.120902635
1965-12-01,0.25190774,0.22257805,0.024767304,0.5377073,-0.003584671,-0.11503677
1966-01-01,0.23731002,-0.09354553,-0.04037247,0.42998123,-0.41192856,-0.033151247
1966-02-01,0.28588828,-0.022647858,0.08698082,0.29868928,-0.65252113,0.17757264
1966-03-01,0.42243195,0.038074873,0.20776978,0.50153506,0.08632431,-0.094530106
1966-04-01,0.44081306,-0.023960877,0.20645675,0.5537241,-0.2993458,-0.22647858
1966-05-01,0.3987995,-0.05547104,0.05612717,0.58096695,0.30197144,-0.18380813
1966-06-01,0.21925735,-0.050218962,-0.10733108,0.5241833,0.20284614,-0.3039406
1966-07-01,0.23337173,-0.0029541017,-0.24289016,-0.07647743,-0.0059082033,-0.0131286625
1966-08-01,0.15197067,0.039715577,-0.23927955,0.06334839,-0.14081077,0.072538756
1966-09-01,0.27046165,-0.19529724,-0.13851318,0.19989204,-0.12341423,-0.16575623
1966-10-01,0.36860237,-0.12833825,-0.041685104,0.6968319,0.033807755,0.024617385
1966-11-01,0.29573518,0.11323929,0.011487961,0.66794777,0.24748535,-0.31378785
1966-12-01,0.30033034,-0.0059082033,0.060394287,0.15000114,0.15098572,0.02986908
1967-01-01,0.3853218,0.13845482,0.11984177,0.36344355,-0.008816528,-0.21062088
1967-02-01,0.31217614,0.24654122,0.22760125,0.748439,-0.21225357,0.03624649
1967-03-01,0.41209832,0.066288374,0.12473984,0.84509623,0.25339812,0.12898484
1967-04-01,0.48328513,-0.11918869,0.06400261,1.0384102,0.19396706,-0.13845482
1967-05-01,0.38238335,-0.109392546,0.0241642,0.6504757,0.46663132,-0.34646377
1967-06-01,0.29062423,-0.2246624,-0.20474319,0.5472881,0.3689949,-0.025470734
1967-07-01,0.20213088,-0.14139405,-0.2272747,0.06726799,-0.02579689,0.046043016
1967-08-01,0.19462013,-0.075431824,-0.27788925,-0.048654936,-0.077064514,0.032654572
1967-09-01,0.28539962,-0.07053337,-0.14041404,0.32033998,0.30042076,-0.0734726
1967-10-01,0.41928253,-0.14302635,-0.009143067,0.34842262,0.2850731,-0.13780136
1967-11-01,0.35364723,-0.2471939,0.02775612,0.4725092,0.5884323,-0.20866165
1967-12-01,0.2547043,-0.0019592284,0.13029099,0.66386414,0.13845444,0.14531212
1968-01-01,0.28663635,0.14660034,0.16446953,0.28882408,0.24433403,-0.20494843
1968-02-01,0.34279633,-0.07001801,0.2910122,0.13493042,0.13091889,-0.105391696
1968-03-01,0.39530984,0.2275589,0.15608177,0.5083599,0.14222412,0.0725708
1968-04-01,0.2932003,-0.17650414,0.06855927,0.65313643,-0.37926406,-0.050689697
1968-05-01,0.37999344,-0.030268097,-0.014222336,0.5685318,0.23229942,-0.25162736
1968-06-01,0.2625679,0.08898087,-0.15972862,0.30122337,0.2359459,-0.17468032
1968-07-01,0.2560032,0.014221954,-0.22755852,0.029174041,0.05652504,0.22245331
1968-08-01,0.1754097,-0.033914946,-0.17686844,0.1130497,0.46970406,0.113414764
1968-09-01,0.24360427,-0.07220612,-0.10721512,0.21552429,0.10830879,-0.07001801
1968-10-01,0.41427344,-0.09518051,-0.12034378,0.5200294,-0.370512,-0.15097657
1968-11-01,0.31726915,-0.082417294,-0.05871315,0.5149242,0.1754097,-0.050325774
1968-12-01,0.37598228,0.12180176,0.006929016,0.73555374,0.3406082,-0.347538
1969-01-01,0.37949675,0.22192535,0.14496498,0.5015726,-0.074970625,-0.26140136
1969-02-01,0.4007271,0.16287842,0.25509873,0.4402027,0.2554306,-0.15823403
1969-03-01,0.42593843,-0.10515747,0.15491676,0.5045578,-0.05871582,-0.02222557
1969-04-01,0.4587795,0.12506142,0.11179237,0.5519951,0.14363822,-0.18576737
1969-05-01,0.40371245,-0.05573044,0.051749803,0.36556396,0.039143752,-0.14960937
1969-06-01,0.305521,0.043788146,-0.11510925,0.5835091,-0.17415695,-0.11743088
1969-07-01,0.18842125,-0.06369171,-0.22424774,0.18576737,0.27997857,0.18079224
1969-08-01,0.13567658,-0.026538849,-0.20666619,0.09288406,0.13269082,0.18510398
1969-09-01,0.3463238,-0.107811354,-0.14098434,0.11079712,0.59147036,-0.0971962
1969-10-01,0.3151413,0.03848038,0.068667606,0.77756995,0.11411438,-0.20732994
1969-11-01,0.24249306,0.07629738,0.02919197,0.7208446,0.16320992,-0.07298012
1969-12-01,0.2604061,-0.09321594,0.07662926,0.39873657,0.719849,-0.28993034
1970-01-01,0.32447395,0.027288819,0.13677827,0.3297987,-0.37173063,0.11181869
1970-02-01,0.30483896,-0.06722412,0.20566674,0.46424752,0.5377949,-0.3534271
1970-03-01,0.32647094,0.052581023,0.2798794,0.5211552,0.24460335,-0.2988491
1970-04-01,0.21032563,0.007321167,0.15774421,0.7328121,-0.06789017,0.05224838
1970-05-01,0.4738987,-0.051582336,-0.018636703,0.43130073,0.45093575,-0.09850693
1970-06-01,0.30217665,0.032946777,-0.11947326,0.32281035,0.072216414,-0.20666504
1970-07-01,0.22530136,-0.06389694,-0.23495254,-0.15275231,-0.1973465,0.17638092
1970-08-01,0.14077187,-0.07687531,-0.20000915,-0.12280083,0.21864586,0.28686827
1970-09-01,0.24892998,0.04392929,-0.16606446,0.48488083,0.13977356,0.10216828
1970-10-01,0.2639057,-0.100170895,-0.021631623,0.22030945,0.3181507,-0.16739503
1970-11-01,0.2818764,0.19767952,-0.020633316,0.60668314,0.30384064,-0.07454567
1970-12-01,0.27455482,0.24526902,0.05790634,0.71084785,0.4206516,-0.086193845
1971-01-01,0.31714973,0.021883393,0.15220566,0.64083177,-0.30016536,0.09210739
1971-02-01,0.3713688,0.037561037,0.22700195,0.55754316,0.58432615,-0.109091565
