,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6
1965-01-01,-0.13589326,-0.06191788,0.88183993,0.067783736,-0.17467347,-0.49306145
1965-02-01,-0.7260677,-0.049534224,-0.12937565,0.057029724,1.0512993,-0.30470085
1965-03-01,-0.57355464,0.034217834,0.5647556,0.08570709,0.11275558,-0.7381256
1965-04-01,0.3174103,-0.014990616,0.56149673,0.111126326,0.13654518,0.058984756
1965-05-01,-0.12285805,0.040409468,0.84794825,0.12709427,0.8955269,0.01238327
1965-06-01,-0.061917685,-0.16261558,1.3563259,0.13035354,0.7713655,0.31773645
1965-07-01,0.14860287,-0.1398037,1.4211769,0.02867775,1.2585609,0.33924446
1965-08-01,-0.016294098,-0.018249512,0.64752996,0.020856475,1.0754147,0.21508293
1965-09-01,-0.08375206,0.1472992,-0.053444672,0.063547134,0.43244705,0.16228981
1965-10-01,-0.9157318,0.15837899,1.2034867,0.057029344,1.4830945,0.051163483
1965-11-01,-0.118621446,0.08896637,0.812101,0.057681274,0.7951549,-0.05963669
1965-12-01,-0.00032577515,0.10134964,0.91638356,0.03975754,0.41517526,-0.35781974
1966-01-01,-0.78250045,-0.026914597,0.6239651,0.10010986,0.75230277,-0.27604103
1966-02-01,-0.9646679,0.05350151,0.58228,0.06072273,1.2620442,-0.085011676
1966-03-01,-0.70306855,-0.0728672,0.53403014,0.110285185,-0.17035142,-0.43884316
1966-04-01,0.060066223,0.044311143,0.7135719,0.12932244,0.27571297,-0.13654366
1966-05-01,0.88162535,0.1168499,1.5321773,0.13654366,0.15755005,0.24354668
1966-06-01,-0.11323929,-0.1838089,1.1074474,0.038402937,0.7962858,0.21597557
1966-07-01,0.0039390563,-0.10437699,0.091576,0.07385178,1.0290009,0.3564579
1966-08-01,0.2589737,0.016411591,1.4865535,0.01706772,1.5968384,0.24551621
1966-09-01,0.34168738,0.17822877,0.8688248,0.028227616,0.9338142,0.3535034
1966-10-01,-0.14704704,0.23698235,0.5701355,0.061379243,0.9994602,0.0045951842
1966-11-01,-0.010831451,0.12866631,-0.6646656,0.061050795,-0.014442062,-0.15328331
1966-12-01,-0.39781493,0.00787735,0.10962868,0.046280287,0.61083585,-0.7060226
1967-01-01,-0.19984512,0.18384437,0.8313812,0.060736846,0.5721054,-0.81701314
1967-02-01,-0.9590599,0.18188515,1.2173564,0.071186446,0.86501503,-0.2452343
1967-03-01,-0.972448,-0.2860527,0.46630517,0.07445183,-0.13584252,-0.44442636
1967-04-01,-0.68704873,-0.0032653809,0.019592285,0.0855545,0.24229583,-0.33699378
1967-05-01,-0.50287783,-0.16229248,0.9695091,0.12735215,0.39446527,0.13943405
1967-06-01,-0.97179526,-0.18417092,0.9623253,0.093718335,0.0071838377,0.08000336
1967-07-01,-0.619454,-0.13747482,1.0779221,0.037226103,0.2772358,0.14988366
1967-08-01,-0.7951347,-0.15086326,0.58451384,0.038858794,1.1383327,0.33568725
1967-09-01,-0.48622417,0.18841591,0.738969,0.054532625,1.5210426,0.13159713
1967-10-01,-0.38760796,0.20506974,-0.020898819,0.08065643,0.7056616,0.3585453
1967-11-01,-0.43299714,0.25862312,0.6214134,0.04996147,0.8000332,-0.23837738
1967-12-01,-0.3327484,0.10057564,-0.26907235,0.07608452,0.15837403,-0.48589745
1968-01-01,-0.023703765,-0.12253151,0.40916786,0.05360756,-1.0670452,-0.74831736
1968-02-01,-0.07366447,0.09262772,-0.31216392,0.07585259,-1.0561047,-0.46569252
1968-03-01,-0.91278684,-0.118155286,0.35264283,0.09153404,1.0265659,-0.1305542
1968-04-01,-0.27095526,0.17540932,0.22938195,0.114508435,1.0156257,-0.22938232
1968-05-01,-0.4908554,-0.12982483,0.73336565,0.097733304,0.18707962,-0.45292893
1968-06-01,-0.39603958,-0.160458,0.7359184,0.09299278,-0.3562893,-0.08752251
1968-07-01,-0.66808856,-0.18489113,0.9463371,0.006928635,1.8263031,0.18124428
1968-08-01,0.41573182,-0.08059387,0.5087246,0.03683243,0.873037,0.5353462
1968-09-01,-0.3781704,0.14732972,-0.048866652,0.054336928,0.61666906,0.37452355
1968-10-01,-0.08205261,0.17869148,0.92883265,0.102838896,1.0010388,0.095910266
1968-11-01,-0.2808014,0.006199646,1.1082538,0.108673856,0.67757,-0.6068226
1968-12-01,0.038291167,-0.15826988,0.77749175,0.04923134,0.54227483,-0.9667591
1969-01-01,-0.639571,-0.20268592,0.6399029,0.09321556,0.8747662,-0.26604575
1969-02-01,-0.23619004,-0.26140136,-1.0157505,0.107811734,1.5491686,-0.16022453
1969-03-01,-0.026538085,-0.03649025,0.0039806366,0.10946999,0.73577213,-0.31049728
1969-04-01,-0.1728302,-0.009619904,1.1972053,0.10316734,1.4304101,-0.07662926
1969-05-01,-0.40105897,-0.12307091,0.908934,0.057720564,0.84524214,-0.12937394
1969-06-01,0.056061935,-0.033504486,0.7483776,0.09155693,0.68833506,0.1542534
1969-07-01,0.608057,-0.10714798,1.588644,0.051417924,1.0330002,0.412006
1969-08-01,0.066013716,-0.08260002,0.871117,0.025211334,0.26936302,0.04511528
1969-09-01,-0.023884583,0.22889213,0.6700901,0.02587471,1.3378578,0.17681083
1969-10-01,0.25974312,0.05042267,0.7271473,0.06767235,0.8031128,0.037153624
1969-11-01,-0.5493412,0.20766144,-0.6166817,0.046110153,0.09288406,-0.19970016
1969-12-01,-0.25045472,0.19406052,0.051086046,0.042129137,0.79316103,-0.81074256
1970-01-01,-0.094846345,0.09318237,0.21531753,0.04692421,-0.13378315,-0.61966246
1970-02-01,-0.4712364,-0.025957871,0.5318047,0.092516705,0.39835435,-0.34211197
1970-03-01,-0.34311026,-0.14443246,-0.10549545,0.080868915,0.5394589,-0.2575825
1970-04-01,-0.84329987,0.12546349,0.78439504,0.12679482,1.1857449,-0.49253502
1970-05-01,-0.14776039,-0.04892044,0.7128445,0.07254906,0.94513476,-0.34078103
