,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6
1965-01-01,-9.840986445327626e-06,-2.5949516766420246e-05,1.0427784448588278e-05,0.0015573665829530607,-1.1644018464405395e-06,-0.0036804524521964295
1965-02-01,-1.2536432962914954e-05,-2.9137846947121538e-05,1.024979825421651e-05,0.002148196896693359,-7.361654422930915e-06,-0.0025539595905380947
1965-03-01,-1.1427896501796352e-05,-2.6310999948399867e-05,1.035887199665964e-05,0.0019312510024368144,-6.588999233504117e-08,-0.0023230611986946315
1965-04-01,-8.99300152538009e-06,-1.9006492531829948e-05,5.9728130267264725e-06,0.0015051911759655923,-5.2314520792645895e-06,-0.002003344828456951
1965-05-01,-2.918782383395888e-06,-1.2262206080721563e-05,5.903758442266117e-07,0.0006457992640207522,-1.9898545914380204e-05,-0.0008584998189083611
1965-06-01,8.123011747233312e-07,-7.363639455614678e-06,2.018653084540055e-06,0.0006549670918805836,-1.921166783532776e-05,-0.0004017996009982502
1965-07-01,3.887507975794167e-06,1.873943017385118e-06,-2.216613771482803e-06,0.0004192207597952802,-2.218569178417649e-05,-0.000715856185706798
1965-08-01,-2.1837589695108255e-06,-3.2423548168654488e-06,-2.518509552805593e-06,0.0003465617131344819,-1.1656296313352263e-05,-0.0007183469885300535
1965-09-01,-8.868536790063352e-08,-6.066159564488076e-07,-2.840112179941348e-06,0.0007880279857393665,-2.1581743804626573e-05,-0.0007514281605836004
1965-10-01,1.6397252760864416e-06,-1.1324553839544203e-05,-5.203761479855767e-07,0.0010877234065749994,-1.363218937025311e-05,-0.0015710320440120995
1965-11-01,4.536772518488344e-06,-1.6708408395949935e-05,1.5790068744321354e-06,0.0009068094489824338,-1.8536887353917152e-05,-0.003059374042398607
1965-12-01,-2.0512719417592193e-06,-3.0311796325880977e-05,8.162791699019775e-06,0.002140896928419049,-1.1830149520866817e-05,-0.0035589728213381022
1966-01-01,-8.935865989153203e-06,-3.415359081282771e-05,1.3200810193482056e-05,0.0019186252757208422,-5.04614846526554e-06,-0.0037805230628388626
1966-02-01,-9.704229079820296e-06,-2.4632208805996925e-05,5.50260364231118e-06,0.0019049474455338593,-1.1888073788503645e-05,-0.003106771328020841
1966-03-01,-1.0970111978136722e-05,-1.97952757642839e-05,7.953772835480392e-06,0.002110409938419859,-1.3570892063570142e-05,-0.0026966302054158104
1966-04-01,-5.370577775342469e-06,-1.8512043307263417e-05,4.694454184596285e-06,0.0017542536321949835,-1.3765000640768964e-05,-0.001983881035509209
