,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1967-08-01,-0.07432246,-0.05601251,-0.019497395,-0.053815365,-0.04099846,0.008072138,-0.043928027,-0.044764996,-0.07835066,-0.009034514,-0.06783557,0.022615433
1967-09-01,-0.02969861,0.009170771,-0.0018675327,-0.031372666,-0.037127137,0.020522892,-0.02812922,-0.040789127,-0.073171616,-0.07657194,-0.08808112,0.05845058
1967-10-01,-0.09477723,-0.03315127,-0.022845507,-0.007517457,-0.08520377,0.023766339,-0.031686544,-0.0130627155,0.101034164,1.5735626e-05,-0.058994412,0.0026314259
1967-11-01,-0.022322297,0.05269599,-0.010133147,0.018116415,0.1484307,0.036740243,-0.009871602,-0.022113085,0.41680175,0.027062118,-0.036028624,-0.020752907
1967-12-01,-0.006575823,0.032241225,0.026277423,0.03804809,0.23443502,0.031875014,-0.06678927,-0.05794823,0.35679752,-0.022793174,0.021830738,0.06436205
1968-01-01,-0.028944582,-0.094446,-0.018827409,0.056865603,0.685099,0.059841275,-0.052415013,-0.015331,0.47706413,0.02409631,0.0351806,0.08383241
1968-02-01,-0.067628026,-0.068185925,-0.0015314519,0.029564053,0.19567955,0.13806358,-0.08194828,0.025956094,0.5182024,0.04641366,0.0154669285,-0.014512718
1968-03-01,0.015987664,-0.06294137,0.016210854,0.055340588,0.038193434,0.017326713,-0.057771146,0.018516958,0.30615044,-0.014289528,0.032502502,0.013644338
1968-04-01,0.02115786,-0.0097516775,0.007804632,0.028262228,0.028187811,-0.055836976,-0.00045278668,0.007135123,0.0999009,-0.03255257,0.0048289895,0.024021924
1968-05-01,0.0006631017,0.009664416,-0.027717143,0.021864563,-0.04478991,-0.05181986,-0.042483777,-0.0046186745,0.00043991208,-0.0021265745,0.011487007,-0.07867509
1968-06-01,-0.007817507,-0.064429164,-0.08213425,-0.018418252,-0.025559783,-0.0018289983,-0.0053626,0.029898822,-0.12792206,0.025323749,-0.020798773,-0.07744765
1968-07-01,-0.03820628,-0.052229047,-0.039322168,-0.027754337,-0.050592422,0.017103553,-0.017897516,0.008771718,-0.086411774,-0.11784202,-0.060002923,-0.025559783
1968-08-01,-0.04772836,-0.0047674775,-0.037053227,-0.059221804,-0.123123825,0.021976173,-0.037462384,0.007916242,-0.073058546,-0.0054369867,-0.03266415,0.0030436218
1968-09-01,-0.02462989,0.0072095096,-0.0297257,-0.027642757,-0.04363686,0.0041594803,-0.030915946,0.0015558004,-0.072723806,-0.038243502,-0.056729674,-0.021840245
1968-10-01,-0.037202,-0.038243502,-0.042930126,-0.021096319,-0.040177673,0.012305319,-0.04557103,-0.016335279,0.047566712,0.004122287,-0.061044395,0.07497987
1968-11-01,-0.033073306,0.023724347,-0.018938988,0.02465424,0.053406417,0.0198932,-0.06837189,-0.08470076,0.29417342,-0.048583865,-0.036123335,0.076616466
1968-12-01,-0.04069841,-0.00569734,-0.021654248,-0.025596976,0.27126098,-0.0015686452,-0.03891301,-0.04862106,0.5015016,0.04697159,0.029564053,-0.004841864
1969-01-01,0.01678598,-0.06184542,-0.036076307,0.049022853,0.46586126,0.008739531,0.0031884909,-0.15692633,0.63886064,0.052333117,0.010471046,-0.06535941
1969-02-01,0.012151659,-0.04351169,0.031249285,0.03552717,0.27279657,0.053504467,-0.042900562,-0.059910238,0.6632038,0.038022637,0.0233047,0.008281171
1969-03-01,0.033337295,-0.00083476305,0.007517278,0.046120048,0.12133938,-0.07457721,-0.05741477,-0.048095107,0.38132226,0.01887405,0.024475992,-0.0020061135
1969-04-01,-0.033784628,-0.0484007,0.0035958886,0.04112917,-0.024414003,-0.0034320354,-0.07961899,-0.029761374,0.2811486,0.00940156,0.022540748,-0.0050617456
1969-05-01,-0.025483489,-0.021001935,-0.05512309,0.032115042,0.006193161,0.017193437,-0.03174752,-0.046159923,0.008739531,-0.0013440251,0.017804563,-0.028131723
1969-06-01,-0.08893865,-0.02665484,-0.11114293,0.021776855,-0.04743308,0.023151875,-0.040201426,-0.07391518,-0.08511913,0.0028828979,0.015818417,-0.07758194
1969-07-01,-0.07427168,-0.06902617,-0.05206746,0.019485116,-0.0756467,0.014341533,-0.12407833,-0.03266424,-0.11516613,-0.0034829974,-0.039743066,-0.0484007
1969-08-01,-0.028539121,-0.016469419,-0.030219734,0.010878444,-0.11745781,-0.032307744,-0.070503056,-0.0077099204,-0.08282739,0.0076191425,-0.016571224,-0.03083086
