,vws850-250_cluster1,vws850-250_cluster2,vws850-250_cluster3,vws850-250_cluster4,vws850-250_cluster5,vws850-250_cluster6,vws850-250_cluster7,vws850-250_cluster8,vws850-250_cluster9,vws850-250_cluster10,vws850-250_cluster11,vws850-250_cluster12
1965-01-01,56.27674573776322,163.01614172886883,99.81610869625901,114.94940145534024,15.841922391972613,19.84423045627423,150.07692279703684,18.623621693616183,61.62678920831082,17.227962032903307,114.50377310310724,10.345479263861657
1965-02-01,65.07083741396458,142.82486250615932,105.96011428557213,135.07785360490644,13.213432714305913,17.562479407739133,126.25494973599056,30.235075499918725,53.46068620382938,13.255510753955685,113.13179536646051,18.475809335524467
1965-03-01,65.69121531297412,156.75757874836597,86.7439709076049,110.5473503629079,10.818909258608892,17.163164363370253,119.83917405567206,26.105319924620748,57.41854049253345,14.414593045482924,115.0448323835384,16.52130960539002
1965-04-01,45.298639713988,89.9557434977836,97.90673179461749,89.05625999159102,12.52396868173885,15.391671402765,96.56966257000467,33.06485323558114,28.525302880185674,5.934614612129635,67.67209096072287,22.16585328901956
1965-05-01,12.268478146891116,59.69092449145277,70.27377029766977,74.99259501556118,14.08987399295524,11.158809961874264,106.54942277255375,28.9702651731546,18.69359577172714,8.341534755904984,40.701560456091826,28.776197720476873
1965-06-01,6.4908100383385365,52.159976105049495,66.23852705321396,70.05821280632496,7.742562324370355,21.89905141109591,102.24172976642933,15.026148752353254,16.982251276139635,20.707589289062142,21.67627447344664,9.225889891761199
1965-07-01,11.209683714010044,29.19798675780824,74.75316231767827,28.440500253678234,22.453105469788028,21.48013170239018,61.42223369527548,21.34934600582546,18.31429452149153,30.36797665566647,14.664801717135127,11.39243014965245
1965-08-01,9.231728122204942,26.83693800368476,50.476275335484246,29.456870507338976,15.32877751543169,16.25417571124895,39.47083629900079,11.607196251919577,12.261825485591853,16.09603366428781,8.202128716409552,8.763682446082326
1965-09-01,7.358145850349972,44.001597224936326,87.98186392344968,72.48781075101834,22.963232507863523,19.05629239365054,77.16526378534557,12.18341554369838,9.001350801989403,25.84168503808738,19.720910010888165,9.789220251546487
1965-10-01,17.80765603131505,35.26019138387241,67.96886282108231,84.6727394894566,14.433189482519495,4.413192619933577,90.99745257434058,13.785109403289699,25.305610280481464,7.039738402849942,51.35672196648801,9.099053010060329
1965-11-01,37.76329604806091,81.23872899563091,103.2200936620937,105.86265783758923,9.369769220559013,10.176842532147417,121.19443845873195,25.97169815756622,38.10182309917766,5.733542419946709,74.3200965571805,12.24183406924996
1965-12-01,49.38190628018948,111.02248949903569,114.64273435936155,141.55858632966294,11.423627219064498,13.214558230488537,128.87648393636144,26.958446503587844,42.8557708492504,9.736994081235753,101.51757463346993,21.772753568209428
1966-01-01,60.40775999250541,171.05480033582168,112.93239689330848,133.1961365763595,12.374859400332335,21.769447903069608,142.18951160207763,22.118953357522095,55.35922741531268,11.872740098599975,120.29251808585833,14.575144241605138
1966-02-01,71.31960756530438,117.97564917253382,101.50645177730242,109.15025556926385,14.234787504818739,18.27530880583753,120.1483194617056,35.94829592442614,53.64964885246637,11.70171579920507,110.28473534782759,19.866184843394873
1966-03-01,46.93434374867627,102.77837095059263,110.8732036224728,106.34319372375988,11.57209256044241,15.8660166801587,127.0666036355658,34.33410719424279,41.62626005002692,10.79489452839624,81.2544066214551,25.910734365632855
1966-04-01,38.95470775526929,100.19733717722316,106.07892316284608,86.48636370147572,9.66723785562098,15.465147804302315,122.56560888717878,38.2343835198312,34.275324272441885,6.124398156604094,61.99079296012889,20.39002433356539
1966-05-01,20.920757170943016,45.66026915750784,78.61480556520442,73.67642660118366,9.813204138050713,13.54392469882765,76.78315856935063,23.11332812746087,19.063580587790636,10.760474972797402,47.35564949507536,26.723052382399246
1966-06-01,7.6796227086296405,55.00283783835985,60.41088411693118,63.843485447706634,7.402547884537129,14.371956844527856,103.41160089094197,21.80622303100354,15.529812795146633,13.993408794105745,25.085847924744563,11.94645929791684
1966-07-01,7.570844402162555,16.214175484085363,67.05535173399755,25.039637853932543,8.54338743188594,14.874049035905497,41.532132906174745,20.182802509799416,17.126502009158663,17.7771165835484,14.883788877236121,8.620256062511169
1966-08-01,11.967769115420536,22.739909226143826,44.56832946310267,19.242444756297523,10.980210484737077,20.073540387553038,25.573600281470494,8.89684085400851,13.200029249642258,18.704811069904494,11.129970504805364,4.785122325478392
1966-09-01,7.790556024806669,20.44050874718249,89.75532859394724,55.77829974759636,22.167542553761695,19.770323841067327,55.367768753337714,8.998146685495886,9.103222263458989,22.401462005910716,16.942374840950755,8.494441028355448
1966-10-01,21.71870002680021,77.32080802146241,71.67394835738915,94.73367856884929,6.773694229885902,4.422735349302097,106.68345963912962,10.246710291052874,21.39669315390493,11.404122830101555,56.31252988350627,9.061265765716119
1966-11-01,33.54051583466457,92.29743969188884,115.15326705387022,133.37528162865658,4.079479451306383,6.303766207185089,122.59147409430278,13.196612575090743,23.916766491542266,9.21522535349495,79.49410149557593,12.514505317888082
1966-12-01,46.4912658516287,146.50559089795198,136.4178211887949,148.07221755681599,6.393317289999511,11.690709805536853,154.85359865974425,19.683677398115076,40.33523734500913,13.221549361171679,103.47857730410782,13.870637915978783
1967-01-01,47.935184793138255,152.7364464780789,120.6543061284547,158.1205328233492,13.24492969940733,16.70276731742531,159.44209058934896,20.160901483607653,42.295107636077574,17.79717288078529,108.92667809164669,25.272988355064303
1967-02-01,61.260678607416956,152.53073019350558,103.31859841596287,122.936186057884,12.18549807789189,20.646883096441808,144.57053202345764,24.37811377752124,59.835531729123666,15.531885449941703,117.42047737347453,16.393483239671962
1967-03-01,62.09903795885959,114.70742929050436,101.70900186736657,99.11854306602027,13.96460895941698,19.954762142654886,109.55370971471353,29.70513126340619,51.23829241127841,12.37600112508199,93.75205084586814,25.675710031016056
1967-04-01,38.330707874990296,83.10921718118456,101.2329066831419,92.64203396952122,10.792211006028937,12.95826316792951,104.98908260838455,35.232092725409274,30.031194944613844,4.468512131814138,61.21324341509821,27.680054881310422
1967-05-01,22.29139291397932,65.78698207912072,69.57159399163167,69.33160379195137,9.706905865913846,13.16921171160983,75.89700631240997,27.866947399054148,14.626868035626442,7.234388288650391,41.82841675124559,21.173361051302695
1967-06-01,8.77436728650661,52.16129988916344,72.36102694889365,65.10995859995307,7.154407201186674,18.13850119831453,88.49230050266435,10.794359874931846,12.409705938952355,19.390219019040607,28.965136968994848,13.981796495394992
