,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8,zgu250_cluster9,zgu250_cluster10,zgu250_cluster11,zgu250_cluster12
1965-01-01,0.12383576,0.4868683,0.27667505,-1.024903,-0.01694641,0.8075386,-0.14175949,-0.6397087,0.88249207,-0.23756866,0.040083695,0.9929657
1965-02-01,0.08863983,0.08016662,0.23756866,-0.7788612,0.10004578,0.1805397,-0.385194,-0.059310913,0.6009277,-0.5673622,-0.0671318,1.4426849
1965-03-01,0.15446892,0.56996995,0.42169303,-0.7710403,0.3314232,0.82089996,-0.19096756,-0.12188034,0.6299324,-0.3643387,0.004888153,0.95125353
1965-04-01,-0.1482769,-0.107867435,0.116666414,-1.2227135,-0.34608763,0.120903015,-0.0029331208,-0.043668367,0.60777205,-0.29264373,0.10428276,1.1184311
1965-05-01,0.26233596,-0.06387329,0.40996093,-0.4018139,-0.45525894,0.60353583,-0.020204926,-1.0884502,0.59408534,-0.4308176,0.19813728,-0.31447753
1965-06-01,0.13850021,-0.2483223,-0.042690657,-0.36955148,0.043667603,0.35032445,0.1277462,-0.5259756,1.1454792,-0.23789462,0.11080017,-0.46177635
1965-07-01,0.08896637,0.18347207,-0.04627533,-0.7391033,-0.54520226,-0.28417015,0.078863904,0.23039933,0.123183824,-0.16815567,0.30404893,-0.1753254
1965-08-01,0.23007354,0.37704697,0.103630826,-0.34445858,0.34022218,-0.1114521,0.0876625,-0.11796951,-0.6941311,-0.17597695,0.7195503,0.013687134
1965-09-01,0.24115372,-0.85348815,-0.13067894,0.9248562,0.08375206,0.40963516,0.20367698,-0.49566802,0.38682365,-0.21182403,0.1603344,-0.032914735
1965-10-01,-0.27211267,-0.66968995,0.12807198,-0.15707588,-0.58821905,-0.014339065,-0.1352417,-1.1194088,0.23202857,-0.8714117,0.3464138,0.12416153
1965-11-01,0.10134964,-0.4503708,0.3614048,-1.2761589,-1.0809548,-0.3262085,-0.23626557,-0.55856323,1.1461312,-0.64166373,0.9590742,1.3393799
1965-12-01,0.3324009,-0.2088913,0.41191635,-1.3159164,-0.8150345,0.10167541,-0.23039933,-0.45199966,0.54683226,-0.7915703,-0.017923355,0.73910296
1966-01-01,0.2583168,0.5094131,0.13523063,-0.55470884,0.41061553,0.15689392,-0.16838188,-0.20875473,0.3580986,-0.42702636,-0.112910844,0.86751175
1966-02-01,-0.015426636,0.19726562,0.3597397,-1.3703598,-0.45722502,0.36236572,-0.17232056,-0.17035218,0.6242935,-1.0362213,0.19595337,0.791362
