,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1965-01-01,1010.8304,1013.7866,1019.77686,1008.3894,1015.6819,1014.6381,1006.3658,1008.5593,1015.05554,1024.0833,1014.8831,1010.9904
1965-02-01,1009.53046,1016.7368,1019.7068,1007.2557,1011.61053,1014.9321,1010.09174,1007.8406,1014.64685,1021.49164,1014.4267,1010.8893
1965-03-01,1010.2933,1014.72687,1016.8782,1006.84576,1011.9504,1014.75415,1007.1831,1010.0396,1014.05084,1020.24445,1015.3992,1010.2542
1965-04-01,1009.8871,1018.07697,1016.9743,1012.95197,1008.97296,1013.98456,1016.3108,1010.1432,1016.5042,1013.42456,1015.5355,1012.54944
1965-05-01,1008.85455,1022.4783,1009.8095,1018.42554,1007.7146,1012.09424,1021.0005,1009.62036,1016.7033,1008.2344,1016.25806,1013.9144
1965-06-01,1009.90936,1018.0032,1008.01666,1012.8508,1006.3242,1012.2679,1015.16406,1010.80304,1013.9318,1005.07086,1016.0633,1010.53955
1965-07-01,1009.2396,1016.99414,1005.6259,1010.08923,1005.4455,1009.4604,1017.4494,1009.29297,1013.5603,1000.6007,1014.0006,1007.69916
1965-08-01,1009.4815,1016.4001,1007.23157,1013.8524,1007.92737,1010.1426,1016.111,1009.7488,1012.346,1004.98346,1012.9426,1011.9423
1965-09-01,1009.9051,1016.60345,1011.4226,1016.3535,1008.41974,1007.1577,1015.8903,1009.68616,1013.3049,1011.92126,1013.1163,1010.95374
1965-10-01,1010.3156,1020.59174,1018.79694,1017.3867,1012.2896,1011.8071,1022.4696,1009.7029,1012.04095,1017.4593,1013.0642,1015.3979
1965-11-01,1010.3485,1021.5276,1019.79486,1020.2687,1014.26483,1015.13245,1023.16486,1009.62354,1019.8649,1022.211,1015.4475,1017.5672
1965-12-01,1009.59064,1018.9278,1019.32166,1012.83167,1014.9141,1015.7495,1016.43665,1008.5494,1016.61835,1026.6191,1015.8332,1012.78076
1966-01-01,1011.7793,1015.8457,1019.9496,1007.70667,1015.4094,1018.2109,1006.05554,1010.21576,1016.2869,1024.277,1016.78577,1011.5045
1966-02-01,1010.64264,1022.0037,1018.5226,1016.62494,1012.3864,1016.18365,1021.61255,1009.41656,1017.6451,1020.18994,1016.67,1014.6039
1966-03-01,1009.6319,1016.4841,1013.7883,1010.4217,1009.0254,1014.24084,1011.3718,1009.21936,1014.55444,1014.5432,1015.51587,1011.01447
