,abs_vo500GLB_cluster1,abs_vo500GLB_cluster2,abs_vo500GLB_cluster3,abs_vo500GLB_cluster4,abs_vo500GLB_cluster5,abs_vo500GLB_cluster6,abs_vo500GLB_cluster7,abs_vo500GLB_cluster8
1965-01-01,-5.925933650120582e-05,4.0672083306277966e-05,-8.084199340801741e-05,0.00011395919601555861,2.0799214825622323e-05,-3.325420735624755e-05,6.990511101321318e-05,-8.340210470497331e-07
1965-02-01,-5.747230564102405e-05,3.866014524224021e-05,-7.929564376621891e-05,0.0001173075411821224,1.9825506148697093e-05,-3.289647783928761e-05,7.047486142255365e-05,-1.3648898729651629e-06
1965-03-01,-6.012787092771229e-05,3.885271121041922e-05,-8.032481620081372e-05,0.00011701664098600977,2.0944971176369882e-05,-3.180561633339178e-05,6.947703877813183e-05,-1.2248590306402025e-06
1965-04-01,-5.867125528505788e-05,4.396806488471093e-05,-8.642485708525568e-05,0.0001096056705675976,2.0014093383962725e-05,-2.8077076637149598e-05,7.078280541463755e-05,-2.5115978265192047e-06
1965-05-01,-5.8926313202430447e-05,4.46777544888212e-05,-8.823601627441617e-05,0.00010566291166469453,2.3345723076528412e-05,-2.5968975000335428e-05,6.827268007327802e-05,-2.739846559675181e-06
1965-06-01,-6.337843347424508e-05,4.6024141623310645e-05,-8.76018095689634e-05,0.00010283418608499535,2.551397542840367e-05,-2.3593125137417267e-05,6.453761016018688e-05,-3.025910033345211e-06
1965-07-01,-5.8937772835672785e-05,4.999181418126272e-05,-9.009560873143047e-05,9.531143876773529e-05,2.4630117529599327e-05,-2.2730177509408998e-05,6.517345827887766e-05,-3.5622460476065186e-06
1965-08-01,-6.049549580676799e-05,4.952695222450978e-05,-8.9262784433017e-05,9.647442480113737e-05,2.54108997832651e-05,-2.3461176160451235e-05,6.544565549120307e-05,-2.699979710127555e-06
1965-09-01,-6.059482428009101e-05,4.7716299428737354e-05,-8.727073209764272e-05,0.00010040894098724324,2.460941459503374e-05,-2.437188687300666e-05,6.56010837701615e-05,-3.311960123504807e-06
1965-10-01,-6.0982162214059954e-05,4.5540229595490915e-05,-8.506343981614063e-05,0.00010194956943181481,2.4433466669394457e-05,-2.645009419052433e-05,6.593577563762665e-05,-3.1312433948607878e-06
1965-11-01,-6.068060419532997e-05,4.2434790039280904e-05,-8.540741820230752e-05,0.00010401097454262156,2.3418992278482304e-05,-2.8059431738525407e-05,6.766829901607707e-05,-2.0392431098390597e-06
1965-12-01,-5.910523767434757e-05,4.037602132446179e-05,-8.053691357524847e-05,0.00010985061264903009,2.2267901537513048e-05,-2.988959974378879e-05,6.839795969426632e-05,-1.910443845738646e-06
1966-01-01,-5.8887918932144646e-05,3.8139290436319385e-05,-7.786601760445217e-05,0.000113867741270547,2.0171798923125427e-05,-3.2578955002244e-05,6.84589016600512e-05,-9.787170599076788e-07
1966-02-01,-6.0071896545603885e-05,4.133862763461673e-05,-8.062941988635644e-05,0.00011215951147918261,1.8976011008895892e-05,-3.245165754123986e-05,6.826052194810472e-05,1.1981712790881442e-07
1966-03-01,-5.888840572219143e-05,4.087696460130605e-05,-8.149102059713401e-05,0.00011273820779967569,1.867637783904268e-05,-3.0997133059118894e-05,7.091504157870076e-05,-1.2924391201099067e-06
1966-04-01,-6.097307115100536e-05,4.466117222274451e-05,-8.54674202427679e-05,0.00011005181308805562,2.078511232428826e-05,-2.779127692854317e-05,6.66911742882803e-05,-2.1253652305372957e-06
1966-05-01,-6.314899288308459e-05,4.4796296875369675e-05,-8.645524169825127e-05,0.00010466120262140908,2.2608220419504413e-05,-2.441975224648236e-05,6.993793358560652e-05,-2.312879366262964e-06
1966-06-01,-6.0265544474454685e-05,4.671705873604392e-05,-8.882879603120006e-05,0.00010053944505570042,2.4568902641296942e-05,-2.4001993741172754e-05,6.36175180261489e-05,-2.373734645678344e-06
1966-07-01,-5.8227161645062356e-05,4.920738460832197e-05,-9.00910997776972e-05,9.633314995746196e-05,2.451954290414887e-05,-2.3151199557596416e-05,6.508205915451981e-05,-3.1325251214882087e-06
1966-08-01,-5.976242106801456e-05,5.076076056763963e-05,-8.947517712573138e-05,9.260619393629625e-05,2.4865137136118762e-05,-2.4364069427030188e-05,6.542036280734464e-05,-2.3710990334019737e-06
1966-09-01,-6.0384838460294985e-05,4.850774428017707e-05,-9.10676146090469e-05,9.889812038939756e-05,2.4018517010124833e-05,-2.3121838777351186e-05,6.455383336287924e-05,-3.367690024564058e-06
1966-10-01,-5.912411761916743e-05,4.494988875386542e-05,-8.785407129942221e-05,0.00010617775977287372,2.4838646278326057e-05,-2.6012847949253935e-05,6.509449376608245e-05,-3.402555344327744e-06
1966-11-01,-5.888434698071092e-05,4.233464506527731e-05,-8.532412881750668e-05,0.00010969491052458545,2.4566540200738262e-05,-2.875008237557749e-05,6.872417870908975e-05,-2.8157567017742997e-06
1966-12-01,-5.851611685073268e-05,3.8062329571095663e-05,-8.231817285858971e-05,0.00011251990717600737,2.2746856886419942e-05,-3.0312335686812027e-05,6.923093533259817e-05,-2.7370486565179243e-06
1967-01-01,-5.666102795178912e-05,3.81698264006868e-05,-7.844641539336676e-05,0.00011528342198558944,2.193987683436537e-05,-3.2764275887188596e-05,6.70019449898973e-05,-1.8229942949415402e-06
1967-02-01,-5.870140584358064e-05,4.083528572561885e-05,-7.708036826122279e-05,0.0001138426190057847,1.950884240984494e-05,-3.3652440950877194e-05,6.791736668674276e-05,-1.3577042808134288e-06
1967-03-01,-5.8166467600412585e-05,4.358762741413929e-05,-8.054527878651725e-05,0.00011124110036083341,2.042388839779758e-05,-3.31123065432967e-05,7.14463458280079e-05,-3.039052757392785e-06
1967-04-01,-6.124183363231475e-05,4.373016733078542e-05,-8.146604266264202e-05,0.00011349085340313009,2.133290856228861e-05,-2.9728115803144923e-05,6.913038960192353e-05,-2.6578743784253452e-06
1967-05-01,-6.244992677290555e-05,4.385871351856417e-05,-8.490077615373166e-05,0.00010845102662171012,2.4004420263309714e-05,-2.651176634822208e-05,6.798490503570064e-05,-2.0243203691703234e-06
1967-06-01,-5.771747628289848e-05,4.648368687899357e-05,-8.721683865159695e-05,0.0001044582185622184,2.436605304135383e-05,-2.5623352985465803e-05,6.583329304703512e-05,-3.465104674426721e-06
1967-07-01,-5.930905122938814e-05,5.035541735324701e-05,-8.761199697961703e-05,9.544153187932721e-05,2.4830988838211964e-05,-2.5196990753798732e-05,6.489510051324032e-05,-1.979687563956049e-06
1967-08-01,-5.7929527076430204e-05,5.063170711239341e-05,-8.674062615575488e-05,9.174681070834156e-05,2.44563605317833e-05,-2.607452291259087e-05,6.6171361686429e-05,-2.310883008845687e-06
1967-09-01,-5.684970052385855e-05,5.004340686944386e-05,-8.687593863749713e-05,9.611136630593574e-05,2.308349245522325e-05,-2.5778577077486206e-05,6.418836928787642e-05,-2.6505500065705087e-06
1967-10-01,-5.7150259069407366e-05,4.5687195612937474e-05,-8.610486153937767e-05,0.0001022408991115366,2.446488100938523e-05,-2.7058740436523832e-05,6.470037551480346e-05,-3.6206497015135102e-06
1967-11-01,-6.041284895512802e-05,4.29068959291867e-05,-8.217683845192797e-05,0.00010984631107594058,2.3921132443870135e-05,-2.9182818785664723e-05,6.661314546363428e-05,-2.4320602566859474e-06
1967-12-01,-5.9418895532910664e-05,4.094751929328531e-05,-8.161402494057685e-05,0.00011463137660164782,2.1184319023261732e-05,-3.164686555291854e-05,7.145918498281389e-05,-9.56363891580697e-07
1968-01-01,-5.934872397087395e-05,3.817769641205865e-05,-7.852568481158575e-05,0.00011482359830686753,1.9996596277866763e-05,-3.4402826685574535e-05,7.515073812101037e-05,-6.292380364095452e-07
1968-02-01,-6.059268421640129e-05,3.868523544695845e-05,-7.779280863092829e-05,0.00012297465993335073,1.877394556742482e-05,-3.4290438624991314e-05,7.40561750717461e-05,-1.715417540739733e-06
