,abs_vo850GLB_cluster1,abs_vo850GLB_cluster2,abs_vo850GLB_cluster3,abs_vo850GLB_cluster4,abs_vo850GLB_cluster5,abs_vo850GLB_cluster6,abs_vo850GLB_cluster7,abs_vo850GLB_cluster8
1971-04-01,7.296282e-05,-7.950471e-05,-2.7616188e-06,2.7240234e-05,-6.043357e-05,5.0429448e-05,9.3935734e-05,-3.0214807e-05
1971-05-01,7.150344e-05,-8.436378e-05,-4.5609704e-06,2.9926823e-05,-5.6826575e-05,4.882081e-05,9.061067e-05,-2.8531544e-05
1971-06-01,7.6843455e-05,-8.77469e-05,-1.1078439e-05,3.3210432e-05,-5.765577e-05,5.8588717e-05,0.000102211096,-2.7014117e-05
1971-07-01,7.9513455e-05,-8.192596e-05,-7.5377757e-06,3.3824035e-05,-4.6967456e-05,5.202979e-05,0.00010420945,-2.8879804e-05
1971-08-01,7.837746e-05,-8.6304106e-05,-6.95734e-06,3.2513904e-05,-4.629581e-05,5.206296e-05,9.994739e-05,-2.861446e-05
1971-09-01,7.943883e-05,-7.362572e-05,-1.19573815e-05,3.0714553e-05,-5.3153242e-05,5.0379695e-05,9.528732e-05,-2.9783627e-05
1971-10-01,7.3385716e-05,-8.195912e-05,-1.0282412e-05,2.952881e-05,-5.475359e-05,5.2411222e-05,8.9035195e-05,-3.1566393e-05
1971-11-01,6.65117e-05,-7.864235e-05,9.780451e-07,2.7356322e-05,-5.6859742e-05,4.387052e-05,8.6895874e-05,-2.9186605e-05
1971-12-01,6.730772e-05,-8.274686e-05,-2.695284e-06,2.4578521e-05,-5.291278e-05,4.4102697e-05,9.168862e-05,-2.9866544e-05
1972-01-01,6.993225e-05,-7.970042e-05,4.6833884e-07,3.060895e-05,-5.9392587e-05,4.8093458e-05,9.190415e-05,-2.8297578e-05
1972-02-01,7.746748e-05,-8.0815094e-05,3.256573e-07,2.5517094e-05,-5.0876442e-05,4.6506157e-05,9.171688e-05,-2.7905215e-05
1972-03-01,6.850546e-05,-8.251832e-05,5.5334385e-06,2.91019e-05,-5.6610348e-05,4.786161e-05,9.4169176e-05,-2.8921797e-05
1972-04-01,6.7043e-05,-8.041381e-05,1.1728116e-06,2.9431843e-05,-5.6708443e-05,4.97521e-05,9.052195e-05,-2.957277e-05
1972-05-01,7.411452e-05,-7.876408e-05,-4.8821166e-06,2.4161649e-05,-4.9503164e-05,4.2047443e-05,9.4169176e-05,-2.920716e-05
1972-06-01,6.810418e-05,-7.7649405e-05,-6.567512e-06,2.7354085e-05,-5.599505e-05,5.2017127e-05,9.552462e-05,-3.2435262e-05
1972-07-01,6.866597e-05,-8.213487e-05,-6.344577e-06,3.3676544e-05,-4.923564e-05,4.9769933e-05,0.00010123178,-2.8672108e-05
1972-08-01,7.776175e-05,-8.159091e-05,-6.888542e-06,3.2356766e-05,-5.587021e-05,5.1624764e-05,9.031685e-05,-3.001864e-05
1972-09-01,7.775283e-05,-8.228647e-05,-3.3839897e-06,2.6578271e-05,-5.5468918e-05,5.2516505e-05,9.286723e-05,-2.9180406e-05
1972-10-01,6.5910484e-05,-7.894243e-05,-6.817201e-06,2.9610199e-05,-5.4238313e-05,4.8209386e-05,8.1756116e-05,-3.0437765e-05
1972-11-01,6.3698964e-05,-8.186735e-05,-1.0832955e-06,2.6667445e-05,-5.542433e-05,4.8245052e-05,9.4668554e-05,-2.9661944e-05
1972-12-01,6.789908e-05,-7.8853256e-05,-4.15089e-06,2.2476253e-05,-5.891105e-05,4.121812e-05,9.8012584e-05,-2.9296334e-05
1973-01-01,7.4821415e-05,-8.023552e-05,-4.9104274e-06,2.5546642e-05,-5.5636265e-05,5.155565e-05,9.347138e-05,-2.9247549e-05
1973-02-01,6.912326e-05,-7.943919e-05,-1.0261283e-06,3.2094213e-05,-5.808718e-05,4.6202567e-05,9.153366e-05,-2.7672595e-05
1973-03-01,6.614147e-05,-7.665205e-05,-2.0878942e-06,3.2120755e-05,-5.407016e-05,4.0699077e-05,9.526753e-05,-3.186658e-05
1973-04-01,7.28837e-05,-7.904103e-05,-6.087219e-06,2.9784866e-05,-4.995581e-05,5.007802e-05,9.537371e-05,-2.9840372e-05
1973-05-01,7.415781e-05,-7.470547e-05,-1.3006407e-05,2.9006236e-05,-4.9398383e-05,5.2006897e-05,9.527639e-05,-2.6221514e-05
1973-06-01,6.8273854e-05,-7.82624e-05,-7.9276215e-06,2.6042135e-05,-4.8283524e-05,5.3396045e-05,0.00010596484,-3.150381e-05
1973-07-01,7.602476e-05,-8.7349355e-05,-6.370363e-06,2.8802735e-05,-4.8681686e-05,5.283862e-05,0.00010435449,-3.0105813e-05
1973-08-01,7.747584e-05,-8.001432e-05,-7.0339665e-06,3.2802054e-05,-5.1079514e-05,5.4820583e-05,0.00010667268,-2.7938037e-05
1973-09-01,7.774128e-05,-8.230597e-05,-4.49457e-06,2.697118e-05,-4.940723e-05,5.190072e-05,9.9266865e-05,-2.843353e-05
1973-10-01,7.382159e-05,-7.923569e-05,-6.007591e-06,2.7953318e-05,-5.3495034e-05,4.318538e-05,8.7224646e-05,-2.7769926e-05
1973-11-01,7.016734e-05,-7.61831e-05,-1.972876e-06,2.7926775e-05,-5.8228747e-05,5.067969e-05,9.432079e-05,-2.8929022e-05
1973-12-01,6.596451e-05,-7.9784266e-05,-2.4683613e-06,2.595366e-05,-5.5078835e-05,4.383129e-05,9.243616e-05,-2.8672428e-05
1974-01-01,7.240232e-05,-8.442012e-05,-1.2988385e-06,3.0043439e-05,-5.314548e-05,5.1871433e-05,8.967631e-05,-2.9601873e-05
