,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1965-01-01,-0.028157532,0.01801765,0.3778056,0.33315384,0.004937291,-0.03078407,0.019120812,-0.10758507
1965-02-01,-0.006304443,0.03419733,0.77342,0.39067578,0.004517019,-0.07154852,0.021799862,-0.2545156
1965-03-01,0.007458806,0.029311895,0.29580396,0.088147104,0.06534845,-0.09261364,0.002678454,-0.1987797
1965-04-01,-0.040029645,0.031255543,1.5855038,0.014497995,0.24033076,-0.039346695,0.01969862,-0.13122422
1965-05-01,-0.0056215525,0.027578354,2.3857155,-0.08757061,0.5599321,-0.08058393,0.00961262,-0.17188358
1965-06-01,-0.013238609,0.022325218,1.7150464,-0.114729345,0.37712267,-0.050378323,0.022272646,-0.029523313
1965-07-01,0.0012075305,0.019751191,1.8532567,-0.06739855,0.7395897,-0.033358157,0.04086882,-0.08867377
1965-08-01,0.017282188,0.019961298,1.6763306,-0.08231747,0.95318264,-0.046806216,-0.018229067,-0.06440425
1965-09-01,0.004464507,0.019173324,1.0820423,-0.047121406,0.76554024,-0.06650549,-0.065612435,-0.11662048
1965-10-01,0.008877158,0.014235377,1.5583451,0.08016235,0.5441727,-0.04864478,-0.008300662,-0.04554546
1965-11-01,0.008351862,0.009717643,1.4667827,0.23297635,0.36677396,-0.057154894,0.014287889,-0.10821545
1965-12-01,-0.012398064,0.022115052,1.8349757,0.34029812,0.10784644,-0.06204033,0.028313816,-0.2022993
1966-01-01,0.006186843,0.030168056,0.38418758,0.3314836,0.15226263,-0.060513794,0.0018100142,-0.13177365
1966-02-01,-0.0029314756,0.016125858,0.6614763,0.2567132,0.13416272,-0.057641506,0.009287059,-0.20212162
1966-03-01,-0.022444725,0.02100414,0.80545485,0.2628225,0.159147,-0.08878064,0.011521101,-0.26640588
1966-04-01,-0.026593566,0.028253198,1.5265787,0.13698941,0.38300222,-0.07391775,0.018131852,-0.21060169
1966-05-01,-0.003341794,0.027569354,1.7239908,0.019180477,0.46196705,-0.057869494,0.013846278,-0.17677265
1966-06-01,0.0003055334,0.026657522,2.124833,-0.100999236,0.72772104,-0.025453806,0.027295828,-0.038128257
1966-07-01,0.003952861,0.02688545,2.127842,-0.10970724,0.6213556,-0.08955574,0.020548224,-0.16706163
1966-08-01,-0.0009710789,0.025152981,1.7625613,-0.12160671,0.82410187,-0.07824898,-0.007992148,-0.036213458
1966-09-01,-0.0029314756,0.022007167,1.0809199,-0.03124392,0.7123566,-0.023083031,-0.07159257,-0.1028685
1966-10-01,-0.0017917156,0.025380969,1.2143668,0.111047745,0.5827394,-0.08280814,-0.050620437,-0.1721679
1966-11-01,0.0019012094,0.024514735,1.0930017,0.23847654,0.3414682,-0.07674444,0.0043175817,-0.21812427
1966-12-01,-0.0064876676,0.022235096,1.7653425,0.48161703,0.20232233,-0.10432744,0.02118653,-0.23927885
1967-01-01,-0.017614007,0.02204001,0.7301105,0.34126025,0.29130036,-0.083268166,0.029206991,-0.22414994
1967-02-01,-0.00861609,0.030724108,0.1345675,0.3462301,-0.0123826265,-0.07777524,0.027375996,-0.17110348
1967-03-01,-0.008982182,0.018534958,0.5000334,0.20184332,0.101923525,-0.088395,0.0045671463,-0.1334374
1967-04-01,-0.011859536,0.027009845,0.7309998,0.13461983,0.09873235,-0.09802067,0.013041973,-0.14049971
1967-05-01,-0.021903753,0.03302592,2.727356,-0.024937987,0.39896268,-0.04800856,0.01508224,-0.16707528
1967-06-01,0.017959476,0.024341822,1.6245236,-0.07672894,0.8299257,-0.0587852,0.017384052,-0.14274919
