,vws_v500-200GLB_cluster1,vws_v500-200GLB_cluster2,vws_v500-200GLB_cluster3,vws_v500-200GLB_cluster4,vws_v500-200GLB_cluster5,vws_v500-200GLB_cluster6,vws_v500-200GLB_cluster7,vws_v500-200GLB_cluster8
1965-01-01,8.23336711184721,0.5086821110459032,-2.4381387288552174,2.172484234761957,7.6522279208706,-5.313745102951409,-0.7098952739707012,-0.5898506024093308
1965-02-01,7.057333782449823,0.14405681819155539,-0.9846056945952124,2.1721465905030084,5.9538317446918025,-5.578805421452908,2.55476219329151,-1.5348219980190574
1965-03-01,5.223278457312558,-1.2636962013225415,-1.2066920486752433,1.4582714555433003,5.12571206787396,-4.245145746180304,2.2008853408255376,-0.42811297095736073
1965-04-01,4.501092728685752,-2.9573532544593486,0.11913491568503902,1.8914462552918547,2.0016122116541433,-3.649542747979809,1.140708362717313,-2.5832151659725477
1965-05-01,2.387347057315836,-6.663298477128861,0.4406408741379399,1.220248474144322,-1.5684696428448297,-2.255493157017481,3.2253042670368264,-1.9685408948491545
1965-06-01,0.8534630476435529,-9.828344081648739,1.8955488842487334,0.9309318559725098,-5.849926737537132,-1.6689174632486905,5.876303352786637,-3.2862898568013086
1965-07-01,1.6130217438972876,-11.134834502902697,2.016210016465905,0.682289371274415,-5.500656871307127,-1.0171877770424476,5.523734889331939,-3.21438046791686
1965-08-01,1.2054916111596283,-8.883950257874062,1.4134104496299582,0.6386981870277312,-4.2966164659097155,-1.1283073858320791,4.960176649159832,-2.3392363870773525
1965-09-01,3.942849897445535,-9.362717588922932,1.0858507834177926,0.9306078980254109,-4.1203207346559365,-3.2732988498228024,4.865893823742841,-2.5660322217535136
1965-10-01,5.8048828885481445,-4.906108040528958,-0.806990814616145,1.3535611879752296,-1.05223413870597,-4.160762090343678,1.1839907707568293,-0.7709868680606794
1965-11-01,4.880794761639596,-5.824796947293411,-1.6447970108712202,1.1845324376792077,2.5364885330930984,-2.652431116266924,0.15443920656489815,-0.7472871458414155
1965-12-01,6.291892763628804,-3.0318101773310056,-0.5748675596365861,1.490895199478329,2.523930585897848,-5.568778766168701,0.5690740184438283,-0.6248327809946568
1966-01-01,6.455983912059122,0.9153874850477279,-2.4495531515132902,1.868814208006141,4.627843648572737,-6.0677699173220345,-0.8245471818431804,0.3999909030573598
1966-02-01,5.344929047470791,2.135785570208835,-2.4723688525411,1.7778632867532216,5.086919252507558,-5.160025846415931,0.47097014823043026,-0.20123700012240597
1966-03-01,3.995362495217997,-0.8943340854091921,-0.9918468893999787,1.7388806580599867,3.307286382501895,-3.993568480571574,0.8512484766751395,-1.1888262933861742
