,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8
1966-10-01,-0.5180519,0.3545785,0.09374414,0.122822165,-0.021265984,-0.17880826,0.12687293,-0.15551686
1966-11-01,-0.5144354,0.3360611,-0.018951368,0.18734357,1.0633014,-0.3422818,-0.060615398,-0.251865
1966-12-01,0.7029363,0.18184623,-0.00868001,-0.1222435,-0.114142135,-0.26748905,-0.042532064,-0.08361743
1967-01-01,-0.43963417,0.3577024,-0.0134887695,-0.019150734,-0.40832692,0.2792676,-0.1457121,0.16419668
1967-02-01,1.0614501,0.2359703,0.08126573,-0.037801933,0.4596176,0.30791044,-0.010158253,0.19833498
1967-03-01,-0.10757713,0.15337239,-0.16286449,0.305579,-0.2534558,0.71790266,0.17152394,0.12522916
1967-04-01,0.31057492,0.3207331,-0.16935907,0.5412163,0.2945882,-0.12539569,-0.19716927,-0.06844306
1967-05-01,-0.101249024,0.5180689,0.3243967,-0.13238983,-0.8196511,-0.016319752,0.06910916,0.19250649
1967-06-01,-0.33871803,0.32106614,0.09791851,0.20532918,-0.16286449,-0.29741916,-0.036969233,-0.09059129
1967-07-01,-0.33655328,0.22631168,0.2164865,0.21199028,-0.18118258,-0.3863452,0.085095786,-0.16969204
1967-08-01,0.99567145,-0.00882597,0.09808512,0.25412187,-0.1433807,-0.660617,0.14321414,-0.26444665
1967-09-01,-0.08542891,-0.06394677,0.19433828,0.14654474,-0.08792684,-0.47510472,0.0636137,-0.12323079
1967-10-01,0.15287285,0.11407175,0.40516287,0.09791851,-0.26078302,-0.28126597,-0.021482086,-0.30191547
1967-11-01,-0.08792684,0.1577021,-0.020649493,0.095587134,-0.38867664,0.31890136,-0.032639515,-0.024812674
1967-12-01,0.6431316,0.28626183,0.28892627,0.30624515,0.0341383,-0.30624515,-0.0466279,-0.22764392
1968-01-01,-0.090176605,0.40643176,-0.015713692,-0.03652363,-0.40388355,0.3703328,-0.14184761,0.15260658
1968-02-01,0.7926198,0.3956729,0.0049547195,-0.1017849,0.82178223,-0.0062288283,0.105465606,0.062571526
1968-03-01,0.9821747,0.084372446,-0.09130917,-0.06724317,-0.10773063,0.18870553,0.11141129,-0.06271305
1968-04-01,-0.9610816,0.060306452,0.100086115,0.31965268,0.2716624,-0.11197753,-0.19705781,-0.30648723
1968-05-01,-0.53723735,0.18629894,-0.0478488,0.0821074,-0.7737917,0.18332607,-0.06554441,0.18941335
1968-06-01,1.489259,0.08069179,0.17752193,0.19748253,-0.2069674,-0.17440748,-0.16676292,0.18743142
1968-07-01,0.1817688,0.24094287,0.12004671,-0.028029775,-0.18870553,-0.43304586,0.09399891,-0.10235119
1968-08-01,-0.07120697,-0.21135578,0.14142294,0.18757299,-0.15614569,-0.61113405,0.014156437,-0.30195722
1968-09-01,-0.17412443,0.06356249,0.09881203,0.32871285,0.03199358,-0.15699509,-0.058607697,-0.21956663
1968-10-01,0.31852022,0.37726948,0.27251172,0.2003138,-0.2902073,-0.06356249,-0.17582317,-0.17681408
1968-11-01,-0.025056934,0.24915361,0.106598094,0.007502937,-0.1676124,-0.3430109,-0.27562615,-0.16874494
1968-12-01,-0.013590145,0.054643918,-0.1302394,0.08876095,-0.023924446,0.14283857,0.14467898,0.0045300485
1969-01-01,0.20062442,0.41381627,0.18275747,0.00045428277,-0.43864822,-0.00651083,-0.27042657,-0.18427165
1969-02-01,-0.68424284,0.32872123,-0.0021198273,0.081309654,0.3700574,0.09675388,0.050572492,0.15868254
1969-03-01,0.13142791,0.38898423,0.028920174,0.0001513958,0.16246796,0.18124333,-0.16791888,-0.058900308
1969-04-01,-0.9122732,-0.022257948,0.36309233,-0.13990717,-0.038005065,0.0034825325,0.1509604,0.28496236
1969-05-01,0.35097924,0.25059125,0.43471146,-0.010750437,-0.35476452,-0.12673406,-0.25604218,-0.06268567
1969-06-01,-0.19229665,0.0016654968,0.10175066,0.16004527,-0.35930696,-0.15731981,-0.18972251,0.053903677
1969-07-01,-1.2019295,-0.18957119,0.3964035,0.33553484,-0.19699046,-0.25089407,-0.13233642,-0.22257948
1969-08-01,0.17988053,0.1346076,0.24090068,0.0281631,-0.013930154,-0.5048164,-0.19063103,-0.22242805
1969-09-01,0.122040175,0.040427685,0.32160473,0.21061781,-0.3518876,-0.13809016,-0.27633175,-0.25422525
1969-10-01,-0.27027512,0.5602342,-0.004996681,0.2522568,-0.39928046,-0.020895194,0.020592403,0.03285699
1969-11-01,-0.26149303,0.2666412,0.34068295,0.0010598898,0.46030053,-0.04466734,-0.22530496,-0.11219828
1969-12-01,0.84428805,0.26497564,-0.010144806,-0.02695179,0.2664898,-0.23499545,-0.12476567,0.10296197
1970-01-01,-0.46623403,0.18492207,0.092591956,-0.10398588,-0.115117885,0.28694353,0.17261136,0.1800764
1970-02-01,0.4467203,0.49124822,-0.044266034,0.058410265,-0.34522274,0.13869151,-0.7487248,0.29021758
1970-03-01,-0.5226798,0.14615652,-0.009560394,-0.083424374,-0.066399075,-0.13096447,-0.22093734,0.052909754
1970-04-01,0.13122651,0.13489355,0.15820523,-0.23429565,0.51809597,-0.16645603,0.046099566,0.09756865
1970-05-01,-0.021085357,-0.11603464,0.05958893,0.029859925,0.0009167671,0.09390161,0.13004784,0.070982836
1970-06-01,0.37508267,-0.021478176,0.43231422,0.048587848,-0.27895463,-0.25184494,-0.15100217,-0.12952404
1970-07-01,0.31077904,-0.011262941,0.42013445,0.14497784,-0.2342957,-0.47736606,-0.25551194,-0.025276184
1970-08-01,0.08447218,-0.057362556,0.30999327,0.22198503,-0.13816766,-0.18583879,-0.37691623,-0.09350872
1970-09-01,0.12821436,0.033526994,-0.06980415,0.25341654,-0.029990911,-0.5534564,-0.0077269077,-0.09927118
1970-10-01,-0.29873028,0.13711996,0.18151693,0.09167526,-0.2357363,0.14956157,0.090889454,-0.22578302
1970-11-01,-0.11079607,0.2532856,-0.08944883,0.13594128,-0.19867325,-0.19277993,-0.16776569,-0.155455
1970-12-01,-0.55057526,0.21609163,0.031038571,-0.15218084,0.45274478,-0.073471166,-0.11747523,-0.120356366
1971-01-01,0.10350597,0.22846171,-0.15821008,-0.07845726,-0.3030321,-0.35442504,-0.4449749,-0.009789181
1971-02-01,-0.95026827,0.32966435,-0.11055984,-0.0691,0.31613225,-0.04765024,-0.4209338,0.15014839
1971-03-01,0.7458475,-0.0010077119,-0.35168993,0.12855463,0.7015084,0.11055994,-0.31771582,0.15950575
1971-04-01,0.11113568,0.13819991,0.14928465,0.15144408,0.2617162,0.29770556,-0.2677623,0.024616862
1971-05-01,0.01641121,0.026344359,-0.011948538,0.12740302,-1.0077076,0.2562456,-0.20816359,0.18455447
1971-06-01,1.0297332,0.11401491,0.361911,0.0944366,-0.23004524,-0.43864074,-0.15504304,0.09501243
1971-07-01,0.18844132,0.15201989,0.28143835,0.1960711,-0.089973904,-0.6868247,-0.16353655,0.15749025
1971-08-01,0.5732417,-0.21924838,0.007053959,-0.014971649,-0.21363401,-0.66739035,-0.13963953,0.12653928
1971-09-01,0.10854454,0.18541822,0.22054401,0.16022548,-0.27740747,-0.26632273,-0.21680112,0.24660048
1971-10-01,0.1870018,0.2288936,0.038868714,0.27064148,-0.20643607,-0.11559844,-0.13272949,-0.03455
1971-11-01,0.26042062,-0.0558558,0.09285307,0.005470419,1.1951413,-0.012668324,-0.050961208,-0.32548955
1971-12-01,0.05240078,0.11286326,-0.12927446,-0.0325346,0.33182374,-0.55193585,-0.1371922,0.106816985
1972-01-01,-0.6922128,0.3194727,-0.09456606,0.050899886,0.39694056,-0.19294624,-0.4957153,0.03551159
1972-02-01,-0.9319817,-0.053398896,-0.10916519,-0.16124888,0.008023071,-0.06615677,-0.44665676,0.09101486
1972-03-01,0.80387706,0.14980626,-0.14993787,0.01972866,0.29316786,0.3439362,-0.13454942,0.14546604
1972-04-01,-0.3936525,0.0023674488,0.22148705,-0.04932165,0.7707329,0.14651814,-0.21214882,0.14244092
1972-05-01,-0.18610696,-0.019071031,0.17953078,0.2043889,-0.0528728,-0.12705252,-0.027883148,0.017887305
1972-06-01,-0.2126749,0.01893959,0.5501665,0.101405285,-0.504659,-0.10390427,0.09127788,-0.013941574
1972-07-01,0.188869,-0.13402338,0.23490238,0.18886909,-0.2167522,-0.44284257,-0.34880257,-0.27606982
1972-08-01,-0.12429051,-0.12889385,0.30605727,0.25147462,0.09667041,-0.6343421,-0.30842465,-0.38668156
1972-09-01,-0.022622203,0.38115764,0.3367024,-0.010390425,-0.1532259,-0.18439718,-0.2637064,-0.03235507
1972-10-01,0.12231767,0.16309023,-0.12415902,0.09048877,-0.48361516,-0.37405533,-0.24476688,0.0031565905
1972-11-01,0.51899517,0.13205048,0.0059185983,0.13849516,-0.30092773,0.27107167,-0.23674385,-0.0024989606
1972-12-01,-0.32091945,0.13152437,-0.07168083,0.19952247,0.5751561,-0.2256958,-0.26002368,-0.099300906
1973-01-01,0.090035,0.14433303,-0.1511203,-0.115106285,0.04363235,-0.078815244,-0.2611015,-0.017314339
1973-02-01,-0.19198236,0.09889998,-0.15264395,0.030750418,-0.31678468,0.060531236,-0.3730219,-0.2105434
1973-03-01,-0.3854883,0.017175902,0.12840371,0.016206264,-0.3306362,0.36498803,-0.2626252,0.060669802
1973-04-01,-0.42690438,-0.078953765,-0.38562685,0.3095819,0.20001622,-0.12715717,-0.13532953,0.10360952
