,r600GLB_cluster1,r600GLB_cluster2,r600GLB_cluster3,r600GLB_cluster4,r600GLB_cluster5,r600GLB_cluster6,r600GLB_cluster7,r600GLB_cluster8
1968-03-01,30.034092,25.874939,28.524307,80.99499,50.195683,20.40237,23.779266,72.56884
1968-04-01,35.163822,11.08934,37.212814,80.60225,36.684875,22.73143,31.126997,64.95392
1968-05-01,71.363266,16.41544,44.50421,73.34787,33.472153,26.963015,30.76967,78.10096
1968-06-01,72.45939,15.000622,48.61186,71.636894,27.043493,42.51477,34.790398,52.077282
1968-07-01,78.028534,10.820541,44.57664,76.83261,26.689386,50.961845,22.594616,52.64868
1968-08-01,75.69786,11.325951,40.802177,76.880905,30.19505,49.4762,28.307013,56.691948
1968-09-01,75.09588,15.34668,38.87068,76.25156,26.528427,49.389286,26.106718,51.35136
1968-10-01,71.26347,14.123398,44.566986,74.289474,34.165882,32.61264,32.1185,61.276028
1968-11-01,48.344666,24.872171,41.608578,74.783615,59.115974,18.725185,33.76349,54.848976
1968-12-01,55.090416,14.804253,40.703995,74.45044,54.641342,12.681217,31.701616,66.09994
1969-01-01,34.95819,16.3867,41.711304,73.15733,58.74868,17.725288,31.37023,65.169235
1969-02-01,19.134068,23.164883,35.519695,72.76962,60.56689,26.400229,30.90899,43.021484
1969-03-01,38.850296,24.692314,36.71791,71.77529,41.123062,21.864727,27.120495,58.77876
1969-04-01,65.398186,17.016724,42.39982,67.24313,33.176743,22.660194,29.085768,69.59946
1969-05-01,67.16459,14.74897,37.86599,74.23355,22.237396,33.053078,28.823397,69.63789
1969-06-01,67.605774,15.993977,44.809616,70.96144,19.142426,49.75622,33.382294,54.873283
1969-07-01,76.48627,10.338806,39.56722,77.677795,16.704216,47.466743,24.17927,59.08792
1969-08-01,82.64111,15.920448,39.995033,72.40866,20.0766,52.22284,26.204704,42.536854
1969-09-01,80.17449,13.229897,48.83876,76.83219,29.866194,44.838028,29.51191,46.328693
1969-10-01,57.547123,11.516968,39.79951,71.649956,34.39501,32.419712,30.865541,51.893623
1969-11-01,31.346832,13.96019,39.27978,74.35889,46.405563,22.088661,30.45778,59.512394
1969-12-01,41.883434,13.019333,32.849197,70.87287,65.5135,14.682125,26.834728,69.10647
1970-01-01,11.540195,12.518265,40.11774,73.56909,65.23315,16.71851,19.58818,57.334106
1970-02-01,39.781788,16.48351,32.66719,71.34816,52.79129,17.547638,26.05073,69.06103
1970-03-01,31.521969,23.156237,38.241035,78.873184,57.484707,17.53936,27.90261,66.5902
1970-04-01,44.395767,14.454548,37.688286,75.66921,38.85833,17.051155,29.96798,65.89016
1970-05-01,69.86202,14.217892,41.52279,74.60343,25.274563,26.31883,39.57161,54.44292
1970-06-01,59.416023,15.255543,36.784687,67.80658,22.338696,43.401146,27.387924,56.241844
1970-07-01,68.235214,7.2042465,47.87942,70.27079,20.857521,37.28779,21.079285,42.633255
1970-08-01,77.274506,11.6626625,34.318825,79.417656,20.417305,43.1016,24.989912,35.310135
1970-09-01,73.670044,17.047844,52.826042,71.796646,36.865776,45.39039,35.253864,50.37342
1970-10-01,53.901756,14.368492,37.9448,77.65514,38.300613,47.43093,28.47191,43.035404
1970-11-01,53.850452,17.183548,40.07306,77.01303,45.97127,33.277863,30.059,50.466095
1970-12-01,40.276615,18.102043,39.377983,70.406494,60.059795,23.01391,38.899704,59.088345
1971-01-01,13.175461,20.202976,38.971184,70.05826,64.12113,11.282074,28.642076,59.079987
1971-02-01,27.379255,26.408894,28.62179,68.900246,64.4491,25.46389,27.308252,58.929527
1971-03-01,50.081318,19.09906,31.407776,68.80389,59.25242,23.526546,34.13121,69.32964
1971-04-01,71.19767,19.847965,32.575928,77.86341,38.30174,32.70948,35.294296,66.88176
1971-05-01,77.8482,12.005615,45.422234,75.941284,25.521368,34.477768,32.851486,66.85302
1971-06-01,70.920425,13.467922,36.396515,70.61106,20.882565,33.566578,31.492302,53.614517
1971-07-01,75.64713,11.016659,48.727207,83.58753,18.977345,42.867847,28.249874,30.875261
1971-08-01,81.143036,10.962563,43.148476,76.4028,22.302608,53.010998,34.42198,44.276054
1971-09-01,67.4109,21.629776,37.92813,74.90499,34.660347,56.544197,23.097153,47.2835
1971-10-01,57.310005,16.524391,38.979637,82.47517,48.130455,23.797031,32.474495,55.960968
1971-11-01,57.215336,18.06615,36.8462,79.841324,60.401978,32.109344,32.54043,58.557613
1971-12-01,37.7557,15.7230835,41.36328,72.1748,50.867413,34.526794,29.445076,68.87489
1972-01-01,25.321192,25.748646,41.90572,69.84294,63.91711,17.427128,31.290907,73.49498
1972-02-01,29.204025,18.629848,31.94265,73.70627,58.537376,15.091576,35.851486,66.59885
1972-03-01,53.472954,21.691906,28.498648,70.87988,53.83702,23.400091,29.176395,74.43603
1972-04-01,54.501766,18.043114,37.79534,74.41328,42.840263,21.469238,36.522736,68.22577
1972-05-01,57.4338,16.42107,41.462013,70.21676,22.369654,24.321634,30.083311,68.85476
1972-06-01,76.719574,18.56646,44.52407,77.475334,20.758984,36.803913,31.134878,57.846626
1972-07-01,77.08038,7.0951157,31.00648,77.01862,19.718796,45.838936,30.59203,44.75974
1972-08-01,78.72356,14.888412,44.949898,77.26567,23.947817,54.80082,26.226482,32.966587
1972-09-01,75.24867,20.685848,36.092033,75.139786,30.718801,62.789154,30.582277,56.513885
1972-10-01,70.47031,18.789127,42.271408,79.85802,36.72915,40.4462,29.090256,51.89479
1972-11-01,53.061752,22.582567,44.678474,81.68648,46.376907,28.303612,20.609459,63.278366
1972-12-01,41.119076,22.068974,34.4131,76.25961,60.960693,17.199585,30.119068,65.13283
1973-01-01,29.502272,16.664906,36.936676,71.08863,55.886448,8.48,27.763144,72.666824
1973-02-01,49.363483,14.651524,35.00212,66.19148,59.69315,17.242973,30.471191,70.54341
1973-03-01,36.7626,16.751945,41.777992,62.286243,56.962112,16.701035,39.16355,74.5439
1973-04-01,47.502827,11.342419,31.469671,70.47936,38.329292,19.351604,25.692282,75.5588
1973-05-01,64.51804,15.722263,37.544304,77.88257,26.447712,34.218773,31.515654,50.010525
1973-06-01,66.7597,14.078384,44.19372,76.248535,20.946217,45.03126,20.542229,50.60173
1973-07-01,68.29683,13.097969,34.299244,69.89637,18.377758,41.470894,23.882538,25.84501
1973-08-01,80.87144,14.697506,39.459152,74.95445,28.756697,57.229797,25.25052,39.035454
1973-09-01,74.73604,13.994629,38.184776,74.690056,24.698729,45.6044,32.02146,40.682617
1973-10-01,60.74254,20.757362,46.864,74.47492,36.581955,24.623186,29.274,55.505447
1973-11-01,47.378017,16.778221,46.69813,79.80891,49.903778,37.368584,24.610048,68.57272
1973-12-01,32.354836,17.865383,37.39158,72.077255,63.844727,19.216942,33.27449,78.01559
1974-01-01,24.874239,21.765766,37.90471,73.031624,57.98833,16.307346,33.294056,78.237206
1974-02-01,27.734829,17.209644,24.532158,63.73099,71.51622,11.285202,33.55516,72.84323
1974-03-01,40.823143,18.855598,27.235754,71.740974,56.031693,23.705877,40.058002,73.61002
1974-04-01,49.938686,24.388386,34.30873,65.26457,42.662445,13.423618,25.895525,73.11756
1974-05-01,58.360157,15.857845,37.10652,76.46896,22.792007,18.092113,34.072414,74.94034
1974-06-01,62.625427,19.75129,43.977886,78.13474,21.722797,38.94087,29.122984,53.904842
1974-07-01,69.19768,9.89209,35.30688,81.960434,22.927519,42.89546,22.712685,46.13118
1974-08-01,73.975235,20.790752,43.804367,75.69556,26.589602,44.66205,32.54049,43.34826
1974-09-01,74.92546,23.365448,39.258163,76.45739,28.686707,41.122253,37.450256,57.973457
1974-10-01,51.31858,12.698143,50.277462,79.46506,47.152462,27.88356,33.788174,42.573208
1974-11-01,45.35943,21.707928,26.847403,79.370865,47.134285,20.703167,32.16205,61.876816
1974-12-01,47.54908,15.558731,42.35672,72.84489,60.230858,20.719692,23.033283,73.59184
1975-01-01,44.267525,13.415173,34.92671,71.647934,67.86815,15.538834,27.21074,50.612167
1975-02-01,37.00757,16.078804,34.190834,64.82588,67.538895,12.238106,25.623756,72.00023
1975-03-01,27.854424,18.666706,37.88008,71.5294,57.56098,10.6214905,28.345005,75.70429
1975-04-01,64.1789,14.684433,30.33532,73.12627,38.637352,23.25151,28.432257,74.29181
1975-05-01,65.4959,15.084469,35.511124,69.48641,25.40645,28.279156,25.982637,64.816
1975-06-01,65.15348,8.973595,44.820663,76.6443,24.578388,35.911163,20.319542,43.51025
1975-07-01,75.78331,16.310925,44.27246,74.630936,16.939793,41.536396,33.19979,23.134626
1975-08-01,68.855896,8.693733,39.48188,82.53458,25.599062,44.978703,18.686462,39.832527
1975-09-01,72.83982,13.1847,38.882645,78.69223,42.26898,49.594784,34.902016,30.091675
1975-10-01,53.509563,15.188183,32.8228,79.1219,41.445854,31.398796,28.254461,47.067795
1975-11-01,32.07376,17.461655,38.698265,71.35819,49.757763,11.31456,31.680305,69.80414
1975-12-01,33.57843,12.338528,44.15887,67.97845,50.111706,36.472534,25.719238,66.08691
1976-01-01,44.70733,21.771255,32.49389,66.01811,67.95665,23.691751,25.958298,75.88136
1976-02-01,59.84169,22.105827,35.88387,73.946106,60.42555,13.444733,34.21266,81.282036
1976-03-01,59.346397,18.22219,36.3152,65.458855,56.591114,15.348827,38.60635,74.15439
1976-04-01,62.20664,14.963417,29.299076,73.693535,36.03147,30.217503,25.699171,70.98582
1976-05-01,60.955284,10.261398,45.981644,73.7903,30.122381,41.1271,21.108677,61.52766
1976-06-01,68.47654,22.184547,43.575695,68.619225,18.917572,32.406967,29.320396,60.51575
1976-07-01,67.34327,11.4291115,45.39779,71.45815,22.23211,44.777847,29.558205,20.793789
1976-08-01,67.42691,11.143745,40.318558,77.69033,29.941975,55.548046,24.969349,28.992388
