,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8
1965-01-01,-1.9198701256199888,2.000320008032433,-1.9918689625946122,-14.453639513180578,0.5012909093871712,-6.77749709165383,-10.916379898313492,-6.150747467489803
1965-02-01,-1.3340578110594499,1.8749680662456947,-2.6218659913719597,-16.085628226951314,0.9851252615451813,-7.781671576483553,-10.417682027059888,-5.612697461072137
1965-03-01,-1.4413463285094814,1.8945398637514075,-2.747185745430951,-16.533287071887358,1.2254830837249755,-8.20300325085617,-11.095958664303733,-6.0973802033592674
1965-04-01,-2.4288179686194975,2.2140812773241776,-2.4122295966699494,-16.094164200771,0.9719503164291382,-7.9797575973563175,-12.489920570736839,-7.502750508925494
1965-05-01,-3.5311537981033325,2.359972694252111,-1.313577899381743,-13.72553448618194,0.39441399397328497,-6.459216153908431,-13.796117192222958,-8.896652950960048
1965-06-01,-4.540449757325022,2.349407491804678,0.23620301604869978,-10.427502349570945,-0.4093896061182022,-4.037496887941131,-14.675860934787327,-9.965182051939124
1965-07-01,-5.2347353885048316,2.261538254057808,1.530733195381548,-6.48953796904764,-1.1304689049720764,-1.5731954083000261,-15.228982577248225,-10.62961031408871
1965-08-01,-5.861934988122238,2.3240548447717595,2.1726206019895162,-3.9164722701649604,-1.563299685716629,-0.1567532567633796,-15.375021525791713,-10.993737332961139
1965-09-01,-6.077144647899427,2.4352033379711684,2.245329732271894,-4.910123053892159,-1.603770124912262,-0.6495296391834507,-15.542125323462107,-11.251376937417424
1965-10-01,-5.800549607527883,2.5409790131613175,1.5044231360881173,-7.487263797241964,-1.314468339085579,-2.118993829615747,-15.610242268395803,-11.084260660059313
1965-11-01,-5.127196562917609,2.6243115678618225,0.433183465171699,-10.416847099492578,-0.8472354352474213,-3.9216211980970455,-14.645514412531776,-10.189455957973705
1965-12-01,-3.6099693649693543,2.385441301241203,-0.8623865269236828,-13.145208947452497,-0.11053952276706695,-5.6265100171066225,-12.93004732283335,-8.35910951389986
1966-01-01,-2.2667250507756282,2.179843931761472,-2.030558023021449,-15.37123609472204,0.5438455060124397,-7.170952308628567,-11.431285313197545,-6.733058340409223
1966-02-01,-1.6581860341523824,2.0763483945327468,-2.654800013681153,-16.730558136363086,0.9476865410804749,-8.067377817999455,-10.720288564288428,-5.961194879868452
1966-03-01,-1.895403360065661,2.180126477897419,-2.6449760000909395,-16.707259048650293,0.9811001002788544,-8.284492099408022,-11.124229052710154,-6.4188016162199135
1966-04-01,-2.7922257624174422,2.3923684222788753,-2.213363012476782,-16.13235826845522,0.6904677629470826,-7.939636092825034,-12.467520199124776,-7.6463766659007355
1966-05-01,-3.79695032772265,2.5395739229419565,-1.059738542865868,-13.784814763952184,-0.0047621488571166996,-6.460880987422982,-13.697853164067343,-8.961443199830898
1966-06-01,-4.869094271408884,2.5564103388082127,0.354522702532198,-10.798169948436595,-0.6140301167964936,-4.308976914055159,-14.784392477974059,-10.237983956056484
1966-07-01,-5.699570429952521,2.543393428818586,1.575519960729321,-6.9232611008632325,-1.2818277806043625,-1.8317730156416745,-15.30226260896713,-10.933526544009938
1966-08-01,-5.959852243724622,2.4535452514761107,2.351853565954084,-3.807124532299277,-1.7522278308868409,-0.3969952208070001,-15.541475916665698,-11.141222505008473
1966-09-01,-6.239476705852308,2.492728449624299,2.456376840121782,-4.182481177059221,-1.8189245223999024,-0.40325616643191203,-15.578438365270221,-11.38182892518885
1966-10-01,-6.101039585314299,2.6310821122761014,1.8628103349676084,-6.84816719573221,-1.6478476524353027,-1.648993959131929,-15.3413420631772,-10.983985171598547
1966-11-01,-5.14507438007154,2.6139522001210147,0.6277192477604852,-9.917797277003158,-1.0017736673355102,-3.719824613984098,-14.36979505750868,-9.935956702512854
1966-12-01,-3.657115572377255,2.3923975304712224,-0.8631294172013825,-12.854814529418945,-0.1775396168231964,-5.6046656316907955,-12.670495396568661,-8.259195019217099
1967-01-01,-2.2251035978919584,2.081173356575302,-1.886425575419287,-14.947338457460756,0.5201203975826502,-6.892869562627523,-11.071659269787016,-6.563661378972671
1967-02-01,-1.431097498065547,1.8473517278578715,-2.4662756141106685,-16.078567504882812,1.0411197066307067,-7.663410717679053,-10.116840922643268,-5.664959374596091
1967-03-01,-1.6334620745558488,2.002658417707757,-2.63618539326155,-16.173698872695734,1.1084810614585876,-8.010539811911041,-10.636618780711341,-6.041176038629868
1967-04-01,-2.570243320967022,2.342389842125937,-2.2533802231352533,-15.810016938197759,0.7463103368878364,-7.859278544527558,-11.908742359706334,-7.288480646470014
1967-05-01,-3.7763468842757377,2.6156900401859846,-1.216817965459584,-13.374074888818058,0.06849161386489869,-6.505549814283233,-13.335717670501225,-8.749511802897734
1967-06-01,-4.863087503533615,2.5818301051980836,0.4145818776521251,-9.897623827427992,-0.6827448723837733,-4.197484111458166,-14.284289450872512,-9.990870812359978
1967-07-01,-5.678476534391705,2.531859633288806,1.7423107995459781,-5.759481736171392,-1.429991030693054,-1.4800391246363058,-14.811602471366761,-10.752451560076546
1967-08-01,-6.025343443218031,2.4486769704376092,2.396939777249667,-2.4101342683956943,-1.8392515420913695,0.2051206184007048,-15.095491636367072,-10.944543165319107
1967-09-01,-6.040485030726383,2.4410283112827735,2.4237895131710188,-3.4913067464475276,-1.9110734701156615,0.07231486801224475,-15.42528886643667,-11.159935839035931
1967-10-01,-5.663133545925743,2.449185496141136,1.8515213051033979,-6.3365297552980016,-1.5890567898750305,-1.1603947562450396,-14.806950659978957,-10.560347332673915
1967-11-01,-4.812776603196797,2.467206580729424,0.6006303219938998,-9.532904624938965,-0.9797002136707306,-3.1057143948741794,-13.82512024470738,-9.488335917977725
1967-12-01,-3.4417320552625155,2.343702105027211,-0.788236682738491,-12.260559458791473,-0.27498838901519773,-5.292904417949034,-12.401061587863499,-7.8828533957986275
1968-01-01,-2.008850888202065,2.045516902384376,-1.8975067528048952,-14.465253147078148,0.42489123418927194,-6.856398729933906,-10.99647907983689,-6.19778829462388
1968-02-01,-1.406604710378145,1.9197022933748704,-2.5981953994712637,-15.848239262898762,1.0029850602149963,-7.739231758510943,-10.29808729413956,-5.496747353497674
1968-03-01,-1.5436888995923495,2.0002407803817137,-2.676683125184409,-16.304667202042943,1.015617799758911,-7.972062985921643,-10.388827323913574,-5.750910534578211
1968-04-01,-2.477411753252933,2.2687230230886724,-2.242147533138793,-15.58977645120503,0.7454920979216695,-7.545126590532125,-11.943191952175564,-7.261863596299116
1968-05-01,-3.7356360335099073,2.5079641161085684,-1.012231836366893,-13.416914881011586,-0.02905655950307846,-6.336022078786109,-13.236457204061841,-8.714166388792151
1968-06-01,-4.932000699796175,2.5184911112242108,0.4763972082048954,-10.358678264382444,-0.693820858001709,-4.20599458963191,-14.515383659847199,-10.186156385085162
1968-07-01,-5.551209575251529,2.428239478340632,1.6467717873990235,-6.687169016143422,-1.3671737372875215,-1.7681652327993072,-15.119893210274833,-10.746547194088206
1968-08-01,-5.9634645361649365,2.368517636246822,2.258804066097317,-3.666289941764172,-1.6605658292770387,-0.23997900207427766,-15.389477260529048,-11.14751226761762
1968-09-01,-6.223575065010473,2.4281141325391293,2.3359004876122405,-4.4198065628240135,-1.7116217136383056,-0.4976123878636311,-15.811354773385185,-11.479339880101822
1968-10-01,-5.887930142252069,2.5228407111348985,1.6517757470883316,-7.1609161518238205,-1.3987274944782258,-2.093767177608005,-15.495545523507255,-11.16718993467443
1968-11-01,-5.077892667368839,2.5184141030291465,0.5718585085030177,-10.303547058576418,-0.8259491577744484,-3.8674805172530236,-14.508616735064795,-10.192681200364056
1968-12-01,-3.526510062970613,2.38285177367649,-0.9878511292551031,-13.187616254076545,-0.08591952323913574,-5.962437862383131,-12.830951478746202,-8.134182340958539
1969-01-01,-2.2755336447765955,2.200546274708293,-2.132708687878134,-15.127277962955427,0.5266006153076888,-7.328474726463921,-11.230702248830644,-6.462430252748377
1969-02-01,-1.595004467587722,2.047605840214194,-2.7499232759427783,-16.39021944116663,1.0015108346939088,-8.145918960833468,-10.58131115777152,-5.849077140583712
1969-03-01,-1.8202193787223415,2.134220577493499,-2.8660147932905646,-17.188534324551807,1.2174243450164794,-8.668091207025796,-11.051592372712635,-6.313368011923397
1969-04-01,-2.7373079249733374,2.402266998331255,-2.4149967198395847,-16.553834043903116,0.930166418850422,-8.271985529214655,-12.515340154133145,-7.732562317567713
1969-05-01,-3.868959326493113,2.594376515738572,-1.2555603106417248,-14.314002166559666,0.17041968405246735,-6.72887248271929,-13.79358654930478,-9.057947888093837
1969-06-01,-4.815583354548404,2.590172240502724,0.21626524365127986,-11.355619077329282,-0.6292193531990051,-4.457052958380316,-14.370739270770361,-9.977136920480167
1969-07-01,-5.64493267159713,2.5321847074645483,1.6470113291812303,-7.006460354651933,-1.3308058857917786,-1.9123187589481523,-14.785226943000914,-10.748998698066263
1969-08-01,-6.1532030607524675,2.5110676821777087,2.2705438149035277,-4.210636056499716,-1.6652370810508728,-0.5299262216001032,-15.22203248644632,-11.32530689239502
1969-09-01,-6.33550669017591,2.583653816190953,2.3456277559750043,-4.792968284936599,-1.7958737850189208,-0.7610738277435303,-15.669814745585123,-11.571430038003362
1969-10-01,-5.792359301918432,2.6142937925797476,1.569081131537356,-8.055269276654279,-1.4725857496261596,-2.2192315547326995,-15.353339059012276,-11.059146488414092
1969-11-01,-4.908517159913716,2.6149840093363186,0.3360257376378505,-10.87554825676812,-0.8094493210315704,-4.107787846699613,-14.10665474240742,-9.821239499484792
1969-12-01,-3.4453172432748898,2.402838865915934,-0.9836281888449012,-13.785998026529947,-0.08097012639045716,-6.03211589695252,-12.368911031692747,-7.992341939140768
1970-01-01,-2.1680652154119393,2.2025830232644386,-2.11757503861758,-15.980226610913688,0.5627479314804077,-7.603890953195053,-11.08070593031626,-6.496995477115407
1970-02-01,-1.478414535522461,2.0372567649632063,-2.731300328844157,-16.878440056318116,1.0277978360652924,-8.42350750035027,-10.328706483992319,-5.723173478070428
1970-03-01,-1.7746025637576455,2.18971259986298,-2.8567116464202726,-17.494064495887283,1.074361753463745,-8.753881257833893,-10.708114079066686,-6.158206462860107
1970-04-01,-2.699049554373089,2.3860156284605902,-2.2022817602109668,-16.63387910819348,0.6990445971488952,-8.22973497135123,-12.044226934039404,-7.408051490783691
1970-05-01,-3.7709768822318632,2.578552704823168,-1.1345515748364243,-14.04489470116886,0.018958171457052232,-6.662746966909297,-13.470298903329033,-8.98428622414084
1970-06-01,-4.728575631191856,2.6059083495964983,0.3972366601977516,-10.663501715954439,-0.8771792471408844,-4.285984022920484,-14.439677435254294,-9.965043067932129
1970-07-01,-5.385008987627532,2.5076457518565505,1.5422870465858498,-6.382965158533167,-1.4783490896224976,-1.7525368949391997,-14.92009162902832,-10.551694140714758
1970-08-01,-5.825618191769249,2.491580967158708,2.20847489246771,-2.989410176689242,-1.8521817684173585,-0.15472762568300122,-15.34468824901278,-11.070767290451947
1970-09-01,-5.983448906948692,2.505676193076347,2.3125393905831344,-3.8743769681012186,-1.863398265838623,-0.23556362927164817,-15.344119828844827,-11.103147899403291
1970-10-01,-5.646580771396035,2.6081764345933616,1.6358740066164104,-6.812009693663796,-1.5937400579452514,-1.9723379325211252,-15.106738181341262,-10.631787917193245
1970-11-01,-4.783540775901393,2.5980523266369784,0.4677818498419757,-9.770233542830855,-0.9892006754875183,-3.786561906952219,-13.862921321202839,-9.446666661430807
1970-12-01,-3.366456470991436,2.3702114644432872,-0.7382854557217066,-12.600945837703751,-0.3352453652769327,-5.526729138036774,-12.085474483550541,-7.62785462772145
1971-01-01,-1.984230813227202,2.1046208580837975,-1.8506090095893821,-14.969029838656201,0.3558228611946106,-7.047362835546539,-10.628721449110243,-5.9255771075978
1971-02-01,-1.09643523630343,1.9113680380809157,-2.5488054333020695,-15.958550535602333,0.8851682484149933,-7.930717599350971,-9.876711027962822,-5.1773158241720765
1971-03-01,-1.296665480262355,1.9915952687525045,-2.681001406818179,-16.481041613920233,1.1000639200210571,-8.285376951866542,-10.431943053290958,-5.691024555879481
1971-04-01,-2.349947690963745,2.274330115016503,-2.2937291830628364,-15.89691020824291,0.8778150916099549,-7.846841615499909,-11.921408062889462,-7.13013536789838
1971-05-01,-3.6236541522176644,2.4820265991275323,-1.1005384538640928,-13.860594196084104,0.20570957511663437,-6.457857086076769,-13.376116374182322,-8.612535701078528
1971-06-01,-4.605228900909424,2.446309675144244,0.4393391648129602,-10.320549541049532,-0.6498829886317253,-4.061822055541363,-14.425130117507209,-9.814563358531279
1971-07-01,-5.449327920612536,2.427176181777117,1.6728364043499357,-5.8050770818451305,-1.3412711381912232,-1.54718981985374,-14.991617959643166,-10.634298044092516
1971-08-01,-5.958163989217658,2.4543824477537775,2.2595703901357984,-3.5150345460868175,-1.7543053388595582,-0.06446249501402025,-15.243364137316506,-11.027828665340648
1971-09-01,-5.9629479207490625,2.4693532835079144,2.162356352686283,-4.339880854995162,-1.7045576572418213,-0.472716742620845,-15.529596237909226,-11.286816035999971
1971-10-01,-5.56858451742875,2.488443599974556,1.6699104752372858,-7.1120653623416095,-1.4604358792304992,-1.8581225699985149,-15.354646955217634,-10.76362553764792
1971-11-01,-4.635239525845177,2.4991519340482946,0.4334641536276544,-9.931124286887085,-0.8675923526287079,-3.8229456472232988,-13.895343598865328,-9.411932720857509
1971-12-01,-3.271955502660651,2.350414342518094,-0.834284646052811,-12.503069418447987,-0.2883124642074108,-5.680324449571956,-12.252509783184717,-7.662703850690057
1972-01-01,-1.713829887540717,2.064049570872311,-2.086832864799691,-14.581182856618621,0.45119280368089676,-7.221272720913706,-10.714209458184621,-5.773893664864933
1972-02-01,-1.1915037506505064,1.9316999928609229,-2.7626059163155867,-15.967507421234506,0.9925317585468292,-8.095390116635876,-10.265978366609604,-5.397496784434599
1972-03-01,-1.2002548418546979,1.9351346184939682,-2.945061544677121,-16.16233425375856,1.2660411596298218,-8.40050166415185,-10.614343105800568,-5.71705888299381
1972-04-01,-2.215015166684201,2.250182955576901,-2.501528616526618,-15.582309534520277,0.9446514457464218,-8.110561895206622,-11.904845918927874,-6.925433944253361
1972-05-01,-3.482460410971391,2.4690973708398234,-1.381727918308584,-13.509898126861195,0.27731856107711794,-6.582615875296576,-13.396223007686554,-8.608968257904053
