,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7,zgu200_cluster8
1965-01-01,0.5864256759716792,0.16870033144950866,0.21140357639418245,-0.4892448442322867,-0.29324133639729233,0.14058265339535397,-0.04530170342877175,-0.7662507250854179
1965-02-01,0.500550492976066,-0.08034127578139305,0.1597941933088601,-0.12266244419983455,-0.26229991198231306,0.1764269556695893,-0.01819916905060466,-0.7422042584663364
1965-03-01,0.47025028274134917,0.05581121034920215,0.19148302737628875,-0.2146895309644086,-0.2854340423669802,0.07240124105584221,-0.07536290913903282,-0.594060148395369
1965-04-01,0.3685729755384098,-0.07065519765019417,0.08729087531816057,-0.1238865362746375,-0.23411124571653763,0.21676301691659103,-0.0003249809049076799,-0.5195387496069429
1965-05-01,0.19845007576720045,-0.14029333963990212,0.04598176968656752,0.08647323719092778,-0.3243455091171239,0.27353746680583235,0.024984328001875954,-0.20175972387652347
1965-06-01,0.001620984510308713,-0.3757861852645874,0.06108637489080212,0.2764131171362741,-0.20457445196454516,0.21306960687364582,0.10877786445913071,-0.07268153766723216
1965-07-01,-0.12597438264389418,-0.3822760820388794,0.05020756154191332,0.4250097359929766,-0.1561660797200361,0.29638668694909975,0.08157173138347039,-0.08720464419586259
1965-08-01,-0.1429889991705326,-0.35199286639690397,0.10620840705876199,0.4655958499227251,-0.15253865245744808,0.27596931674938346,0.03969364693777367,-0.003235644753068787
1965-09-01,0.038923606341036164,-0.34164292812347413,0.09301559731169039,0.3208756446838379,-0.31141815190386224,0.46762705613405275,0.03574045695807221,-0.13900367863342775
1965-10-01,0.36043007554912404,-0.07607041150331498,0.13215007528857894,-0.027218033160482134,-0.34512668969021437,0.2757331789921256,-0.004581816861113687,-0.4021896691452521
1965-11-01,0.23593668684437993,-0.014905674755573273,0.15208170718067424,-0.13128210604190826,-0.2684935987882911,0.24410628270967705,-0.0048981522907785725,-0.4422208046343546
1965-12-01,0.3790013653806135,-0.06638179272413254,0.22613616901540687,-0.18166770679610117,-0.25574573402637074,0.39959001470599653,-0.04448813153647004,-0.7300532718567311
1966-01-01,0.4734752721499919,0.2081489309668541,0.24237812346246043,-0.3734421985489981,-0.29524042899940917,0.1706605372388794,-0.08782709939206433,-0.7383058298976755
1966-02-01,0.3333121563038961,0.17070821784436702,0.19082927092194035,-0.19249661253499134,-0.2740754628697655,0.20986831135298373,-0.04986718728508845,-0.6463604778966806
1966-03-01,0.31729875900510557,0.014325322210788726,0.21434926266579996,-0.18934862315654755,-0.2911984315583122,0.22893882920521014,-0.04395113215057963,-0.4712646426601214
1966-04-01,0.32343423127730025,-0.016865447163581848,0.05401754534899581,-0.16503849625587463,-0.1656456793757995,0.06010787824675793,0.006560762019390405,-0.3230122169130084
1966-05-01,0.08033894745629896,-0.16466907262802125,0.03499275553304555,0.2423615881374904,-0.19101839076541113,0.2710937542557951,-0.008259453406918901,-0.21344519509542922
1966-06-01,0.06781044992958762,-0.257938751578331,0.08570305349676717,0.23492974468639918,-0.2365537149093148,0.3428276995641475,0.010206256521832865,-0.08261835920932756
1966-07-01,-0.11501293753791532,-0.2777480810880661,0.0992544217704859,0.38982851803302765,-0.12374528884101302,0.13792044519863772,0.06975941957746777,-0.1556355328181498
1966-08-01,-0.07083322604082662,-0.2813747197389603,0.07395930954267364,0.355671158858708,-0.14561852805709646,0.18928939512429327,0.060429384085776056,-0.14655643966010812
1966-09-01,0.08342068063993884,-0.2785221070051193,0.12442923897912582,0.24425518299852098,-0.24060208113493553,0.3456974258789649,0.007673893417875968,-0.23985440006841977
1966-10-01,0.2526027755267632,-0.15519370473921298,0.0567758176611327,0.1049530389053481,-0.28048105921006494,0.36742507647245354,0.019845263098566313,-0.4353221874595095
1966-11-01,0.30269060588639246,-0.08347546737641096,0.06341786710802992,-0.04551250647221293,-0.24773719265593244,0.3897319443127107,0.016428250387075773,-0.6112797878708042
1966-12-01,0.5359666574379438,0.07896005911752582,0.2342764391215434,-0.25842774552958353,-0.3099267775538165,0.28900040471577315,-0.06945027207511244,-0.8057096102131918
1967-01-01,0.525229303586065,0.09848466441035271,0.1872421064708257,-0.10726062314850944,-0.3323503574595884,0.17949861402694994,-0.05658192611096242,-0.7862448895750599
1967-02-01,0.6209545571338354,0.1553316619247198,0.21770797572281683,-0.38715233547346933,-0.3275151161605515,0.18631986303795017,-0.07473834826608389,-0.7712343853895167
1967-03-01,0.3546583557964764,0.05781795233488083,0.16015194237145447,-0.22361538665635244,-0.23147480030505035,0.19700901226473042,-0.056523246087043955,-0.5350739068952436
1967-04-01,0.26885987273440737,-0.12607729770243167,0.11780558183133125,0.045220227379884036,-0.20646894595135856,0.2500155878196336,-0.045341406425698116,-0.5070263615240416
1967-05-01,0.218225726997713,-0.08990066796541214,0.07635830173586133,0.026520145923963616,-0.3114215434807402,0.340395808748945,0.002194987393798049,-0.27575546767524484
1967-06-01,0.05600439176237046,-0.21118222028017045,0.14094210526698542,0.1923815075840269,-0.26484580057722307,0.3585623022484826,-0.0006672800860143749,-0.15839320248304373
1967-07-01,-0.05879870744947599,-0.34039496183395385,0.14011343558802875,0.27536688106400625,-0.18525286016832024,0.25010586108211463,0.07661590220781948,-0.07365261468362483
1967-08-01,-0.11073026296143142,-0.2571523129940033,0.15018671056936228,0.3233437580721719,-0.18378027963057583,0.3201959621624128,0.004066305462886668,-0.062051159885963075
