,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8
1980-12-01,1015.50555,1009.1793,1013.44037,1017.2905,1015.3557,1023.7258,1020.3056,1011.9504
1981-01-01,1016.07806,1009.9193,1013.50464,1016.6259,1016.13794,1026.1343,1020.02075,1012.0854
1981-02-01,1016.0055,1010.4046,1012.3583,1016.3004,1015.2347,1020.582,1018.24414,1011.1195
1981-03-01,1019.53217,1011.0829,1013.27826,1015.0369,1012.57794,1016.4495,1020.4169,1011.59814
1981-04-01,1018.2455,1010.4079,1014.8379,1014.0178,1010.84595,1013.8008,1020.1153,1011.1468
1981-05-01,1017.92065,1009.1119,1016.36096,1011.57416,1007.33453,1011.37445,1020.7517,1012.4395
1981-06-01,1016.8769,1010.3107,1020.4109,1009.6191,1003.7333,1005.7928,1022.6821,1014.18286
1981-07-01,1015.91235,1009.87604,1019.20276,1011.65405,1002.1051,1004.164,1022.47375,1014.74005
1981-08-01,1014.91046,1010.3806,1019.1954,1010.0045,1003.2946,1004.5121,1021.3894,1014.31335
1981-09-01,1015.11487,1010.04846,1018.36725,1011.6447,1006.8273,1014.65485,1022.48975,1014.0691
1981-10-01,1014.8379,1010.3833,1015.75055,1013.0979,1012.3257,1020.1593,1020.40686,1012.6678
1981-11-01,1016.3217,1009.59045,1014.3553,1015.32056,1013.9393,1023.96423,1019.54083,1011.89966
1981-12-01,1016.24646,1010.8053,1013.8601,1016.365,1016.5853,1028.7164,1019.2559,1011.8125
1982-01-01,1016.62305,1010.2405,1012.8666,1017.7468,1015.9217,1023.79944,1019.3844,1011.31915
1982-02-01,1015.6183,1010.20447,1012.0493,1016.53955,1013.932,1022.32837,1019.022,1010.9892
1982-03-01,1016.9037,1010.3523,1013.5288,1014.5973,1012.9639,1016.5401,1020.0478,1010.84265
1982-04-01,1015.90967,1010.5115,1015.3352,1014.51733,1011.00726,1016.5485,1020.7611,1011.41235
1982-05-01,1017.03534,1010.26874,1016.60626,1011.69116,1009.06866,1009.73865,1020.19385,1012.57275
1982-06-01,1016.3857,1011.2903,1019.58685,1010.93823,1004.40295,1007.8217,1019.44806,1014.7932
1982-07-01,1014.97345,1010.8264,1020.78394,1012.10516,1002.4024,1003.76,1020.07245,1014.8875
1982-08-01,1015.72406,1011.1887,1019.77734,1012.30646,1003.15485,1005.93475,1019.8452,1014.7511
1982-09-01,1014.27094,1011.50604,1017.41626,1010.87024,1008.115,1014.7974,1019.1626,1014.1099
1982-10-01,1014.6339,1010.75366,1015.5149,1013.5324,1012.3089,1018.02856,1020.6277,1013.0324
1982-11-01,1015.49506,1010.30475,1014.706,1014.3274,1013.0985,1022.26227,1019.5051,1012.5223
1982-12-01,1016.8159,1010.6311,1014.2626,1015.46625,1015.825,1026.6959,1020.1001,1012.28125
1983-01-01,1015.92413,1011.8819,1013.6909,1015.8631,1017.2891,1028.0729,1018.89703,1012.2469
1983-02-01,1017.24414,1011.7642,1014.1241,1014.6318,1015.77057,1022.2408,1019.4607,1011.57916
1983-03-01,1018.2338,1011.1615,1014.12604,1013.00006,1014.3426,1019.1799,1018.8739,1011.02905
1983-04-01,1017.4929,1009.907,1013.9666,1013.1292,1011.26685,1011.7321,1020.15344,1010.9532
1983-05-01,1018.0963,1010.46735,1015.88367,1011.6614,1008.65643,1009.59015,1020.156,1011.71606
1983-06-01,1017.66125,1010.6724,1018.69653,1011.0701,1004.6925,1007.3351,1021.57886,1014.21405
1983-07-01,1016.6066,1010.77325,1019.7621,1011.4391,1001.26904,1004.52673,1020.7344,1014.5707
1983-08-01,1016.7975,1011.08624,1020.97217,1013.2777,1002.2003,1008.30743,1021.2286,1015.4486
1983-09-01,1014.88245,1010.5149,1017.4549,1011.03357,1005.30237,1011.9448,1022.38477,1014.1247
1983-10-01,1015.1234,1009.93463,1016.9434,1013.4467,1011.34717,1019.15283,1021.3828,1013.3792
1983-11-01,1017.46716,1010.7283,1017.0282,1015.0309,1015.65295,1023.8995,1021.9143,1013.8497
1983-12-01,1015.93506,1010.5323,1014.19025,1016.86755,1016.1735,1026.2362,1020.0976,1013.0097
1984-01-01,1018.0723,1009.4261,1012.48126,1017.2991,1015.53125,1025.8285,1019.0237,1011.41516
1984-02-01,1017.5222,1008.9347,1011.25903,1016.1607,1015.0817,1023.66797,1017.06946,1009.7692
1984-03-01,1018.6895,1010.15295,1012.1504,1013.9543,1012.95654,1016.9959,1019.4828,1010.00464
1984-04-01,1019.6454,1009.46545,1014.2942,1012.8547,1010.1742,1012.35803,1020.8282,1010.6096
1984-05-01,1017.9588,1009.5112,1016.596,1011.5351,1007.7112,1010.1078,1020.30133,1010.98883
1984-06-01,1017.39185,1009.8434,1018.72314,1011.0643,1002.46063,1004.4819,1021.408,1013.14813
1984-07-01,1015.4422,1009.74023,1019.606,1011.2301,1002.00397,1003.54865,1019.1797,1013.40485
1984-08-01,1015.6983,1009.76794,1018.9456,1011.7434,1003.7396,1006.47546,1022.5128,1013.7692
1984-09-01,1014.31165,1010.3703,1016.6741,1009.88666,1008.52185,1012.8334,1021.6654,1012.96564
1984-10-01,1016.5393,1010.9508,1016.38196,1013.2294,1012.8947,1019.9279,1020.9359,1012.3858
1984-11-01,1018.3432,1010.0891,1014.47546,1016.45807,1014.55414,1022.4696,1020.6818,1012.1672
1984-12-01,1016.5148,1008.7598,1012.7263,1015.17267,1014.529,1025.6273,1018.6012,1010.7927
1985-01-01,1016.2857,1010.6381,1011.4231,1018.3204,1015.098,1025.1544,1019.28046,1010.7953
1985-02-01,1017.28217,1007.31104,1011.79126,1016.5865,1013.1612,1016.94507,1018.19885,1011.0949
1985-03-01,1017.6306,1009.9805,1012.9306,1015.89795,1012.4446,1022.27167,1018.35547,1009.7304
1985-04-01,1016.9308,1008.7393,1014.1719,1012.85913,1009.92334,1012.47076,1020.4771,1010.60297
1985-05-01,1017.2411,1008.6362,1016.225,1012.3273,1006.2752,1008.6035,1021.11383,1011.94495
1985-06-01,1016.0528,1010.2021,1020.3133,1010.9693,1003.95416,1006.17334,1021.9721,1014.6978
1985-07-01,1015.5454,1010.8031,1020.3353,1011.76086,1003.0619,1004.7683,1021.4855,1014.54834
1985-08-01,1015.0349,1010.36646,1019.09344,1011.88776,1002.449,1005.0715,1022.62134,1014.01764
1985-09-01,1013.38806,1010.4016,1017.34827,1012.4881,1006.4319,1015.2994,1021.31036,1012.9967
1985-10-01,1014.0915,1010.4475,1015.5239,1012.59106,1011.5589,1018.6289,1020.19476,1012.1438
1985-11-01,1014.15704,1009.83936,1013.6329,1014.9956,1014.10693,1022.0108,1020.58966,1012.0259
1985-12-01,1015.48883,1010.07227,1012.6275,1018.79987,1015.96765,1025.924,1019.49493,1011.3564
1986-01-01,1015.0889,1008.9675,1013.1014,1017.8885,1016.4763,1024.7897,1018.2252,1011.81525
