,vws250-50_cluster1,vws250-50_cluster2,vws250-50_cluster3,vws250-50_cluster4,vws250-50_cluster5,vws250-50_cluster6,vws250-50_cluster7,vws250-50_cluster8
1965-01-01,11.669836044311523,13.970362663269043,44.79745101928711,27.483844757080078,7.163558006286621,33.4294548034668,22.279953002929688,12.373846054077148
1965-02-01,11.00195598602295,10.894919395446777,47.39206314086914,23.485647201538086,8.9774169921875,29.226430892944336,21.766260147094727,15.381800651550293
1965-03-01,10.658747673034668,10.892705917358398,47.90660095214844,23.18599510192871,6.8248114585876465,35.05314254760742,21.26767349243164,13.200618743896484
1965-04-01,8.901418685913086,20.15151596069336,29.70880126953125,24.879247665405273,4.958779811859131,20.904682159423828,30.50953483581543,12.659671783447266
1965-05-01,11.427603721618652,23.681385040283203,27.821533203125,28.74871063232422,1.3737542629241943,21.69846534729004,33.003780364990234,2.189983367919922
1965-06-01,9.169636726379395,31.89540672302246,21.563617706298828,25.395721435546875,4.1786789894104,14.291379928588867,37.307125091552734,3.9849109649658203
1965-07-01,8.08848762512207,26.860671997070312,14.866561889648438,20.805421829223633,5.802364349365234,9.03281021118164,35.09008026123047,6.155613422393799
1965-08-01,8.849010467529297,26.54872703552246,17.55449104309082,23.048023223876953,6.85468053817749,15.420787811279297,36.069156646728516,5.399901390075684
1965-09-01,16.046735763549805,23.15216064453125,19.477859497070312,26.18918228149414,9.262024879455566,16.288448333740234,37.96657180786133,7.443297863006592
1965-10-01,18.143993377685547,25.953847885131836,31.306602478027344,29.596853256225586,10.641789436340332,23.38962745666504,35.97101593017578,10.384615898132324
1965-11-01,28.308483123779297,25.454280853271484,33.54973602294922,24.58610725402832,18.07406234741211,19.305614471435547,36.21908187866211,19.410686492919922
1965-12-01,26.880876541137695,18.116121292114258,35.009857177734375,23.70656967163086,15.985221862792969,24.36726951599121,30.755687713623047,11.832365036010742
1966-01-01,24.49837303161621,17.032106399536133,43.760414123535156,26.23835563659668,27.762542724609375,31.78058624267578,24.29039764404297,21.46567153930664
1966-02-01,29.708635330200195,22.192506790161133,41.56391906738281,24.733919143676758,23.728404998779297,30.892127990722656,31.635738372802734,18.054500579833984
1966-03-01,26.144441604614258,26.458208084106445,34.13890075683594,23.918277740478516,18.766828536987305,28.57794761657715,26.239229202270508,15.950268745422363
1966-04-01,23.759428024291992,30.92326545715332,25.51581573486328,31.565673828125,21.194971084594727,24.679866790771484,25.258031845092773,16.045570373535156
1966-05-01,20.303152084350586,35.31638717651367,30.44904327392578,35.36578369140625,17.422618865966797,23.753915786743164,36.23055648803711,12.18825912475586
1966-06-01,6.2445807456970215,22.76897621154785,27.59393310546875,29.443063735961914,11.797614097595215,17.608272552490234,41.92836380004883,3.008855104446411
1966-07-01,4.274749279022217,22.8145809173584,13.137389183044434,31.444122314453125,3.5944230556488037,14.711420059204102,35.18617630004883,7.488729000091553
1966-08-01,5.284419059753418,19.706958770751953,17.01943016052246,22.226755142211914,1.9435123205184937,18.279983520507812,31.979307174682617,15.279220581054688
1966-09-01,1.4676262140274048,16.068288803100586,17.606449127197266,21.025922775268555,5.790044784545898,16.602754592895508,38.71017837524414,20.198026657104492
1966-10-01,8.176782608032227,15.462261199951172,34.71308517456055,21.653362274169922,6.892403602600098,18.7637996673584,40.967159271240234,14.78505802154541
1966-11-01,12.259166717529297,17.552980422973633,29.50349998474121,18.911415100097656,6.097891330718994,13.372475624084473,33.859039306640625,5.086043834686279
1966-12-01,13.569660186767578,9.73690128326416,36.71482849121094,19.647605895996094,9.625127792358398,15.034104347229004,25.509334564208984,12.015584945678711
1967-01-01,10.54322624206543,11.78522777557373,43.38975524902344,23.50360679626465,7.154616832733154,16.546016693115234,16.2752685546875,11.277892112731934
1967-02-01,9.644575119018555,16.482664108276367,43.527252197265625,25.093704223632812,4.339960098266602,27.736141204833984,19.879131317138672,12.582357406616211
1967-03-01,2.8523783683776855,12.62857723236084,33.5355339050293,23.670608520507812,5.950709819793701,27.233436584472656,17.724241256713867,13.105929374694824
1967-04-01,6.656620979309082,16.132347106933594,24.688621520996094,19.157852172851562,9.628427505493164,20.590036392211914,31.15616798400879,15.331083297729492
1967-05-01,8.049263954162598,27.082237243652344,24.60811424255371,31.13666343688965,3.2901759147644043,14.64688491821289,42.9302864074707,17.513206481933594
1967-06-01,7.553144454956055,17.8616943359375,21.65158462524414,24.38694953918457,6.095584392547607,13.308834075927734,39.305049896240234,20.43529510498047
1967-07-01,5.15207576751709,24.536609649658203,17.272533416748047,27.980724334716797,5.018681526184082,12.271220207214355,34.77880096435547,21.095874786376953
1967-08-01,2.6756484508514404,20.089183807373047,9.415559768676758,20.51382064819336,4.175677299499512,15.77054214477539,37.43467330932617,18.049575805664062
1967-09-01,4.997303485870361,19.54678726196289,16.039798736572266,19.196163177490234,5.173541069030762,17.737014770507812,35.28133010864258,17.249990463256836
