,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8
1965-01-01,6.2580293e-06,-5.820337e-06,8.6493674e-07,-8.961511e-05,4.893611e-05,7.933841e-05,2.1750748e-06,9.416712e-06
1965-02-01,5.9798476e-06,-6.9420275e-06,2.5788831e-06,-7.092325e-05,5.9650498e-05,3.2622243e-05,4.2928295e-06,8.689851e-06
1965-03-01,1.0762735e-05,-6.6100038e-06,2.2737804e-06,-5.3649223e-05,5.044366e-05,9.838023e-05,1.3894496e-05,5.2171017e-06
1965-04-01,8.492432e-06,-5.3896074e-06,7.5725984e-07,-5.2599316e-05,5.1170515e-05,-0.0001232748,3.3690092e-05,1.7622951e-06
1965-05-01,8.420648e-06,-4.2589454e-06,1.968685e-06,-7.515876e-05,5.6294397e-05,-0.00014461382,3.793457e-05,-1.2649187e-05
1965-06-01,7.855313e-06,-3.935893e-06,1.2014061e-07,-5.4106866e-05,5.3808733e-05,-0.00013339694,4.394683e-05,-1.407598e-05
1965-07-01,8.698829e-06,-5.3985787e-06,1.1431184e-06,-6.719026e-05,4.9689887e-05,-0.0001722792,6.694597e-05,-1.5951446e-05
1965-08-01,1.002691e-05,-7.5701755e-06,2.4891488e-06,-7.0707894e-05,4.641455e-05,-0.00014916342,4.59569e-05,-1.6319362e-05
1965-09-01,5.6298813e-06,-9.068754e-06,1.7353741e-06,-5.9401245e-05,4.5050572e-05,-0.00013797343,3.5771947e-05,-1.3070945e-05
1965-10-01,8.3398845e-06,-8.664945e-06,9.636497e-07,-6.1797175e-05,4.98873e-05,-0.00012340042,9.856412e-06,-6.7535802e-06
1965-11-01,1.091529e-05,-8.458548e-06,9.546784e-07,-6.414824e-05,5.2444757e-05,-5.1773757e-05,3.6108395e-06,5.2619653e-06
1965-12-01,9.030846e-06,-6.3946427e-06,1.7174243e-06,-7.7913624e-05,5.3916418e-05,2.5048586e-05,8.537303e-06,1.1238335e-05
1966-01-01,8.967243e-06,-4.6460627e-06,6.5750646e-07,-5.6011653e-05,5.559954e-05,8.644334e-05,-9.59932e-06,1.3260607e-05
1966-02-01,7.386763e-06,-7.2611874e-06,1.9935796e-06,-7.0504815e-05,5.3399905e-05,7.890754e-05,-2.063527e-06,8.576197e-06
1966-03-01,9.618987e-06,-5.281512e-06,2.2298373e-06,-7.178386e-05,5.3188087e-05,-1.9114785e-05,1.6193457e-05,9.317555e-06
1966-04-01,9.822659e-06,-5.998434e-06,1.9772888e-06,-6.8386646e-05,5.9697384e-05,-8.555196e-05,2.976603e-05,-3.269255e-06
1966-05-01,9.195355e-06,-4.018759e-06,9.2634946e-07,-5.6736717e-05,5.405165e-05,-0.00013559776,4.3428216e-05,-9.143099e-06
1966-06-01,7.70449e-06,-1.9657637e-06,2.9711955e-06,-5.9930266e-05,5.563213e-05,-0.00012294578,4.5986315e-05,-1.4438519e-05
1966-07-01,6.213624e-06,-3.538098e-06,1.6677077e-06,-6.055757e-05,4.5163488e-05,-0.00016558614,5.7921377e-05,-1.6874415e-05
1966-08-01,9.415318e-06,-5.8436417e-06,1.5373589e-06,-5.851272e-05,3.9053386e-05,-0.00015480793,4.846294e-05,-1.2947654e-05
1966-09-01,7.223829e-06,-7.2285984e-06,1.6677077e-06,-5.9856946e-05,4.6418092e-05,-0.00012332054,4.2409865e-05,-1.4202262e-05
1966-10-01,6.213624e-06,-8.385447e-06,7.308263e-07,-4.7530833e-05,4.7354977e-05,-0.00011778885,1.9745463e-05,-9.892603e-06
