,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8
1970-07-01,20.939423,28.04422,27.20224,21.070648,23.952545,23.04132,12.449249,16.35083
1970-08-01,19.683167,27.867554,27.604095,23.978882,23.170471,24.794525,11.905823,15.469055
1970-09-01,19.843811,27.722412,27.726532,22.396667,22.97934,25.408203,12.29892,15.547577
1970-10-01,20.291656,27.698639,27.184143,19.461548,23.865753,23.6586,12.882111,16.036743
1970-11-01,20.396027,28.317993,25.938202,17.74762,24.478912,21.672424,14.069183,17.191254
1970-12-01,22.087738,28.376892,24.607025,16.430359,25.282684,20.053528,15.451996,18.785889
1971-01-01,23.597809,28.10382,23.970886,14.214203,26.545807,19.186676,17.15924,20.275757
1971-02-01,24.441772,27.634888,23.315643,12.791107,27.375946,18.333313,17.775421,20.328125
1971-03-01,24.264404,27.412506,23.435242,12.703644,27.130371,18.444977,16.949738,19.961487
1971-04-01,23.354187,27.42685,23.770264,13.207153,26.851685,18.677704,16.153168,19.282043
1971-05-01,21.877228,27.604736,24.926025,13.661774,26.054138,19.824585,14.690063,17.967163
1971-06-01,20.981873,27.846375,26.305176,16.116608,24.893433,21.764069,13.210602,16.934418
1971-07-01,20.23523,27.984222,26.973236,21.160736,23.858215,23.507385,12.758484,15.8003845
1971-08-01,19.04831,27.871582,27.630432,23.527649,23.259308,24.174469,12.014313,15.31366
1971-09-01,18.871918,27.620056,27.455994,22.992004,23.319122,24.495148,12.395294,14.945038
1971-10-01,19.660065,27.583496,27.0271,19.343323,23.656097,23.697113,12.300415,15.759369
1971-11-01,20.758514,27.802399,25.736908,17.065857,24.438324,21.930115,13.779846,16.715515
1971-12-01,22.528992,27.742096,24.450195,15.036926,24.856354,20.454132,15.155029,18.689575
1972-01-01,24.197998,27.636566,23.503601,14.276428,26.154968,19.20517,16.616943,21.051666
1972-02-01,24.731262,27.30371,23.12387,13.684357,26.507904,18.308472,17.224304,21.020569
1972-03-01,24.578217,26.856537,22.927795,12.791016,27.253021,18.021515,16.243439,20.846008
1972-04-01,24.010529,27.693481,23.659027,13.355316,27.216675,18.980408,15.444275,20.310394
1972-05-01,22.748474,28.01294,24.12915,14.56192,26.106659,19.56482,14.266846,18.892883
1972-06-01,21.405548,28.24823,25.420868,17.037292,25.668121,21.449554,13.081299,18.009094
1972-07-01,20.581085,28.16214,26.499298,20.242462,24.766632,23.369232,12.203247,16.886658
1972-08-01,20.09134,27.79535,27.321869,22.246796,24.033966,25.055481,12.233856,15.892395
1972-09-01,20.186035,27.391235,27.64038,21.560974,23.799622,24.993805,12.2534485,16.142029
1972-10-01,20.2659,27.814484,27.477783,19.087036,25.11145,22.719757,11.905304,16.625061
1972-11-01,21.241516,27.639923,25.946472,16.641785,25.980896,21.549042,13.62265,17.953613
1972-12-01,21.875671,27.828827,24.801544,14.833099,27.251099,20.010529,15.380676,20.175537
1973-01-01,22.908295,28.01648,24.153412,13.715668,27.53299,18.942291,16.276306,21.156372
1973-02-01,24.083984,27.905304,23.383026,12.885101,27.924713,18.197662,17.38797,21.708282
1973-03-01,23.75003,27.666962,23.451477,12.887024,28.15918,17.99231,17.236511,21.279663
1973-04-01,23.03012,28.11792,23.597107,13.099182,27.715515,18.441833,16.334564,20.453949
1973-05-01,22.001984,28.421814,24.711182,14.400604,26.829102,19.176758,15.039429,19.30783
1973-06-01,21.301025,28.504822,26.167938,16.470978,26.07135,21.121399,13.882172,18.215118
1973-07-01,20.001038,28.598022,26.625214,20.605408,25.173798,23.05487,13.142853,17.024353
1973-08-01,19.914612,28.198517,27.12912,23.608765,24.320892,24.221863,12.327332,16.353027
1973-09-01,19.772888,28.188812,27.773743,23.015076,24.04419,25.331543,12.389954,16.051086
1973-10-01,19.8685,27.998016,27.43686,19.555878,24.48059,24.245148,12.952087,16.854462
1973-11-01,20.907806,28.049469,26.406769,17.580658,25.172333,22.131592,13.967621,18.02774
1973-12-01,22.242767,28.159668,24.50534,15.612732,25.51941,20.668488,15.876801,19.151031
1974-01-01,23.825684,28.065033,23.392029,14.325989,26.641144,19.329865,17.188934,20.740051
1974-02-01,24.403748,27.671478,22.798279,13.301025,26.69107,18.951508,17.952515,20.635315
1974-03-01,24.004364,27.024902,23.231964,13.022034,27.128662,18.571198,17.741058,20.929474
1974-04-01,23.363129,27.384644,23.417969,13.595703,27.409119,18.556519,16.405273,20.032257
1974-05-01,22.066528,27.77475,24.09491,14.311798,26.484497,20.101776,14.68869,18.957397
1974-06-01,20.315186,27.893707,26.088043,16.418976,25.76059,21.418945,13.793945,17.63678
1974-07-01,19.721466,27.99942,26.83841,20.727325,24.758636,23.030792,12.3172,16.56778
1974-08-01,19.352386,27.721405,27.059631,23.239288,23.97644,24.096375,12.117004,15.761627
1974-09-01,18.972076,27.611267,26.784546,21.256927,24.023438,23.791931,12.679901,16.179626
1974-10-01,19.6456,27.548126,26.295074,18.941711,24.588776,22.847717,12.189453,16.284363
1974-11-01,20.637268,27.603943,25.262299,16.032776,25.401794,21.573639,13.69162,17.66568
