,vo1000GLB_cluster1,vo1000GLB_cluster2,vo1000GLB_cluster3,vo1000GLB_cluster4,vo1000GLB_cluster5,vo1000GLB_cluster6,vo1000GLB_cluster7,vo1000GLB_cluster8
1965-01-01,-4.865769164635062e-06,3.8938021992415695e-06,1.329145416242622e-05,0.0020597501134034246,2.237807452079973e-05,0.00015213732922347845,-3.016820086527281e-05,-0.0007731426497533297
1965-02-01,-4.615391394387919e-06,3.884710815148192e-06,2.1177769757160293e-05,0.0010953287528536748,1.7530929783658523e-05,0.0001742536142046447,-3.16330125938651e-05,-0.000782192970897692
1965-03-01,-4.789931642580511e-06,3.799060599121823e-06,2.8724033669635393e-05,0.0019536992112989537,1.4239942954320992e-05,0.00018452373069521855,-2.7051227630947958e-05,-0.0007205998675393251
1965-04-01,-4.401768711638931e-06,3.6702713102424193e-06,3.7270271351473166e-05,-0.0019625336790340953,1.5821364546094889e-06,0.00021857235878997017,-2.2468108061198772e-05,-0.0005905047146370634
1965-05-01,-4.331838474446017e-06,3.7781352392830233e-06,4.4717828251257325e-05,-0.0031251049222191796,-8.274136884470604e-06,0.000243984777625883,-2.0016517063074356e-05,-0.0005558756432340791
1965-06-01,-4.038864675854976e-06,3.749800853933149e-06,4.789780192726032e-05,-0.002973300615849439,-1.912351997037019e-05,0.00023631471322005382,-1.610642663834962e-05,-0.0003992678102804348
1965-07-01,-4.062651807682086e-06,4.069214508771306e-06,5.275893332121787e-05,-0.0034743450669338927,-2.4882321927829514e-05,0.00023656896246393444,-1.5468235228019715e-05,-0.0005162480495831309
1965-08-01,-3.890252903058259e-06,3.945746932268581e-06,4.63503548402156e-05,-0.003742043918464333,-2.0070242628987345e-05,0.00022657372937828768,-1.978851593847732e-05,-0.0005415681395485687
1965-09-01,-3.5110646612324103e-06,4.093807191991305e-06,4.745593063579109e-05,-0.0036491834180196747,-1.637089007999748e-05,0.00020530160327325575,-2.4045670563302765e-05,-0.0005905273307386476
1965-10-01,-3.770205138615046e-06,3.993344834369956e-06,3.473344610834143e-05,-0.003611292049754411,-4.3361411761517436e-06,0.00015199809695332078,-2.4342942483241805e-05,-0.0005604744122441238
1965-11-01,-4.471188743838836e-06,3.878205656456021e-06,2.8751476554030202e-05,-0.0023103722924133763,1.0471420767186959e-05,0.00013907002767155063,-2.9119389969463134e-05,-0.0006479746540814328
1965-12-01,-5.176786469077655e-06,4.038351069682201e-06,1.8402545079044984e-05,-0.0007292469945241464,2.0267185131420513e-05,0.00015632504073437303,-3.087091734802895e-05,-0.0007017133005623085
1966-01-01,-5.5103628589032255e-06,4.552306794735355e-06,1.706833834342418e-05,0.0012737179531541187,2.2967514399039957e-05,0.00014930647012079135,-3.339959875212229e-05,-0.0007475467403613342
1966-02-01,-4.748788148868348e-06,3.6621214877706117e-06,1.9652743205489194e-05,0.0015129799976421054,1.909408196557446e-05,0.0001754064328451932,-2.998070802155024e-05,-0.0008280513308515463
1966-03-01,-4.668909781923772e-06,3.977126341004707e-06,2.8419559444568013e-05,-0.0003904821824107785,1.1139984833010072e-05,0.00020100028450542595,-2.576627103439166e-05,-0.0007033291694824584
1966-04-01,-4.674131601257718e-06,3.7492397257815976e-06,3.6762060621871656e-05,-0.0019164805053151213,7.513795675809629e-07,0.00021052574084023945,-2.318497791656115e-05,-0.0006112828486948274
1966-05-01,-3.446350751591551e-06,3.436621684550357e-06,4.084848144690919e-05,-0.003441736043896526,-1.3567772319739951e-05,0.0002160740677936701,-1.735077991694463e-05,-0.0005800384921409811
1966-06-01,-3.95425055176877e-06,3.7317823646684093e-06,4.78685564541861e-05,-0.0035625413147499785,-2.0075345154119922e-05,0.00023443915324605769,-1.619923393028851e-05,-0.000500289994912843
1966-07-01,-3.858638386589064e-06,3.957411680068737e-06,5.075098222911694e-05,-0.003983636634075083,-2.316232816415972e-05,0.00023070770112099126,-1.71506154616468e-05,-0.0005343984109155524
1966-08-01,-3.806243933514195e-06,3.8036849746169225e-06,4.602020080859742e-05,-0.004440939301275648,-2.2060964381255743e-05,0.00023189620605990058,-1.8866768605834437e-05,-0.0005640768601248662
1966-09-01,-3.2222648931614966e-06,3.48431974870189e-06,4.0517455194962254e-05,-0.0038359721656888723,-1.3828642425193851e-05,0.00019106844320049277,-1.9787330529652536e-05,-0.000627236113359686
1966-10-01,-3.6146867444597132e-06,3.7968898370075702e-06,3.528855396310616e-05,-0.0032944579288596287,-2.0332736312411726e-06,0.0001638788489799481,-2.548309526042594e-05,-0.00060810361901531
1966-11-01,-3.8116875426477818e-06,3.7277129608894925e-06,2.526332507125621e-05,-0.0024003476937650703,8.592056181961588e-06,0.00012459297522582347,-2.9624184054646933e-05,-0.0005660222086589783
1966-12-01,-4.99743334510409e-06,4.142157685131854e-06,1.7876376302008227e-05,-0.001084539599105483,1.7073126010862844e-05,0.00016770993624959374,-3.1609633470508743e-05,-0.0006844138624728657
1967-01-01,-4.998612350995186e-06,4.194511166126245e-06,1.6836601609432616e-05,0.002104227496602107,2.471034219654809e-05,0.00014342806480271975,-3.439632114912436e-05,-0.0008429963296900194
1967-02-01,-5.306861479949312e-06,4.4168778171885685e-06,1.9081767650128372e-05,0.0020555824448820204,1.9650306577594684e-05,0.0001972675363504095,-3.5024612351959004e-05,-0.0007711244203771155
1967-03-01,-4.558658039033689e-06,3.835681362385954e-06,2.6658608476282097e-05,0.0010448929970152676,1.3899398514435493e-05,0.00020493541796895443,-2.950517105244707e-05,-0.0008126632261943694
1967-04-01,-4.002048616000332e-06,3.902203370650344e-06,3.758665622969647e-05,-0.0021951400412945077,2.2452671990842125e-06,0.0001949506668097456,-2.389678321491006e-05,-0.000719594815260886
1967-05-01,-4.1433219434629495e-06,4.059133026020224e-06,4.818983769404977e-05,-0.0031598501664120704,-9.41659215771194e-06,0.00024161258806998376,-2.1880564264811868e-05,-0.0005444100679596886
1967-06-01,-3.755080148283824e-06,4.034965235043338e-06,5.0925910861716135e-05,-0.0038988237065495923,-1.952636687617217e-05,0.00022868180167279206,-1.7603429369863876e-05,-0.0005472798269086828
1967-07-01,-3.758438207287732e-06,4.045327997518268e-06,5.388459553092825e-05,-0.004107612767256796,-2.3410702332122518e-05,0.00025322810870420653,-1.677583517693768e-05,-0.000677808202453889
1967-08-01,-4.030400913559221e-06,4.54060623284846e-06,5.7037698856906084e-05,-0.003844966340693645,-2.3488318090260562e-05,0.0002408653926977422,-1.7930346729464075e-05,-0.000602452564635314
1967-09-01,-3.2212408096112955e-06,3.973085089853948e-06,4.751635537641199e-05,-0.0035354383726371452,-1.716935366857797e-05,0.00020075347038073232,-2.1267417681617976e-05,-0.0005884622927017821
1967-10-01,-4.119821808291788e-06,4.208058288336779e-06,3.7825143632200376e-05,-0.0025106541215791367,-2.8174780319594513e-06,0.00017021015992213506,-2.7981403629096707e-05,-0.0005861245275203449
1967-11-01,-4.422158254880339e-06,4.37252143972771e-06,2.9748689037839288e-05,-0.0021212423234828748,9.771598342922516e-06,0.00013325363852345617,-2.794492165060986e-05,-0.0006861332925230575
1967-12-01,-4.701383536028471e-06,4.161940285635574e-06,1.5909876176428058e-05,-0.00018689286207518307,2.2315446195924388e-05,0.0001510438664809044,-3.116401785518974e-05,-0.0007801373309727448
1968-01-01,-4.634650658152757e-06,3.822706357564104e-06,1.3390560756395972e-05,0.0025117687982856296,2.4129282142634372e-05,0.00017354336705466267,-3.089239164203238e-05,-0.0008957532069568213
1968-02-01,-3.968481773434357e-06,3.850400511925627e-06,1.8565115393268243e-05,0.0029123051717760973,2.0547870787725386e-05,0.00013457014347295626,-3.035518071310741e-05,-0.000692719307456476
1968-03-01,-4.506454498454104e-06,3.95697757194219e-06,2.692692432305432e-05,-0.00036351668768475065,1.1040204948845453e-05,0.00018572020508145215,-2.8438448220533268e-05,-0.0007460973696045888
1968-04-01,-3.923955717732124e-06,3.2168880432933356e-06,3.276028691602062e-05,-0.0012428765330696478,3.2900117210894157e-06,0.00019274866644991562,-2.3134234243627176e-05,-0.0006380160508949
1968-05-01,-3.5965477066469488e-06,3.432515769806249e-06,4.051979751656305e-05,-0.0017819143977249041,-6.15363049811484e-06,0.00020864156340394402,-1.6367182856964553e-05,-0.0004944023506444258
1968-06-01,-3.441472424341197e-06,3.1355611945158424e-06,4.4789256386794764e-05,-0.002418742951704189,-1.839032276101144e-05,0.00022114350031188224,-1.3048525595856998e-05,-0.0004209956993387702
1968-07-01,-3.997327950611686e-06,3.781247680216353e-06,5.212253900473846e-05,-0.003490448580123484,-2.2365759442826466e-05,0.00023005759430816397,-1.605193155524687e-05,-0.0005691602079120155
1968-08-01,-3.594482129975494e-06,3.680457539635969e-06,5.159716715379695e-05,-0.003309073144919239,-2.06780168809928e-05,0.00020595539353962522,-1.8287093471474108e-05,-0.0006232695038003537
1968-09-01,-3.202553422454457e-06,3.931556861679185e-06,4.744124453281984e-05,-0.0036451092455536127,-1.6697721938336535e-05,0.00021939235921308864,-2.219297467296671e-05,-0.0005864175667132562
1968-10-01,-4.040373467034402e-06,4.1606242619859805e-06,4.166158909296815e-05,-0.0032247819035546854,-2.1093481856431547e-06,0.00018416295688439277,-2.9194984307742855e-05,-0.0006060770829208195
1968-11-01,-4.570885985193869e-06,4.121857325410461e-06,2.8443916756363936e-05,-0.0018352251572650857,1.0961717829819203e-05,0.00015066617606862565,-3.0252009269184945e-05,-0.000662830461806152
1968-12-01,-4.755527457433107e-06,3.823680820828013e-06,1.1552322680248926e-05,-0.0007164726866903948,1.8186402095515014e-05,0.00016248627616732847,-3.319010226804177e-05,-0.0007493008524761535
1969-01-01,-4.347755682616838e-06,3.94485786131591e-06,1.824152202404593e-05,0.0005231838713370962,1.8616097804624587e-05,0.0001422983814336476,-3.299902254072008e-05,-0.0007379381713690236
1969-02-01,-4.4946166337037215e-06,3.71175956227982e-06,1.1037983298234902e-05,0.002333006887056399,1.775705355352589e-05,0.00015217253803712083,-3.159609937182303e-05,-0.0007106749156567579
1969-03-01,-4.829274123037932e-06,3.882736467947952e-06,3.0262405937823817e-05,-9.113255146075971e-05,1.2880092981504276e-05,0.00016493726207045256,-2.7631082620440322e-05,-0.0006288877557381056
1969-04-01,-4.880958413400922e-06,3.9740876806698014e-06,3.9779063284141395e-05,-0.0014294068932940718,1.7102135773581852e-06,0.00020209040485497098,-2.337499486355718e-05,-0.0006042995058426944
1969-05-01,-4.198688624466077e-06,3.5618516421835663e-06,4.072345723588875e-05,-0.0031879724701866508,-1.0207509798679634e-05,0.00020457218852243386,-1.8233637664901364e-05,-0.00046890011920671293
1969-06-01,-3.771908040551084e-06,3.624322581734824e-06,4.656312143435839e-05,-0.0035932884202338755,-1.9280057001326766e-05,0.00019223175513616297,-1.542171099735947e-05,-0.0004587432461751936
1969-07-01,-4.133861750360477e-06,4.319669524416112e-06,5.572153179959745e-05,-0.00400367753172759,-2.488899398096172e-05,0.00023607237835676642,-1.8522321502285684e-05,-0.0005758742190664634
1969-08-01,-3.90750020900963e-06,4.061427082014513e-06,5.079943295014778e-05,-0.0044014141167281196,-2.0984853368385563e-05,0.0002270338882226497,-1.6486108997310876e-05,-0.0005564329209543455
1969-09-01,-3.61673351631918e-06,3.7916651399917904e-06,4.480082187925649e-05,-0.0034535791201051325,-1.518483311104189e-05,0.000192236643670185,-1.932410341805224e-05,-0.0006524302686254184
1969-10-01,-3.7866608078648697e-06,3.924229875924896e-06,2.9882948347520023e-05,-0.003460574589553289,-1.9001386785281023e-06,0.0001590033434695215,-2.4734041555470715e-05,-0.0005860491607260581
1969-11-01,-4.132577855876125e-06,4.129160961156807e-06,2.3818864094925527e-05,-0.002074704570986796,1.0288256427364623e-05,0.00015037576304166578,-2.9112257078431254e-05,-0.0007108394129318185
1969-12-01,-5.093438454976974e-06,4.148912235314859e-06,1.5865141710387658e-05,0.00048039519242593087,2.264051727252081e-05,0.0001345644136563351,-3.1044410104769164e-05,-0.0008047848192897316
1970-01-01,-4.468324671289584e-06,4.0184764190577844e-06,1.5082155485168962e-05,0.0008969198461272754,2.113963949211341e-05,0.0001261954935216636,-3.2533937607358176e-05,-0.0006844351446488872
1970-02-01,-4.835561037196601e-06,3.977152562013729e-06,1.880833925035225e-05,0.0017960459445021115,1.9042553633750815e-05,0.0001877754016277322,-3.110581223808459e-05,-0.0007441780932519275
1970-03-01,-4.68963005550811e-06,3.7980451623404836e-06,2.5655714632536775e-05,0.00024260323243652238,1.409525949774044e-05,0.0001874241547739075,-2.7463856180004902e-05,-0.000740536112668148
1970-04-01,-4.800974324103797e-06,4.204548417441869e-06,4.083896902691359e-05,-0.0015282193999155425,3.3982290992590995e-06,0.00021187042875681072,-2.561873464329754e-05,-0.000726928556105122
1970-05-01,-3.916575234622214e-06,3.3997918700633826e-06,4.397152522750596e-05,-0.002568851414253004,-1.0058276529889554e-05,0.00023129839519242523,-1.6874983384185e-05,-0.0005657613655785099
1970-06-01,-4.12173604536665e-06,4.225245661229214e-06,5.268693414228572e-05,-0.0037741872802143916,-1.9125862828721957e-05,0.00022631140836892882,-1.875251563320857e-05,-0.0005200083251111209
1970-07-01,-3.841430599117256e-06,4.3053355698236665e-06,5.642602043169108e-05,-0.004119198274565861,-2.4285835804351207e-05,0.00022896224436408374,-1.5074782710511949e-05,-0.0005500995030160993
1970-08-01,-3.801778683668545e-06,4.01054513953059e-06,4.854233547583314e-05,-0.004315343539929017,-2.325215090032933e-05,0.00022421954781748354,-1.4548623675069761e-05,-0.0006271354019797097
1970-09-01,-3.693806238658226e-06,3.773077233911295e-06,4.354189484013764e-05,-0.0036861980333924294,-1.4984862251107448e-05,0.00021460878087964375,-2.2222152080522914e-05,-0.0006337018930935301
1970-10-01,-3.704291898357582e-06,4.1025750875396306e-06,3.914492779466721e-05,-0.0025998138880822808,-2.2353193084459884e-06,0.00018190576156484894,-2.745014631380379e-05,-0.0006141644917079248
1970-11-01,-3.9487620284717195e-06,4.058544972923821e-06,2.449566234078747e-05,-0.0014546274542226456,1.3546567840551558e-05,0.00014286604255175916,-2.899137194781156e-05,-0.0007347443291412977
1970-12-01,-5.154580936946928e-06,4.230410552529622e-06,1.899000671685036e-05,0.0016648473319946788,2.1593503853572266e-05,0.00016489593690494075,-3.4525825019423545e-05,-0.0008721061021788046
