,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8
1969-08-01,-6.788574,1.3502808,-4.0725403,-14.0686035,-2.0158997,-10.763428,1.1959534,-3.0173035
1969-09-01,-7.1030884,0.9732361,-4.059906,-13.747284,-2.1822205,-11.069702,1.478302,-2.9651794
1969-10-01,-6.44693,0.51312256,-8.611267,-13.931549,-2.9858704,-10.743774,0.7756653,-2.4136353
1969-11-01,-6.3706665,0.9283447,-11.609955,-13.0563965,-4.884186,-9.7855835,-0.5560608,-1.8451233
1969-12-01,-4.3078613,1.058075,-13.375336,-10.820801,-7.0269775,-8.351898,-2.176361,-1.2964783
1970-01-01,-2.8255005,0.9546814,-14.490509,-9.813049,-8.4053955,-7.1987305,-3.0021667,-0.8780823
1970-02-01,-2.407074,0.53060913,-15.109833,-9.504608,-8.914703,-6.655792,-3.722229,-0.063934326
1970-03-01,-3.2120056,0.4571228,-15.785126,-10.5616455,-9.415924,-6.7106934,-4.316437,-0.1317749
1970-04-01,-3.8658142,0.12927246,-15.366516,-11.462341,-9.047424,-8.133636,-3.60495,-0.66830444
1970-05-01,-4.6040344,0.81314087,-13.277618,-12.679962,-7.5422363,-9.093994,-2.8430786,-1.5031433
1970-06-01,-5.196289,1.2550354,-11.72821,-13.597656,-5.477295,-9.77356,-0.89230347,-2.1992188
1970-07-01,-5.5667725,1.5380249,-5.435547,-14.056946,-3.4648743,-10.155365,0.6960449,-2.55365
1970-08-01,-6.5903625,1.5940247,-2.2946472,-14.367706,-1.4790039,-10.804474,1.3305664,-3.1030579
1970-09-01,-6.408264,1.4703369,-3.8554077,-13.9531555,-0.8438721,-10.704498,1.4744568,-3.2727356
1970-10-01,-6.2613525,1.1456299,-7.091461,-13.670898,-2.8944092,-10.516266,0.63113403,-2.6872559
1970-11-01,-6.204376,1.7175903,-8.852783,-12.5312195,-4.9279785,-9.409149,-0.6622009,-2.1214905
1970-12-01,-4.4439697,1.8451843,-10.101349,-11.079712,-6.47818,-7.745819,-1.9246826,-1.2490234
1971-01-01,-2.9588013,1.5472107,-12.342407,-9.397369,-7.369934,-6.2808533,-2.5857239,-0.010803223
1971-02-01,-2.1661682,1.026947,-13.8168335,-8.83252,-8.274628,-6.2798157,-3.2922974,0.7680054
1971-03-01,-2.5915833,0.55651855,-14.152344,-9.90625,-8.411011,-6.8945007,-3.4207458,0.27438354
1971-04-01,-3.8850708,0.18759155,-14.0321045,-11.08609,-8.561554,-7.9572144,-3.4689941,-0.38757324
1971-05-01,-5.2601624,0.4673462,-13.475616,-12.447327,-7.312805,-9.170227,-2.2113647,-1.083252
1971-06-01,-5.8097534,1.0547485,-10.675018,-13.581024,-5.0275574,-9.857208,-0.4864502,-1.8981934
1971-07-01,-6.17984,1.5691528,-5.2543335,-13.656586,-2.9076843,-10.614685,0.5581665,-2.5568542
