,mgv850GLB_cluster1,mgv850GLB_cluster2,mgv850GLB_cluster3,mgv850GLB_cluster4,mgv850GLB_cluster5,mgv850GLB_cluster6,mgv850GLB_cluster7,mgv850GLB_cluster8
1968-02-01,0.101926446,0.12004672,-0.16874492,-0.48768982,0.02675569,0.440832,0.0066535235,0.11664919
1968-03-01,0.013590217,0.54686385,-0.16619678,-0.43785915,-0.011042023,0.51571965,0.035532713,0.14736867
1968-04-01,0.07262261,0.20441918,-0.22027442,-0.46036786,0.010475779,0.44054884,-0.10957096,0.13434474
1968-05-01,0.2910567,0.45626244,-0.16110043,-0.40728116,0.03907181,0.22013292,-0.1943681,0.06950818
1968-06-01,0.34258616,-1.0440384,-0.087062195,-0.14637776,0.021093106,0.37231475,-0.26614133,0.0026897192
1968-07-01,0.37585384,-0.88902533,-0.064411856,-0.11339319,0.11240222,0.5570564,-0.26359317,0.087062195
1968-08-01,0.33649892,-0.78101146,-0.10461619,-0.46334076,0.12783277,0.59768546,-0.24929516,0.045442224
1968-09-01,0.3093185,-0.8081919,-0.134911,-0.49434337,0.033126093,0.37995923,-0.21234679,0.07786049
1968-10-01,0.25934625,-0.26274383,-0.16251609,-0.37146533,0.040204335,0.5060932,-0.1204714,-0.0195359
1968-11-01,0.1851664,0.4586691,-0.19705784,-0.28440315,0.046574734,0.6865879,-0.09045975,0.06611065
1968-12-01,0.17256717,0.43304586,-0.27987307,-0.4582444,0.033267666,0.34640843,0.06016493,0.09314946
1969-01-01,-0.11431806,0.47135383,-0.19971591,-0.5063306,0.037096597,0.3826248,0.080249764,0.13067085
1969-02-01,0.02452917,0.004996681,-0.2378724,-0.58658034,0.0734361,0.5476667,-0.012416005,0.15232313
1969-03-01,-0.03285699,0.30964297,-0.30313212,-0.43471146,0.08161249,0.60853547,-0.027406048,0.11295533
1969-04-01,0.2916246,0.58960855,-0.18866266,-0.44576472,0.061777174,0.5944539,-0.12688547,0.09493698
1969-05-01,0.33810893,-0.27724022,-0.15444294,-0.21394889,-0.018472577,0.39761487,-0.28587085,0.0631399
1969-06-01,0.33038676,-0.82278717,-0.12219162,-0.22712198,0.043153178,0.44228214,-0.33674616,0.08327806
1969-07-01,0.47241372,-1.0836747,-0.014687216,-0.28980762,0.10962419,0.5346451,-0.38625878,0.13279064
1969-08-01,0.3629409,-1.00933,-0.15429153,-0.27966285,0.10477893,0.45939207,-0.2875364,0.12279727
1969-09-01,0.28738502,-0.51132727,-0.17972918,-0.5806751,0.00030282736,0.2251536,-0.21379748,0.09266577
1969-10-01,0.23484409,-0.0025740147,-0.10281055,-0.35294753,0.024074912,0.4004917,-0.13566753,0.117497765
1969-11-01,0.15550284,0.41366482,-0.17109856,-0.37157154,0.04269892,0.6583508,-0.054055035,0.067530945
