,ssta30GLB_cluster1,ssta30GLB_cluster2,ssta30GLB_cluster3,ssta30GLB_cluster4,ssta30GLB_cluster5,ssta30GLB_cluster6,ssta30GLB_cluster7,ssta30GLB_cluster8
1975-01-01,-2.0481567,2.431244,-1.912384,-12.488831,0.39968872,-6.1051636,-7.964142,-5.2692566
1975-02-01,-1.6608887,1.8769836,-2.7801514,-13.032257,1.2160034,-6.8805237,-7.725403,-4.9333496
1975-03-01,-1.4457397,1.5829773,-2.7705688,-13.278656,1.5084839,-6.851593,-8.123138,-5.2627563
1975-04-01,-2.6831055,1.3668213,-2.5463867,-12.852661,1.0952454,-6.878235,-8.988525,-6.608551
1975-05-01,-4.409149,1.9042664,-1.3917542,-11.1553955,0.5124817,-5.6189575,-10.473663,-6.907013
1975-06-01,-5.4830017,2.2788086,0.77386475,-9.277832,-0.5467224,-3.7899475,-11.859131,-7.477295
1975-07-01,-6.169525,2.6808777,1.4965515,-6.5240784,-1.5788269,-1.1559143,-12.498505,-8.408997
1975-08-01,-6.0791016,2.7392578,2.6671143,-3.1583557,-1.6642761,0.22866821,-12.707001,-8.828217
1975-09-01,-5.886963,2.6621704,2.8309631,-3.9940186,-1.9949951,-0.23074341,-12.518616,-9.095764
1975-10-01,-5.710602,2.5273438,1.8682556,-5.589447,-1.1972351,-1.463623,-12.612915,-9.251801
1975-11-01,-4.689972,2.543274,0.9888611,-8.189209,-0.32559204,-3.020996,-11.331543,-7.8638916
1975-12-01,-3.204956,2.8095703,-0.8424072,-11.054413,-0.22149658,-4.626892,-9.849335,-6.740967
1976-01-01,-1.2916565,2.187622,-2.0360718,-12.603241,0.1876831,-6.0543823,-8.217438,-5.5327454
1976-02-01,-0.9510193,1.6183167,-2.7948303,-12.775269,0.8768921,-7.142334,-7.510803,-4.9862366
1976-03-01,-2.0739746,1.309845,-2.8402405,-13.059357,1.0284119,-7.266327,-7.5204163,-5.086334
1976-04-01,-2.4249268,1.5118408,-2.6954346,-12.316345,0.6202698,-6.933563,-9.472534,-6.322937
1976-05-01,-3.8857117,1.4120483,-1.5227661,-11.454956,-0.2677002,-5.860321,-10.256073,-7.4436035
1976-06-01,-4.4665527,2.071869,0.10772705,-8.847351,-0.60983276,-3.189087,-11.852295,-8.176575
1976-07-01,-4.9164734,2.199768,2.3449707,-4.9020386,-0.9205017,0.044158936,-12.415588,-8.843292
1976-08-01,-5.588562,2.0502625,2.1447449,-2.6706848,-1.6811218,-0.30819702,-13.006622,-9.571106
1976-09-01,-6.029846,2.0679932,1.9302368,-2.9125366,-1.7484741,-1.322815,-12.76416,-9.722443
1976-10-01,-5.2465515,1.7632751,1.6792297,-6.5473633,-1.3868408,-2.650879,-11.966949,-9.476715
1976-11-01,-4.4934387,1.6516418,1.1116333,-9.852844,-0.75057983,-3.552124,-11.731995,-8.7300415
1976-12-01,-3.4160461,1.5624695,-0.26791382,-11.723694,0.23431396,-4.836212,-9.444794,-6.432892
1977-01-01,-2.232666,1.164917,-1.6103821,-13.649628,0.6151123,-6.1581726,-8.342804,-5.194336
1977-02-01,-1.3397522,0.8341675,-1.914856,-14.370117,0.98742676,-6.555603,-7.623596,-4.937317
1977-03-01,-1.5509949,1.0369873,-2.1319275,-14.742401,1.0204468,-7.217865,-8.194366,-5.344635
1977-04-01,-2.4837341,1.3186646,-2.4983215,-13.85495,0.72021484,-7.367737,-9.151947,-5.949951
1977-05-01,-3.3086853,1.7373352,-1.3760986,-12.399445,-0.15438843,-5.412079,-10.335968,-7.2497864
1977-06-01,-3.815094,2.0074768,0.66848755,-10.299377,-0.34014893,-3.7435913,-11.23407,-7.847168
1977-07-01,-4.503845,2.335144,1.6038513,-6.3756104,-0.8571472,-1.1962585,-11.912109,-8.675537
1977-08-01,-4.619049,2.4281616,2.1123962,-3.994812,-1.4987793,-0.0819397,-11.966492,-8.934296
1977-09-01,-5.214508,2.315857,2.4394531,-3.6619263,-1.8718872,0.2441101,-11.216644,-9.079681
1977-10-01,-4.414612,1.7359009,2.0599365,-5.967224,-1.1800232,-1.7541504,-11.76886,-9.167267
1977-11-01,-4.326477,2.046875,0.6864624,-9.574432,-0.30026245,-3.4604187,-10.79715,-7.756195
1977-12-01,-3.4454346,2.1182861,-0.6005554,-11.5937195,0.3496704,-5.1201477,-10.17688,-6.337982
1978-01-01,-2.370697,1.8132629,-2.0014648,-12.478027,0.541687,-6.753296,-8.224945,-5.317871
1978-02-01,-1.8414612,1.3783264,-2.2575684,-13.491974,1.0665894,-6.978485,-7.3525696,-4.483185
1978-03-01,-2.4045105,1.4503479,-2.6877136,-14.346954,1.3894348,-7.3448486,-8.413422,-4.6712036
1978-04-01,-2.394104,1.5158081,-2.2008057,-13.198853,0.6419983,-6.883545,-9.18454,-6.2624817
1978-05-01,-3.19281,1.7866821,-1.1841736,-12.065277,0.38220215,-6.022064,-10.487793,-7.0094604
1978-06-01,-4.3544006,2.440857,0.03060913,-8.91098,-0.2612915,-4.517273,-11.611206,-7.8482056
1978-07-01,-4.956543,2.341339,0.8257141,-5.199646,-0.9223938,-2.255371,-12.078522,-8.360931
1978-08-01,-4.881378,2.4957886,2.1275024,-2.296173,-1.6959229,0.042510986,-11.935211,-8.672424
1978-09-01,-5.6193542,2.1197815,2.6862183,-1.9824829,-2.529602,0.642334,-12.078217,-8.980743
1978-10-01,-5.4862366,1.9590759,2.2654724,-6.366333,-1.7619019,-1.7841187,-11.713104,-8.814758
1978-11-01,-4.4931946,1.9743652,1.0633545,-8.4935,-0.7901306,-3.1220703,-10.140625,-7.9961853
1978-12-01,-2.7320557,1.855011,-0.38220215,-10.736511,-0.24639893,-4.9914856,-8.968109,-6.10791
1979-01-01,-1.4438477,1.7561646,-1.5018616,-12.499786,0.40856934,-7.119049,-7.665924,-4.828583
1979-02-01,-1.0997925,1.7370911,-2.7645874,-12.794952,0.83288574,-7.847473,-7.841675,-4.445343
1979-03-01,-0.8498535,1.4875488,-3.2225342,-13.209869,0.9532471,-8.013855,-8.223694,-5.0009766
1979-04-01,-2.828827,1.6225586,-3.0787964,-13.09613,1.0336304,-7.591614,-9.333771,-5.416687
1979-05-01,-3.7964783,2.0619812,-1.8638,-12.616577,0.5456238,-6.2639465,-10.866669,-6.046356
1979-06-01,-4.533722,2.7956543,0.20779419,-9.964264,-0.23947144,-4.4819946,-11.456451,-7.246338
1979-07-01,-4.809784,2.6385193,1.3349304,-5.586334,-1.0343933,-2.1242676,-12.019714,-8.411621
1979-08-01,-4.9067993,2.4534912,2.129547,-2.7415466,-1.5598145,-0.653656,-12.440704,-8.920105
1979-09-01,-4.907318,2.1672363,2.6836548,-3.7313538,-1.5409546,-0.23251343,-11.829071,-9.505676
1979-10-01,-5.0688477,1.8548279,1.9486389,-6.662567,-1.0748901,-1.3824158,-11.755615,-9.063293
