,mgu200GLB_cluster1,mgu200GLB_cluster2,mgu200GLB_cluster3,mgu200GLB_cluster4,mgu200GLB_cluster5,mgu200GLB_cluster6,mgu200GLB_cluster7,mgu200GLB_cluster8
1966-05-01,-0.80350685,0.58031046,-1.8774754,2.2854648,-3.651558,-0.077790454,-0.1355587,0.96532404
1966-06-01,-0.75295943,2.9537416,-1.2981491,1.2003372,-3.8064828,0.17855683,2.9901745,0.453286
1966-07-01,-0.56619644,3.1411605,-1.4353497,0.14770356,-3.4526508,0.5054741,2.383934,0.373526
1966-08-01,-0.7158699,2.8523183,-1.7790062,0.9997879,-3.184815,-0.3587555,1.3660927,0.49365807
1966-09-01,-0.6846878,2.8368914,-1.4255028,1.3276901,-3.1244206,-0.46017838,0.5215576,0.73162425
1966-10-01,-0.3745106,0.6338123,-1.4977134,2.4676328,-3.4661078,0.31871146,-2.1032975,0.77232516
1966-11-01,0.40733337,0.3863266,-1.440601,2.6964087,-3.1316419,-0.28982696,-2.0077825,0.5832645
1966-12-01,0.50448954,-0.5635708,-0.6403767,3.7437904,-2.7528644,-0.675169,-1.7022003,1.6834911
1967-01-01,0.47414246,-1.1918857,-1.0798813,3.0773513,-0.761174,-0.8353001,-3.7516656,1.8776283
1967-02-01,0.82746315,-1.5243078,-0.79023707,3.1553957,-0.689661,-0.24490814,-2.8523629,2.057881
1967-03-01,0.43365097,0.06302299,-0.078697205,2.7122753,-1.2248669,-0.29519615,-2.307034,1.7398269
1967-04-01,-0.10318794,-1.2281325,-1.4377735,2.006287,-2.679294,-0.0035919189,-2.052983,1.069432
1967-05-01,-0.5554512,1.2771142,-1.5540234,2.1532319,-3.546922,0.08816681,-2.7837882,0.8708931
1967-06-01,-0.686396,2.8298314,-1.8188503,0.9123642,-3.548881,-0.22400932,1.7603992,0.6997841
1967-07-01,-1.1073105,3.1903355,-1.7424389,0.25796968,-2.9369373,0.05583954,3.7418685,0.33666688
1967-08-01,-0.5476143,3.4865112,-1.2206215,0.9401207,-3.3604653,-0.11559677,3.3033204,0.17045593
1967-09-01,-0.6351284,2.5914536,-1.7146832,0.9247726,-2.4771638,-0.6521088,2.1463742,0.55969656
1967-10-01,-0.18221168,-0.3213192,-1.6643951,2.2737262,-2.7530932,-0.14302635,-1.4452842,0.48165283
1967-11-01,0.5159397,-0.06400261,-1.2712364,3.4548364,-2.4944704,-0.4199356,-2.4510403,0.4849182
1967-12-01,0.86762774,0.8121151,-0.89440423,3.8666089,-2.2381332,-0.48361206,-1.8152587,-0.37650567
1968-01-01,0.98535764,-1.8248444,-1.4959053,3.7849834,-1.2982502,-0.09372177,-2.9615433,2.1599827
1968-02-01,0.89856493,-1.447768,-1.6406822,4.113922,-1.1844711,0.2093254,-2.2026496,1.3245075
1968-03-01,0.28481293,-0.83036995,-0.6505836,2.770452,-2.5283065,-0.38473433,-2.9057477,0.25527382
1968-04-01,0.07366409,0.41208535,-1.1720726,1.5148685,-1.8966858,-0.5616032,-0.8839771,0.3402439
1968-05-01,-0.26949653,2.0961642,-1.0655864,1.7026775,-2.9702954,0.2833542,-1.1826481,0.18817368
1968-06-01,-0.64037323,2.186604,-0.7588932,1.3704567,-3.1949363,-0.15936431,1.5506073,0.44673005
1968-07-01,-0.7231544,3.4436462,-1.3850441,0.77639693,-2.469958,0.11669693,2.9961877,0.2855423
1968-08-01,-1.1972351,4.004155,-1.5104927,1.1326866,-3.1471639,-0.019327546,2.1993675,0.5459217
1968-09-01,-0.76800996,1.6567284,-1.3857734,0.5758255,-3.1963952,-0.27715454,0.6385498,0.3606655
1968-10-01,-0.36103058,0.5003368,-1.1140884,2.222342,-3.007492,-0.37233505,-1.3744678,0.7304481
1968-11-01,0.12836647,0.5163826,-0.92591476,2.790874,-2.2770438,-0.14915314,-0.89856416,0.7472237
1968-12-01,0.8686615,1.7872826,-1.1975994,3.8677654,-2.070272,-0.36504212,-3.0202556,0.7417534
1969-01-01,1.4410251,-1.6994416,-0.66743624,2.4697127,-1.4337273,0.23419952,-2.4438386,1.3995594
1969-02-01,0.71719515,-0.60805684,-1.4310738,3.2811189,-1.523957,-0.53109664,-1.6639465,2.059034
1969-03-01,0.54337007,-0.69795495,-0.45081788,1.61087,-1.369704,-0.3499733,0.05606232,0.6744026
1969-04-01,-0.21894035,0.5778702,-0.71586835,1.6427158,-2.2467918,-0.73809433,-1.7249844,0.8439156
1969-05-01,-0.47503394,1.8331276,-1.4917797,1.8158779,-3.3597386,0.06734085,-0.10184021,0.7085705
1969-06-01,-0.94675064,2.2278838,-1.7319504,1.3428338,-2.9447472,0.16287842,-2.0358129,-0.14795074
1969-07-01,-0.73013306,1.3670502,-1.6470283,1.2254028,-2.8800602,0.25111848,3.4101615,0.4000637
1969-08-01,-0.9450928,1.2963917,-1.3833046,0.53408206,-2.8395894,-0.029855346,1.174648,0.59943235
1969-09-01,-0.46674117,1.728965,-1.1222351,0.44584197,-2.7470374,0.32575685,-1.4048668,0.5622784
1969-10-01,-0.1894165,-0.2156231,-1.5511589,2.569231,-2.606053,-0.606398,-0.10482597,0.36390534
1969-11-01,0.3887848,1.0757933,-1.4844818,2.812056,-3.1587112,-0.051418304,-2.197033,0.67971003
1969-12-01,0.5135139,0.8027809,-1.119249,3.1384761,-2.1446197,-0.57919693,-1.1746476,1.2021812
1970-01-01,1.084243,1.6626384,-0.89554864,3.683363,-1.6336854,-0.2089943,-2.4620094,1.3820934
1970-02-01,0.951791,-0.70618856,-0.9544533,3.3735313,-0.7923824,-0.3384514,-2.3867977,0.8492901
1970-03-01,0.17638092,1.4642931,-0.96643335,3.2380848,-2.0140686,-0.2579155,-1.9548317,0.36540794
1970-04-01,-0.30350798,0.26490402,-1.2210209,2.0506763,-2.6240802,-0.46091995,-0.76908684,1.0266693
1970-05-01,-0.37805405,1.6799438,-1.0759227,1.8553264,-3.1229382,0.39269677,-0.16140518,0.93282163
1970-06-01,-0.95678216,3.6893535,-1.0459709,0.96177447,-2.7428873,0.23994446,3.1718585,0.55376893
1970-07-01,-0.7913841,1.9145638,-0.9537876,0.7055229,-2.818099,-0.12213516,1.9774612,0.3178177
1970-08-01,-0.85461503,2.9994712,-1.0892346,0.38470992,-2.7468808,-0.17272034,3.8886971,0.8502884
1970-09-01,-0.5341339,1.7964214,-1.3964036,1.0722618,-3.0933197,0.057240296,2.5651753,0.77541006
1970-10-01,-0.49752694,0.6043541,-1.1671082,2.2104168,-2.6300702,0.009318543,-0.48687744,0.5045158
1970-11-01,0.21531792,0.8616034,-1.4020607,3.570546,-2.7615237,-0.3081669,-2.154841,1.1767594
1970-12-01,0.8096878,-1.1105331,-0.9274963,3.3246112,-1.138155,-0.6306442,-2.7774982,1.1830826
1971-01-01,0.9341385,-0.111051366,-1.029512,3.7212017,-0.8779591,-0.29591942,-2.9507012,1.4874356
1971-02-01,0.5095299,0.40076503,-1.0628273,3.7094433,-0.5056103,0.1182373,-3.2489064,1.0200398
1971-03-01,0.36744958,0.22340927,-1.2147064,1.8623974,-1.637682,-0.27762833,-0.84268415,1.5864022
1971-04-01,-0.036582183,1.521404,-0.37496185,0.59837115,-2.4986565,0.096026614,-1.2137268,1.3754044
