,r700GLB_cluster1,r700GLB_cluster2,r700GLB_cluster3,r700GLB_cluster4,r700GLB_cluster5,r700GLB_cluster6,r700GLB_cluster7,r700GLB_cluster8
1965-01-01,79.99606967258225,32.46076255755073,24.891833941141766,48.27938884422738,60.497910168037905,46.50791880848644,40.894299672951604,68.03075936105516
1965-02-01,80.00976050214516,27.09220857385877,25.384689331054688,46.52012713789644,58.54247752177357,48.254148043118995,42.43709610678165,70.04341284434001
1965-03-01,78.22768213651734,26.94317686084538,24.360896428426106,49.89023800227541,61.60261129616668,45.7775635771699,41.81993892158517,70.32726804415385
1965-04-01,74.94045321604045,34.732570179468745,26.16487693786621,47.97471853402944,53.63074454115184,52.83718905606113,42.15429903792913,69.61881385909187
1965-05-01,67.96260348898616,40.89167041454063,22.392586708068848,50.13709151123653,45.1803272885826,61.21958805964543,38.73028295776773,71.84790372848511
1965-06-01,61.19234739161796,45.22457519415872,22.78503704071045,50.35337774688493,38.77794404909846,67.9180153647622,37.18933536364787,71.84661096996732
1965-07-01,55.003849093576704,55.712139223383595,21.605469067891438,52.86560910511253,33.06672787973297,71.46112211457977,35.64999264604098,70.15713254610698
1965-08-01,60.60281840445612,58.7661094160747,23.627806504567463,51.706788320991,36.80288003749602,71.87868893801512,36.292139055456964,70.66502703560724
1965-09-01,63.75862597275695,57.902940054246294,21.90003188451131,46.60827906492626,39.30765528535638,72.77439662388393,33.942644619862506,71.07573681407504
1965-10-01,69.36835419359825,51.20344107903695,21.517061233520508,46.64531026229669,44.30736492631773,67.81097160590875,36.38677438628238,70.38386000527277
1965-11-01,72.67808799835132,43.931746167361396,21.601141929626465,46.14806494700997,49.1954508769154,61.58731649210165,38.20007742441374,70.99042468600803
1965-12-01,78.91423799437013,33.956729261546144,18.383084615071613,47.86392382297563,56.02401274979882,55.71874010693896,39.77972687544881,72.92148404651218
1966-01-01,79.78612959241981,26.37869036265267,17.575136025746662,47.406310656526244,59.49409222909821,47.27739438905821,39.32475747988206,70.91445989078946
1966-02-01,80.70818857609225,25.844165102520602,19.67423216501872,47.97710579618922,59.80020940559616,44.442574637276785,42.43054733191878,71.44076493051317
1966-03-01,77.70673902772313,29.390178240539896,21.444121201833088,48.28156312701128,55.84551520613641,49.014923598740125,40.29556688412216,71.47119045257568
