,vws_u250-50GLB_cluster1,vws_u250-50GLB_cluster2,vws_u250-50GLB_cluster3,vws_u250-50GLB_cluster4,vws_u250-50GLB_cluster5,vws_u250-50GLB_cluster6,vws_u250-50GLB_cluster7,vws_u250-50GLB_cluster8
1965-01-01,-48.292315158365824,12.568294956253064,-13.042847367863052,-35.94488470597498,-23.933998977895424,-2.491865770782507,-14.91476041281221,-28.355746095642047
1965-02-01,-48.08432850483882,16.92871954470697,-10.117276428561603,-33.75742437579764,-25.73976937958547,2.3727588380417544,-16.447527833562813,-28.436973849674498
1965-03-01,-49.430345161341265,14.490726344395478,-10.487756291192989,-31.885319987839235,-23.957199402399162,2.442435751032189,-16.56090707871743,-27.18988485879253
1965-04-01,-38.84234052747526,12.381029902628919,-12.358082610927228,-40.53262912284373,-25.759927069667054,2.70514227385869,-19.249357126921428,-22.02059167695397
1965-05-01,-33.45308865602066,6.220677577882188,-13.27648919754985,-36.72634255261222,-25.804084348081407,-1.3392553033678771,-20.403228698980648,-18.780840308560155
1965-06-01,-29.394367676617875,4.6937485315345935,-12.231808112271201,-44.47477864108544,-26.2263265411882,-3.463344243668516,-22.006324907999147,-12.806708700505673
1965-07-01,-19.74147324304663,2.740406857311113,-12.845576381313169,-53.24210915709689,-26.457682949538206,-5.952983836467557,-23.706071583984468,-10.980973349358788
1965-08-01,-19.135391221790908,-3.2332247775290326,-14.171467340816461,-47.462808051130466,-24.01016832939166,-7.663640781822011,-21.784559998906875,-11.862142764126558
1965-09-01,-24.70567447712971,-5.224471060326777,-16.793205988752074,-46.7248088626921,-25.931334592694853,-10.977041285682718,-19.635191162496312,-13.638604154652496
1965-10-01,-28.93456399193392,-11.69690260784555,-21.091556343070415,-43.33613274554747,-27.595637203326092,-15.671089575074252,-17.219828802930905,-19.36298093935971
1965-11-01,-32.280379138433055,-17.910621770650984,-23.602782850494364,-43.116891371446734,-25.7843482612075,-20.314963139943444,-18.92204844221179,-21.011011246841363
1965-12-01,-36.52265263892115,-18.987571785966697,-23.475822666392098,-32.02368707628494,-23.731584636647046,-23.56131271791093,-14.203515567680912,-26.640296853512098
1966-01-01,-43.76624113013777,-21.85808140337339,-27.549174443067436,-28.884921398146204,-22.931710483550297,-27.95173888196433,-18.48849215322916,-31.325837780796732
1966-02-01,-39.92031907116149,-18.92130326975012,-26.177057216681373,-30.48310605778774,-24.33465636320759,-24.464453736155196,-21.061949374664422,-28.156871473249968
1966-03-01,-42.02133499007297,-18.927565163001876,-26.32297415820632,-29.929384075127956,-25.290537762698495,-23.996517191841974,-21.27733883941455,-25.67470894395164
1966-04-01,-34.90315679136131,-18.270998515963957,-27.256127477689247,-34.21533382632607,-25.42670738108673,-22.498030819301103,-24.21540130415387,-22.351647069313977
1966-05-01,-33.500057892710664,-11.889578717418072,-24.047219164808507,-37.26207434076849,-26.062775296645828,-16.291174460419015,-24.35705740808506,-17.40153902272409
1966-06-01,-29.889258063048302,4.696406110904588,-12.814525049738089,-42.87836640588086,-24.962719880681703,-2.637784380789118,-22.94714906089827,-15.743177974187056
1966-07-01,-19.770558795515218,10.655592043707433,-8.34748800854371,-45.94918107488717,-25.23330057413612,1.3793736452189578,-23.33907270922988,-13.415137932037526
1966-08-01,-16.334422323478336,13.915294865638472,-6.202524125493906,-43.194035189025136,-22.130709426181117,5.164552080510947,-20.390712735519433,-11.193791620404804
1966-09-01,-22.011055868056765,16.110380698296566,-4.871969076343908,-45.637289022445685,-23.056534111381985,7.310182561841451,-15.73802664630733,-11.770749040018508
1966-10-01,-31.69497510046834,13.41639339692649,-6.627527597602681,-42.13623986865883,-23.198272438081805,4.660850108845959,-13.553658365174615,-17.975624523921
1966-11-01,-33.44986651416238,11.41917291800381,-8.055763116355086,-39.10424634590905,-22.921138295937666,1.4941582827938695,-13.752839270729527,-21.289836751144907
1966-12-01,-42.67903881650719,15.155687753123539,-5.306953454281857,-32.86054370239652,-21.402238623571687,3.774853733351638,-9.726398524890822,-23.370262822307012
1967-01-01,-48.62042758348225,14.898096077643675,-5.28340735113577,-28.624220726964182,-21.277029004642646,0.7385509433112795,-11.17102103322862,-26.164880688991815
1967-02-01,-48.42537320316805,14.557531648367325,-7.180347929155754,-27.316041687224743,-21.748139133072474,1.531205051932703,-12.281340106447603,-26.247607579257515
1967-03-01,-43.33310534884296,13.043642968085459,-6.81591040336508,-30.040490824548467,-22.293750649359634,1.9668818187162875,-15.05815929247795,-22.935276095587312
1967-04-01,-34.16729653534636,13.731994410544331,-8.837109315272484,-31.709180372108875,-23.595936363567976,4.659481884428076,-19.385046003931535,-20.309691427129504
1967-05-01,-30.464165688754257,15.990038363013353,-10.368312331361185,-37.40156800437595,-23.386687847626217,5.771857453541831,-19.12248128406021,-17.58684356615001
1967-06-01,-27.864682737393633,19.71902418441981,-5.355914786803482,-40.95510951646558,-24.284231598076165,9.389245717185743,-19.10715408684062,-14.853385523570651
1967-07-01,-17.308141068405334,20.49673189199948,-7.333788546013612,-45.65018299864977,-22.824593256714266,6.638191683156429,-21.76370173869179,-11.540241648593017
1967-08-01,-13.708441219820534,20.45650988075742,-6.670200561924183,-45.10858922808007,-21.234956738758502,6.42523085232958,-19.79181023247223,-12.383419766042834
1967-09-01,-19.479633174617597,20.00363854753278,-6.574970825800233,-54.01029343583055,-25.688556178911437,9.058788886712884,-17.27982565933624,-16.985688050483006
1967-10-01,-30.978029932858565,12.599267128437353,-10.789834926986602,-44.239438730299206,-25.561033438537372,2.166273092349651,-11.966945673866991,-20.05559239194545
1967-11-01,-37.977997813043835,8.076008468583307,-14.534675180012027,-35.257506044610814,-25.36297497157707,-4.334338296688234,-13.823172592661704,-23.32743901620216
1967-12-01,-48.044072607681194,5.031960041953971,-16.408404723278352,-35.66003555914207,-25.058126689656056,-7.904667681506149,-15.202332485070386,-26.717785084540193
1968-01-01,-49.265337969157805,5.452326479215701,-15.757584242904773,-31.247593810739037,-24.815591370108677,-9.198622548037694,-16.37775687547046,-28.177685346112906
1968-02-01,-49.43980667753824,8.558045686934532,-13.989265401171615,-32.15719628056074,-22.685358661182672,-5.180961550859398,-17.241653002180133,-29.002193255762585
1968-03-01,-39.113518396356625,9.78237031220195,-13.18639327820657,-28.533903343195504,-24.103685025297775,-2.6516594601586694,-18.459703312251683,-23.876421130002406
1968-04-01,-36.0132142466848,-3.7377603197052425,-21.062512859937133,-34.96105515238999,-25.98588149321377,-11.13810999597398,-22.49332892197996,-23.433217804646375
1968-05-01,-35.79375842640161,-5.004777132775161,-19.050073866348548,-41.30039786952922,-25.394476930723243,-10.752716828737125,-21.814419430202808,-21.35785875497531
1968-06-01,-30.949170364743814,-3.6481184785580645,-15.103541922718666,-44.858662140888924,-26.299356663007014,-8.886127690968426,-22.047267159266546,-12.969691338863722
1968-07-01,-20.96345805573195,-6.452868615441987,-17.768560201874617,-47.20656201007334,-23.861254594664917,-12.513168697769025,-23.497975901448033,-11.221482773617883
1968-08-01,-19.587854656472928,-8.077460621587068,-19.778179597534532,-53.43060928745371,-26.328360244670865,-14.239701163793868,-24.124067568457022,-9.957359445291285
1968-09-01,-20.759814299472495,-9.74110046749102,-19.11080500617981,-54.785821115895764,-26.37169044099501,-14.36832223731697,-20.69598338281799,-14.410093712093296
1968-10-01,-29.649626152450235,-11.69815914780116,-21.161936107521793,-47.4861202416902,-27.520984052102285,-16.02744055261361,-17.072812466546775,-21.32274523366514
1968-11-01,-36.758409573380625,-14.900197820324625,-21.812562054161475,-40.97324579776865,-22.996782611100972,-20.57592739373733,-14.31947487921825,-27.184237477869907
1968-12-01,-38.13367777645422,-16.10761824044654,-23.345102501874727,-39.626093983560644,-22.72893448052992,-22.96845558623043,-14.848133395301753,-28.41904524775488
1969-01-01,-38.05422177453435,-19.73249038859805,-26.009730713097323,-34.38739331097632,-24.096415289609794,-26.67659842322505,-18.130441943763405,-28.768632319494643
1969-02-01,-37.001300517113144,-19.63436674452833,-26.75786965142018,-34.143937644496894,-24.469736585118685,-26.331808590866643,-22.167720045238333,-28.664528866054663
1969-03-01,-35.32103044281279,-18.884203071140796,-26.31848937019458,-34.164824105777484,-25.34938309337558,-24.686016226106958,-23.831885543560162,-26.16074390939118
1969-04-01,-33.28663815967211,-9.396778024422463,-22.930369278795446,-36.924276339667244,-25.43640956117884,-15.532421207379983,-21.84803969878221,-22.00857002087347
1969-05-01,-30.857516990852208,4.667231699090377,-15.772136572493036,-44.76947272369699,-26.379862427287627,-2.7090075307139614,-21.277794092708227,-18.427232653049536
1969-06-01,-28.870380821867073,16.850868426776444,-7.322690790250124,-50.45392678934596,-24.937029183603855,5.1594284907962376,-19.40844585245587,-15.915977689797392
1969-07-01,-18.22503678997047,19.6332662175713,-3.5879561664401174,-48.92156867060316,-23.780987616935622,6.41392316822567,-20.154958470846918,-12.186233031225848
1969-08-01,-19.05371053051164,18.408695337377488,-2.208651364250894,-49.12160867581459,-24.668070726719,9.334804388657567,-18.429968911181906,-15.406651220309694
1969-09-01,-21.792155836192894,16.210167689132348,-4.871682736024929,-50.385517384858304,-24.23873469864443,6.975402736126333,-17.438219392967678,-14.381398638145795
1969-10-01,-32.127818477371356,15.050072804235,-5.451191206907015,-42.806238720120945,-25.590906304426838,8.048886741626102,-12.43975244382075,-18.396282447115507
1969-11-01,-34.10791184778382,15.259463370479924,-8.1937142789668,-39.03237727450177,-23.087054301191966,5.194389912986068,-11.98225558019172,-21.712375512043263
1969-12-01,-42.828871330540814,11.933690375227439,-9.283616068720834,-34.22246861749285,-22.307536659415362,-0.780101039777859,-11.952796083133332,-24.431886335581467
1970-01-01,-42.71159736671122,11.47576363333083,-10.808491913113373,-34.040139945500904,-22.311881051936396,-1.8975485289880696,-15.081624294061042,-28.621555196336807
1970-02-01,-41.901502213947765,11.232795081227561,-11.343564554971017,-32.212294737578944,-21.6224423385883,-1.3900187734359633,-12.9642019389556,-24.29478448284759
1970-03-01,-45.87157696947103,10.275851524159878,-12.013538429268676,-35.88186284822753,-23.680312735376173,-1.7691641776343403,-17.173923351338885,-24.49595985131777
1970-04-01,-34.84129984516513,5.026342716315761,-16.10919944942774,-32.988389531416786,-24.132670981157325,-3.565352394037235,-20.427596029750518,-22.292642645914796
1970-05-01,-31.570755790966007,4.4989888857393865,-13.3896052664489,-41.294261021780805,-24.590507972276228,-3.4438751632456386,-21.566902298171293,-17.08275176886091
1970-06-01,-27.457166677328217,-1.044368610158956,-13.595410655789511,-41.976515654483954,-24.231856783918605,-7.844151868242655,-21.575582693647426,-16.16009201416899
1970-07-01,-19.911070393325744,-2.789891078075016,-13.783601238316656,-46.00729207333995,-23.82662672683488,-8.541560294374221,-23.592255827582925,-14.879867733041442
1970-08-01,-15.548387238493024,-6.94620611749428,-17.342056510972135,-47.3313105297674,-24.39675415597492,-12.31215031485966,-23.906012189528624,-15.015914051741408
1970-09-01,-20.177303499928023,-11.471450261381703,-20.426447605611447,-51.62575647002051,-26.796115110265696,-14.846172329752594,-21.761028498899623,-16.39171300303601
1970-10-01,-26.15219190858065,-16.078435349109395,-22.267940703618667,-46.92518056990294,-27.92298633483721,-19.787901433904672,-18.514623975673672,-22.220432042298437
1970-11-01,-35.48316996518442,-18.34633656005334,-24.624852541292153,-39.31529190859388,-25.192425505101525,-22.958043973958965,-17.553886958511907,-24.40981119144401
1970-12-01,-42.01042534024073,-21.31952549745545,-26.23379743718416,-33.033982788366046,-24.84879798450036,-27.77051856641087,-16.37988158577875,-25.876018296726894
1971-01-01,-46.06483134984572,-18.738089609862822,-26.840261973496403,-33.305148973733054,-21.972208183009027,-27.81128849997131,-16.80714653300192,-29.414358413094686
1971-02-01,-47.04079833403823,-14.285297906316648,-23.590708775040458,-32.39438841883444,-24.45599079217514,-22.96533793856769,-17.311551023506887,-27.251024628374076
1971-03-01,-40.86005035031833,-15.691326927279915,-21.951730835405026,-32.77541790008398,-23.369682011241135,-22.526422085765812,-16.2140080736167,-25.21749444929888
1971-04-01,-34.42501655848359,-9.316606170880435,-21.379479144822994,-36.62258923131699,-25.483211865148256,-14.902517596676304,-22.49339128689889,-21.566994558725412
1971-05-01,-33.988032792974636,2.6436022352728332,-19.2140662821712,-37.75768439108622,-25.515184788108098,-5.826810832208047,-22.55547283623189,-21.131711630986395
1971-06-01,-24.677886525202954,12.949929993421033,-9.457557042341017,-45.555858436735654,-26.50827540955048,2.9557023315974074,-23.41154113173133,-16.668390633798758
1971-07-01,-19.10440387859412,16.96037886824597,-7.393672632801877,-48.71467433156806,-23.796201857017063,4.482178131842165,-22.0990570252477,-14.801545661136089
1971-08-01,-18.161823429411466,16.37723730029801,-4.364844509364148,-47.39436666009632,-22.869004019725168,7.401749837820185,-19.627500183946896,-13.335190842648645
