,zgu250GLB_cluster1,zgu250GLB_cluster2,zgu250GLB_cluster3,zgu250GLB_cluster4,zgu250GLB_cluster5,zgu250GLB_cluster6,zgu250GLB_cluster7,zgu250GLB_cluster8
1979-06-01,-0.12219696,0.17541619,0.0877079,0.2782879,0.0722477,0.075518034,-0.08741112,-0.19533691
1979-07-01,0.039245985,0.38502425,-0.04281311,0.4037552,0.2411232,-0.0074329376,-0.19384995,0.29136962
1979-08-01,-0.2684765,0.42099914,-0.1920662,0.4709488,-0.309803,0.099600986,0.12784576,-0.18939057
1979-09-01,-0.22685203,0.3103981,0.028245162,0.0877079,-0.042219162,-0.14717141,-0.15609093,-0.12992707
1979-10-01,0.39483565,-0.04816513,-0.123980716,0.1058445,-0.11981849,0.1920662,-0.017838668,-0.09722252
1979-11-01,0.32377702,-0.10941239,-0.36034697,-0.022298813,0.038651276,-0.12368355,-0.6118763,-0.38086206
1979-12-01,0.055895615,-0.39424095,-0.46797562,-0.105249785,0.080869675,0.3428051,-0.40910682,-0.09603272
1980-01-01,0.6047081,-0.23668365,-0.39571077,-0.12256241,-0.007765961,0.3558693,-0.9707066,-0.025997926
1980-02-01,0.17793465,-0.42711085,-0.4115799,-0.246138,-0.20899734,0.21271172,-0.9990681,-0.0033763885
1980-03-01,0.1556507,-0.05064545,-0.28091392,-0.15868911,-0.23195648,0.53009033,-0.6063961,0.013505173
1980-04-01,-0.13640518,-0.449395,-0.20291977,0.317379,-0.11108246,-0.011142349,-0.45513457,-0.33020896
1980-05-01,-0.22722968,0.11682205,-0.23972245,-0.014518356,0.10770607,0.054021835,0.14889832,-0.1559883
1980-06-01,-0.29779625,0.25863037,-0.20663452,0.18232346,-0.06178818,0.038153075,0.1563259,-0.0891365
1980-07-01,-0.045243073,0.32379454,-0.1269516,0.13269119,-0.09926529,0.11614685,0.07326736,-0.15565109
1980-08-01,0.054697417,0.36937484,-0.1627411,0.064826205,0.1262764,-0.047607042,0.15159912,0.021945953
1980-09-01,-0.13100319,0.3204178,-0.026335526,0.094876096,0.0891365,0.12357521,0.07157898,-0.16645508
1980-10-01,0.1627411,-0.021608735,0.109732054,0.1904274,-0.0969017,-0.07124138,-0.3896328,-0.039841462
1980-11-01,0.4733673,-0.017557144,-0.42035827,-0.057061005,-0.08812332,0.436565,-0.38828278,-0.18637581
1980-12-01,0.253228,-0.13269119,-0.5922157,-0.10838165,0.11344566,0.26740876,-0.39300975,-0.42879906
1981-01-01,0.240419,-0.19673996,-0.29951438,-0.006240082,0.14168243,0.2639099,-0.8809246,0.15122528
1981-02-01,0.089560315,-0.27455482,-0.46945953,-0.19637223,-0.087358095,0.66876906,-0.5858151,0.22206649
1981-03-01,0.42834932,-0.54910964,-0.06386681,0.23344497,-0.025326539,0.32741013,0.0022022247,0.085890196
1981-04-01,-0.034502793,0.117089465,-0.4867111,-0.07891617,0.005506134,0.5681965,-0.02018776,0.051387407
1981-05-01,0.31713295,0.09800263,-0.052121736,0.026794815,0.0073410035,0.17802009,-0.1523262,0.23271027
1981-06-01,-0.3520027,0.2760231,0.102774814,0.48744506,0.022389984,0.28666726,0.037439726,-0.7190552
1981-07-01,0.08772583,0.19820786,-0.22683792,0.38320237,0.16370468,-0.39825097,-0.06386719,0.12222824
1981-08-01,-0.19417115,0.37035522,-0.13874511,0.1464531,-0.07854919,0.14204864,-0.0627655,-0.13213882
1981-09-01,-0.24408989,0.3597107,0.03817291,0.24592514,0.16260453,-0.20261307,0.054323576,-0.101673126
1981-10-01,0.08295365,0.27161866,-0.016517257,0.17691879,-0.040008545,-0.18058968,-0.0018356324,-0.5839798
1981-11-01,0.6551876,0.15562972,-0.28813592,-0.016149903,0.059829712,0.24849395,-0.6944626,0.06276627
1981-12-01,0.37659532,0.2341793,-0.15416165,-0.083688356,0.15452881,0.6111412,-0.4500057,-0.16113548
1982-01-01,0.26270944,-0.20317897,-0.15141372,-0.044647217,0.009059143,0.6405964,-1.2003094,0.32515106
1982-02-01,0.20576724,0.103530504,-0.35621032,-0.20609054,-0.17373733,0.39826965,-0.6855677,0.024588775
1982-03-01,0.07603035,-0.036559295,-0.3429455,-0.10061874,0.06114769,0.71695024,-0.9909832,0.13232498
1982-04-01,0.22453232,-0.0048530577,-0.3241806,-0.23941498,0.044000626,0.07182427,-0.25817984,-0.43935853
