,vws500-250_cluster1,vws500-250_cluster2,vws500-250_cluster3,vws500-250_cluster4,vws500-250_cluster5,vws500-250_cluster6,vws500-250_cluster7,vws500-250_cluster8
1965-01-01,7.981233738548984,21.925818145029574,5.9072543854044355,14.948044084025154,20.067318462905913,60.61622669391192,11.165728868976764,13.992529122042692
1965-02-01,7.893021554946128,24.104034769228335,5.7187728828672455,14.77145089354635,20.255494564865106,55.249767504022984,11.260444435102995,12.346532722363786
1965-03-01,7.754136035539152,21.786425562845256,5.238830835134318,16.126282998530264,19.564523068121343,55.90308839785971,11.268016386050489,12.07323286217983
1965-04-01,8.785074735127546,21.2791101828716,4.806828141287018,23.727642385147483,16.68886451634191,32.685680597783474,14.062595485030561,9.255889417499496
1965-05-01,11.90061006885851,15.556946726705833,5.906832619448762,27.102720846374254,13.27325140646783,27.94521437932392,16.652641559884042,7.473254487487135
1965-06-01,13.928890810825699,11.71340992629939,6.241007090577297,30.9329130970927,9.168428585078031,17.56429397189508,17.977100678242206,6.776526307752676
1965-07-01,14.06593492271487,8.380932517255456,7.3666355363729235,36.64458382040466,9.382769572333045,11.5761151797068,17.74836715892684,6.62577678592745
1965-08-01,12.729516647097894,7.015579826992578,5.300972524851496,33.3184104598662,7.31772889414888,9.688369136060142,16.50422172911799,6.63213926984945
1965-09-01,11.668512268564719,11.763944947790852,5.335541552581665,29.70782422964562,7.958056400249517,15.668021538298374,17.010664884979644,5.927584126943794
1965-10-01,10.119087719356171,14.50659598457929,4.861171344219766,24.02937458030608,11.061702550477003,32.14748689357313,16.523542470825298,6.394889194719579
1965-11-01,8.992244709256056,17.22637685753248,5.315379578184357,21.301881238387637,14.738542881131616,42.93371056726349,13.49223696443518,9.863105463776051
1965-12-01,8.449439023877131,20.401137774399057,4.988960368864976,16.110578029910634,16.989962511913756,51.9398563671969,12.050274412243859,11.13528324228227
1966-01-01,8.207730452434722,19.582515795159996,5.76590574195885,15.078734741365462,21.19857097607821,58.96028074095424,10.407919684086524,14.46967794334953
1966-02-01,7.347626761983561,20.077492011144408,5.574327462234767,14.671158075084103,19.74507747365999,55.11928187980212,11.442797937063693,13.352342567035578
1966-03-01,8.005360955576258,22.26330565723656,4.473132117342655,15.39233607803533,18.277580065945,42.58370665652897,12.349209193760402,11.828223479748042
1966-04-01,9.672560052585293,16.94923524135246,5.266372002080667,20.92951827722363,17.48984373983024,31.85502172200794,14.574415546736883,10.6045253343953
1966-05-01,11.385602229436177,15.281560078530006,5.933537193939133,26.518065805025643,12.91548687305671,28.566509018753642,16.62276812604271,7.300242622112235
1966-06-01,12.989597446860799,11.296243353105126,4.9034090644488515,33.552467022785365,9.39195802006604,21.5136708384414,18.28164584071629,6.424368407384454
1966-07-01,14.127386705607297,7.590005461228125,5.871288988407878,34.074718303359994,8.505261964049863,12.739342037096986,18.35239508423978,5.939932404250572
1966-08-01,13.787107290907718,6.603257910762625,5.432538835859554,32.57156671563428,7.875735936861747,9.594012232202886,18.239187005616202,6.269779738201556
1966-09-01,11.872160790686017,9.875920227197238,5.103928162598578,32.50657941055308,7.377095564099643,11.67952994517865,17.13761276751609,5.505496240462804
1966-10-01,10.116565826731565,14.90584536930439,4.5931173595980965,24.869301782656677,10.185234554052885,35.92726245517895,15.524753212948543,6.726173581459263
1966-11-01,9.95883469366025,17.000787284032395,6.253681188385036,19.322163453385865,14.120841791457675,41.80998698200897,13.540958114026228,10.658444318424522
1966-12-01,8.565742332452079,22.968107331037462,4.887258348882534,17.57631538387272,17.149959266972274,49.97496164687,13.288791428056895,11.690406912620414
1967-01-01,7.881759332887823,27.386898591225968,6.00202523349274,12.996024213484933,18.647908586454804,52.8883450165864,10.575160153958649,13.012368864681664
1967-02-01,7.546972883148358,25.375267651911308,5.840634794962867,13.238716812047704,20.21897286984546,62.16785784155653,9.980122518352553,12.180927483417188
1967-03-01,6.839710864162297,24.419997747879318,5.3902678512969455,17.7895469082176,16.728454358447962,43.17256267283072,11.125070147260487,11.792529761610467
1967-04-01,8.862322122704002,19.08491040415382,4.7612620490971995,20.464766715004888,16.437331605623946,29.741117283040342,12.96284654474606,10.363983791447781
1967-05-01,10.391054451816107,14.815686582941607,5.726378393012665,26.120433345138775,14.157802303966223,22.60059232592296,16.527785333918004,8.015211897480965
1967-06-01,13.042233159851808,12.011970978670135,6.0494858127946065,29.947091802565353,9.592033969732286,17.16337166567632,18.37568092896704,6.302115828650936
1967-07-01,14.32951553490613,7.295073549416184,6.9480220276479425,33.85620081536405,9.183383811172941,10.192504984849656,18.69311403607062,6.849018789217377
1967-08-01,13.59555826575975,6.507314374771024,6.55806701704967,34.08728808676155,8.634837997742858,8.885418881316244,16.991216844886033,6.404475848935154
1967-09-01,11.969109537281083,9.458215927258856,5.389160657028601,27.560624459246448,7.383154299164578,13.64356201163046,16.352995233333047,6.050198491516921
1967-10-01,9.98097789759822,16.103860176211736,5.799054695608967,22.23257859567665,10.331952644483627,26.628531164016522,14.54840501521278,6.555548135554681
1967-11-01,9.46230436868497,20.020040715341928,5.56371740772576,16.401888377670172,15.343684477351081,40.737420767743544,13.535551729075788,10.168146202315315
1967-12-01,9.043356797077962,22.625026931927472,5.726569926061754,17.492666154449715,19.241414883104447,62.821520674270296,12.067907556870239,12.061064794784182
1968-01-01,7.522926996600081,25.454289458523313,6.069621266048604,13.220565405598531,20.26747342573207,62.67369413691409,10.69374839793653,14.315476258513293
1968-02-01,6.714233845437229,23.58526324813046,7.023964886296837,14.443956568373718,21.380064113188364,66.5488775222624,9.859199906653943,14.149601659520709
1968-03-01,7.441567788059634,19.741207406051398,5.168168986131195,15.96583816726698,17.742344621096823,43.83874896645254,11.643984902147844,12.159813947600956
1968-04-01,9.62654295649039,17.128790872567134,5.833247579149547,17.603356616749437,17.648389042270203,27.23145038536707,13.337324401515183,10.695877917471474
1968-05-01,10.20492959640665,15.530058177308849,6.196437182708358,25.90261244831198,12.099372021592925,24.640694962389023,14.863150053733198,7.32032977517552
1968-06-01,13.006048718510012,11.121934124177523,4.651981476362699,32.00473278117359,9.213493764416839,23.514804693864605,18.86644402265253,5.802417378371373
1968-07-01,15.036874594188454,7.192180874764103,6.288116928561303,34.22795719669301,8.782996972737276,9.933845859232044,17.366388683048577,6.990462194677861
1968-08-01,14.233353491195265,7.346626366210704,6.526387994864335,38.49449376002953,7.471140979467286,8.062289778879672,17.77484468174053,5.686738536663189
1968-09-01,12.392842709773332,11.128949667598915,5.168449736018944,32.61917022960437,8.005745002328288,12.940550751189528,16.453941799365033,5.4365967846304395
