,abs_vo1000GLB_cluster1,abs_vo1000GLB_cluster2,abs_vo1000GLB_cluster3,abs_vo1000GLB_cluster4,abs_vo1000GLB_cluster5,abs_vo1000GLB_cluster6,abs_vo1000GLB_cluster7,abs_vo1000GLB_cluster8
1965-01-01,6.0651888e-05,-3.956483e-05,1.45360755e-05,-8.055219e-05,-9.091156e-06,8.686614e-05,-5.943314e-05,3.764036e-05
1965-02-01,6.138772e-05,-3.8335456e-05,1.1251766e-05,-8.260713e-05,-8.821946e-06,8.796988e-05,-5.6328307e-05,3.6985297e-05
1965-03-01,5.980838e-05,-3.6504855e-05,1.2669581e-05,-8.087524e-05,-1.0562813e-05,8.8355744e-05,-5.903831e-05,3.8941525e-05
1965-04-01,5.8614896e-05,-3.6549725e-05,1.2418321e-05,-8.7183624e-05,-1.135248e-05,8.8526234e-05,-6.0967617e-05,4.0233714e-05
1965-05-01,6.2599145e-05,-3.4414028e-05,1.2741366e-05,-8.511074e-05,-1.0787153e-05,8.561881e-05,-5.7656387e-05,3.8519767e-05
1965-06-01,6.399004e-05,-3.6504855e-05,1.2579847e-05,-7.466556e-05,-1.0742282e-05,8.829292e-05,-5.8939597e-05,4.0843912e-05
1965-07-01,6.291322e-05,-3.4055083e-05,1.3342593e-05,-7.9053614e-05,-1.1702454e-05,9.199899e-05,-5.7602545e-05,4.369749e-05
1965-08-01,6.400799e-05,-3.4557605e-05,1.3441306e-05,-8.439286e-05,-9.459072e-06,8.8266e-05,-5.528737e-05,4.188484e-05
1965-09-01,6.4995074e-05,-3.6800986e-05,1.109024e-05,-8.0615006e-05,-1.0464108e-05,8.8598026e-05,-6.0303577e-05,4.897392e-05
1965-10-01,6.548862e-05,-3.575108e-05,1.0758224e-05,-7.9601e-05,-1.0329502e-05,8.787117e-05,-5.9612616e-05,3.9183808e-05
1965-11-01,6.4743814e-05,-3.6621517e-05,1.1673517e-05,-8.441978e-05,-1.25100705e-05,8.7521206e-05,-6.17842e-05,3.6473804e-05
1965-12-01,6.312858e-05,-3.6729194e-05,1.088385e-05,-8.491332e-05,-1.1603741e-05,8.641746e-05,-5.8984468e-05,3.9120994e-05
