,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8
1967-05-01,7.96733e-06,-5.8247315e-07,-1.1920274e-06,0.000102769074,-8.2019e-06,-2.788096e-06,-4.187176e-05,0.00017351747
1967-06-01,1.3669873e-05,4.1175117e-06,-1.978031e-06,8.2413164e-05,-1.1121345e-05,-7.5763055e-06,-3.3666838e-05,9.652114e-05
1967-07-01,1.4552121e-05,3.2432836e-06,8.291281e-07,7.213095e-05,-3.1650561e-06,-9.39695e-06,-2.6215836e-05,1.1897351e-05
1967-08-01,1.3365094e-05,6.8475856e-07,1.7996026e-06,9.69783e-05,-1.1402062e-05,-4.29594e-06,-4.0251623e-05,-2.8525727e-05
1967-09-01,9.964424e-06,1.8156425e-06,-1.0476579e-06,9.318463e-05,-2.0742773e-06,-1.9379295e-06,-5.310039e-05,9.114254e-06
1967-10-01,7.670573e-06,3.3956712e-06,-4.0553277e-06,8.9062116e-05,-1.0102747e-05,2.5775844e-06,-5.3140495e-05,0.00010118904
1967-11-01,-1.8737665e-06,5.224334e-06,-6.2689724e-06,7.6598335e-05,-9.39695e-06,4.1736566e-06,-7.3039235e-05,0.00017452805
1967-12-01,8.841558e-06,2.5455047e-06,-5.851907e-06,5.1085277e-05,-9.982443e-06,3.0195224e-09,-5.665345e-05,9.882301e-05
1968-01-01,7.3518386e-06,-1.9502477e-07,-5.6295175e-06,4.2741165e-05,-1.0635951e-05,2.3081884e-06,-4.0190644e-05,0.00012152266
1968-02-01,1.542913e-05,3.9087536e-06,-5.824935e-06,2.2371132e-05,-1.9392552e-05,-2.1585147e-06,-6.644184e-05,0.0001795619
1968-03-01,-8.7655135e-06,3.6575075e-06,-8.4863495e-06,7.474324e-05,-1.215277e-05,2.6094494e-07,-4.479693e-05,0.00013370372
1968-04-01,2.5687477e-06,-5.3317344e-06,-1.1454846e-05,9.4955074e-05,-5.099093e-06,4.4706394e-07,-5.9360253e-05,8.418846e-05
1968-05-01,7.128503e-06,5.9595186e-07,-5.6574354e-06,8.324859e-05,-8.774819e-06,-5.545764e-06,-4.1307314e-05,0.00013576959
1968-06-01,1.0627424e-05,2.1686064e-06,-5.5794953e-07,6.0673123e-05,-9.249408e-06,-5.443406e-06,-4.1065374e-05,8.3471925e-05
1968-07-01,1.1446322e-05,3.5086123e-06,7.2122566e-06,9.788635e-05,-1.0784839e-05,-1.0096221e-05,-2.2612301e-05,-1.6824197e-05
1968-08-01,1.0590204e-05,2.6618e-06,-1.7304556e-06,0.00010035234,-5.9086888e-06,-6.2623003e-06,-3.6198522e-05,2.218502e-05
1968-09-01,9.901585e-06,1.5637343e-06,4.039037e-06,9.881691e-05,-3.2751923e-06,-3.023939e-06,-4.7355978e-05,2.0686814e-05
1968-10-01,7.658928e-06,-1.4605903e-06,2.2244349e-06,0.000106903506,-1.031025e-05,1.1915108e-06,-4.2954416e-05,8.237386e-05
1968-11-01,8.84429e-07,4.029731e-06,-1.3954559e-06,8.082912e-05,-1.3985977e-05,2.4012406e-06,-8.839383e-05,9.738385e-05
1968-12-01,1.1874381e-05,5.5651617e-06,-7.39759e-06,7.0099726e-05,-1.750351e-05,2.4663823e-06,-7.8250676e-05,0.000109862696
1969-01-01,4.22258e-06,4.3218824e-06,-1.0131247e-05,3.1359436e-05,-1.2532582e-05,1.0629301e-06,-5.003308e-05,0.00022154312
1969-02-01,1.3665409e-05,2.814275e-06,-1.0059026e-05,5.920044e-05,-1.3651996e-05,-2.2953245e-06,-6.621047e-05,0.00015832309
1969-03-01,7.1294526e-06,4.285772e-06,-5.328584e-06,7.442091e-05,-1.9212974e-05,-3.1709933e-06,-5.461908e-05,0.00014811291
1969-04-01,7.400282e-06,1.5052792e-06,-9.255571e-06,9.1817026e-05,-8.452123e-06,-1.2571545e-06,-4.583526e-05,0.00015277113
1969-05-01,8.03221e-06,3.1392701e-06,-1.8078354e-06,8.225684e-05,-9.941672e-06,-6.186201e-06,-3.4632052e-05,8.340334e-05
1969-06-01,1.1227967e-05,3.1663512e-06,3.5996782e-06,8.499219e-05,-1.0447213e-05,-8.2264305e-06,-2.4846173e-05,0.00013142095
1969-07-01,1.4270256e-05,6.0912826e-06,7.896797e-06,9.3785035e-05,-6.917435e-06,-7.540337e-06,-2.0332394e-05,2.1823507e-06
1969-08-01,1.0767562e-05,5.1343595e-06,-1.1849334e-06,9.719745e-05,-7.964634e-06,-6.809103e-06,-3.4975106e-05,1.552509e-05
1969-09-01,1.1011307e-05,3.2566313e-06,4.3038235e-06,8.411652e-05,-9.544456e-06,-5.400805e-06,-4.6404e-05,-8.036855e-06
1969-10-01,1.0984222e-05,-2.3224056e-06,-4.4467015e-07,9.528361e-05,-5.463997e-06,-2.8730865e-06,-4.7722024e-05,7.357232e-05
