,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8
1965-01-01,-3.0714432189339087,0.8924777304384276,-3.0913600670033365,-15.804250740710598,-0.5927031360566616,-7.905326594192138,-12.218753875248016,-7.4377992573906395
1965-02-01,-2.5342984262265658,0.7203067568787039,-3.767823813548639,-17.493319217069647,-0.15510303974151612,-8.957165295315772,-11.77509550064329,-6.954142065609203
1965-03-01,-2.739917416321604,0.6452816133760702,-3.987028071628743,-18.05630495518814,-0.008159416541457177,-9.47480037859625,-12.564583051772345,-7.548723361071419
1965-04-01,-3.892183993992053,0.8062860847525456,-3.809412999368792,-17.8104559580485,-0.41824725866317747,-9.412947716991516,-14.14491751837352,-9.138278540442972
1965-05-01,-5.007819376493756,0.9393834439008045,-2.723459143135416,-15.457424116723331,-1.0084180623292922,-7.905434415102824,-15.466155703105624,-10.547045258914723
1965-06-01,-5.859997272491455,1.0799690419690142,-1.023666628042058,-11.975118849012587,-1.6629601001739502,-5.329838159567712,-16.168203808012464,-11.439970801858342
1965-07-01,-6.372622816186203,1.1668612201254076,0.4443074702917032,-7.824098328013479,-2.2114625096321108,-2.6876219359460154,-16.515880160861546,-11.901366570416618
1965-08-01,-6.9713611351816285,1.2567587555209292,1.1133694618790593,-5.217651673305181,-2.617254400253296,-1.243304899058391,-16.629727303035676,-12.23368476418888
1965-09-01,-7.262191145043625,1.2951593654316689,1.1138787521189781,-6.299991077846951,-2.7295632362365723,-1.8101413225390246,-16.882358656989204,-12.575842352474437
1965-10-01,-7.084889286442807,1.3054111788544474,0.2781687968939393,-8.993588847878538,-2.534591221809387,-3.3768532612069775,-17.062769617353165,-12.519700106452493
1965-11-01,-6.4893407570688355,1.3138945696223134,-0.8673559050613912,-12.014423181981215,-2.141272211074829,-5.255680313634708,-16.186036760844882,-11.7118538127226
1965-12-01,-4.908476064079687,1.1362448469873219,-2.102167043254603,-14.668152067396376,-1.3441211104393005,-6.898242911112677,-14.398598292517283,-9.810382758869844
1966-01-01,-3.5287717769020484,0.9657232771442913,-3.2355269595007203,-16.851411042390044,-0.6550985604524613,-8.406977309394128,-12.858600843520392,-8.1435806611005
1966-02-01,-2.9460278310273824,0.8374121722289781,-3.884397499525367,-18.240989284750857,-0.27576314434409144,-9.328666175763631,-12.17677668919639,-7.400548037360696
1966-03-01,-3.274990759397808,0.8529285489255366,-3.962169759836628,-18.325295860384717,-0.32950782477855683,-9.635636896611897,-12.684477321685307,-7.960693275227267
1966-04-01,-4.277468292336715,0.9635278123592023,-3.6314332904528133,-17.87430857434685,-0.7205123722553253,-9.394254881082121,-14.147260453965929,-9.30635410196641
1966-05-01,-5.276345328280801,1.1163578481110843,-2.4722267634904562,-15.519910977210527,-1.4101881742477418,-7.909775763442836,-15.370978249443901,-10.614884741166058
1966-06-01,-6.255524534928171,1.2226298872680101,-0.969203932201443,-12.424228809497974,-1.9311381340026856,-5.666820617885524,-16.352376483735583,-11.787521698895622
1966-07-01,-6.949442185853657,1.3409854059858162,0.3821752740809666,-8.389158896458001,-2.4692056655883787,-3.055873195739956,-16.7158081417992,-12.330442316391888
1966-08-01,-7.093981943632428,1.3624838969124018,1.2690162239362248,-5.137275030583511,-2.8296510219573974,-1.5077407417428452,-16.824123594495987,-12.408777405233945
1966-09-01,-7.382343819266872,1.3932613819397452,1.365197154145744,-5.522881613837348,-2.904648208618164,-1.52255878415714,-16.870968682425364,-12.659151974846335
1966-10-01,-7.345289807570609,1.4340824992219106,0.6748332974299713,-8.307472276098933,-2.829884910583496,-2.8675888821841102,-16.748527875022283,-12.374616791220273
1966-11-01,-6.485534843645598,1.3243953085146876,-0.6521173270803001,-11.489942338731552,-2.2752111911773683,-5.032646205417069,-15.885792081318204,-11.434118887957405
1966-12-01,-4.964681550076134,1.134486314113633,-2.111559028002485,-14.388380521609458,-1.4197269797325134,-6.885270154762924,-14.149291174752372,-9.720592218286852
1967-01-01,-3.4195287604081006,0.9321054036607219,-3.0268320785694987,-16.348210676216784,-0.6145841091871261,-8.06266827271976,-12.422496553451296,-7.898606973535874
1967-02-01,-2.5927249381416724,0.7298365587423623,-3.5753673045479473,-17.44096956135314,-0.062426400184631345,-8.801086661741905,-11.430587465800937,-6.963248673607321
1967-03-01,-2.901515646984703,0.7827588661184794,-3.846889524603609,-17.66092276867525,-0.09616979211568832,-9.252445640432875,-12.070726969885447,-7.458412927739761
1967-04-01,-4.01873601110358,0.9489032739325415,-3.6363631636653113,-17.50886587449062,-0.6297578871250152,-9.277906778342125,-13.54691641671317,-8.90738417120541
1967-05-01,-5.280060642643979,1.1690795849144207,-2.6525244041902933,-15.137691851015443,-1.360036039352417,-7.97825973877792,-15.036344149756053,-10.430130397572237
1967-06-01,-6.199951046391537,1.2957344201043688,-0.8618195152761948,-11.46555005768199,-1.9527644395828248,-5.506782105698209,-15.796218599591937,-11.485010315390195
1967-07-01,-6.862816057707135,1.3924956060788802,0.611535185508093,-7.148521623493712,-2.5551130294799806,-2.639958620890719,-16.151035778106205,-12.076125425450943
1967-08-01,-7.101297378540039,1.413582638220445,1.3696474945125867,-3.6720551090475952,-2.86140718460083,-0.8486482183548183,-16.312344868977863,-12.147078514099121
1967-09-01,-7.106801208696868,1.4152049791963794,1.405698660031036,-4.741926104934127,-2.9240739345550537,-0.9720154132220343,-16.631241828676252,-12.351701680351706
1967-10-01,-6.758039499583997,1.3958578673093127,0.8061336362781237,-7.620679596324026,-2.629218029975891,-2.2327258005174984,-16.04523810129317,-11.784066031960881
1967-11-01,-6.003765557941638,1.3214452910523877,-0.5364943445477653,-10.929744626268928,-2.1111392736434937,-4.2721466510156585,-15.172069791763548,-10.81944185144761
1967-12-01,-4.651994516975002,1.1793988716753223,-1.943763835945321,-13.680005367891287,-1.4247379779815674,-6.47821311688505,-13.76980978345114,-9.235499325920554
1968-01-01,-3.1576932731427645,0.9403016987229199,-2.9943910675432215,-15.81266309008186,-0.6665086954832077,-7.981553847847116,-12.295765725393144,-7.4817893084357765
1968-02-01,-2.6341821645435535,0.7387415926416212,-3.7702547245888254,-17.287990193308133,-0.16321349442005156,-8.941499637983918,-11.686417791578505,-6.868746140423943
1968-03-01,-2.829764014796207,0.7630041634608925,-3.9045930507794098,-17.8130285239514,-0.20615343004465103,-9.231621784852543,-11.843315381852408,-7.1882890252506035
1968-04-01,-3.8875481956883484,0.9121356671872521,-3.588508780877195,-17.243640216780296,-0.5941379457712174,-8.926188740943305,-13.537990479242234,-8.837898899527158
1968-05-01,-5.161834641506798,1.1359248986224082,-2.3739293292539205,-15.089614303023726,-1.3839453220367433,-7.732815595017265,-14.849421334645104,-10.308153348810533
1968-06-01,-6.249943657925255,1.250597811952422,-0.7819388230242322,-11.90440743057816,-1.9458654642105102,-5.496761970913287,-16.005914930313352,-11.659149282118854
1968-07-01,-6.713318573801141,1.3102609459860919,0.5372204260909976,-8.050136212949399,-2.4711776971817017,-2.9063135487926783,-16.434182817973788,-12.045374758103314
1968-08-01,-7.03668707295468,1.336050204429697,1.2341189624077111,-4.925009056373878,-2.6801278352737428,-1.291073290343137,-16.603243161761572,-12.346999224494486
1968-09-01,-7.358763594376414,1.3360329920952583,1.2520513342852568,-5.751203607629846,-2.7900519132614137,-1.609395930857183,-17.09519908541725,-12.748081824358772
1968-10-01,-7.140724407999139,1.3176204936916818,0.4556398951078779,-8.630243937174479,-2.588882565498352,-3.3207314120944833,-16.9123959919763,-12.567372602574967
1968-11-01,-6.380543081383957,1.2652311697287901,-0.6718781687806,-11.831348324999396,-2.06346755027771,-5.143272917704893,-15.981853954375737,-11.648586497587317
1968-12-01,-4.8172439399518465,1.1411341169715432,-2.2202086808094426,-14.701437655790352,-1.3121158599853515,-7.226559878214937,-14.290706316630045,-9.576766631182503
1969-01-01,-3.5535778497394763,0.9710357014388475,-3.352951674006093,-16.62621674714265,-0.6875410914421082,-8.580168006346398,-12.676110343327597,-7.890832424163818
1969-02-01,-2.891905245028044,0.7999547775284651,-3.9881700846418067,-17.91127817130383,-0.2305448681116104,-9.416079930833115,-12.048043523515974,-7.298554953406839
1969-03-01,-3.233022438852411,0.775067969716551,-4.214921968067111,-18.845526966047874,-0.1247387705836445,-10.051764983082144,-12.649407462468222,-7.892385370591108
1969-04-01,-4.263604251961959,0.9339311417145065,-3.8722645697282188,-18.343939015894758,-0.5198152646422386,-9.766811030017552,-14.241509210495721,-9.43842326893526
1969-05-01,-5.390598021055523,1.1305216621246017,-2.7083809052280445,-16.098639994491766,-1.2751370996236802,-8.21913738840634,-15.514487311953589,-10.758603320402258
1969-06-01,-6.208759232571251,1.249902170418687,-1.1139024142643914,-12.989591080465434,-1.9527361512184143,-5.821503314775289,-15.946351914178758,-11.534214300267838
1969-07-01,-6.86576479359677,1.3577138120112038,0.481393135821999,-8.438300203394006,-2.490595984458923,-3.1079781424138964,-16.16592974889846,-12.113456726074219
1969-08-01,-7.336866479170951,1.3723527366601969,1.14041193945324,-5.598885041696054,-2.7897178649902346,-1.689185145794321,-16.560697177099804,-12.648225952597226
1969-09-01,-7.530414807169062,1.4341225974921938,1.2047608593600478,-6.194404025136688,-2.931036281585693,-1.9313443157681074,-17.021201148865714,-12.906915440278896
1969-10-01,-7.044545098354942,1.4096606695702307,0.37352817984831393,-9.523880628891932,-2.6621608257293703,-3.4455974487094942,-16.76949773515974,-12.458647559670842
