,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws600-250_cluster7,vws600-250_cluster8,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-5.8183458978166205e-05,6.949901824234128e-05,1.5838043542335603e-05,9.326894631336829e-05,-3.799292475174693e-05,-8.59718532480586e-05,3.5182918681958634e-05,-7.709279111704386e-06,5.333643302566992e-05,-6.19063770919746e-05,2.006899056042645e-06,-8.541434845111495e-05,2.814399587182718e-05,0.0001170146730424,-3.569682782244926e-05,8.054299839700716e-05,,,,,,,,,1012.7055109905566,1077.9341381725133,1090.3193496826827,1152.668154019836,1058.610080781717,1024.3695095852688,1598.1510639190674,1318.5260723163556,32.51256148020426,68.03076068560283,46.35485849882427,60.39135134449863,48.06375834021238,40.785432152954506,24.935410094500384,79.86698971981068,80.63820496173766,53.33345831191209,69.60826510106332,53.45973538276844,71.79872026543401,54.90466089691291,49.71078089530894,60.61548979386039,-3.0714433444173714,0.8924777848638186,-15.80425015202275,-12.218753875248016,-7.905326594192138,-7.437799397636862,-3.091360007099171,-0.5927031435072422,-1.9198700628782572,2.0003200180922884,-14.45363892449273,-10.916380276755682,-6.777497255515397,-6.150747607736027,-1.991868962594612,0.5012909391894936,24.84295493678043,27.74683328620492,16.93486343195409,19.35110167851524,19.43351640734066,23.760646371280448,23.56056999321559,25.92597427368164,2.867741689508519e-06,-8.499983563145149e-06,0.0058092846302315,-0.0007151262252591,9.26687542350197e-06,0.0004930780354091,-1.1623256236467008e-05,1.5914818992618668e-06,6.577034664281893e-06,-7.818753841610903e-06,8.55822010021763e-06,-1.2127189740398818e-06,-8.116782201119722e-05,5.717748506633084e-05,0.0009757492989592,-5.159993479709264e-05,36.94795723536472,7.527905035790166,19.27606867962408,22.592057376933585,18.805013711672185,10.153813327922162,11.658403368193394,57.1722209963102,18.76978352497122,25.042956570789443,34.31604369412724,26.141915868191163,11.29282290880782,61.49728717046613,31.2125733567466,14.797449338343712,-0.0405394236228903,0.0221869656931306,37.78055906295776,1.8265743553638456,3.687096387147904,-0.0426464078592011,0.0146870090130476,-0.6089080411654252,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-5.699425621303854e-05,7.005530800169628e-05,1.5057574002224771e-05,9.478837477261636e-05,-3.81618912819403e-05,-8.421808328981009e-05,3.369966614395532e-05,-7.365251514692901e-06,5.243460849336262e-05,-6.171175614469476e-05,1.933196016119815e-06,-8.435642310824404e-05,2.778618595433361e-05,0.0001224473965573,-3.5073460587635354e-05,8.031717068102107e-05,,,,,,,,,1011.7398925336144,1076.188643508888,1088.8595949229225,1152.1912140541888,1058.1819953405268,1023.8154230891048,1593.61834526062,1315.564017688041,27.13122440106941,70.04341151979234,48.10371984515274,58.40574505497608,46.29397014580151,42.1249275334535,25.482757593875743,79.87283222983329,80.36530279802432,50.6582284153859,71.36688309799102,37.32916036046537,70.2282347140684,56.232622202941634,41.06655310321328,49.71844453989348,-2.5342983634848344,0.7203067644235958,-17.493319217069647,-11.775095122201105,-8.95716496759264,-6.954142065609203,-3.767823993261136,-0.1551030278205871,-1.3340578424303156,1.8749680549283567,-16.085628226951314,-10.417682405502076,-7.781671576483553,-5.612697601318359,-2.62186599137196,0.9851252138614656,25.700179150230007,27.8825867729348,15.621198253867066,20.156757793729263,18.695158810959647,24.60204012253705,23.189714805564687,26.66764717102051,3.495444979275928e-06,-7.82401753553206e-06,0.0071163153431067,-0.0005748483421153,9.330050112848975e-06,0.0005771437524041,-1.2860630818067875e-05,1.6626988026905856e-06,6.044425902372647e-06,-7.395636182291956e-06,8.535964870956887e-06,-1.0164065996450838e-06,-7.800884374703925e-05,6.299944230235152e-05,0.002113837217621,-5.863139621105115e-05,37.83335212537656,7.215737807323681,18.74152960185043,24.19356436069233,16.72640524619865,10.177452113229316,12.206622244535964,58.74878501062568,20.070196919925955,22.194687783201868,36.248671641997454,24.997357346258735,10.441722197696553,60.747760641881776,34.89087530477204,14.285151050861728,-0.0366067263151436,0.0226790385728853,77.3419976234436,1.9279375672340395,6.089940294623375,-0.0726696621469469,0.013754635179911,-0.842224290737739,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-5.878795041239426e-05,6.854631451728089e-05,1.517134508130813e-05,9.63593006809662e-05,-3.774922853151092e-05,-8.543170966172162e-05,3.449939617017306e-05,-6.454789231986239e-06,5.284667627004775e-05,-6.128860560755943e-05,1.1151521366299271e-06,-8.427985305338815e-05,2.7065500911294224e-05,0.0001286667623152,-3.535320771068175e-05,8.47047517536684e-05,,,,,,,,,1013.2160531029228,1078.5056710062877,1089.3270456758964,1153.039282399712,1060.503374906577,1025.3079594792546,1591.94974899292,1315.1603665702787,26.932189320072982,70.32727069324918,45.65356990747285,61.47974410455283,49.59572707072343,41.31442566426031,24.44490541183829,78.07235261469937,79.31605930434925,50.631475568718514,74.89699388856096,31.33407391999897,70.8584546765293,57.778558047008914,36.53370813028702,39.23342094658325,-2.739917416321604,0.645281615891034,-18.05630495518814,-12.564583051772344,-9.47480037859625,-7.5487235013176415,-3.987028011724577,-0.0081594191491603,-1.4413463128240485,1.89453985872148,-16.533287071887358,-11.095959042745925,-8.203003086994602,-6.09738034360549,-2.747185745430951,1.2254831075668335,25.694691005506016,28.00009522256972,15.29293413515444,19.593610460796054,18.37352411853489,24.231137107400333,23.16158860173058,27.00471725463867,3.3708002750286164e-06,-8.784469432498722e-06,0.0056190328905358,-0.0005039909328016,8.723670042601407e-06,0.0005128288952012,-1.180055523246455e-05,2.1031775487540845e-06,4.551403080960615e-06,-7.162551684662528e-06,8.79058338608241e-06,-1.2046028781191186e-06,-4.187020703027837e-05,7.048587459364845e-05,0.0018203327272203,-4.843627978533612e-05,37.42406253095466,6.408025380312592,18.89582546935149,23.315600889360194,15.679648325767916,9.38426915307056,12.70256993304525,51.07872919121375,20.71644288610181,21.17428006456564,37.976770009365374,24.540958369581897,9.317081015430633,57.21789033410998,30.79450571329826,13.770004942664189,-0.0341920079743682,0.0220125765900058,29.5803964138031,1.3501237332820892,4.355843365192413,-0.0431266190396349,0.0136298786533335,-0.664734668456591,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-5.765205716351815e-05,7.037081973869456e-05,1.4487978686847346e-05,9.152108632151284e-05,-3.372878109900143e-05,-9.007628698152704e-05,3.730236762168731e-05,-8.528043343267525e-06,5.516246501809298e-05,-6.0055324339878326e-05,1.6066980677636143e-08,-8.650157002818496e-05,2.7484982641153305e-05,0.0001224240323915,-3.421203940446061e-05,8.136240265633309e-05,,,,,,,,,1013.0951567574208,1079.338980947428,1087.116214864695,1153.894060283688,1062.9043008892704,1025.787044215847,1583.2650661468506,1311.526528891031,34.773626472010754,69.6188125345442,52.71557925040262,53.516959735617135,47.98839021437239,41.97578430175781,26.26679493830754,74.77180535713453,79.3990115657643,49.202131564430985,72.8238150265831,38.84182549957045,71.60181327526728,60.792852152248976,42.255181824134674,47.320831488378296,-3.892183993992053,0.8062860935549193,-17.8104559580485,-14.14491751837352,-9.412948044714648,-9.138278259950528,-3.8094129394646266,-0.4182472735643386,-2.428817968619497,2.214081297443889,-16.09416478945885,-12.48992057073684,-7.979756941910052,-7.502750789417941,-2.412229686526198,0.971950313448906,25.091901578401263,28.68970798540719,16.1832273742299,18.634704938010564,18.97352749539405,23.255703869987936,23.863829320399606,27.116635513305663,2.9144172019367588e-06,-6.4143113318449775e-06,0.0053615309298038,-0.0004900452040601,9.428745650250432e-06,0.000642916468981,-1.1010188770272247e-05,-7.015375678304551e-07,3.230421521095438e-06,-6.890097354074631e-06,8.030466461901194e-06,-2.3349893373485078e-07,-8.13762572085043e-06,6.832636450605107e-05,0.0015544921552645,-5.245367918967462e-05,29.22760460780181,6.080680554962778,30.509337659265498,20.0446388433942,12.42886260382186,9.765969038891903,15.707844104559646,39.16190434849832,24.40424674119647,17.571494662409,29.522818753163246,36.72948745530722,8.22302647734507,49.31348708168981,30.97412211232437,14.618289395924675,-0.0195357646240934,0.019784858380362,158.55038166046145,0.8525101095438004,9.768937528133392,-0.0753761419365482,0.0053310421325506,-0.6444069628532116,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,-5.795373249306148e-05,6.931702233380158e-05,1.6858382091873868e-05,8.793549732545872e-05,-3.231295475998635e-05,-9.197779917695488e-05,3.909648328971875e-05,-7.9477200887429e-06,5.628285370224345e-05,-5.8308038853412544e-05,-2.5507362412340683e-06,-8.761830567587506e-05,3.068845878639694e-05,0.0001327184210219,-3.313950194437901e-05,8.493457834176838e-05,,,,,,,,,1012.614058405025,1079.3957593401333,1086.1468685855814,1153.1589805657136,1064.0099039348606,1026.4897114521748,1577.9901027679443,1307.4406347233496,41.02108081181844,71.84790372848511,61.04447381538258,45.1052312422105,49.84055604084884,39.15135217427414,22.50468786743572,67.80941520581406,81.18551811914426,39.43931906289357,66.54884616936921,33.63020330443418,72.0376795190316,62.80441042743151,27.416849452138734,57.56382438707056,-5.0078195019772185,0.9393834313259848,-15.45742529409903,-15.466155324663434,-7.905434742825957,-10.5470451186685,-2.723459143135416,-1.0084180265665057,-3.531153735361601,2.359972694252111,-13.725535074869793,-13.796117192222958,-6.459215990046864,-8.896652950960048,-1.313577899381743,0.3944139951840043,23.882433740716237,28.7325378611118,18.42621049763244,17.207346265278165,20.389143298172048,21.74206341014189,24.86019565831477,26.43731727600097,3.267596720847884e-06,-3.113951682249741e-06,0.0044128736287044,-0.0002315618820086,9.635516118681205e-06,0.0004982806482682,-1.2861860865926316e-05,-3.2147393001929843e-06,-3.5638303543894194e-08,-7.272633942353999e-06,7.821801601231072e-06,1.346914646142401e-06,5.0682968158537566e-05,6.998391566617835e-05,0.0040547569369664,-6.031908203610482e-05,19.83840586360569,8.048609160594177,31.543539499765405,15.44899054765206,9.850783563983986,13.624217103262945,19.16521586109764,35.074636348931605,29.86048130060082,13.10106289013772,20.87662310014958,41.90605684577027,9.548404833882552,37.48857010922302,25.98758182664544,20.068701317311977,-0.0047003144823849,0.0220324036413507,238.5715484619141,0.1706804521381855,17.436614632606506,-0.0823967833598849,-0.0131969497986926,-0.7806688547134399,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,-6.123284344330168e-05,6.663306936281836e-05,1.6903151227556662e-05,8.778288302092042e-05,-3.1188384894358295e-05,-9.03853842128928e-05,4.119266994582152e-05,-7.3501823498203825e-06,5.992146769341627e-05,-5.840102966149346e-05,-5.615616994172266e-06,-8.74969354047975e-05,3.2185783119733473e-05,0.0001393146860186,-3.250071653316689e-05,8.657599371549359e-05,,,,,,,,,1014.1915529124174,1080.724525163105,1085.359776882959,1153.2141632729388,1066.7029410734303,1028.648754497906,1572.9973316192627,1304.103491316626,45.29823389920321,71.84661096996732,67.73984223081355,38.71863077233129,50.14299118872916,37.67193678878124,22.911818769065828,61.13724411959854,79.74430489140515,38.737961507263954,61.83343001359859,52.84749224669951,72.47162486954535,64.55882430579592,32.5687856863666,81.2782761473093,-5.859997272491455,1.079969042470042,-11.975118849012588,-16.168203808012464,-5.3298379957061455,-11.439970801858342,-1.0236666430180996,-1.662960124015808,-4.540449631841559,2.3494074817448225,-10.427502349570943,-14.675860934787329,-4.037496806010347,-9.965181490954231,0.2362030226007178,-0.4093895822763443,22.554886466578434,28.415805478639243,21.350984220151545,15.96768091595362,22.499173613348365,20.317846186020795,26.106120833200425,25.331181716918945,3.768214111149392e-06,1.5117654028927733e-06,0.0032954201742541,-0.0002588111370145,7.85169224209349e-06,0.0005519241919197,-1.375009245608593e-05,-4.848670439028197e-06,-6.38045219813313e-06,-6.960594237923912e-06,8.33952153823573e-06,3.054049354278819e-06,0.0001130070953737,6.70586931875967e-05,0.0056128988944692,-5.9775938664316985e-05,11.17504735630214,7.974611731482786,36.19690595389032,10.08409743841152,7.529985584762477,16.24539258054797,20.417597220644968,29.043057669367126,30.44953474067485,9.28924842920479,11.219387624908777,42.834900717466056,11.64580437721438,23.99815789116794,21.58857905731428,26.08884540542695,0.0101066229641825,0.023164482661889,171.50462865829468,-0.1926088891923427,16.36022925376892,-0.0784545157003047,-0.0349201801591627,-0.6499691651417658,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,-5.8309192401380994e-05,6.852098575858262e-05,1.6902308501934195e-05,8.350121088788838e-05,-2.959358098890683e-05,-9.243165886101242e-05,4.30023447202466e-05,-8.525563406501827e-06,6.17477886185613e-05,-5.731536893794722e-05,-6.208158767784913e-06,-8.828503772012017e-05,3.217889445407867e-05,0.0001393955093949,-3.135563667675936e-05,8.606201048453382e-05,,,,,,,,,1013.6093765578707,1082.202471619114,1084.7873554792225,1151.452082640736,1066.4962700129624,1028.528409390836,1568.7856674194336,1302.7691993878518,55.8548421570749,70.15713254610698,71.27058882462352,33.03349186572579,52.77283026440309,35.76339590430392,21.694712335848088,54.992336291445504,78.90188689560419,35.2830339138694,58.68917236947143,73.30560612499265,72.82134046099378,67.798786726682,34.132433884980664,92.58033325953512,-6.372622941669666,1.1668611987482145,-7.824098916701328,-16.515880917745925,-2.6876219359460154,-11.901366289924171,0.444307500243786,-2.211462414264679,-5.234735388504832,2.2615382339380967,-6.489537674703716,-15.228982955690414,-1.573195408300026,-10.62960989335004,1.530733195381548,-1.1304688334465027,21.57653005499589,28.054650705071943,24.955782478238326,15.093287210615854,24.68526191318158,19.33592431685504,27.129425355537453,24.34023323059082,3.094010692726546e-06,3.737241973680025e-06,0.0005219566446612,-0.0002252460366104,1.2183046491009254e-05,0.000472913870908,-1.1453196293587098e-05,-8.649596455532254e-06,-8.566796846892138e-06,-7.092681546570655e-06,1.006281874125304e-05,3.7195584200159978e-06,0.0001324450959845,7.431109195515032e-05,0.0054191306844586,-7.208990661278015e-05,9.513780982055328,8.585404075354248,43.874649050717366,10.400370954238053,7.424813637765244,16.691757074121902,20.40100991324574,14.48919353963124,30.649169132344237,9.223442248479378,10.76442166777226,47.28561751685407,13.039924834265548,17.329423143626343,20.69906780997899,26.052752859637877,0.008722906617222,0.0232343703507143,185.3256702423096,-0.3672652691602707,15.720555186271667,-0.0714017378707085,-0.0386285484813514,-0.8046023547649384,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
1965-08-01,-5.907076075905134e-05,6.786131721395684e-05,1.6450632372693323e-05,8.383965810745924e-05,-3.0498584545392605e-05,-9.224343543442395e-05,4.3403783806900905e-05,-8.010819838938822e-06,6.088394938104927e-05,-5.838952114135992e-05,-5.828053417644696e-06,-8.900553223536856e-05,3.2400404555201325e-05,0.0001377042014615,-3.1804083210296945e-05,8.96711526819674e-05,,,,,,,,,1013.5968356971428,1081.4264571612614,1084.594333842996,1153.0554978390958,1065.5129562400737,1027.866287918778,1573.2186317443848,1305.3519905387582,58.884977571892016,70.66503100925021,71.69432723731326,36.70230759287799,51.55700881882469,36.446421471869904,23.71380879328801,60.506374413887286,78.73900997794097,39.062736376707136,55.15456905713188,84.18770410064468,72.93753351959833,67.93097001087816,37.25490885854557,98.09733325650232,-6.971361009698166,1.2567587555209292,-5.217651673305181,-16.629726924593488,-1.2433048785756953,-12.233685044681325,1.1133694319269765,-2.617254376411438,-5.8619347371553125,2.3240548447717595,-3.91647227016496,-15.375020390465146,-0.1567532567633796,-10.993738174438477,2.172620661893682,-1.5632997095584868,20.864236731278268,28.035306326950653,27.429043805157693,14.851007764301604,26.01835965290921,18.87669002308565,27.69006892065307,23.826559829711915,2.065989132693881e-06,2.411838577834038e-06,0.0009690054260621,-0.0002362318727219,1.199629448447784e-05,0.0004524682177968,-9.343638986627831e-06,-6.948905958955752e-06,-7.24847858525151e-06,-6.343651747779978e-06,9.247549571299237e-06,2.8311929000090177e-06,0.0001260230186371,7.270338697238796e-05,0.005184673864278,-8.400208382638839e-05,7.841581763335452,6.579539778829931,39.17420244498933,8.095587840286633,6.927149787269681,14.952035847554882,19.20023194762912,12.459761212300831,29.16899169430747,9.56531386141864,8.207302665171063,45.47280024624977,10.76406843673582,13.895717989039406,16.091417340630652,23.365659142594968,0.0115974590925399,0.0221832218298576,167.633056640625,-0.4506018012762069,40.504634380340576,-0.0789534929150683,-0.0363996122858577,-0.8508939582567948,1.29,1.12,2.32,0.45,0.2,0.32,-1.1,-0.2,-0.21,1.62,8
1965-09-01,-5.935625583405488e-05,6.731261103542398e-05,1.5315439228556922e-05,8.629089614930739e-05,-3.1066647242509206e-05,-9.043863526760384e-05,4.350507938654027e-05,-8.447224022298757e-06,5.965585897768731e-05,-5.962817053711436e-05,-5.350844723664863e-06,-8.679603179244432e-05,3.2013722000515946e-05,0.0001291431776532,-3.171648744760978e-05,9.144206993521644e-05,,,,,,,,,1013.6865579332128,1081.2894004556306,1085.3646367868214,1153.901297927748,1065.211676125747,1027.6640677237294,1581.1734199523926,1308.3202015269885,58.071958657467,71.07573681407504,72.60836885686507,39.22387149655589,46.65922552052111,34.10803173543611,21.974738066810428,63.67604652660316,78.31590606291644,38.59552772579625,54.585074217759576,83.07231530211025,72.78181415775464,63.45808375233839,34.79934780802948,97.96393258231026,-7.26219139601055,1.2951593465694395,-6.299991372190876,-16.88235941387358,-1.8101413635044163,-12.575842352474435,1.113878782071061,-2.7295631885528566,-6.07714477338289,2.435203297731745,-4.910123053892159,-15.54212494501992,-0.649529710872886,-11.251376656924975,2.2453296723677285,-1.603770124912262,20.73386342901933,28.228073120117188,26.534897604106384,14.779851550147647,25.60867558639893,18.713873694924747,27.84377869649149,23.86668510437012,2.110919759159179e-06,2.255728778118082e-06,0.0019078478847707,-0.0003262109120524,1.081943649432464e-05,0.0005371064010735,-1.0594788259018407e-05,-5.510027097030347e-06,-4.566950739983581e-06,-5.7132359135969015e-06,8.853926075300415e-06,2.565034805341072e-06,8.121369785676972e-05,6.446899797376846e-05,0.0042752213630592,-8.071617899849167e-05,11.93564956373739,7.006690261269845,34.56768857502368,8.9506928386575,5.882474360746434,14.118838437551094,19.13228129671741,27.6647812289319,28.98102121493316,7.030777888982114,9.008568646485864,42.86835068967632,10.854529320531167,22.47577025288272,20.3169648462288,21.370672951166306,0.0051917043029262,0.0235205251919336,108.20423364639282,-0.031667398288846,28.118425607681274,-0.0476900247796889,-0.0358312757828483,-0.6747105373786045,0.66,1.29,2.26,0.51,0.59,0.36,-2.2,-0.12,-0.03,-1.29,9
1965-10-01,-5.938528340447476e-05,6.837302835800287e-05,1.6575720264710362e-05,8.595750273115753e-05,-3.2429228299557655e-05,-8.90921611034383e-05,4.039946642119813e-05,-9.046912782915768e-06,5.668969027596224e-05,-6.0078236657972377e-05,-2.885774998881664e-06,-8.641479594037107e-05,3.132520741380887e-05,0.0001163693095051,-3.339851996250634e-05,8.852553935888821e-05,,,,,,,,,1013.5277775057684,1080.698125842119,1088.502760163581,1154.34662947418,1064.4528330530643,1026.9399350827878,1589.566135406494,1313.3331430938852,51.39483610788981,70.38386000527277,67.60823684826232,44.24627741092788,46.47260042700437,36.5465562166305,21.58208642914941,69.13469214188426,79.72818513156315,44.22427256701875,62.09564286361602,67.04051942753613,71.45512462078624,58.684106013945886,41.62985694329471,86.90141002583947,-7.084889286442807,1.3054111511898443,-8.993588553534613,-17.0627684820266,-3.376853179276194,-12.519700947929833,0.2781688118699807,-2.534591293334961,-5.800549482044421,2.540979013161317,-7.487263797241964,-15.610242268395805,-2.118993829615747,-11.084260660059313,1.5044231360881173,-1.3144682884216308,21.214445515682826,28.530086404663603,24.196994451828942,14.942432206774514,24.338988995633997,19.108970305498907,27.297632897918547,24.349778366088863,2.510177480514026e-06,-1.2661260693168514e-06,0.002402153040748,-0.0005065802807538,8.49130822326891e-06,0.0006593211461828,-1.241200178670764e-05,-2.7258430842180075e-06,-1.2109575504794794e-06,-6.118679385176415e-06,7.867896936250301e-06,1.6342010002022492e-06,-2.5524289234897134e-07,5.025431751311126e-05,0.0027053782105213,-7.220255353769182e-05,20.04254113142856,6.253611781076654,29.394004849597017,13.05726959363089,8.468684685371793,12.430098789215611,17.902250866249545,38.28148025787422,27.37483284604806,10.284974928222764,18.173782614528594,38.92103545161441,8.456391789612868,39.21187523639232,22.848302757654867,17.810721734452265,-0.0051291731397632,0.021313379528766,155.8345079421997,0.5005107820034027,28.399980068206787,-0.0753573574144254,-0.0209896306079181,-0.623470086317796,3.08,1.45,0.85,0.92,-0.36,1.42,-1.5,-0.1,-0.17,1.57,10
