,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6
1965-01-01,8.066029311537947e-06,5.600538719427481e-07,1.9896375637141648e-06,1.5897660957237418e-05,1.2965183703359106e-05,1.4628494682256132e-05
1965-02-01,1.4355878151904975e-05,2.9905246019859148e-06,7.26615594844175e-07,1.820492028715447e-05,7.267379130228489e-06,1.6906129805074547e-05
1965-03-01,9.838653740361395e-06,-3.6391195076095263e-06,2.628077657556622e-06,1.6061357410552984e-05,1.268958190589079e-05,1.6042238164355035e-05
1965-04-01,1.2590663646807188e-07,7.535775213828049e-06,2.9983956334366337e-06,1.0523356020432682e-05,2.342785538054332e-06,9.004475343741208e-06
1965-05-01,2.5930966011081768e-06,1.0794091589089608e-05,1.6770169498737564e-06,7.915349180201212e-06,-2.519086484382916e-06,9.024711600855656e-06
1965-06-01,-1.0640591885480265e-05,1.3668462732189407e-05,3.9670368013586e-06,5.69722041850932e-07,-2.517744979697801e-06,-3.1891743188456007e-06
1965-07-01,-2.0014629233235214e-06,1.5450338620477974e-05,9.407180424535578e-07,-2.0513450111208768e-06,4.434625246912696e-06,1.0111169676872111e-05
1965-08-01,2.118870598097019e-06,2.0821315639919152e-05,1.793120645743329e-06,-1.4205593638157901e-05,4.438756748402825e-07,2.3119093683605683e-05
1965-09-01,-4.653081923770678e-08,1.3175799671280606e-05,4.712426330529111e-06,7.917170968049993e-06,2.3253113297306255e-06,9.78367122477048e-06
1965-10-01,1.1557671445320142e-05,1.0980789391376245e-05,2.808704845268618e-06,4.419344245084525e-06,2.0152685107989654e-06,1.0051126830074106e-05
1965-11-01,1.3589449117552993e-06,1.1058414253220485e-05,3.6077435807287244e-06,5.7538223840170895e-06,1.6503918232047e-06,1.222362249654284e-05
1965-12-01,8.184024982829787e-06,9.577918339591327e-06,1.394045532585799e-06,6.2825242471612556e-06,5.265473018447492e-06,2.132531098801362e-05
1966-01-01,1.6610670787191043e-05,-2.8170985244920874e-06,2.0649284703143746e-06,1.744073205582726e-05,1.4150969902749196e-05,1.8477660650865827e-05
1966-02-01,7.085774283237893e-06,1.4158046540390213e-06,1.6101286581198855e-06,1.4596518247764414e-05,6.719527131541067e-06,2.0127479056349306e-05
1966-03-01,5.234344391758461e-06,2.7201154766822747e-06,1.2756342832951553e-06,1.95132186210965e-05,6.4456506671766486e-06,2.10022684370091e-05
1966-04-01,1.1057921313352438e-05,6.754336855112669e-06,3.0001562446490095e-06,1.748735835113061e-06,1.0752281317157516e-05,6.826814868661244e-06
1966-05-01,-9.808576709605533e-07,7.157579725418564e-06,4.226194588144691e-06,2.845687364382544e-06,6.384798975237313e-06,3.645051685751939e-06
1966-06-01,-2.470491184598162e-06,1.7051134113643547e-05,3.0694792175464416e-06,-5.658012364270129e-06,-7.13918097972055e-06,1.025511278696709e-05
1966-07-01,1.0330338661767633e-05,1.767150249353118e-05,1.1278777068665393e-06,-3.788194450093075e-06,4.560534502421173e-06,8.637441281541826e-06
1966-08-01,-5.289469603061054e-07,1.3116732588969171e-05,1.8892331519799137e-06,-7.181470209616236e-06,2.4784623877037252e-06,1.4364548106853251e-05
1966-09-01,3.318648739197899e-06,1.761850858763844e-05,3.875665077595675e-06,-8.497117960359901e-06,-5.41234125453879e-06,5.420706781466198e-06
1966-10-01,4.049538781580374e-06,1.0944984935347012e-05,3.642014813852835e-06,-3.3455570211607174e-06,-2.833313655650099e-06,4.332525960519776e-06
1966-11-01,1.2604732136923802e-05,7.048320798419175e-06,2.691425668837672e-06,8.139833460938042e-06,1.182305216692233e-06,5.920650412556588e-06
1966-12-01,3.398116299657894e-06,7.052785497691137e-06,2.0098980878008827e-06,7.139268256231354e-06,4.883746723429622e-06,1.0963207362331323e-05
1967-01-01,2.217794964373162e-05,-9.819716575457074e-07,9.425126667007465e-07,1.6338125043638193e-05,1.331319535460179e-05,1.647279295617434e-05
1967-02-01,1.3132590981046165e-05,-4.272344974677335e-06,1.976003811808947e-06,6.712794297177774e-06,1.3875086595016045e-05,1.9803498355330493e-05
1967-03-01,4.411280671676551e-06,3.527462107679261e-07,1.4329342858135616e-06,9.763177261517669e-06,9.960690693419782e-06,1.4956127066796723e-05
1967-04-01,-5.106927487103602e-06,8.133561555603572e-06,2.2566580562190874e-06,1.5045863200122347e-05,5.365651153018311e-06,1.7240270683207e-05
1967-05-01,4.4180948789330654e-08,1.1971922994531126e-05,2.124816960118055e-06,2.7338551962412357e-06,-2.5434197985824932e-06,8.396594002739246e-06
1967-06-01,4.782443718320316e-06,1.5111330090864991e-05,1.2816627862445207e-06,7.5782932421694004e-06,-7.970312156300809e-07,1.1324832422821464e-05
1967-07-01,7.911255640981441e-06,1.542229450463443e-05,1.0280005178422222e-06,1.327071441455001e-06,-1.2036089120080025e-06,8.976543266389979e-06
1967-08-01,3.85514704203826e-06,2.135664013376606e-05,2.1011823760504327e-06,-6.385571396094747e-06,1.3506755586994198e-06,1.4379359165777466e-05
1967-09-01,1.3403184090527024e-05,9.442308591940345e-06,3.4306249290239066e-06,1.2572278277590298e-05,5.067261640977536e-06,1.4240245098783953e-05
1967-10-01,9.414726583919538e-06,1.1246259653878011e-05,2.4262161249763183e-06,1.4913468755996571e-05,2.8654950158722515e-07,4.854986437836387e-06
1967-11-01,7.118997674043131e-06,9.000883805578617e-06,3.3557279266460682e-06,8.955953839736489e-06,8.066087091373491e-06,1.2431212793397781e-05
1967-12-01,5.9473228936218905e-06,9.359217564748035e-06,2.303005606501591e-06,3.8987669680724275e-06,8.414686665976964e-06,1.0067649109509123e-05
1968-01-01,1.286984758923797e-05,-2.6410006466392773e-07,8.451886308400638e-07,1.680805675837641e-05,1.2891880595859784e-05,2.161326946942646e-05
1968-02-01,4.729912103226393e-06,-8.320440745878484e-06,1.8112608896362046e-06,2.4245802286224294e-05,9.765693946627879e-06,1.6990856088902037e-05
1968-03-01,8.73920472004757e-06,8.030377848831194e-06,1.6686681605774951e-06,9.855209730001381e-06,7.673488545108176e-06,1.0916003341426155e-05
1968-04-01,1.0120679648894069e-05,6.07032019656748e-06,2.9446134497199883e-06,5.84037129906042e-06,7.285547910994085e-06,2.644683512674058e-06
1968-05-01,-8.859651110846619e-07,1.3204589777160436e-05,3.915327232045291e-06,-1.2469927941520626e-05,1.0542664443034613e-05,-4.203857377881969e-07
1968-06-01,-7.0583618261488485e-06,1.9945641878202265e-05,4.371439073028424e-06,-1.1336474367103969e-05,-6.19873963798801e-06,-5.556731058239988e-06
1968-07-01,4.1537781406667494e-06,1.667107671585583e-05,2.1350444347428326e-06,-3.5705572652379765e-06,-2.4449234171611135e-06,9.758207241945568e-06
1968-08-01,-1.7255052289902441e-06,2.0467123658307358e-05,1.0182528430132978e-06,-1.4410642716729153e-05,4.744897198958954e-06,7.667463936217844e-06
1968-09-01,4.7102175485306026e-06,1.3779630576158361e-05,3.884816082559568e-06,-3.947733113398918e-06,4.026393136362978e-06,4.084216464571623e-06
1968-10-01,9.43198813786751e-06,1.4076823809477134e-05,2.242022260774816e-06,5.667837705494513e-06,1.6069990460025673e-06,7.012486966145034e-06
1968-11-01,1.2770830860087722e-05,1.0076397057070679e-05,2.068209100385006e-06,1.5554788450782115e-05,1.146229811595168e-06,1.1866595134226173e-07
1968-12-01,1.269178184130552e-05,4.767038303674617e-06,2.4954015936435265e-06,8.695317144604185e-06,1.162729642514716e-05,1.7309757324305606e-05
1969-01-01,1.6229669937102524e-05,4.683029606547259e-06,1.7419076605371878e-07,1.9048096034496735e-05,1.4805178103588767e-05,2.419553921966214e-05
1969-02-01,1.3467598438256645e-05,-1.8793017080098977e-07,1.9172760982076977e-06,1.1232041987778546e-05,1.0381798650390314e-05,1.9264856970562818e-05
1969-03-01,4.863857116065405e-06,4.0073148973921855e-06,1.884183244659322e-06,1.2798745256776992e-05,4.852472557104193e-06,1.1402139472472163e-05
1969-04-01,1.627989575780219e-06,5.182106137959799e-06,2.510009179249292e-06,1.1575496570842985e-05,6.946278777572194e-06,1.1149537909061533e-05
1969-05-01,-8.600583491037517e-06,1.4391269850717292e-05,3.6303971765763974e-06,-4.70638916829977e-06,5.00904376178282e-07,6.593499576460813e-06
1969-06-01,1.5415204424251904e-06,1.33757014972095e-05,3.61183728355999e-06,1.9744734695100656e-06,-2.2241006750586427e-06,5.698992849019841e-06
1969-07-01,-1.0650858933552847e-06,1.7041202227119356e-05,1.3536524751213042e-06,2.579461649405018e-06,2.89566872067683e-06,1.0930304834140745e-05
1969-08-01,4.6532268488836295e-07,1.3891563826342626e-05,3.618075838444797e-06,-1.7203684767362293e-07,-9.589741233910553e-07,1.2512851778771856e-05
1969-09-01,6.5187824835808345e-06,1.479411673316146e-05,9.184350553616902e-07,-1.2876695948832023e-05,9.600708359530905e-06,5.140510152097256e-06
1969-10-01,1.2913653483485323e-05,8.580327324053859e-06,3.0989471766092307e-06,1.484372310537415e-06,8.78183397747177e-06,4.05214369456102e-06
1969-11-01,1.42134373524092e-05,5.70959569261739e-06,1.5670689828601263e-06,1.4469404469799392e-05,6.873926849948475e-06,1.0248644784577702e-05
1969-12-01,1.1004039078142266e-05,7.424547588465777e-06,1.1987597397158176e-06,5.183495047206704e-06,9.618525793831353e-06,1.5578333572293186e-05
1970-01-01,9.132031459352923e-06,5.986474493153529e-06,-4.882604943387295e-07,1.3692729575828147e-05,9.043890258908505e-06,1.5984508922572363e-05
1970-02-01,1.7990765906057555e-06,3.122815524272554e-07,1.6541479123010172e-06,1.775271252531988e-05,1.2136356850706286e-05,7.852927971215065e-06
1970-03-01,9.314159821794443e-06,1.1351351000239753e-06,2.488276880864181e-06,1.7078046557099486e-05,2.5007349926281244e-06,5.314460357934977e-06
1970-04-01,7.490649778930247e-06,4.764949020620938e-06,3.2405378285395936e-06,7.586917350776135e-06,7.735380200929718e-06,9.807536116568372e-06
1970-05-01,3.853349815406479e-06,1.173782416781557e-05,3.457559325232234e-06,-5.426082120371015e-06,2.327510628674645e-06,6.583983209466543e-07
1970-06-01,-7.004655754326859e-07,1.935215059960826e-05,1.2094383650533431e-06,9.231619585009936e-06,-9.78590313544763e-06,9.476268867928573e-06
1970-07-01,3.9871758155378945e-06,1.531966364801223e-05,1.0358006337893047e-06,4.506307679828471e-06,1.0589229218350652e-06,1.121487949690973e-05
1970-08-01,-4.911797011962269e-06,1.8488770344927696e-05,4.779524054108399e-07,6.60152251769502e-06,2.933314289878451e-07,1.1828033415415669e-05
1970-09-01,4.5792337193422286e-06,1.8839622743746914e-05,2.060298026084307e-06,-9.859736215170973e-06,-5.156612457670105e-06,1.3552143833319312e-05
1970-10-01,1.250508797933402e-05,7.601628761661365e-06,1.8894034496952372e-06,1.2365112175197841e-05,5.028247025100947e-06,2.632341171217738e-06
1970-11-01,1.624220662510656e-05,6.878116018311487e-06,8.450589232014946e-07,4.2745502399226935e-06,9.369606838542193e-06,1.862341029153282e-05
1970-12-01,1.0604896676529467e-05,1.865417064263046e-06,2.095958403846122e-06,1.5345246468384106e-05,7.0545676559656085e-06,1.2504945404282198e-05
1971-01-01,4.0317078716586225e-06,4.016698276858876e-06,2.8053872566405597e-07,2.1009522102898558e-05,6.920419894283571e-06,1.637903651125308e-05
1971-02-01,1.1580174269748804e-05,-1.6215556038996816e-06,1.7827423190200617e-06,1.805420722051237e-05,9.258959228949001e-06,9.605939140621483e-06
1971-03-01,9.662641729789298e-06,-9.258715142882618e-09,8.792640900620344e-07,1.4913341426738323e-05,7.026703553405934e-06,2.815685024559147e-06
1971-04-01,4.549762570297536e-06,9.535137343866583e-06,2.4977337240918795e-07,-3.5102119419696883e-06,3.678953979553106e-06,7.421378964639575e-06
1971-05-01,4.441003019982836e-06,1.0920076021464186e-05,8.837183817046356e-07,-4.129797162022442e-06,3.412892673233208e-06,1.3956222362251799e-05
1971-06-01,1.0393171635826605e-05,1.3613481222706836e-05,2.3895236981016668e-06,-2.727488033717516e-07,4.399222894963238e-06,7.767749431802993e-06
1971-07-01,9.632453265448356e-07,1.6959606245712094e-05,1.4816607125050557e-07,-1.2579563373877204e-07,3.1577436792369037e-06,1.172403705685897e-05
1971-08-01,-8.539475177032956e-06,2.236156637735895e-05,2.300491360074375e-06,-1.2994786140132839e-05,-1.6995071085884342e-06,6.933347845317681e-06
1971-09-01,1.4967286374854124e-05,1.7523994715753524e-05,1.8463039271988568e-06,7.911875610051748e-06,-7.212089972849104e-06,4.08642416951894e-06
