,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6
1965-01-01,-0.10006714,-6.434387,2.6906128,-7.506653,-3.5054932,2.354828
1965-02-01,0.3251648,-5.67984,2.648346,-7.681671,-2.4640198,2.5690002
1965-03-01,0.41207886,-6.0205383,2.9043884,-7.619232,-2.7019348,2.6474304
1965-04-01,-0.37249756,-6.8101196,2.4516296,-9.347321,-3.6976013,2.5444336
1965-05-01,-0.99472046,-7.575531,1.5619507,-10.351257,-4.2524414,1.9241943
1965-06-01,-2.2496338,-8.009674,0.6937256,-11.590729,-5.0603027,1.5559387
1965-07-01,-2.7591553,-8.566071,0.47512817,-12.189056,-5.736969,0.46115112
1965-08-01,-3.418274,-8.808075,0.08544922,-11.738464,-6.2374268,0.08743286
1965-09-01,-4.1315613,-8.836761,0.14953613,-11.947296,-6.2890625,0.31869507
1965-10-01,-3.4701233,-8.9791565,0.6652832,-12.195984,-6.4419556,0.90078735
1965-11-01,-2.6952515,-8.264648,1.843811,-10.8836975,-6.47937,1.7839355
1965-12-01,-1.5600586,-7.0471497,2.8587341,-8.583466,-4.86969,2.410675
1966-01-01,-0.7267456,-6.1781616,2.8597717,-6.735901,-4.4741516,2.2142944
1966-02-01,-0.15527344,-5.884033,2.8417358,-5.3338623,-3.6555786,2.7842712
1966-03-01,-0.16000366,-5.592743,3.0538635,-6.4853516,-3.8973083,3.0488281
1966-04-01,-0.6968994,-6.616791,3.0943909,-7.9002075,-4.3832703,3.1695251
1966-05-01,-1.6788635,-8.080872,2.1134338,-9.33606,-4.697052,2.5910034
1966-06-01,-2.3069153,-8.534424,0.948822,-10.7276,-5.189453,1.3330688
1966-07-01,-3.299591,-8.176636,0.6828003,-12.309296,-5.662201,0.40341187
1966-08-01,-3.8157654,-8.684204,0.5690918,-11.458313,-6.187958,0.22314453
1966-09-01,-3.7583923,-8.766052,0.4005127,-11.607239,-6.230957,0.44638062
1966-10-01,-3.3303833,-8.9104,0.9313965,-11.822693,-6.013733,1.3902893
1966-11-01,-2.2947388,-8.626648,1.9408264,-11.386627,-5.0320435,2.670044
1966-12-01,-0.8880005,-7.5335693,2.6239014,-8.560822,-3.8829956,2.8503113
1967-01-01,-0.20962524,-6.2545776,2.8469238,-6.7533875,-3.376831,3.10083
1967-02-01,0.03930664,-5.2604065,2.6175537,-5.9059753,-2.783844,2.5734863
