,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7
1965-01-01,0.2254713,0.19206269,0.6151894,-0.08447814,0.623431,-0.019279862,0.28684306
1965-02-01,-0.30111894,0.3022964,0.60989106,-0.0853612,0.43313447,-0.045035385,0.4182698
1965-03-01,-0.32378381,0.07079091,0.44417256,-0.04694865,0.3950163,-0.031642508,0.21884842
1965-04-01,-0.057545234,-0.21943717,0.29022807,-0.030759478,0.9870992,-0.078296825,0.14746884
1965-05-01,-0.037676644,0.24136615,-0.045771264,0.037087966,0.8335962,-0.016042018,0.13186832
1965-06-01,-0.21899562,0.40031463,-1.2974901,0.05195259,1.026542,-0.11832829,-0.13201551
1965-07-01,-0.8135805,0.1630693,-1.4462836,0.012656999,0.055484794,-0.05254128,-0.07859115
1965-08-01,-0.18220203,-0.28389958,-1.207125,0.028846193,0.3130401,-0.0651983,-0.08771598
1965-09-01,0.09007077,-0.08050442,-0.71762276,0.08580271,0.6007662,-0.1367251,0.0519526
1965-10-01,0.050186493,0.019721365,0.3845669,-0.031642534,0.43269292,-0.19397596,0.115531966
1965-11-01,0.27609932,0.51628804,0.6397675,-0.07196832,0.56985956,-0.054160215,0.4172396
1965-12-01,0.06563983,0.68230087,0.56632733,-0.11891699,0.5735389,0.020162916,0.43813843
1966-01-01,-0.2878871,0.4225719,0.56883013,-0.13830149,0.43298787,-0.03920474,0.36629647
1966-02-01,0.03038001,0.39277056,0.38278848,-0.08824678,0.65953624,0.012441349,0.35182983
1966-03-01,-0.21367292,0.31291443,0.38669452,-0.07204411,0.6948349,-0.037758015,0.37815917
1966-04-01,-0.09504614,-0.20354629,0.56781745,0.006654692,0.68658894,-0.07349074,0.28658503
1966-05-01,0.02502737,-0.08188148,-0.1601462,0.0601814,0.81056845,-0.08622146,0.13454016
1966-06-01,-0.15407023,0.3366398,-1.2691624,-0.040506743,0.54496014,-0.13396151,-0.13265952
1966-07-01,-0.32390913,0.08000078,-1.421786,0.011139369,0.2799304,-0.10589614,0.0541054
1966-08-01,-0.17663828,-0.031971358,-1.4405925,0.010416007,0.16289489,-0.08622146,-0.16058023
1966-09-01,0.13454016,0.0600368,-0.50387466,0.061194085,0.56854075,-0.11182747,0.042532038
1966-10-01,0.11023617,0.48448938,0.08434081,0.0067993402,0.7771504,-0.13063419,0.20586094
1966-11-01,0.16289487,0.33635044,0.20079765,-0.0059313537,0.501994,-0.047450732,0.31580776
1966-12-01,-0.16549882,0.53816074,0.57186806,-0.04759538,0.7654325,0.01851735,0.37743586
1967-01-01,-0.07876778,0.52889323,0.6304754,-0.08526237,0.25495452,0.006161547,0.35936767
1967-02-01,0.12472955,0.26161566,0.7520409,-0.106744505,1.0429655,-0.059617043,0.23064141
1967-03-01,-0.06328068,-0.22431335,0.31257328,-0.071773626,0.36136597,-0.022814345,0.13538733
1967-04-01,0.059283994,-0.27177387,0.46161595,-0.07110751,0.9368871,-0.15270625,0.09009169
1967-05-01,0.21681957,-0.21199028,0.21848483,-0.025978375,0.88992614,-0.14604515,0.19117427
1967-06-01,-0.24879298,0.07676945,-1.0852636,0.037468813,0.5706918,-0.1741884,-0.09209003
1967-07-01,-0.56602895,0.008159876,-1.5320585,-0.006161547,0.24146573,-0.080100015,-0.039467167
1967-08-01,-0.4587849,0.13821831,-1.407995,0.024812698,0.34804377,-0.09292267,-0.037468813
1967-09-01,0.25761896,0.37502128,-0.6551216,0.07327237,0.52905977,-0.07810167,0.044296455
1967-10-01,0.17768547,0.25645328,0.12839316,0.025312256,0.7671949,-0.035803556,0.23014188
1967-11-01,0.11890106,0.27360564,0.5590348,-0.018318081,0.56919307,-0.042464662,0.25095788
1967-12-01,-0.33455497,0.51956767,0.7250633,-0.15786865,0.10890938,0.20532915,0.34654498
1968-01-01,-0.467163,0.3086107,0.70088595,-0.14920902,0.3611311,0.09951987,0.34980598
1968-02-01,-0.33465856,0.38194114,0.4589522,-0.13392004,0.5672491,0.06568594,0.20725048
1968-03-01,-0.12471838,-0.0058041574,0.63958853,-0.10036925,0.4115281,-0.01854496,0.1357604
1968-04-01,-0.024773788,0.031427335,0.44932586,-0.06752628,0.34655,-0.092866324,0.11636604
1968-05-01,-0.13108878,-0.11891425,0.20300356,-0.025481606,0.95513594,-0.03482487,0.11933891
