,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7
1965-01-01,-0.12087554,0.031570733,0.016126513,0.033409357,0.52998924,0.0027309656,0.32322538
1965-02-01,-0.22163087,0.026632786,0.039082766,0.02474165,0.58236307,-0.56114167,0.5114456
1965-03-01,-0.10075599,0.03687644,0.023638487,0.027893543,0.23991051,-0.40774983,0.4097447
1965-04-01,-0.07049787,0.02001381,0.012239158,0.033671975,-0.048854947,-0.10621929,0.1615336
1965-05-01,-0.09303385,-0.025636017,-0.0069873333,0.009980321,-0.3749177,-0.21742839,-0.048382163
1965-06-01,-0.056524515,-0.017125905,-0.03981948,0.00078731775,-0.23718017,-0.05867833,-0.16479182
1965-07-01,-0.0476467,-0.0019968748,0.014865756,-0.0070924163,-0.10474837,-0.25661683,-0.09340161
1965-08-01,-0.06808144,-0.015339851,-0.009088576,0.0014176965,0.0072486997,-0.15875071,-0.13311535
1965-09-01,-0.04990554,0.0070385337,-0.0038354397,0.00793159,-0.030679047,-0.022746801,-0.11646289
1965-10-01,-0.024270177,0.028681517,0.021642268,0.026842892,0.1465621,0.053896606,-0.014236689
1965-11-01,-0.035669506,0.017807484,0.016546726,0.03419733,0.11357236,0.06813264,0.1557551
1965-12-01,-0.18675,0.004517019,0.019225836,0.022640407,0.22131437,-0.2105993,0.4428395
1966-01-01,-0.21019137,0.033040345,0.0147125125,0.027295828,0.085334,-0.045377374,0.37616345
1966-02-01,-0.29471833,0.025882483,0.031946182,0.028937101,0.3188547,-0.26029664,0.38560092
1966-03-01,-0.26266736,0.03427136,0.016125858,0.036870062,0.17556,-0.42460907,0.4671189
1966-04-01,-0.18835294,0.026064813,-0.0037065744,0.037371576,-0.066167176,-0.34988433,0.25055835
1966-05-01,-0.10683495,-0.034526527,-0.003341794,0.021232128,-0.3336081,-0.089282155,-0.03676051
1966-06-01,-0.055225194,-0.051577806,-0.0117762685,-0.002110839,-0.47758663,-0.23503882,-0.107473254
1966-07-01,-0.0933398,-0.023037434,0.006733954,-0.01364553,-0.12730563,-0.18028319,-0.1142208
1966-08-01,-0.036258996,0.015214026,0.006278038,0.006505966,0.0023115277,-0.21087521,-0.09840053
1966-09-01,-0.032474935,0.012068152,-0.031198323,0.014894843,0.0062324405,-0.071501434,-0.091425
1966-10-01,-0.0758782,-0.027915716,-0.026867151,0.015669942,0.047584116,0.11820567,0.14651808
1966-11-01,-0.15210754,0.02232629,-0.039815187,0.027751744,0.1579616,-0.26262182,0.3134293
1966-12-01,-0.20567775,0.0041351914,0.015852273,0.037143588,0.21376583,-0.22993255,0.5483633
1967-01-01,-0.18836713,0.011629462,0.03668791,0.022249222,0.53152645,-0.34509993,0.48041564
1967-02-01,-0.22645175,0.017384052,0.015553057,0.03161347,0.6928629,-0.13605309,0.43254828
1967-03-01,-0.15138102,0.021621466,0.03893745,0.027114451,0.16266012,-0.24047184,0.32342118
1967-04-01,-0.1266365,0.028736174,-0.0076743364,0.014716029,0.07691741,-0.032523513,0.24866444
1967-05-01,-0.20610154,0.023504794,-0.047171474,0.019476593,-0.17753804,-0.073171616,-0.013952017
1967-06-01,-0.07589185,-0.10319984,0.01942426,0.00022506714,-0.0053203106,-0.05601251,-0.0973407
1967-07-01,-0.04010904,0.007287383,-0.021903753,-0.0010304451,-0.12710738,-0.27850413,-0.033412933
