experiment,model,n_clusters,clusters_type,n_folds,n_vars,n_idxs,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_xgb,R_xgb_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_xgb,R_S_xgb_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_xgb,R_Y_xgb_noFS
msfm_fitall_NC5_nf3_nv8_nd10,all,5,NC,3,8,10,0.8181594753124662,0.8445334949651302,0.805561909151197,0.842730548791504,0.8026901721442479,0.8395700167793658,0.983419797861594,0.9986762237005142,0.9828686998775394,0.99650629594728,0.9802322298309244,0.9957316655710888,0.2081505588545311,0.4641665931900828,0.0410069995613065,0.3138633558786052,0.002179897537113,0.2257420830856183
msfm_fitlinreg_NC5_nf3_nv8_nd10,linreg,5,NC,3,8,10,0.8473362147687861,0.8405311115456523,0.8278051116945864,0.842730548791504,0.8228279362273883,0.8395700167793658,0.997362180484522,0.9978689756218848,0.9946055043712732,0.99650629594728,0.994820899749046,0.9957316655710888,0.4232824314371936,0.3321959236465643,0.121842238787335,0.3138633558786052,0.0228568158169747,0.2257420830856183
msfm_fitlgbm_NC5_nf3_nv8_nd10,lgbm,5,NC,3,8,10,0.8226799355808825,0.8416250280504272,0.8459984244821183,0.842730548791504,0.8418473698558748,0.8395700167793658,0.964141715082252,0.9983136850595592,0.9805628711102828,0.99650629594728,0.983214155514426,0.9957316655710888,0.3747720310622927,0.2943517136766429,0.4673013099417912,0.3138633558786052,0.4091186827571044,0.2257420830856183
msfm_fitall_AC5_nf3_nv8_nd10,all,5,AC,3,8,10,0.8342088843771885,0.8396138160343771,0.8310004717163453,0.8371276451372094,0.8382407146789349,0.8316236535385839,0.9790001039202954,0.9986035367781458,0.992422650456334,0.998244663343885,0.9922239170436816,0.997091937735344,0.1352468734319721,0.3124335572040322,0.0274598282519003,0.2090186830136686,0.0958960724231533,0.1047867372186599
msfm_fitlinreg_AC5_nf3_nv8_nd10,linreg,5,AC,3,8,10,0.8475893991009665,0.8574888024906787,0.8234612706385709,0.8371276451372094,0.8234754483899382,0.8316236535385839,0.9920184250242756,0.998714185625213,0.9944581784125954,0.998244663343885,0.9928538621140908,0.997091937735344,0.3878496943016751,0.4463464539547767,-0.0503285805720692,0.2090186830136686,-0.0131178687438514,0.1047867372186599
msfm_fitlgbm_AC5_nf3_nv8_nd10,lgbm,5,AC,3,8,10,0.8086733885854906,0.8575850734204089,0.8363722888425501,0.8371276451372094,0.8282635842418666,0.8316236535385839,0.9793421368729164,0.9984674298233648,0.9856117122010752,0.998244663343885,0.9812873863453296,0.997091937735344,0.0800354625276931,0.6249857316564666,0.3250578466096163,0.2090186830136686,0.3277869428677926,0.1047867372186599
msfm_fitall_NC6_nf3_nv8_nd10,all,6,NC,3,8,10,0.8172921459467559,0.8435821474963967,0.8138657960372795,0.8230071582453686,0.8128208012626001,0.81703792319887,0.9643327290110418,0.9987493827666096,0.9766844954515654,0.994005511677334,0.9777047753423498,0.9947655220228988,0.2482541833076385,0.4916474168174585,0.2563781111761126,0.2213694068655498,0.285388564500561,0.1688881423974949
msfm_fitlinreg_NC6_nf3_nv8_nd10,linreg,6,NC,3,8,10,0.8399172738193323,0.8435759837588779,0.8248396708002059,0.8230071582453686,0.825709757532217,0.81703792319887,0.9823872155601658,0.9984066323462224,0.98814413280248,0.994005511677334,0.9927851517423064,0.9947655220228988,0.2168577667811703,0.3359569196723632,0.293683091665465,0.2213694068655498,0.2527224467575857,0.1688881423974949
msfm_fitlgbm_NC6_nf3_nv8_nd10,lgbm,6,NC,3,8,10,0.8299963249536382,0.8427013417478753,0.845076701888728,0.8230071582453686,0.842837472370847,0.81703792319887,0.979711369313231,0.9986952398718356,0.9949416641629356,0.994005511677334,0.9973063104519926,0.9947655220228988,0.2207325984117699,0.3101914722636157,0.4502103988709575,0.2213694068655498,0.5165627198751916,0.1688881423974949
msfm_fitall_AC6_nf3_nv8_nd10,all,6,AC,3,8,10,0.8240964912604241,0.8519725923328281,0.8196947127606129,0.8310654888891404,0.8212715985665096,0.8362650143037114,0.974453599512785,0.997729236712009,0.9846617459146544,0.9968535833366652,0.9850709196038938,0.9971021628796816,0.1067076325692468,0.4830877114920006,0.2063311989328347,-0.0038300094367873,0.2400729221754739,0.1015120606978084
