experiment,model,n_clusters,clusters_type,n_folds,n_vars,n_idxs,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_xgb,R_xgb_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_xgb,R_S_xgb_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_xgb,R_Y_xgb_noFS
msfm_fitlgbm_NC5_nf3_nv8_nd10,lgbm,5,NC,3,8,10,0.3930795597772087,0.5341622925081999,0.4652766981660387,0.5195189826856477,0.4349064059774117,0.4571416342120635,0.910331463114708,0.9911370712362216,0.9389446233547548,0.98476802002303,0.9484067319355874,0.9733974601590094,-0.3265288014378015,0.2790729749186224,-0.3642837464803422,-0.1465371424884919,-0.3758125995955669,-0.1295835761837843
msfm_fitlinreg_AC5_nf3_nv8_nd10,linreg,5,AC,3,8,10,0.3639208143585511,0.514125787667797,0.4240869776343582,0.4992300260645328,0.3681126943207702,0.42629568757754,0.7502092071449155,0.9854006055378765,0.8993519190778332,0.9943044071903642,0.8921582298574461,0.987126706427681,-0.2510365505689757,-0.2751742841380591,-0.3296020900122391,-0.3530286568318829,-0.2854389043924019,-0.3468702302438533
msfm_fitlgbm_AC5_nf3_nv8_nd10,lgbm,5,AC,3,8,10,0.5060720810410753,0.5109273375086045,0.4719875345211476,0.4992300260645328,0.453963390063393,0.42629568757754,0.9734661160067564,0.9788920349155744,0.9871848025344556,0.9943044071903642,0.986695371170446,0.987126706427681,-0.4058159620983279,-0.1996866535437732,-0.5158176726639246,-0.3530286568318829,-0.4661149806502636,-0.3468702302438533
msfm_fitlinreg_NC6_nf3_nv8_nd10,linreg,6,NC,3,8,10,0.4243786490153383,0.5459826312179762,0.4121662245309108,0.5279219951351921,0.4045099353579173,0.4957338861317649,0.9001050409394266,0.9917449135255766,0.9226595594619256,0.9965705433301754,0.9340460692783542,0.9911132790239268,-0.2234885452990636,0.353378328531388,-0.3197982151871492,-0.0473825874899902,-0.2452041017284003,0.1029418786243807
msfm_fitlgbm_NC6_nf3_nv8_nd10,lgbm,6,NC,3,8,10,0.4026244728186774,0.5346886550288269,0.4652766981660387,0.5279219951351921,0.4349064059774117,0.4957338861317649,0.9177840198537354,0.988747922247246,0.9389446233547548,0.9965705433301754,0.9484067319355874,0.9911132790239268,-0.3299664378187462,-0.0997906498503312,-0.3642837464803422,-0.0473825874899902,-0.3758125995955669,0.1029418786243807
msfm_fitlinreg_AC6_nf3_nv8_nd10,linreg,6,AC,3,8,10,0.4789516319882424,0.5283319162316534,0.4797982310352293,0.5060857605384368,0.4645848127135837,0.4604234562164219,0.9314438692947954,0.9858437881191195,0.9707127060468476,0.9951088466502837,0.97285021726509,0.9950940962283096,-0.166784681736225,0.1702124992624809,-0.2508261780561758,-0.2347757516866719,-0.258063764690065,-0.1449054900243419
msfm_fitlgbm_AC6_nf3_nv8_nd10,lgbm,6,AC,3,8,10,0.280486219953635,0.5156009907757219,0.2758971660038147,0.5060857605384368,0.2558968493973538,0.4604234562164219,0.6256936829902028,0.9851518553202068,0.7251221839779008,0.9951088466502837,0.7448407970376859,0.9950940962283096,-0.277661038844863,0.1064932781809531,-0.3645809848520102,-0.2347757516866719,-0.410411334441123,-0.1449054900243419
msfm_fitlinreg_NC7_nf3_nv8_nd10,linreg,7,NC,3,8,10,0.2185317904582475,0.5016679433896114,0.2607746398606548,0.5235987618979845,0.2437039625396158,0.4670843548806835,0.805806806353046,0.9887266480960883,0.8333836347979848,0.9971107493169916,0.829380189698437,0.9958968885927688,-0.2776060464323229,0.0127825465407364,-0.4285917888133938,0.0156546075756586,-0.4291515825444055,-0.1157953054676706
msfm_fitlgbm_NC7_nf3_nv8_nd10,lgbm,7,NC,3,8,10,0.2779407195724214,0.5300923534535882,0.3210277641254406,0.5235987618979845,0.269625008213373,0.4670843548806835,0.5677978657935913,0.9902092846097216,0.7158952281943282,0.9971107493169916,0.7113021544104955,0.9958968885927688,-0.241615722806481,-0.1265359664191749,-0.2485716444840227,0.0156546075756586,-0.3247661413279439,-0.1157953054676706
msfm_fitall_AC7_nf3_nv8_nd10,all,7,AC,3,8,10,0.3516839955560079,0.5386637259408076,0.3962921855428144,0.4901087650089687,0.3833423468788692,0.4399784332653057,0.7999768145857993,0.9886711174389992,0.913251898535468,0.9958493268326568,0.9000160925877024,0.99759808751358,-0.3151731896258883,0.3412643843300846,-0.4354299583677314,-0.2853333138648614,-0.4004062215647214,-0.3642094799522635
msfm_fitlinreg_AC7_nf3_nv8_nd10,linreg,7,AC,3,8,10,0.4860906231361239,0.5402793764287219,0.3679019739445726,0.4901087650089687,0.3457418524233032,0.4399784332653057,0.9652624186039186,0.9887206533694216,0.948355330731352,0.9958493268326568,0.941068164852738,0.99759808751358,-0.4542723108900885,0.0700601144565703,-0.4545183549003977,-0.2853333138648614,-0.5107268378935707,-0.3642094799522635
msfm_fitlgbm_AC7_nf3_nv8_nd10,lgbm,7,AC,3,8,10,0.3534117699192743,0.5020722277376188,0.4193271439534528,0.4901087650089687,0.4131246906333543,0.4399784332653057,0.7736787673279493,0.98492855956489,0.9305273023818212,0.9958493268326568,0.9224900725607438,0.99759808751358,-0.2989991646469143,-0.2178437077976918,-0.4485702395589312,-0.2853333138648614,-0.3873115169551631,-0.3642094799522635
msfm_fitall_NC8_nf3_nv8_nd10,all,8,NC,3,8,10,0.1906397007815401,0.5447226131672787,0.2059080042272025,0.5184550599515028,0.110450514061026,0.5262390388945898,0.4009062305942156,0.9814724117467382,0.5087605380442614,0.9972760944983824,0.4763148188057227,0.9959554742050292,-0.3665923239041015,0.2141111953481003,-0.2137283866908676,-0.1312945874294994,-0.2543736219276108,-0.0697255848711988
msfm_fitlinreg_NC8_nf3_nv8_nd10,linreg,8,NC,3,8,10,0.4943758420354793,0.5551476544098288,0.4469294971528744,0.5184550599515028,0.4509252060724317,0.5262390388945898,0.9386642211596752,0.992869520398256,0.970373447311792,0.9972760944983824,0.9740947771132304,0.9959554742050292,-0.3100642647851031,0.2906189739255652,-0.3385794868070009,-0.1312945874294994,-0.3638280790004889,-0.0697255848711988
msfm_fitlgbm_NC8_nf3_nv8_nd10,lgbm,8,NC,3,8,10,0.4737233642039357,0.5043371459482777,0.4797517821976717,0.5184550599515028,0.4485126806810554,0.5262390388945898,0.9556945191183076,0.991308725287751,0.9798165630738196,0.9972760944983824,0.9744148586237072,0.9959554742050292,-0.4232691702518305,-0.2753360305699801,-0.483352886565412,-0.1312945874294994,-0.4482765822843031,-0.0697255848711988
msfm_fitall_AC8_nf3_nv8_nd10,all,8,AC,3,8,10,0.2531867903291052,0.4774015280769621,0.3629388379779056,0.4865569178861954,0.3252065794435864,0.4738463712292187,0.5843197224757013,0.975950208370691,0.7938260350231715,0.9976044183593156,0.7324345617753119,0.9973797374450428,-0.3231094016740954,-0.0799344489839871,-0.4368815668894342,-0.1759294673561525,-0.3750366358260423,-0.0875338186255469
msfm_fitlinreg_AC8_nf3_nv8_nd10,linreg,8,AC,3,8,10,0.5089196376834766,0.5042283814753751,0.4956915700750061,0.4865569178861954,0.5001114540722955,0.4738463712292187,0.9416530700026166,0.9751876251346364,0.9861169373838736,0.9976044183593156,0.98816867353359,0.9973797374450428,-0.1389623126434576,-0.2068964066428446,-0.2991858301975484,-0.1759294673561525,-0.2771400358407715,-0.0875338186255469
msfm_fitlgbm_AC8_nf3_nv8_nd10,lgbm,8,AC,3,8,10,0.4880938247061807,0.5374209124432738,0.4563453798280144,0.4865569178861954,0.4540404236822299,0.4738463712292187,0.962792063168838,0.985927200559774,0.9558263301693496,0.9976044183593156,0.942440236607624,0.9973797374450428,-0.3041995985539218,0.013446907782501,-0.4785667347044386,-0.1759294673561525,-0.3089155824301119,-0.0875338186255469
msfm_fitlinreg_NC9_nf3_nv8_nd10,linreg,9,NC,3,8,10,0.4844357119970585,0.5275962194371753,0.4610473341771985,0.5445594308881384,0.4445269740235043,0.4896911839968398,0.9427758678792378,0.9913618860316724,0.9843742781460024,0.9926487304415188,0.979772921390662,0.994887969063099,-0.3046550052854773,-0.2766730623820157,-0.5563127432281602,-0.114784695305587,-0.519122563387255,-0.117603465378405
msfm_fitlinreg_AC9_nf3_nv8_nd10,linreg,9,AC,3,8,10,0.4495027141540642,0.5236497576088471,0.4426401780858477,0.4855513954746899,0.4210294936425114,0.4500522233121253,0.8831348651726264,0.9886688991804096,0.947912971135216,0.9943922087765172,0.9353363778808887,0.9949705233409905,-0.2591352316546333,-0.3030827657442281,-0.406087858540667,-0.1334740506901806,-0.5049511931644349,-0.1304439184494598
msfm_fitlgbm_AC9_nf3_nv8_nd10,lgbm,9,AC,3,8,10,0.4715518525470751,0.4548887147189318,0.4236271113469413,0.4855513954746899,0.4521272766266784,0.4500522233121253,0.9074417466554188,0.9886582511788848,0.9594504991618104,0.9943922087765172,0.9542157328054252,0.9949705233409905,-0.1511250042907987,-0.0883012379805986,-0.3717185828113634,-0.1334740506901806,-0.2318464436316092,-0.1304439184494598
msfm_fitlinreg_NC10_nf3_nv8_nd10,linreg,10,NC,3,8,10,0.4697749695075398,0.5339439274289073,0.4696449755601466,0.5301361307319086,0.4337184587784115,0.4486503177285673,0.964587383860976,0.994825182478877,0.9786911711521992,0.994802302947323,0.9786088723420306,0.9955183114197096,-0.4582717348403479,0.3125189225204629,-0.4601445559293688,-0.2266287347480118,-0.4042945544069171,-0.2372544260188363
msfm_fitlinreg_AC10_nf3_nv8_nd10,linreg,10,AC,3,8,10,0.3987099059943592,0.514433111608428,0.3986177429496996,0.5044489099422904,0.360293886812986,0.4388493209661022,0.8984510680362449,0.99209029431415,0.951090196957494,0.9974127405840056,0.9374649451202396,0.9876809727348004,-0.3782066208966364,-0.2764295596396655,-0.385563682238662,-0.272578030683109,-0.4943992052024508,-0.2070599276276734
msfm_fitlgbm_AC10_nf3_nv8_nd10,lgbm,10,AC,3,8,10,0.4532813248114231,0.5259956661624552,0.4686948457004889,0.5044489099422904,0.4422966376531845,0.4388493209661022,0.9299351741308696,0.995593495837374,0.9834095992907668,0.9974127405840056,0.9760449839972554,0.9876809727348004,-0.312076461160038,0.0947803720541564,-0.3832866500480117,-0.272578030683109,-0.3706534659924189,-0.2070599276276734
msfm_fitlinreg_NC11_nf3_nv8_nd10,linreg,11,NC,3,8,10,0.354772240494372,0.5240700382393708,0.3463069852689485,0.5215751247302195,0.2468986100630693,0.4883481450543126,0.8382802921373576,0.9931502065876584,0.9257323453343032,0.993463829913008,0.911756777066498,0.9968337963419368,-0.0608322902100437,-0.1257424526137396,-0.2936873080061108,-0.3097766328713782,-0.2430398313003957,-0.1469395402065769
