,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8,vo600_cluster9,vo600_cluster10
1967-08-01,1.7238972e-05,-3.1329764e-06,-1.1666736e-05,-1.2172026e-05,-5.102884e-07,-5.723581e-06,1.7776343e-05,-4.0251623e-05,-1.9743333e-05,1.8156425e-06
1967-09-01,1.0172953e-05,-1.5529477e-06,2.5134214e-06,-1.2316392e-05,3.6443053e-06,-2.8923605e-06,1.16808005e-05,-5.310039e-05,-1.8187362e-05,5.885122e-07
1967-10-01,-4.857371e-06,-8.952702e-07,-1.6246413e-05,-8.242005e-06,-9.322321e-08,-1.506741e-05,2.7416925e-05,-5.3140495e-05,2.906425e-06,-2.0903171e-06
1967-11-01,-1.1450185e-05,3.1951604e-06,-1.6727645e-05,-1.6551188e-05,1.1258853e-06,-8.370331e-06,1.2458782e-05,-7.3039235e-05,-3.3174474e-06,3.0588126e-06
1967-12-01,-1.6491904e-06,-1.0717195e-06,-9.597461e-06,1.8329754e-05,-6.9161615e-08,2.890385e-06,7.349754e-06,-5.665345e-05,-8.250023e-06,2.7460155e-06
1968-01-01,-1.7847815e-05,-6.346054e-06,-1.5419042e-05,-2.1399028e-06,1.6009581e-06,-1.02637205e-05,-1.2186501e-06,-4.0190644e-05,4.8114016e-06,-5.672555e-07
1968-02-01,-1.05801155e-05,-5.3131225e-06,-1.07103915e-05,-2.1864325e-06,-2.9739022e-07,-2.6144917e-06,9.510746e-06,-6.644184e-05,4.8428046e-07,1.945271e-06
1968-03-01,-1.3967365e-05,-6.3238986e-07,-1.9001716e-05,-8.27232e-06,3.555142e-06,-4.373258e-06,4.885849e-06,-4.479693e-05,-3.4391996e-07,1.046923e-05
1968-04-01,-1.7922262e-05,-3.796311e-06,-7.4162017e-06,-4.7268695e-06,1.7126295e-06,-4.857153e-06,1.1539378e-05,-5.9360253e-05,8.2859333e-07,-5.7504876e-06
1968-05-01,-1.47397295e-05,-9.394789e-07,-1.1628144e-06,-6.625218e-06,-4.6136847e-08,5.937385e-06,2.2594468e-05,-4.1307314e-05,-5.672555e-07,-4.531452e-06
1968-06-01,-3.5543635e-06,-3.0890806e-06,-8.3095365e-06,-6.0854945e-06,-3.8114376e-07,-1.6098355e-05,1.2209381e-05,-4.1065374e-05,-9.351774e-06,-4.5686756e-06
