,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7
1970-02-01,-0.028287698,0.9920586,-4.862451,2.0097427,5.3962536,0.05624237,-1.8293682
1970-03-01,0.5008547,0.6303116,-4.1595907,2.7339025,5.3283634,-0.53879356,-1.7964218
1970-04-01,0.58305514,1.1275059,-0.46158448,1.6363475,1.9941013,-0.5747353,-1.6459987
1970-05-01,1.2047142,0.80170023,1.726202,1.9644825,1.6283607,-0.45892256,-2.475654
1970-06-01,2.0230536,0.47922325,1.5677917,0.93748057,2.0985985,-0.5321373,-2.701621
1970-07-01,3.8257985,0.35109788,1.5345125,0.77973634,0.930159,-0.7308159,-2.7272463
1970-08-01,3.1944888,0.57273865,2.6523678,-0.44028625,-1.0356544,-0.22829667,-2.931249
1970-09-01,0.3191494,0.43229905,3.4617226,-0.10216789,-0.3677372,-0.69786835,-2.296611
1970-10-01,0.5943699,0.65626943,2.8746743,1.9119011,1.9954323,-0.27289122,-2.6111012
1970-11-01,1.370113,0.8356457,-1.649327,2.72292,4.2963696,-0.60468674,-2.259005
1970-12-01,-0.46358186,1.669627,-1.6020691,-0.2802128,4.8098707,-1.2652824,-1.8203825
1971-01-01,0.4608635,1.3270642,-4.573358,0.88873786,4.7412424,-0.54513204,-1.0298382
1971-02-01,-0.09047413,1.1160667,-5.9255724,1.546881,5.0329146,-0.96288073,-1.2261379
1971-03-01,-1.89604,1.0513954,-1.6958199,1.9352338,3.7646427,-0.35601807,-0.6930912
1971-04-01,-1.7510192,1.0255924,2.0796008,2.1357796,2.0299544,0.14795952,-1.7170506
1971-05-01,1.8271221,1.093203,2.0175426,1.8444332,1.6092653,-0.447472,-3.0963745
1971-06-01,1.26566,0.6450779,0.98084486,-0.2449665,2.4016495,-0.62254107,-1.6422542
1971-07-01,3.5118375,0.78977126,2.9255512,-1.1180264,0.82994616,-0.58040696,-2.767466
1971-08-01,2.391198,0.49777183,2.6616406,-1.2058876,-0.47392806,-0.41611558,-2.4708939
