,vws600-250_cluster1,vws600-250_cluster2,vws600-250_cluster3,vws600-250_cluster4,vws600-250_cluster5,vws600-250_cluster6,vws600-250_cluster7
1965-01-01,27.667106297232408,11.69256218507674,11.518335346594645,57.61486377504673,14.190938165313408,16.79307527169735,16.37897506273112
1965-02-01,31.36054921073424,13.982624917663474,10.265953039081845,48.331876975792014,13.563526772136267,15.986457884361139,14.507614260911726
1965-03-01,24.309269797825394,12.367655602840848,11.392389978881303,54.96766272547357,11.45703856914468,18.193310622135623,13.150720557369585
1965-04-01,26.814378392742405,11.560209058050738,13.551963771552266,30.984663651377176,9.242774980399485,13.024767946274268,24.295894073622673
1965-05-01,20.779243808008957,14.151889763521991,15.209856909346465,21.455757176822924,9.000073378732143,11.047164469784512,24.068305295782263
1965-06-01,18.481634420599924,13.671810957131616,16.265226358878984,18.697649660316273,9.067719295650258,8.734738635469707,24.075994719085614
1965-07-01,13.67523055867802,13.769552180094326,18.132826952999828,11.412696958661144,9.278549589692282,9.674598372001483,25.394987376298783
1965-08-01,11.687793900480653,12.814602715495239,14.27204858872653,9.449832960577007,7.847555545658807,8.480150177741141,24.666740405375766
1965-09-01,18.004025579051667,12.220119810749887,14.14238421946042,13.525495210828838,7.578367987564705,7.734325079235855,24.480198271626357
1965-10-01,19.391314112300766,12.666459187930341,12.817913171785593,16.29538753629111,8.307711810509373,10.167190344312433,21.220431252401987
1965-11-01,23.02520988986315,12.001744527763195,12.544778419152468,31.795378071080698,6.419303211203061,15.043623792760695,20.038908347524153
1965-12-01,27.42148614755084,11.942767418829797,11.0141540015796,37.81612210054118,8.962206341931843,16.168257187509706,17.61306817177356
1966-01-01,23.599067255294834,12.24144309193501,10.073220010839501,59.76387420060993,10.612690724697904,21.868868055514852,12.147574982477098
1966-02-01,22.906753600069436,12.853031577293754,10.175855986296009,41.59045118267008,9.405095668770748,20.439571079693767,12.72341692145743
1966-03-01,29.98328992586417,12.94471373532138,10.416547187559775,36.054152413089284,9.703725093781111,15.764639577972748,14.170717545355402
1966-04-01,20.50481397011832,12.649420033971372,13.383955540100487,33.61175001996727,8.644596366347631,15.783047635995793,22.116497287848727
1966-05-01,22.865086053381027,12.716293888077049,15.812026133154522,17.00847152765719,8.323608605286157,10.663108932079211,25.21089225504375
1966-06-01,17.408079652046673,14.276990377497794,14.457902017786303,18.075925423538138,8.719366048346586,8.670915174536848,24.220821919835185
1966-07-01,13.655396599524824,14.85988318446611,14.500396983868914,9.22848445685053,8.829369120512577,9.139592745176358,25.285784232441088
1966-08-01,11.552377123359618,14.095328495990584,13.890504626488712,8.834204290866092,9.29157176372092,8.889237892567504,24.18826397127061
1966-09-01,16.10642284853031,12.621474132289238,13.383921624414437,9.487814802654826,8.354188851717952,7.915369376375075,22.927426245343682
1966-10-01,18.27041492591763,12.501911381081287,11.726281446597037,26.782265334320712,8.601799906543574,9.468839295959526,22.256928444179408
1966-11-01,24.121955078407055,13.324591003863137,11.312307275528903,34.19677007533026,11.559450405864817,13.045281720905065,19.183782672391946
1966-12-01,31.165498446293622,12.938544154192916,10.532882940395139,49.40643661911562,12.326555485724326,14.172089496589741,17.879211907259382
1967-01-01,34.76529152043465,12.785145700926359,10.568753446387104,54.856482471995854,17.885153512070335,13.274967481185833,10.654196884407073
1967-02-01,31.30518308585931,12.79880285273008,10.171252114160236,55.011489526025024,14.337121000652512,16.158451571881685,9.460661018562009
1967-03-01,29.6464101974194,12.774313117056742,10.875934894410646,39.797936856386805,13.560916439450402,14.948114282746658,10.54573090822239
1967-04-01,26.462754325339567,12.64610826286673,12.539367941775478,27.56666700180864,11.251636518253243,12.466839486195857,16.870857418197183
1967-05-01,20.538435244620782,12.696752382521618,15.259741357334732,23.863341088163196,11.033682027653164,10.894889123110714,21.866197349327063
1967-06-01,18.86132966368614,14.715754731317823,14.486227007957218,19.877871975086876,10.623307884948286,7.691155473010885,22.1541441972855
1967-07-01,13.711979971828637,14.506786782708124,16.399129284558743,12.596264326035033,10.9474643587696,9.619659444551521,23.028562752365513
1967-08-01,12.071213750679258,13.243280986603983,15.817189257204177,8.808628598813481,11.832616860890356,9.26367815627457,20.715029060374725
1967-09-01,16.319608090578363,13.097367111573538,13.154101012436927,11.49913789146403,8.082143073672205,7.807170500259621,21.277774773346042
1967-10-01,20.73755384601528,11.080907264312051,12.08313508697765,20.211796904548297,9.924406815728268,9.09137825958613,23.38864497589282
1967-11-01,24.496548698858454,12.605983686480812,10.93328354402702,35.58527256413753,11.47800415692254,13.809008075870798,18.887984157261005
1967-12-01,27.39176703312786,12.946453365720778,12.435992154376361,49.477731494894144,13.474170720503967,16.012917319740314,15.407631854014141
1968-01-01,32.26647419135092,12.75682457671754,11.482953698396699,59.26904688830103,15.153078433214414,16.533617122613755,11.29106732673349
1968-02-01,27.166025153792187,12.5082265607347,10.890683706639157,74.61641881683876,12.465058915048079,20.2266776974981,9.869605856348116
1968-03-01,26.355933907840537,13.372244663696113,9.701696943206858,29.239124943016016,12.548806367062136,14.926474133680642,11.251075629080136
1968-04-01,21.700443159118226,12.980587528201228,13.27695760658529,25.885727638330238,10.588101852222044,14.489708516888541,16.204590670257385
1968-05-01,19.2234537259914,12.094276001591703,15.721211161989647,29.30526222202071,9.220200731679583,11.006162220344617,17.582247388111366
1968-06-01,17.48367792854,14.556098516659198,14.911463346243444,25.965882792953984,10.073066229384052,7.371141391279319,19.022725404585184
1968-07-01,11.93036870870684,15.156049547511323,15.915987771860353,10.043070461387067,12.699266873635189,8.926379489879432,18.47106677794727
1968-08-01,12.997059638014406,13.529615745302587,17.928933328654086,10.117499595775822,10.565541898927437,8.276546321690851,21.389684788990895
1968-09-01,17.67298679102976,11.72091247148982,14.599341369097887,12.550649230908103,8.687242975144663,7.8318167925786355,25.13248957308306
1968-10-01,20.51544564043464,12.834177983641792,11.946385153814488,22.016735450300438,7.3209598541628464,9.697439879553192,21.80400801291753
1968-11-01,20.55627700281676,13.264847783478016,12.239468302417283,48.40686023641037,11.345027168466363,14.379099791217245,18.268173149602873
1968-12-01,27.204486943129062,12.452104025021704,11.978460548476278,42.03936769537159,13.026887031807576,16.197303793558746,19.7597509744054
1969-01-01,29.23903207798524,12.880528644823501,11.928309786558637,47.74094891746865,11.333187635119675,18.329830693567345,14.908719454263828
1969-02-01,28.564129106091038,13.787454133687861,11.27821516605588,43.58505912583207,13.01938153776176,18.992166329730747,12.192839734437563
1969-03-01,20.46726330683283,12.884348259509729,11.856114732374284,38.18149577069827,11.597747125098783,20.747151267360692,16.30763563719004
1969-04-01,25.16764118177721,14.363003324826439,13.024100759279703,20.018435547111878,9.167998216656065,14.491721122609807,17.423950478159018
1969-05-01,18.785898419763146,12.471762515782316,15.626832847347442,20.921416346066998,8.304967469917463,12.247204205147883,25.252198047461587
1969-06-01,17.47351626493612,14.857420969585437,14.560763166380168,14.23748580910241,11.673634474525603,8.59553483046866,23.932525470132216
1969-07-01,13.807158509594732,13.834047362930008,15.529652043680663,9.130378006591473,10.04959069239242,9.267058366208703,26.77660268000396
1969-08-01,12.227207756751891,13.303123680359066,12.74890357651632,10.65108186194407,7.389455585578938,8.388681267746417,26.19405556018082
1969-09-01,18.007871168535534,11.765364945483583,15.093314496693337,14.434278306322447,8.605192932893384,8.570057305012428,26.06543715308945
1969-10-01,17.69951078341714,12.720524700775563,10.634426287958872,26.117088000476034,5.732630762147726,9.997398641220327,26.65166058049256
1969-11-01,22.678061033262573,12.58097941324704,9.847981141898787,42.30976333217861,8.302253464996223,14.467809307911855,20.7121874364986
1969-12-01,28.97082833181342,12.741194624703528,11.45609529749036,54.433851539242326,13.400795191016625,15.10737673071095,15.670872782891943
1970-01-01,24.11616993444693,13.687933373331717,10.788635346284062,63.36585456506517,12.665037980010398,20.632536625969546,13.019548797355382
1970-02-01,29.593700822172853,12.767695856163627,11.392598903424267,66.31697365716076,12.749161629497504,18.634295232701557,10.21578026957397
1970-03-01,29.119955252711318,12.529746459082677,11.20752409038737,54.477765811154306,12.21872800621209,17.082612445082955,17.344138162857107
1970-04-01,22.53798384173646,12.67576391610534,14.482330316170518,32.62445134657854,10.770279584280072,15.619517386672841,18.418829423615897
1970-05-01,21.54171361020501,13.935686417681895,14.644990868056652,20.078471832660078,10.331471978969699,9.695793745699445,20.62239119926493
1970-06-01,20.563140027241616,14.6501301206876,15.666092496160978,18.173359647038385,11.924731808013869,8.078294563616076,19.638653824077476
1970-07-01,14.28943213205747,14.469311787263138,14.797491527396408,9.882291782535797,9.438732846886492,9.312145764845106,22.73979486303909
1970-08-01,11.537515268916984,15.102303611776005,14.405426169125183,8.802971332057098,13.338429089336305,9.225668682765411,21.861106168130014
1970-09-01,17.135768751835858,13.66547568855714,13.278419374861924,9.675439097489553,10.672404118673281,7.465767612749221,19.55499599140069
1970-10-01,21.444016635735256,13.921498733800142,12.00068763303067,18.22381958274005,12.82640122403357,9.824003716489369,19.380101181733792
1970-11-01,24.912075173658693,13.326000526525538,12.165389515433747,33.83812895979415,13.010332327956375,12.49678163376303,17.73079927053042
1970-12-01,31.236748297763015,13.156253084646275,11.695651726567995,44.95689967576822,17.22363760030458,14.310845571415113,12.953111558525231
1971-01-01,26.362815125696798,13.03940434937273,11.361180990005955,56.08396438110349,15.105144382475144,16.323038948583115,11.61440673589374
1971-02-01,33.2151653524051,13.034752601394736,9.711255001160627,59.36251386113467,13.99540280857923,14.25580459966212,8.819891808491214
1971-03-01,27.56590982180262,13.18183467452846,10.779671529949464,47.761063539583965,15.704896924575925,14.518358531164061,9.456805181970239
1971-04-01,23.811095675581495,12.811819459713448,13.099696332442084,21.08346172358328,12.533858672844538,12.631795541579988,15.088680197951946
1971-05-01,21.61954542003078,12.042882834583793,16.050936926150726,22.51381631318201,12.444378008825277,10.483140505130317,24.395951906731852
1971-06-01,19.262208232841907,14.648367697532223,15.518832944392893,14.441980914705404,12.793865250659834,7.994720069610735,19.14940936820247
1971-07-01,11.773063406743011,13.13804470732866,16.47974183668235,10.195270724780066,11.163894522458033,8.456649667717679,24.78292262730574
1971-08-01,11.789685561883704,13.363977168354568,13.675222771700787,9.027694014067633,10.120918872752998,8.697229529049705,21.837151435921992
1971-09-01,17.239464841047774,14.23706897828963,13.058744674510065,12.479340813456275,10.88404510611299,7.2701013531815395,18.58177240163464
1971-10-01,24.439267717728434,12.777100751862758,14.119976596647746,18.535221428668166,12.905851180498988,8.55658723384646,15.076334010892621
1971-11-01,25.137089609152692,12.122371265685194,13.157318938297346,37.3442532207733,13.495359542367614,11.704506873827604,14.121456815304642
1971-12-01,28.139203009830833,12.281416928666296,11.85314667184448,42.67855885121567,12.703160235871977,13.947580765462135,13.30534862471694
1972-01-01,31.683121457028953,11.60925011200281,12.86871587360259,42.94426547133776,14.352490065356621,16.14050420583184,13.58410057764472
1972-02-01,31.661421088857228,12.74577843006455,11.236494500343424,39.68734729852864,13.506657592054612,15.415821925457955,12.753091653594021
1972-03-01,27.92865604565513,12.640723223766155,11.082496733880017,45.19591072149287,11.697012519522257,15.238729049015511,11.319802258190503
1972-04-01,23.968031792345094,12.585692099514958,13.420092009644492,21.59951989563966,8.849993519544265,14.041210790325053,16.295923742267906
1972-05-01,21.29636723783601,11.944538660119417,15.85101765939087,19.868336241477504,7.705078729100012,10.969158617680122,27.940619066878085
1972-06-01,17.6908426750274,12.28460656470608,16.532236285195573,16.10296458474443,8.45873331525486,8.768399247307205,26.665127416812517
1972-07-01,14.901888567992216,13.629114437796732,19.0869710060774,9.516111950262266,10.439560370843346,9.508046891651114,23.705371622473585
1972-08-01,12.516854246131011,12.267856647551982,18.161449646884005,7.340116068360586,8.036023613824188,8.153898579427647,26.629760661857617
1972-09-01,16.852281664587945,11.793118920644922,15.634134469676281,15.846005327027502,8.393835973970386,8.301635578580356,24.210170670763823
1972-10-01,18.37000477790095,11.673911712662958,12.856245116489475,29.97849017750066,6.789461978211406,10.952681922599293,24.442578711957594
1972-11-01,23.807946566219595,12.25717147057829,10.957944767242846,36.45112168191615,6.227213277329319,14.169252669436373,22.102471459251475
1972-12-01,28.716916436538234,13.881493802252892,11.334440100805839,47.30999921753595,8.183066068381923,17.0140537427653,17.659738640049984
1973-01-01,30.161410643088615,13.926651559476976,10.79357543115588,52.958636174497265,11.35456788671282,18.51073280793429,12.996747184329605
1973-02-01,30.867214726649333,13.19109789960247,10.79750070180275,52.32546432249855,9.472954952901794,19.196554842994328,10.79033841507617
1973-03-01,31.476888030986967,13.241854146625776,10.928099780391879,49.27514660507342,11.175229889529454,16.26581594158399,14.418594715236534
1973-04-01,23.431032896785904,12.758440943858215,12.144443060224535,25.700885319684705,9.114037393786589,14.74808621573092,19.971846931962602
1973-05-01,22.271354879808516,13.387102566064053,15.183669169102451,16.495295193048765,8.372815288099657,10.45211273881034,21.23071246136543
1973-06-01,19.920864643836396,13.485250894677034,15.365388614883766,20.951903482782804,12.367640167996605,7.964410362561942,19.895807796596653
1973-07-01,11.262486878955825,13.862372276994757,15.768096719518333,8.002735725153071,10.535060929070161,8.68704049615534,23.75138301664251
1973-08-01,11.79404469809099,14.541074781467756,13.97811881270386,10.311626904224942,13.032657240291512,8.835892632684265,21.18858730039651
1973-09-01,17.7354338870611,14.493504331156728,12.554436804146885,11.66222368869621,11.82972695303125,7.141155869908541,19.910596686143183
1973-10-01,21.760276663729048,13.313764279171952,11.303191339242384,15.995949126855516,11.9460330746771,9.516569810582526,17.618952835689488
1973-11-01,26.593895531634814,13.512084191816374,12.24734789061654,37.74563582132716,16.069422430524696,11.390168872549088,13.363591330312083
1973-12-01,30.26941400885819,13.055404266241084,10.966151672905783,49.97056534510123,16.5317777818865,11.434000955623082,10.134218340419956
1974-01-01,33.535397691455024,12.036223055654315,10.795027474353427,63.22946430738068,17.751310310281077,13.252452754922436,9.43661571120236
1974-02-01,32.01034970737495,12.548137105725239,10.202493316113856,44.58551227186457,17.81278638617288,15.298286487857915,7.531546158244461
