,r900_cluster1,r900_cluster2,r900_cluster3,r900_cluster4,r900_cluster5,r900_cluster6,r900_cluster7,r900_cluster8
1965-01-01,140.05781809488934,80.52953722485934,107.61465231577556,399.0822219848633,106.02081086900499,169.56809835231053,200.3620147705078,327.125732421875
1965-02-01,138.31188201904297,80.43488391220495,94.96498902638754,418.87088775634766,111.16373274061415,171.49482889378325,198.4110951423645,338.87176513671875
1965-03-01,181.11749013264975,81.69789810850749,105.33933639526367,417.15335845947266,117.09887186686198,170.34749781831783,192.19331741333008,334.5069885253906
1965-04-01,140.83543141682944,80.5596718973617,132.6632579167684,393.0223083496094,114.93997573852539,162.99745275619182,195.02724409103394,315.5376281738281
1965-05-01,157.96432495117188,82.01634731316656,137.3111089070638,345.83118438720703,114.47670194837782,160.54666397419382,192.05853939056396,343.5886535644531
1965-06-01,168.014399210612,81.14384228791317,124.53856468200684,317.27678298950195,111.89454396565756,164.39895629882812,199.5169162750244,306.2325439453125
1965-07-01,142.97346750895184,80.6986666383827,141.6161060333252,276.7610549926758,113.62956364949545,158.5820624168883,189.93654251098633,318.3760070800781
1965-08-01,143.41803232828778,81.02443508401869,139.02398745218915,328.6613082885742,110.98669899834528,152.34727250768785,208.42623710632324,318.7022399902344
1965-09-01,113.38320414225261,80.67232368880862,125.62762101491293,264.0531349182129,110.23877461751303,132.37353385762967,187.06176280975342,313.74884033203125
1965-10-01,121.20928446451823,81.1591269231052,110.03850301106772,349.43904876708984,113.74916500515408,146.8494009464345,188.14842700958252,338.6484375
1965-11-01,104.04525121053061,81.68706187938658,110.03374258677165,328.22200775146484,110.81654230753581,133.76447799357962,179.55830097198486,296.0351257324219
1965-12-01,200.98553975423178,80.56108290458114,118.94081433614096,350.9520721435547,112.02112833658855,169.47079922290558,176.68641805648804,337.6831970214844
1966-01-01,216.6943359375,82.14804578754803,111.03460788726807,422.8426742553711,116.29681057400174,172.1381167148022,179.71107959747314,357.8995361328125
1966-02-01,161.80325826009116,80.99840420252706,121.6099739074707,430.3547668457031,116.36398103502061,165.36996719685007,206.3293695449829,342.5377197265625
1966-03-01,132.75175730387372,82.21837214873158,119.09165382385254,433.97083282470703,119.5153554280599,160.98256212599736,205.14614582061768,334.38250732421875
1966-04-01,125.84910074869792,81.7316991023467,125.64321358998617,363.89495849609375,116.50917265150282,155.33791400016622,208.98375511169434,325.00665283203125
1966-05-01,152.2863006591797,81.54769476264752,140.57138760884604,325.3847122192383,106.36911392211914,162.90448777219083,178.3810257911682,297.938720703125
1966-06-01,164.51054890950522,81.5982536210619,135.11724472045898,363.7611389160156,106.94749620225694,165.79438879134807,210.0552797317505,310.178466796875
1966-07-01,146.6214116414388,80.94808657465497,149.0920384724935,243.20819854736328,112.66372468736436,155.1602140386054,187.11071014404297,280.3680419921875
1966-08-01,180.59185028076172,81.34498931233826,144.3767547607422,226.76986694335938,108.85802374945747,168.23905782496678,181.18716478347778,289.66943359375
1966-09-01,122.70896911621094,80.7873045037053,135.21491686503094,311.43566131591797,107.2770012749566,140.70846882272275,184.0733766555786,284.0369567871094
1966-10-01,115.20164489746094,81.38140363705203,121.59622510274252,279.41938400268555,104.26623026529948,152.18776946372176,175.1518964767456,284.2309875488281
1966-11-01,132.18695322672528,80.95998919593495,111.43092314402263,349.4097900390625,104.69410154554579,148.45553459005154,188.23559284210205,276.12615966796875
1966-12-01,143.59541575113934,80.52480738315559,124.75734551747641,393.83792877197266,108.05694792005751,161.73597295233546,204.39996719360352,293.03289794921875
1967-01-01,151.84488932291669,81.02498933990746,110.32727559407553,434.8830795288086,109.43688286675348,170.0564283005735,203.17370891571045,342.74322509765625
1967-02-01,216.84697469075522,81.17640745385528,115.22792180379233,430.3307342529297,112.03462812635634,174.03312845433013,206.3145637512207,344.7438659667969
1967-03-01,201.67855580647787,82.14937638458673,131.62264823913574,422.7243423461914,108.07633929782445,176.53683601541724,211.51604652404785,294.1903381347656
1967-04-01,146.70486450195312,81.6137373671777,121.8796968460083,412.8763198852539,109.473631117079,160.98002981632314,183.56473445892334,320.7983703613281
1967-05-01,166.94435119628906,81.70353639380097,132.12276299794516,384.31365966796875,108.3068953620063,167.53553025265958,199.2468237876892,324.9869079589844
1967-06-01,222.47899373372397,81.1293263357586,150.63228607177734,394.17858123779297,109.3831910027398,172.2198973310755,197.35149145126343,321.3636169433594
1967-07-01,164.21728769938153,81.11462658890517,142.2023932139079,308.81311416625977,110.6467882792155,166.72900585418054,195.02949714660645,291.33209228515625
1967-08-01,127.14650472005209,80.59632553808962,139.96065457661948,215.70001602172852,108.92293718126085,150.79811583174038,178.54514122009277,295.3833312988281
1967-09-01,98.37281545003256,79.7797170756303,126.80040200551352,272.4555969238281,106.83247248331706,142.62388513443318,192.7756905555725,293.0233459472656
1967-10-01,117.01738993326823,81.26225106539661,113.69657516479492,231.04524612426758,103.66288291083443,141.3050874750665,168.13621520996094,286.6391906738281
1967-11-01,116.25509897867839,80.63580597957673,107.53876368204753,318.11506271362305,105.37374284532335,143.12464937250667,176.2776255607605,289.15521240234375
1967-12-01,146.51579538981122,81.34008907763243,106.95106983184814,372.6155090332031,109.34933556450738,157.49893188476562,171.11808061599731,310.4417724609375
1968-01-01,202.64654795328778,80.33532079220417,117.431640625,426.87389373779297,109.4071176317003,175.6974402894365,194.85821723937988,335.0468444824219
1968-02-01,217.02425638834637,80.32911867838133,109.5651388168335,416.93603515625,107.03955756293404,173.47259521484375,211.48080825805664,323.6165771484375
