,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8
1965-01-01,-16.26122531812834,-20.062361433745494,-13.714559793331663,-45.27074989148181,-47.4818816612109,-25.694036210920203,-32.982249374170934,4.54317695906171
1965-02-01,-25.08181917290436,1.0180362464568786,-12.254713380675007,-48.12572835234055,-37.34873045979053,-32.43628762110398,-27.947600993975463,4.670896869121415
1965-03-01,-21.574912537187362,6.236637666756017,-10.547377195796154,-41.46742161999955,-34.720919467924595,-26.722406463185678,-30.45653917466157,8.51812636359957
1965-04-01,-20.641899463224547,4.43038847491111,-8.353204670712653,-44.67382962271368,-48.243193980258724,-22.80046288119633,-33.138194930607504,14.040045818379363
1965-05-01,-26.500062269662354,3.6102431677756175,-11.268589563280052,-35.88142659883315,-48.934775167173676,-22.657571179435326,-33.87273605410572,4.245841010730175
1965-06-01,-22.201928802556495,-2.399435452047512,-10.920145413899895,-32.55097101539814,-52.43814729250159,-24.873553680061278,-36.044086817955794,0.27147857152515464
1965-07-01,-22.663032002039845,-11.220448534345653,-7.683473959831023,-39.024375166862185,-64.88259002949053,-30.8847827503169,-36.89689371678805,-0.8783358898556988
1965-08-01,-28.57635436883024,-4.549124235670156,-12.673389730375492,-27.51420395099215,-57.091200116470716,-20.67255224837661,-38.267107563063284,-5.487134402285926
1965-09-01,-21.00974012880059,-9.736877237491312,-20.563533318359255,-16.353815253777903,-62.62742933550387,-23.551253297741585,-41.11297823242788,-12.878875687733924
1965-10-01,-27.554628418335348,-17.90721640133263,-26.882232453317613,-33.015235891361996,-53.252730221244256,-33.63249085243802,-43.71260385049496,-23.34452611719993
1965-11-01,-23.816516877824487,-26.6270258553496,-30.73169961622602,-41.85111135401171,-55.36808475483338,-36.81345505293046,-36.87929342902935,-26.136057827397796
1965-12-01,-24.46951032554875,-35.862343643399086,-35.56092872757154,-43.87725366769285,-41.18232693768144,-25.94231994063931,-34.74778141772989,-35.18956900115006
1966-01-01,-26.971633953728002,-40.94434929024921,-38.66446187020557,-34.781358432226526,-32.79344039490015,-27.179809592002805,-39.07365369123679,-39.680324772860466
1966-02-01,-23.25008092319873,-33.35192894072522,-36.82881524758863,-31.92498068477058,-39.979273059547076,-24.631099424812952,-39.114781865601245,-33.3280485782177
1966-03-01,-28.38106671521547,-34.750035621370415,-34.280418689219054,-26.34524705281776,-34.84983072499146,-22.197115972744893,-36.836274433273765,-35.531157518979754
1966-04-01,-21.840651790821244,-30.400074611383104,-28.57287156980679,-32.65539849700839,-49.44106151189282,-22.3290639526407,-34.952938909063306,-26.457208430667443
1966-05-01,-23.84406244775076,-14.363086934894776,-24.163548170355153,-27.08710612375604,-54.556762556232535,-13.37825398314102,-41.06384315891417,-17.71134793370103
1966-06-01,-25.68431282296034,6.384710233392567,-7.0364886850665656,-28.35129220217364,-51.56273806217781,-21.752680488882493,-35.572474896972416,4.86137234080157
1966-07-01,-22.371442726546128,2.2711050117904494,-0.1964668443723432,-23.968548600362485,-54.77469920381982,-26.444284609258528,-32.59667072337614,6.956686330009672
