,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8
1965-01-01,1016.397,1018.2456,1009.0809,1009.97076,1010.0731,1020.74304,1017.9883,1015.6193
1965-02-01,1012.7107,1013.9758,1008.50903,1008.48303,1008.81665,1016.8379,1015.5994,1015.3228
1965-03-01,1015.54047,1018.7821,1011.78046,1009.5081,1011.28064,1019.50336,1021.8469,1016.1321
1965-04-01,1018.9495,1017.5517,1017.88165,1010.3807,1011.832,1022.7071,1019.35077,1020.5167
1965-05-01,1019.71045,1014.41797,1016.8007,1010.30444,1015.0847,1018.4646,1017.7681,1012.72064
1965-06-01,1020.1619,1014.52594,1020.47076,1012.0019,1018.1917,1020.9632,1021.71295,1016.1092
1965-07-01,1023.878,1021.09534,1023.14185,1012.71686,1018.5533,1024.6421,1025.7205,1019.4519
1965-08-01,1025.2362,1018.38525,1017.2826,1012.426,1017.5659,1026.5676,1026.6099,1013.3551
1965-09-01,1023.3787,1017.76385,1016.7176,1013.3972,1016.99603,1022.2885,1023.0159,1015.61615
1965-10-01,1022.2544,1020.3846,1013.93555,1012.65796,1015.1467,1021.1958,1019.3818,1016.23694
1965-11-01,1021.9512,1020.79767,1012.18475,1011.7898,1013.66516,1022.59485,1020.0876,1016.52594
1965-12-01,1017.8407,1014.29584,1008.2505,1009.74194,1011.5758,1017.6919,1015.0072,1014.3541
1966-01-01,1017.89294,1019.92334,1010.9444,1011.1747,1012.41205,1015.76306,1015.62286,1018.48315
1966-02-01,1016.7726,1018.2391,1009.175,1009.3928,1010.09625,1020.22125,1014.00116,1015.2461
1966-03-01,1016.7269,1017.77844,1013.1919,1009.2532,1011.1509,1021.39166,1019.70306,1016.2255
1966-04-01,1018.3317,1019.63666,1015.8732,1009.4266,1012.387,1017.1219,1016.4034,1019.1629
1966-05-01,1018.8067,1016.5742,1021.21075,1011.4945,1015.4119,1017.4116,1017.2383,1017.6858
