,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8
1969-04-01,-0.38812143,-0.96532786,-1.4881306,-0.28196868,0.50522155,-1.1875855,-1.7478735,-0.09056167
1969-05-01,-0.566259,0.21296921,-1.5176544,0.26173323,2.9231849,-0.8820648,-3.4035263,0.9009727
1969-06-01,-0.57654303,0.07696076,-2.1814415,1.0114384,1.595279,-1.988044,-3.4018683,0.5397209
1969-07-01,-0.49725953,0.15458527,-3.0857315,1.6792061,1.8862038,-2.7662773,-3.9472282,-2.1277015
1969-08-01,-0.7361042,-0.15392189,-2.3363583,0.7619785,1.4605973,-1.7501957,-3.234677,-1.1076386
1969-09-01,-0.4919525,-0.5307644,-1.7903347,0.722171,4.2308555,-1.7876809,-3.286759,-0.4402027
1969-10-01,-0.60706174,0.018576812,-1.4977509,-1.5690724,0.59644663,0.99717367,-1.6632828,-1.4187996
1969-11-01,-0.45745277,-1.8626511,-1.1836045,-0.98821676,-0.55962485,0.75633925,-1.8261608,-0.7294693
1969-12-01,-0.6541668,-2.0142505,-0.12406616,-0.2577526,0.38679466,-0.044119645,-2.541366,-1.3063438
1970-01-01,-0.47023773,-2.0942721,-0.84629476,-0.6003601,0.120471574,-1.2988949,-3.00047,-2.0932736
1970-02-01,-0.3038414,-0.047922134,-2.0183952,-1.1371571,-0.8269928,-1.9395231,-0.76109964,-1.5341799
1970-03-01,-0.7823982,0.078206636,-2.7039504,0.3550911,-0.30983084,-1.1674411,-1.8370224,-1.1644459
1970-04-01,-0.4991909,-1.0692669,-1.2273442,0.33212852,0.09318237,0.16573143,-2.3664978,1.5840988
1970-05-01,0.06655884,0.18070717,-2.5631785,0.07487869,2.9448936,-0.7581047,-2.9016304,1.0882366
1970-06-01,-0.33112946,0.72549057,-2.654697,3.5941741,1.5754464,-4.3223276,-3.9812138,0.8120171
1970-07-01,-0.564418,0.0945137,-2.199768,1.0902328,0.9651024,-2.6041121,-3.6098156,-1.4573052
1970-08-01,-0.48221892,0.44561118,-1.3544712,2.1621628,1.1354935,-3.4996605,-3.9655724,-1.5325158
1970-09-01,-0.8456291,-1.0146888,-1.0962235,1.6020699,4.005841,-2.0330384,-4.2780657,-0.7880558
1970-10-01,-0.23362121,-0.7647606,-1.7049034,-0.108823396,0.39269638,-1.3474827,-2.9585378,-0.9787468
1970-11-01,-0.3534271,-2.5468724,0.6110094,-0.5454491,0.2928585,0.38470954,-1.9355294,-1.159454
1970-12-01,-0.56109047,-1.3068817,-0.85594594,-0.6675846,0.0069885254,-1.7611454,-2.6636825,-0.8715874
1971-01-01,0.049646758,-1.3290241,-0.023190308,-0.20348549,-0.8364784,-2.6397572,-1.4733909,-0.70811594
1971-02-01,-0.36059037,-1.2483485,-0.3860672,-0.5039776,-0.27664834,-2.417654,-1.8584778,-1.3793236
1971-03-01,-0.53010714,-0.10386582,-1.5063797,-0.38933295,-0.61600876,-2.0717616,-2.2863522,-0.3677761
1971-04-01,0.3618969,-0.39227256,-0.5346798,0.49711838,2.7622402,-1.4194984,-3.3269691,-1.1911895
1971-05-01,-0.5993511,-0.7411049,0.17539558,0.38214722,2.0763345,0.61862105,-3.822454,0.5052837
1971-06-01,-0.29722595,-0.100926206,-3.5043247,0.41676942,2.355596,-3.192728,-3.2495599,-0.94524384
1971-07-01,-0.5029976,-0.35536462,-1.8970191,1.2032745,2.2135155,-3.54254,-3.359958,-1.1474224
1971-08-01,-0.4311409,0.27860832,-3.3704097,2.6074214,4.2620873,-2.9996948,-4.473412,-0.45400468
1971-09-01,-0.4618431,-0.52553403,-2.6426964,2.3732338,2.2060037,-3.568669,-3.5954525,-1.1255386
1971-10-01,-0.26162416,-0.9906437,-1.3616863,2.216455,0.8965767,-3.0134125,-3.141448,-0.3227024
1971-11-01,0.39096642,0.16102448,0.024169922,0.32564202,3.3302352,-1.0687058,-3.797958,0.16527061
1971-12-01,-0.7633152,-1.2346306,-1.3100799,-0.21524353,0.74273795,-1.9959857,-3.0614257,-1.4786164
1972-01-01,-1.0022014,-3.351479,-0.5637922,-0.8050896,0.057957076,-1.4150751,-1.5545171,-0.36581936
1972-02-01,-0.29408988,-2.4740863,-0.7431154,-1.2314484,0.65072805,-0.6140026,-2.0439978,-0.3078621
1972-03-01,-0.19366875,-1.0679054,-0.61055964,-0.042463683,0.015780259,-2.9434829,-1.831966,-0.7259003
1972-04-01,-0.25019187,-2.022192,-0.52075464,-0.39336318,0.78098834,-1.1017616,-2.4413779,0.10415115
1972-05-01,-0.7241791,-0.50698245,0.19825974,-0.26281625,0.62691385,0.7904564,-2.1068325,0.13255577
1972-06-01,-0.856448,1.0386398,-3.26856,0.88657415,2.294764,-0.32536393,-2.6924305,0.6811409
1972-07-01,-0.9752312,-0.12853852,-3.090958,0.44472122,2.9638543,-1.8187683,-4.140501,0.9904377
1972-08-01,-0.32823333,-0.24416657,-2.9721744,1.9375515,3.875676,-3.4975197,-4.4058995,1.1766472
1972-09-01,-0.7904568,0.39192885,-1.4515133,0.5818676,2.1323676,-3.004596,-3.8157105,-0.87136763
1972-10-01,-0.15579605,-0.24359283,0.9580162,0.38905945,2.0187488,0.39967576,-2.1825786,-0.2622425
1972-11-01,-0.38332137,-0.68171465,-0.92932475,-0.77553713,1.8902099,0.8570217,-1.620795,0.23756714
1972-12-01,-0.08062363,-1.8483204,0.09984722,-3.2106023,-1.2196846,-0.063695714,-0.9732229,-0.8871479
1973-01-01,-0.61672056,-1.9348977,-0.9046938,-0.7374527,0.33989754,-3.1976466,-1.4656677,-1.2688011
1973-02-01,-0.9196655,-1.4408203,-0.12359905,-0.88366926,-1.3455727,-1.4764984,-1.8014238,-0.32014695
1973-03-01,-0.73777163,-0.1621441,-1.9138733,0.62372893,0.0015930176,-3.0100179,-2.1209335,-1.376154
1973-04-01,-0.3513649,-0.13984528,-2.1696725,0.58327293,0.71706545,-1.2089131,-2.544929,1.4366791
1973-05-01,-0.022298813,-0.9738205,-2.5067024,0.6699196,0.30294496,-1.2296196,-3.5528343,0.26408157
1973-06-01,-0.726622,0.47145995,-3.6190934,2.7424324,2.8653946,-3.528624,-3.9341438,1.1901184
1973-07-01,-0.59601516,1.0180992,-3.6777077,1.7998307,2.3713174,-2.7226822,-3.9449744,0.0035037994
1973-08-01,-0.6090752,-0.5542843,-3.2186713,2.08653,2.516896,-3.1874528,-4.2648025,0.694767
1973-09-01,-0.45330238,0.107990265,-2.802321,1.0897739,1.0789429,-1.0467682,-3.4881675,-0.929541
1973-10-01,-0.38895455,-0.83142626,-0.8107201,2.120615,2.400624,-1.6494735,-3.7576644,-1.2770836
1973-11-01,-0.30167085,-1.8947601,-1.5038942,-0.60748255,0.8145428,-0.5960144,-3.1011243,-1.3694642
1973-12-01,-0.5992004,-1.6612597,-0.37684956,0.35391387,-0.65558434,-2.334046,-2.222871,-1.2060459
1974-01-01,0.0147918705,-3.0333867,-1.2448456,-1.4667286,-2.0077941,-2.4416988,-1.2333412,1.2238076
1974-02-01,-0.67583925,-1.4147917,-1.5643568,0.5469826,-0.8592621,-2.933128,-1.2007973,0.93749654
1974-03-01,-0.48485565,-1.3894804,-0.57097894,0.39708823,-0.25475463,-3.1047177,-1.5186657,0.8106121
1974-04-01,0.2656021,-0.077248,-1.6494942,-0.811927,1.8884704,-0.13411598,-2.4982376,0.1413475
1974-05-01,-0.28433877,-0.04207573,-1.3618686,1.349377,3.0429196,-1.5469353,-4.0014534,-0.17027473
1974-06-01,-0.23568955,0.0111763,-1.3809334,1.0827888,2.6553638,-0.49077302,-3.624417,1.4687004
1974-07-01,-0.31228027,0.88654554,-3.939984,3.7805564,3.1934707,-3.5659058,-4.4225388,0.084479906
1974-08-01,-0.67715377,0.571637,-3.0231965,1.8717064,2.3246758,-2.721765,-4.1197915,-1.0229626
1974-09-01,-0.797464,-0.4322609,-2.2161994,2.0133827,1.0259216,-1.9016193,-3.3601296,-1.8509967
1974-10-01,-0.17060395,-1.4401023,-1.4170926,1.1794312,1.8559272,-3.1839378,-3.942285,0.40596372
1974-11-01,-0.11800919,-2.5432715,-0.33726233,-1.0489311,0.20741959,0.53153265,-3.2772934,-1.79643
1974-12-01,-0.4740078,-2.1810272,-0.6084522,-2.699411,-1.2819904,1.1810749,-3.0284557,-1.0393986
