,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8
1965-01-01,-6.434387,0.9562378,2.381256,2.2630005,-7.361969,-3.5054932,0.31106567,-9.288971
1965-02-01,-5.67984,1.1913757,2.4547424,2.0415955,-6.856903,-2.4640198,-0.29403687,-9.099731
1965-03-01,-6.0205383,1.2792664,2.5321655,2.0681152,-7.563324,-2.7019348,-0.6552124,-8.856659
1965-04-01,-6.8101196,1.0091248,2.036499,2.2944336,-9.121796,-3.6976013,-1.5670166,-9.985992
1965-05-01,-7.575531,0.03164673,1.0874329,2.5014954,-10.361725,-4.2524414,-2.5649414,-11.236908
1965-06-01,-8.009674,-0.7133484,0.30303955,2.2065735,-11.277863,-5.0603027,-3.1737366,-11.76535
1965-07-01,-8.566071,-1.2358398,-0.2828064,1.170166,-11.514435,-5.736969,-3.7740479,-12.444
1965-08-01,-8.808075,-2.5246277,-0.31973267,1.0299683,-11.281433,-6.2374268,-4.407715,-12.280334
1965-09-01,-8.836761,-2.9395447,0.21191406,1.4473267,-12.301575,-6.2890625,-4.450897,-11.768158
1965-10-01,-8.9791565,-2.043579,0.3683777,1.8044128,-12.223907,-6.4419556,-4.1098022,-12.532776
1965-11-01,-8.264648,-1.8340454,1.663208,2.7858582,-11.839722,-6.47937,-3.3603516,-12.108673
1965-12-01,-7.0471497,0.009155273,2.6237183,3.103241,-9.705627,-4.86969,-1.0641174,-10.452576
1966-01-01,-6.1781616,0.8804321,2.4331665,2.243042,-7.582123,-4.4741516,0.46640015,-8.837311
1966-02-01,-5.884033,1.3076782,2.4483948,2.2108765,-7.2607727,-3.6555786,0.86138916,-7.5628357
1966-03-01,-5.592743,0.8309326,3.1325378,2.6983337,-7.8252563,-3.8973083,-0.47265625,-8.331055
1966-04-01,-6.616791,0.3873291,2.5774841,3.2885437,-8.959747,-4.3832703,-0.88046265,-9.521027
1966-05-01,-8.080872,-0.6884155,1.3857422,2.993927,-9.710724,-4.697052,-2.1680298,-11.154541
1966-06-01,-8.534424,-1.225708,0.7965088,2.2145996,-11.021606,-5.189453,-3.303894,-11.847626
