,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7,vo600_cluster8
1965-01-01,2.3002444612892704e-05,2.8880866883203757e-06,1.2895959999709243e-05,7.86880871135222e-07,6.893229024277643e-06,1.3721866404618293e-05,2.4977922294056043e-05,-2.6399100916980964e-06
1965-02-01,2.7659817978348386e-05,5.866642181574987e-06,9.419608286934555e-06,-2.5479771846875534e-06,5.03379308262337e-07,1.9610661183833145e-05,1.698908454272896e-05,-7.290673078897639e-07
1965-03-01,1.1292789341941319e-05,3.6969373425000373e-06,1.8843719231697015e-05,1.5156047084019522e-06,2.9151356842661235e-06,2.1108991556199424e-05,1.4914643543306738e-05,-1.255845043551904e-05
1965-04-01,2.6368447737347217e-05,1.8741080983393963e-06,4.777212529586615e-06,5.964926265894374e-06,1.3207857612774946e-05,1.0004208282528756e-05,1.1449419616837986e-05,5.831818047578023e-06
1965-05-01,1.5668116789806555e-05,3.836160849297293e-06,-1.7710555727282318e-06,3.3912952542513595e-06,1.5250925359798076e-05,9.618556759960484e-06,9.970770406653173e-06,1.3800926305856067e-05
1965-06-01,7.641433222353102e-06,-5.755368753008432e-07,2.3419194055837791e-07,5.891541804168649e-06,1.8605858840178265e-05,-3.812426226564488e-08,2.448652139719343e-06,1.2829368962117945e-05
1965-07-01,1.2046160570226928e-05,1.5552181976104185e-06,4.13308267867989e-06,4.2731179356841106e-06,1.2847828847318239e-05,1.3893438032634247e-05,1.7972361092688516e-05,1.5794937593327313e-05
1965-08-01,-2.8570286032961723e-06,2.0123611221833926e-06,-2.5850528365244037e-06,2.6980986937810553e-06,3.3650912671366187e-06,2.6991244036859523e-05,1.7099573597079143e-05,2.6205248503717025e-05
1965-09-01,1.238373113936061e-05,1.8937470935313849e-06,2.2451677464034776e-06,5.925918799781143e-06,1.784787326509696e-05,1.119191589774952e-05,1.667430842644535e-05,1.3343183207070341e-05
1965-10-01,1.3979789845836152e-05,4.136940559430427e-06,-7.127187677395052e-07,4.934902794890248e-06,6.46628577246596e-06,1.0072148294663446e-05,1.595268076926004e-05,1.1992078566037348e-05
1965-11-01,2.1528399458397774e-05,1.975020392733097e-06,-3.1703518908361206e-06,7.275371818950634e-07,-1.5039233527775567e-07,1.274384430871578e-05,2.2912392523721792e-05,1.584474120407545e-05
1965-12-01,1.0763276688831343e-05,3.3843243889870275e-06,4.361475910864892e-06,6.426331073195122e-07,9.168733476842537e-06,2.0665105087876633e-05,2.314345329068601e-05,9.084581969338551e-06
1966-01-01,2.6334219775038794e-05,6.506030288056493e-06,1.2174886237978397e-05,-8.63938761800195e-08,1.2553810361274626e-05,1.9817437835930228e-05,2.5394023396074772e-05,-1.2100930721396907e-05
1966-02-01,2.496500839813652e-05,4.563014364239713e-06,6.513365419316646e-06,5.626322396484943e-07,3.331823061375343e-06,1.972490736079635e-05,2.2419369997805916e-05,-8.234220379228263e-06
1966-03-01,2.925641270616944e-05,4.764455665974224e-06,5.97210732783002e-06,-5.250998385533955e-06,9.792064131118444e-06,2.2854878807265777e-05,2.196810419263784e-05,-3.886358057981629e-08
1966-04-01,1.3652961957206495e-05,6.028881216479931e-06,9.792290876393437e-06,3.3206795710544714e-06,6.575269147761838e-06,5.744439401193328e-06,1.6273310393444262e-05,6.8382018581727166e-06
1966-05-01,3.7868599452423873e-06,1.7981465121119116e-06,9.774378444147432e-06,3.617948082339058e-06,1.1360206435499496e-05,2.5333266269929786e-06,8.273249477497302e-06,7.149390257198544e-06
1966-06-01,-1.015744001438663e-06,3.677734214523385e-06,-4.500595647529564e-06,3.949896175435256e-06,9.027217158798649e-06,1.6542071534786373e-05,-1.5073890153871616e-06,2.38839579412199e-05
1966-07-01,2.2114820839828524e-06,5.922035619559687e-06,4.9361661708183195e-06,-1.0780268981815529e-06,1.6399243852288764e-05,1.1948230470200846e-05,1.596354013599921e-05,1.981481163008874e-05
1966-08-01,-2.62940143039351e-06,2.688980094674099e-06,4.952061238367131e-06,-8.726527739065044e-07,1.3758050087300606e-05,1.8819156745545722e-05,1.5133715351112187e-05,1.0438618534081208e-05
1966-09-01,-2.951799644429133e-06,3.61563738102805e-06,-6.1000646646657586e-06,4.159115462978554e-06,9.559596227793306e-06,7.155343458483307e-06,5.791347120975843e-06,2.4338842514114e-05
